gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ABCA1,0.8798476085470869,1.0,1.0,1.0,0.0
ABCA7,0.7339959760296081,1.0,0.0,1.0,0.0
ABCA8,0.8038822726419648,1.0,1.0,1.0,0.0
ABI3,0.7406102425403389,1.0,0.0,1.0,0.0
ACE,0.5677739145751315,0.8625902531492365,1.0,0.0,0.0
ADAM10,0.5852297274893726,0.17501914242065705,0.0,0.0,0.0
ADAM17,0.6008377064048466,0.5955555097770651,1.0,0.0,0.0
ADAMTS1,0.9168924128314102,1.0,1.0,1.0,0.0
ADAMTS17,0.639655249270411,0.6300319267686546,0.0,1.0,0.0
ADAMTS2,0.7113638180765499,1.0,0.0,0.0,0.0
ADAMTS20,0.6395143881726537,0.5470921815682646,0.0,0.0,0.0
ADAMTS4,0.5835236274637956,0.09673554998286106,0.0,0.0,0.0
ADARB2,0.7854384706039845,1.0,0.0,0.0,0.0
ADGRF2P,0.7169861085328546,0.09994096041196647,0.0,0.0,0.0
ADGRL2,0.529133226587568,1.0,0.0,0.0,0.0
AFF1,0.797095497716773,1.0,1.0,1.0,0.0
AFF3,0.648472304199546,1.0,0.0,0.0,0.0
AGAP1,0.5842597682010001,1.0,0.0,0.0,0.0
AHCYL1,0.6500589188342742,1.0,0.0,1.0,0.0
AHNAK,0.722879278370136,0.5736726037855763,1.0,1.0,0.0
AK4,0.7807831564731009,1.0,1.0,1.0,0.0
AKAP6,0.4381281485804626,1.0,1.0,1.0,0.0
ALCAM,0.5678213547632889,0.14193568970725745,0.0,0.0,0.0
ALDH1A2,0.6834492390170416,0.6273810391609566,0.0,1.0,0.0
AMPH,0.4428033366552421,1.0,0.0,1.0,0.0
ANAPC1,0.5182006604196678,0.8183555232677914,1.0,1.0,0.0
ANK3,0.45975848538758024,1.0,1.0,1.0,0.0
ANKH,0.4544350021907792,1.0,1.0,1.0,0.0
ANO1,0.51705864089349,1.0,0.0,1.0,0.0
ANTXR1,0.7747271986563864,0.5014628783148464,1.0,1.0,0.0
AP2A2,0.5298974966250457,1.0,0.0,0.0,0.0
APH1B,0.7453805808304632,1.0,1.0,1.0,0.0
APOC1,0.7862998730391738,1.0,1.0,1.0,0.0
APOC4,0.6369313546489279,0.4861994813229924,0.0,0.0,0.0
APOE,0.736941370868553,1.0,0.0,1.0,0.0
APP,0.496221720783308,1.0,1.0,1.0,0.0
ARHGAP26,0.6527600248240619,0.276394846283627,0.0,1.0,0.0
ARHGAP45,0.6933181762851125,1.0,1.0,0.0,0.0
ARID4B,0.6471389603874678,0.27718629093470104,0.0,0.0,0.0
ARIH2,0.5314331097936901,0.2496494287739318,0.0,0.0,0.0
ARL17B,0.6565508451003969,0.29140842342749773,0.0,0.0,0.0
ARMH3,0.6791645856405512,1.0,0.0,0.0,0.0
ASAH1,0.6465827984143727,0.5668441026238359,0.0,0.0,0.0
ASB3,0.7132877494315751,1.0,0.0,0.0,0.0
ATL3,0.7676298438435886,1.0,1.0,1.0,0.0
ATP1B1,0.29906052984134857,1.0,1.0,1.0,0.0
ATP2B1,0.3756532410109275,1.0,1.0,1.0,0.0
ATP5PO,0.5176628576101535,1.0,1.0,1.0,0.0
ATP6V0E2,0.41660630638545515,1.0,1.0,1.0,0.0
ATP6V1A,0.2568634155009427,1.0,1.0,1.0,0.0
ATP6V1B2,0.20896716438723043,1.0,1.0,1.0,0.0
BANK1,0.6517821768630162,1.0,0.0,0.0,0.0
BCAM,0.659030182592002,0.31711081439711775,0.0,1.0,0.0
BCAR3,0.6759127063809286,1.0,0.0,0.0,0.0
BCKDK,0.5440809187681472,1.0,0.0,1.0,0.0
BCL3,0.8622106251940654,1.0,1.0,1.0,0.0
BIN1,0.6984860800604475,1.0,0.0,0.0,0.0
BLNK,0.7095011011058537,0.642879322798175,0.0,1.0,0.0
BORCS5,0.514502535964183,1.0,0.0,0.0,0.0
C12orf42,0.5300916051832167,1.0,0.0,0.0,0.0
C1QTNF4,0.6064252035805248,1.0,1.0,0.0,0.0
C4A,0.8065541657971922,1.0,1.0,0.0,0.0
CABLES1,0.6924578105968772,0.935754205651,0.0,1.0,0.0
