gene,cluster_id
ABCA1,41
ABCA7,52
ABCA8,28
ABI3,52
ACE,4
ADAM10,-1
ADAM17,6
ADAMTS1,42
ADAMTS17,2
ADAMTS2,31
ADAMTS20,12
ADAMTS4,30
ADARB2,8
ADGRF2P,51
ADGRL2,16
AFF1,29
AFF3,15
AGAP1,3
AHCYL1,43
AHNAK,46
AK4,29
AKAP6,21
ALCAM,30
ALDH1A2,2
AMPH,33
ANAPC1,47
ANK3,22
ANKH,22
ANO1,24
ANTXR1,46
AP2A2,16
APH1B,37
APOC1,29
APOC4,12
APOE,52
APP,49
ARHGAP26,13
ARHGAP45,11
ARID4B,55
ARIH2,54
ARL17B,55
ARMH3,15
ASAH1,12
ASB3,31
ATL3,26
ATP1B1,39
ATP2B1,0
ATP5PO,48
ATP6V0E2,1
ATP6V1A,40
ATP6V1B2,40
BANK1,15
BCAM,14
BCAR3,15
BCKDK,36
BCL3,41
BIN1,32
BLNK,2
BORCS5,17
C12orf42,16
C1QTNF4,10
C4A,11
CABLES1,53
CACNA2D3,23
CADM2,24
CD2AP,43
CD33,52
CDCA7,7
CDH13,23
CDH7,47
CDK18,4
CDKAL1,32
CEACAM19,38
CELF1,53
CFAP46,14
CHID1,49
CHRM3,23
CHST12,53
CLASRP,25
CLNK,50
CLU,8
CNGB1,34
CNN2,41
CNTNAP2,39
COL6A3,27
COX6B1,49
COX7C,36
CPLX1,-1
CR1,8
CR1L,13
CS,20
CSMD1,16
CST4,54
CTNNA2,18
CTNND2,54
CTSH,29
CUL3,24
CYB561,48
CYCS,19
CYRIA,22
CYYR1,37
DACH2,33
DAGLA,34
DAXX,37
DBI,28
DCC,30
DCHS2,16
DDB1,48
DEDD,12
DGKI,24
DHRS11,21
DLAT,33
DLG2,22
DLGAP2,34
DNAJC6,21
DNM1,22
DOC2A,34
DOCK1,28
DOCK4,15
DPP6,47
DSG2,53
ECHDC3,28
EED,38
EFNA5,55
EGFLAM,37
EGFR,52
EGLN3,51
ELOVL3,-1
ENO3,17
ENOPH1,22
EPDR1,0
ERBB3,14
ETV1,1
EXOC3L2,2
EXOC4,3
FABP6,19
FAM135B,55
FANCD2,43
FANCD2OS,12
FAR2,18
FARP1,11
FARSA,20
FBP1,53
FBXL7,45
FBXO32,52
FBXO40,30
FBXW10,43
FCER1G,45
FERMT2,29
FGF2,51
FLNB,52
FOXF1,42
FOXO1,9
FOXP2,16
FRAT2,37
FRMD4B,51
FSTL5,0
FTH1P5,53
GABRA2,17
GABRG3,18
GALNT15,9
GAPDH,48
GATAD2A,15
GCDH,51
GEMIN7,47
GPC6,14
GPR141,12
GRIA2,39
GRIK2,22
GRK5,2
GRM8,19
GRN,53
GSN,9
H4C8,10
HABP4,20
HACL1,1
HBEGF,15
HCN1,4
HLA-DRA,27
HLA-DRB1,45
HOMER1,34
HPR,11
HS3ST1,36
HS3ST5,36
HSPA2,44
HSPB2,9
ICA1,20
ICE1,5
IDUA,43
IGFBP5,28
IGHG3,2
IL34,7
IMMP2L,10
INPP5D,11
IPO7,24
IQCK,29
IQGAP2,52
ISYNA1,9
ITGB2,42
ITPK1,38
JAZF1,19
KCNH1,20
KCNK4,21
KCNN2,20
KCNN3,42
KLF16,7
KLHL29,10
KRAS,22
LAIR1,45
LAMA4,46
LAPTM5,41
LILRA5,4
LILRB2,41
LIN9,31
LINC01553,13
LINC03122,47
LINGO1,1
LINGO2,17
LRFN2,21
LRP1B,55
LRRC4C,33
LTBP1,42
MACROD2,7
MAD1L1,14
MAF,8
