gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
ABCA1,41,True,True,True,True,4,True,0.27879275411294707,0.27879275411294707,up
ABCA7,52,True,True,True,True,4,True,0.09826660607929205,0.12238079780400492,up
ABI3,52,True,True,True,True,4,True,0.14065697038750538,0.12947396739446632,up
ADAM17,6,True,True,True,True,4,True,-0.020418738212340786,-0.020418738212340786,down
ADAMTS1,42,True,True,True,True,4,True,0.31851977128225095,0.31851977128225095,up
ANK3,22,True,True,True,True,4,True,-0.17171273864944805,-0.17171273864944805,down
ANKH,22,True,True,True,True,4,True,-0.1774216663235325,-0.1774216663235325,down
APH1B,37,True,True,True,True,4,True,0.13458969994634143,0.13458969994634143,up
APP,49,True,True,True,True,4,True,-0.13260939861027662,-0.13260939861027662,down
BCKDK,36,True,True,True,True,4,True,-0.06396476959253686,-0.08128497628481111,down
BIN1,32,True,True,True,True,4,True,0.04023332287640085,0.08429982331647014,up
BLNK,2,True,True,True,True,4,True,0.11376029676370059,0.09611238215285944,up
CD2AP,43,True,True,True,True,4,True,0.07088585005612208,0.05619401776117136,up
CLU,8,True,True,True,True,4,True,0.16396079568992838,0.2909613859979803,up
COX7C,36,True,True,True,True,4,True,-0.05332239377493225,-0.06184137341393195,down
CR1,8,True,True,True,True,4,True,0.07084690737037824,0.1326451124528903,up
CTSH,29,True,True,True,True,4,True,0.1802339953106209,0.1802339953106209,up
DOC2A,34,True,True,True,True,4,True,-0.1526516518586208,-0.15492971414231405,down
EED,38,True,True,True,True,4,True,0.11617206982749356,0.11617206982749356,up
EPDR1,0,True,True,True,True,4,True,-0.255775950485978,-0.255775950485978,down
FERMT2,29,True,True,True,True,4,True,0.1809441548416769,0.1809441548416769,up
FOXF1,42,True,True,True,True,4,True,0.29741096857580107,0.29741096857580107,up
GRN,53,True,True,True,True,4,True,0.09700624854727291,0.07106737952627663,up
HS3ST5,36,True,True,True,True,4,True,-0.08486069686419213,-0.07742255881178416,down
ICA1,20,True,True,True,True,4,True,-0.1610654360967429,-0.1610654360967429,down
