gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
ATP2B1,0,4,-0.2619075865351404,down
EPDR1,0,4,-0.255775950485978,down
FSTL5,0,4,-0.2664787492599932,down
MAP1B,0,4,-0.2653466209306249,down
NEGR1,0,4,-0.289581438791539,down
ROBO2,0,4,-0.25600349708209963,down
SCG3,0,4,-0.24886150550970698,down
TMEM132D,0,4,-0.2593195182127817,down
ATP6V0E2,1,4,-0.21798933233726414,down
ETV1,1,4,-0.23948321376098902,down
HACL1,1,4,-0.2394510146292775,down
LINGO1,1,4,-0.21295008971468987,down
MDH2,1,4,-0.22036996278367607,down
NRXN1,1,4,-0.2325554155315387,down
RELN,1,4,-0.23437374447675943,down
ALDH1A2,2,4,0.06817424636055999,up
BLNK,2,4,0.09611238215285944,up
GRK5,2,4,-0.053348311002720306,down
RHPN2,2,4,0.09210500738501903,up
SLC24A4,2,4,0.046679932655932024,up
SUMF1,2,4,0.20536507203997262,up
AGAP1,3,4,-0.038196994795938674,down
EXOC4,3,4,-0.043609686875830736,down
MAGI2,3,4,-0.04002104561342961,down
MTMR2,3,4,-0.03746404936136387,down
RAD23B,3,4,-0.04919463498209402,down
RAPGEF2,3,4,-0.010991498404337035,down
ROBO1,3,4,-0.03619902275390979,down
SDK1,3,4,-0.045950283064400445,down
ZNF689,3,4,-0.023347295026438453,down
CDK18,4,4,-0.12935008468548084,down
HCN1,4,4,-0.11183523688148671,down
LILRA5,4,4,-0.0788090924701083,down
MLLT3,4,4,-0.054699819677838435,down
SNX18,4,4,-0.08537183115449863,down
TKFC,4,4,-0.03970466057931151,down
TMEM163,4,4,-0.08775544188691597,down
VTI1A,4,4,-0.12824118105492766,down
WDR81,4,4,-0.08629731863854317,down
ICE1,5,4,-0.04889853625449772,down
MS4A3,5,4,-0.03840956318160432,down
OSBP2,5,4,0.023384416990706054,up
PIWIL1,5,4,-0.0797323962241027,down
POLR2G,5,4,-0.03770077417340398,down
SLC25A19,5,4,0.033664283092995156,up
TAFA5,5,4,-0.03446539997304131,down
WNT3,5,4,-0.04611698558734189,down
ADAM17,6,4,-0.020418738212340786,down
MS4A6E,6,4,-0.0757704663785837,down
NKPD1,6,4,0.03926859742961892,up
RASGEF1C,6,4,0.08359955293743891,up
TMEM132C,6,4,-0.16991769456966488,down
CDCA7,7,4,0.05375333132099317,up
MACROD2,7,4,-0.062008961970533516,down
NTRK2,7,4,0.034288170366645554,up
PTPRD,7,4,-0.06775651235773499,down
ADARB2,8,4,0.17754796374454468,up
CLU,8,4,0.2909613859979803,up
CR1,8,4,0.1326451124528903,up
MAF,8,4,0.1684834720712021,up
NGFR,8,4,0.19036369735844266,up
SLC12A4,8,4,0.15096181873268,up
SYK,8,4,0.2454849254652383,up
ZBTB16,8,4,0.21040292608252775,up
FOXO1,9,4,0.23723561557362605,up
GALNT15,9,4,0.2318766995827911,up
GSN,9,4,0.22843836800311354,up
HSPB2,9,4,0.24668793848724477,up
ISYNA1,9,4,0.2372795253507951,up
MSN,9,4,0.22600843554303954,up
SMARCC1,9,4,0.23285350034212848,up
TRIOBP,9,4,0.2346816649342829,up
C1QTNF4,10,4,-0.014426680742474662,down
H4C8,10,4,-0.008788891158133453,down
IMMP2L,10,4,0.013455071408355982,up
KLHL29,10,4,0.006131212840668153,up
MYO16,10,4,0.010698544934113338,up
RHOH,10,4,-0.003857473565786492,down
ARHGAP45,11,4,0.0787577397239559,up
C4A,11,4,0.20019253163168926,up
FARP1,11,4,0.06967216136918143,up
HPR,11,4,0.06420208746661316,up
INPP5D,11,4,0.05526270796578155,up
OARD1,11,4,0.027005329296676577,up
PILRA,11,4,0.030405287481535277,up
SEMA3F,11,4,0.0460975213015243,up
TRPS1,11,4,0.04024003776368009,up
TUSC1,11,4,0.09003198551372661,up
ZNF652,11,4,0.07521799455196436,up
ASAH1,12,4,0.028638507217429,up
DEDD,12,4,0.034455420682858465,up
GPR141,12,4,-0.029875438492229296,down
MMP12,12,4,0.029443003962592734,up
SHARPIN,12,4,0.029555500290375937,up
CR1L,13,4,0.0308199666943697,up
MGMT,13,4,-0.03814256027322065,down
PGM5,13,4,-0.028038298143663265,down
CFAP46,14,4,0.027919428523054034,up
ERBB3,14,4,0.08665728106457726,up
MAD1L1,14,4,0.017984351119296964,up
AFF3,15,4,0.03066482184425089,up
ARMH3,15,4,0.06357936452649984,up
BANK1,15,4,0.03421434439323445,up
BCAR3,15,4,0.06009203436845662,up
DOCK4,15,4,0.03118417443462542,up
GATAD2A,15,4,0.06642948625073908,up
HBEGF,15,4,0.061898659479491414,up
NLRC5,15,4,0.031929582632577364,up
RABEP2,15,4,0.05285296146911653,up
RAPSN,15,4,0.04340978036353367,up
SLC26A1,15,4,0.05560862465476636,up
TARDBP,15,4,0.05495976607230697,up
ZCWPW1,15,4,0.04534267567752344,up
ADGRL2,16,4,-0.09731494959339297,down
AP2A2,16,4,-0.09649534291743844,down
C12orf42,16,4,-0.09628718001383693,down
CSMD1,16,4,-0.07611620220951788,down
DCHS2,16,4,-0.08588279281513818,down
FOXP2,16,4,-0.080809574109443,down
PFDN1,16,4,-0.10114850084567585,down
YTHDC2,16,4,-0.09244775236319228,down
BORCS5,17,4,-0.11300496898539594,down
ENO3,17,4,-0.11073662707401347,down
GABRA2,17,4,-0.12430269647737566,down
LINGO2,17,4,-0.1236111617401541,down
RABEP1,17,4,-0.1287593020791309,down
SMARCA4,17,4,-0.10647760914996754,down
TMEM41B,17,4,-0.11498791996178781,down
CTNNA2,18,4,-0.14222486897831915,down
FAR2,18,4,-0.22816178795208797,down
GABRG3,18,4,-0.14201767848973668,down
NPY,18,4,-0.2574862894937978,down
OLFM3,18,4,-0.4183237465073246,down
PTPRN2,18,4,-0.22740248996675627,down
SYNGR4,18,4,-0.1461469225783087,down
CYCS,19,4,-0.1706805796261121,down
FABP6,19,4,-0.15700092839730448,down
GRM8,19,4,-0.16576991966068944,down
JAZF1,19,4,-0.1647552333425378,down
PDS5B,19,4,-0.15841543026618043,down
CS,20,4,-0.14306115074104442,down
FARSA,20,4,-0.14882544714398088,down
HABP4,20,4,-0.1598279819925272,down
ICA1,20,4,-0.1610654360967429,down
KCNH1,20,4,-0.15219539152555556,down
KCNN2,20,4,-0.14922483899011377,down
NDUFS3,20,4,-0.14391738881773866,down
PDHA1,20,4,-0.13755629926422422,down
PDHB,20,4,-0.15826551239479134,down
SMARCA2,20,4,-0.16110568892118535,down
SPATS2,20,4,-0.1516451414255745,down
SPCS1,20,4,-0.14437680881103004,down
TOMM40,20,4,-0.14451868017654837,down
AKAP6,21,4,-0.19490921055192836,down
DHRS11,21,4,-0.1962400442379476,down
DNAJC6,21,4,-0.19725417527728042,down
KCNK4,21,4,-0.19826705589128948,down
LRFN2,21,4,-0.1898765856378051,down
ANK3,22,4,-0.17171273864944805,down
ANKH,22,4,-0.1774216663235325,down
CYRIA,22,4,-0.17956761363433246,down
DLG2,22,4,-0.17185919128757396,down
DNM1,22,4,-0.1747490454838542,down
ENOPH1,22,4,-0.16682687438921562,down
GRIK2,22,4,-0.1855769677278326,down
KRAS,22,4,-0.18186100679026707,down
PSMC3,22,4,-0.1735911057033754,down
RUFY3,22,4,-0.184804283263282,down
STMN4,22,4,-0.17184595259559418,down
CACNA2D3,23,4,-0.22656364125043282,down
CDH13,23,4,-0.3149643036396639,down
CHRM3,23,4,-0.2569333084513322,down
MEF2C,23,4,-0.23534085373687189,down
RIMBP2,23,4,-0.26318335519418834,down
SERPINI1,23,4,-0.343908875684209,down
SYN2,23,4,-0.2505788428477205,down
ANO1,24,4,-0.1102637903943649,down
CADM2,24,4,-0.1181120179844384,down
CUL3,24,4,-0.12314522431420181,down
DGKI,24,4,-0.13410328916781328,down
IPO7,24,4,-0.12704386293801,down
PLEKHA1,24,4,-0.12472296911406426,down
PSEN2,24,4,-0.11114122902063557,down
STXBP6,24,4,-0.12705790571534453,down
CLASRP,25,4,0.12367542939333036,up
MIR646HG,25,4,0.1694806145991942,up
PRPF31,25,4,0.08107885444318481,up
SPTB,25,4,0.12417516449456499,up
SULT1A3,25,4,0.1432879445431748,up
ATL3,26,4,0.15844991113662812,up
MAF1,26,4,0.15062137973587,up
PLEKHG1,26,4,0.1520080879668433,up
RBMS3,26,4,0.15355454005721614,up
SPPL2A,26,4,0.1522652525966592,up
COL6A3,27,4,0.36549775804014767,up
HLA-DRA,27,4,0.40764472702518556,up
NUPR1,27,4,0.37598076742965064,up
PLXNB1,27,4,0.38671400284156504,up
SLC52A3,27,4,0.36891066546866913,up
ABCA8,28,4,0.19732718121877904,up
DBI,28,4,0.21250038067354804,up
DOCK1,28,4,0.21180015993553894,up
ECHDC3,28,4,0.21746570801580267,up
IGFBP5,28,4,0.21979206949560767,up
NOTCH1,28,4,0.21403013084216718,up
PLCG2,28,4,0.1998300716578414,up
PRKD3,28,4,0.2190363641022235,up
SEPTIN10,28,4,0.20522727875420013,up
AFF1,29,4,0.19004901281740372,up
AK4,29,4,0.17255558362595447,up
APOC1,29,4,0.17847173564707083,up
CTSH,29,4,0.1802339953106209,up
FERMT2,29,4,0.1809441548416769,up
IQCK,29,4,0.17035721873474466,up
PTPN6,29,4,0.18871374304765723,up
SNX29,29,4,0.1690360517013442,up
ADAMTS2,31,4,0.09810996833278465,up
ASB3,31,4,0.10017320109781767,up
