gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
A1BG,2,2,0.5506689351411502,0.5506689351411502,True
A1CF,2,2,-0.10900450485464175,-0.10900450485464175,False
A2M,3,2,-0.6571454408851208,-0.7414001744509848,True
AADAC,2,2,-1.6871315438559216,-1.6871315438559216,True
AAGAB,3,2,0.36426402578130634,0.6370944639092881,True
AAMDC,3,3,-0.8834398020140778,-0.8834398020140778,True
ABAT,3,3,0.5549125233401941,0.5549125233401941,False
ABCA1,3,3,-1.0828161531540401,-1.0828161531540401,True
ABCA3,3,2,0.5525280321354774,0.6073231264934562,True
ABCA5,3,3,-1.1560355215277092,-1.1560355215277092,True
ABCA6,3,3,-2.1026807641758625,-2.1026807641758625,True
ABCA8,3,3,-4.020674155051119,-4.020674155051119,True
ABCA9,2,2,-2.353531690015876,-2.353531690015876,True
ABCB6,3,2,-0.2790149081685381,-0.4032150748981689,True
ABCC5,3,2,0.8280139775434332,1.201553025907744,True
ABCD2,2,2,-1.2329795669415988,-1.2329795669415988,True
ABCD3,3,3,0.4687242228053812,0.4687242228053812,True
ABCE1,3,2,0.20841325636472163,0.28369287156348477,True
ABCF3,3,2,0.046452259091028715,0.17194138812084692,True
ABHD11,3,2,0.8097943604392585,1.0569153679750753,True
ABHD12,2,2,0.7170692307482827,0.7170692307482827,True
ABHD14A,3,3,-0.7378849460326146,-0.7378849460326146,True
ABHD14B,2,2,-1.0425613769060345,-1.0425613769060345,True
ABHD15,2,2,-1.4223309956359782,-1.4223309956359782,True
ABHD16A,2,2,0.6135004387514744,0.6135004387514744,True
ABHD17C,2,2,1.1401795453095653,1.1401795453095653,True
ABHD2,3,2,0.4932452617908047,0.7876350727464692,True
ABHD4,3,2,-0.2834629977644454,-0.42116085768349887,True
ABHD5,3,3,-1.0586116037582916,-1.0586116037582916,True
ABHD6,3,2,-0.9621430186042277,-1.3159791922612336,True
ABI3BP,3,2,-1.4678430225954848,-2.2022818997993223,True
ABITRAM,3,2,-0.08209876432031245,-0.06606909202741873,False
ABL2,3,2,0.18157097742125336,0.3615242421306757,True
ABLIM1,3,3,-1.0813347116123193,-1.0813347116123193,True
ABLIM3,3,3,-1.2338792552933684,-1.2338792552933684,True
ABRACL,2,2,1.433605493532792,1.433605493532792,True
ABRAXAS1,2,2,-0.5691519748415717,-0.5691519748415717,True
ACAA2,3,3,-1.8455752000583578,-1.8455752000583578,True
ACACB,3,3,-3.36152700525637,-3.36152700525637,True
ACAD9,2,2,-0.4586163860788939,-0.4586163860788939,True
ACADL,3,3,-2.6482148403390524,-2.6482148403390524,True
ACADM,3,2,-0.9165192855018187,-1.2964109187792392,True
ACADS,3,3,-0.9327416943171105,-0.9327416943171105,True
ACADVL,3,3,-0.6657362045618443,-0.6657362045618443,True
ACAP2,3,2,-0.30923384743768817,-0.4042185699969316,True
ACAT1,3,3,-1.5045615220499304,-1.5045615220499304,True
ACBD3,3,2,0.4045292941484604,0.5335336823346513,True
ACBD6,2,2,0.484524192952426,0.484524192952426,True
ACER3,2,2,-1.041863331960951,-1.041863331960951,True
ACKR1,3,2,-1.5154383182516495,-2.099584671360448,True
ACKR3,3,3,-1.7279799843879073,-1.7279799843879073,True
ACKR4,2,2,-1.5535302169124456,-1.5535302169124456,True
ACLY,3,2,0.3095005529470291,0.4330427801162866,True
ACO1,3,3,-1.9797102025746993,-1.9797102025746993,True
ACO2,3,3,-0.7923265863818809,-0.7923265863818809,True
ACOT1,3,3,-1.9295425167890305,-1.9295425167890305,True
ACOT7,3,2,0.6834199071625416,0.8999001004641438,True
ACOT8,3,2,0.3470692662755151,0.5248819949538936,True
ACOT9,3,2,-0.31833526656194283,-0.48999959082739286,True
ACOX1,3,3,-0.7619867014595144,-0.7619867014595144,True
ACP5,3,3,0.69701904206857,0.69701904206857,True
ACSF2,3,2,-0.48277458561915115,-0.5536712313899046,True
ACSL1,3,3,-2.576716976886822,-2.576716976886822,True
ACSL5,3,2,-0.6630907192933094,-0.8998129633666951,True
ACSM5,3,3,-2.0223043612255185,-2.0223043612255185,True
ACSS2,2,2,-1.9489457486288422,-1.9489457486288422,True
ACSS3,3,3,-1.5753715974795188,-1.5753715974795188,True
ACTG1,3,2,0.3718242002528053,0.4466842629602876,True
ACTL6A,3,2,0.6550967245381726,0.8924074187800377,True
ACTR3,3,3,0.5622843062413049,0.5622843062413049,True
ACTR5,3,2,0.4223344760221286,0.5564451764644418,True
ACTR8,3,2,-0.13972576016221852,-0.11343490076395746,False
ACVR1C,2,2,-4.612349440078212,-4.612349440078212,True
ACVR2A,3,2,-0.41789793307713613,-0.601490615860869,True
ACVRL1,3,2,-0.7364396336022322,-0.8987644019998418,True
ACYP1,3,2,0.5313005919425006,0.5602134869360564,True
ADAM10,3,3,0.3353800885288318,0.3353800885288318,True
ADAM12,3,2,0.6586827513422501,0.9823598668214064,True
ADAM15,3,2,0.2271038091219113,0.3663194524489777,True
ADAM17,3,2,0.39044619988181556,0.5491664316233669,True
ADAM28,3,2,0.5569484059494832,0.7537090456980102,True
ADAM8,3,2,0.7717333292152367,1.0961820815686634,True
ADAMTS1,3,3,-1.8650016653915304,-1.8650016653915304,True
ADAMTS5,3,3,-2.3144875207492044,-2.3144875207492044,True
ADAMTS9,3,2,-0.9786855589980833,-1.4175680351146838,True
ADAP1,3,3,0.11687963392995233,0.11687963392995233,False
ADAR,3,3,0.8057764313401403,0.8057764313401403,True
