gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
A1BG,0.6147058843394587,0.948445181362722,0.0,1.0,0.0
A1CF,0.5463708329345348,0.11254828568207696,0.0,0.0,0.0
A2M,0.48086146425297455,0.6454821749378583,0.0,1.0,0.0
AADAC,0.38289389753701325,0.37275002773452903,0.0,1.0,0.0
AAGAB,0.6236586367060025,0.6910551044355489,0.0,0.33333333333333326,0.0
AAMDC,0.46614769125171185,0.6713677906858476,1.0,1.0,0.0
ABAT,0.6151454742943382,0.30048437723029503,1.0,0.33333333333333326,0.0
ABCA1,0.44549445227310086,0.8756385647276725,1.0,1.0,0.0
ABCA3,0.6205746473419359,0.2547373257842887,0.0,1.0,0.0
ABCA5,0.4379097156469261,1.0,1.0,1.0,0.0
ABCA6,0.3398474815224161,1.0,1.0,1.0,0.0
ABCA8,0.14116405876614888,1.0,1.0,1.0,0.0
ABCA9,0.31386203194548695,1.0,0.0,1.0,0.0
ABCB6,0.5158937920096726,0.18943268152688328,0.0,1.0,0.0
ABCC5,0.6821304539893541,0.7393268398687405,0.0,1.0,0.0
ABCD2,0.42993914266358074,0.2962396402824262,0.0,1.0,0.0
ABCD3,0.606217296213397,0.116112427909275,1.0,1.0,0.0
ABCE1,0.5870500444611996,0.08168281542638063,0.0,1.0,0.0
ABCF3,0.5754737964229613,0.4854166174951684,0.0,0.33333333333333326,0.0
ABHD11,0.6671475530710151,0.5944219770915954,0.0,1.0,0.0
ABHD12,0.6319431597316292,0.6682517290197638,0.0,1.0,0.0
ABHD14A,0.4812256039925871,0.2634261229001963,1.0,1.0,0.0
ABHD14B,0.4496644127981429,0.4742208525651875,0.0,1.0,0.0
ABHD15,0.41032437749506234,0.5272543385039774,0.0,1.0,0.0
ABHD16A,0.6212145502470744,0.31623205205882365,0.0,1.0,0.0
ABHD17C,0.6757728235357127,0.7976144066671944,0.0,1.0,0.0
ABHD2,0.6392530196532422,0.42228978765879205,0.0,0.33333333333333326,0.0
ABHD4,0.5140348025236854,0.271076836976399,0.0,1.0,0.0
ABHD5,0.4480017824563534,0.5379138540433158,1.0,1.0,0.0
ABHD6,0.42134127693346607,0.5189161446697877,0.0,1.0,0.0
ABI3BP,0.3295298784325277,0.6977907400537471,0.0,0.33333333333333326,0.0
ABITRAM,0.5508184784887633,0.2527644043618917,0.0,0.33333333333333326,0.0
ABL2,0.5951125347573961,0.021579996187266116,0.0,0.33333333333333326,0.0
ABLIM1,0.445647913634085,1.0,1.0,1.0,0.0
ABLIM3,0.4298459446567503,0.9840647013074796,1.0,1.0,0.0
ABRACL,0.7061685861049934,0.6612231390021976,0.0,1.0,0.0
ABRAXAS1,0.49870451940885585,0.28250044213283,0.0,1.0,0.0
ACAA2,0.36648084414585863,0.9256573744465553,1.0,1.0,0.0
ACACB,0.20944459218419978,1.0,1.0,1.0,0.0
ACAD9,0.5101548138760991,0.3590566165316114,0.0,1.0,0.0
ACADL,0.2833360368021511,1.0,1.0,1.0,0.0
ACADM,0.42336833895116116,0.5882381155966591,0.0,1.0,0.0
ACADS,0.46104054710943854,0.8964852518066906,1.0,1.0,0.0
ACADVL,0.4886994352222287,0.802854777063051,1.0,1.0,0.0
ACAP2,0.5157898407437871,0.06387277596726952,0.0,1.0,0.0
ACAT1,0.4018061821140459,1.0,1.0,1.0,0.0
ACBD3,0.6129308570147631,0.8625934589768895,0.0,1.0,0.0
ACBD6,0.6078540026604559,0.29169014060489806,0.0,1.0,0.0
ACER3,0.44973672272349857,0.8697717103742152,0.0,1.0,0.0
ACKR1,0.3401682033354652,0.8622938592487283,0.0,1.0,0.0
ACKR3,0.37866243979698044,0.9175090411461596,1.0,1.0,0.0
ACKR4,0.3967335536318633,0.5292417435160747,0.0,1.0,0.0
ACLY,0.6025210837050131,0.12205461919337612,0.0,1.0,0.0
ACO1,0.3525859050192928,1.0,1.0,1.0,0.0
ACO2,0.47558603740361055,0.19536940488976517,1.0,1.0,0.0
ACOT1,0.3577827360256337,0.5945015100158052,1.0,1.0,0.0
ACOT7,0.6508824653379304,0.7490072744683348,0.0,1.0,0.0
ACOT8,0.612034635542049,0.47483936187346165,0.0,0.33333333333333326,0.0
ACOT9,0.5069038524462232,0.16410395561483854,0.0,0.33333333333333326,0.0
ACOX1,0.4787289221555002,0.4647351307687727,1.0,1.0,0.0
ACP5,0.6298661764986596,0.2613208221561184,1.0,1.0,0.0
ACSF2,0.500308157414295,0.17077370255668137,0.0,1.0,0.0
ACSL1,0.29074244409115996,1.0,1.0,1.0,0.0
ACSL5,0.4644516083797088,0.35654608817361333,0.0,1.0,0.0
ACSM5,0.3481736097160716,1.0,1.0,1.0,0.0
ACSS2,0.35577277054149414,1.0,0.0,1.0,0.0
ACSS3,0.39447102224388597,0.720536517984399,1.0,1.0,0.0
ACTG1,0.603934194154617,0.5205769757626841,0.0,1.0,0.0
ACTL6A,0.6501063043512952,0.56492804064897,0.0,1.0,0.0
ACTR3,0.6159091114713884,0.6086392486596371,1.0,1.0,0.0
ACTR5,0.615304240622769,0.6961388109296552,0.0,1.0,0.0
ACTR8,0.545911891716272,0.19936725463640748,0.0,0.33333333333333326,0.0
ACVR1C,0.07987288260843159,1.0,0.0,1.0,0.0
ACVR2A,0.4953545850891822,0.5066399395509131,0.0,1.0,0.0
ACVRL1,0.46456022802476454,0.9987140989055574,0.0,1.0,0.0
ACYP1,0.6156945969326866,0.43948025392378764,0.0,1.0,0.0
ADAM10,0.5924042825040817,0.10153754596953157,1.0,1.0,0.0
ADAM12,0.6594244075038868,0.2658024511954968,0.0,1.0,0.0
ADAM15,0.5956092668125789,0.47960727666940584,0.0,0.33333333333333326,0.0
ADAM17,0.6145502411849845,0.08858797392066294,0.0,1.0,0.0
ADAM28,0.6357386492666823,0.307961419924584,0.0,1.0,0.0
ADAM8,0.671215160964911,0.6476044775379348,0.0,1.0,0.0
ADAMTS1,0.3644684719224645,0.9756705268735621,1.0,1.0,0.0
ADAMTS5,0.31790658664806454,1.0,1.0,1.0,0.0
ADAMTS9,0.4108177688192065,0.695417272738829,0.0,1.0,0.0
ADAP1,0.5697699927301765,0.1239921948337833,1.0,0.33333333333333326,0.0
ADAR,0.6411322686829767,1.0,1.0,1.0,0.0
ADAT3,0.6171084537766393,0.3065423156102604,0.0,1.0,0.0
ADCK2,0.6246645085238991,0.7428242181419278,0.0,1.0,0.0
ADCY1,0.5927850543070827,0.29126939724440154,0.0,0.0,0.0
ADCY3,0.5109850991581999,0.2526863132275686,0.0,1.0,0.0
ADCY4,0.4624829347629342,1.0,0.0,1.0,0.0
ADCY6,0.4795267659131913,0.8396683186706733,1.0,1.0,0.0
ADD1,0.5043091210852619,0.6294484765708347,1.0,1.0,0.0
ADD3,0.442034622726851,0.7775840163814643,1.0,1.0,0.0
ADGRA2,0.4027147722961225,1.0,0.0,1.0,0.0
ADGRA3,0.4798035542076543,0.775065556856771,0.0,1.0,0.0
ADGRE5,0.49169136119628193,0.15577555206409754,0.0,0.33333333333333326,0.0
ADGRF5,0.3922648986120225,1.0,1.0,1.0,0.0
ADGRG2,0.4894019812476853,0.07085098651321814,0.0,1.0,0.0
ADGRL2,0.4103660074844312,0.45085887505035094,0.0,1.0,0.0
ADGRL4,0.40914215635976786,1.0,1.0,1.0,0.0
ADH1A,0.47556069242636984,0.3100249741592281,0.0,1.0,0.0
ADH1B,0.10493294764725826,1.0,1.0,1.0,0.0
ADH1C,0.26262768296700345,1.0,1.0,1.0,0.0
ADH5,0.464729689132264,1.0,1.0,1.0,0.0
ADHFE1,0.35806440655123306,1.0,0.0,1.0,0.0
ADI1,0.4688669291387484,0.33644722414426653,0.0,1.0,0.0
ADIPOQ,0.1313608128621692,1.0,1.0,1.0,0.0
ADIPOR2,0.4829237847951758,0.3558253503320365,1.0,1.0,0.0
ADIRF,0.2618217042048614,1.0,1.0,1.0,0.0
ADISSP,0.521023181618686,0.11412759104313967,0.0,0.33333333333333326,0.0
ADK,0.45460565720482643,0.4480842712109283,0.0,1.0,0.0
ADM,0.33241487969085964,0.9468861786512089,1.0,1.0,0.0
ADM2,0.5457654152936394,0.1345515031248839,0.0,0.33333333333333326,0.0
ADM5,0.5538788366141055,0.18379871496184025,0.0,0.0,0.0
ADNP,0.6314053479550188,0.6976436303672728,1.0,1.0,0.0
ADPGK,0.604244624790297,0.3483289943051245,0.0,0.33333333333333326,0.0
ADPRH,0.5222301992314882,0.03955704193026035,0.0,1.0,0.0
ADPRS,0.6246471870607724,0.46964717923171967,0.0,1.0,0.0
ADRA2A,0.3525480701236052,0.8101480846425789,1.0,1.0,0.0
ADRB1,0.1619801252463217,1.0,0.0,1.0,0.0
ADRB2,0.31636288334022555,1.0,0.0,1.0,0.0
ADRM1,0.5435222600883344,0.10647031190519854,0.0,0.33333333333333326,0.0
ADSS1,0.41920746894415406,0.3557705168155165,0.0,1.0,0.0
ADSS2,0.6405803664361404,0.8904615129765104,1.0,1.0,0.0
AEN,0.6056682608551545,0.3598887538034816,0.0,1.0,0.0
AFAP1L1,0.31083311766328586,1.0,0.0,1.0,0.0
AFDN,0.5895951941379644,0.13321495621631882,0.0,0.33333333333333326,0.0
AFF1,0.506220535413057,0.7925526690691832,1.0,1.0,0.0
AFG3L2,0.580148707842822,0.04186809103416929,0.0,1.0,0.0
AFTPH,0.6383916478191731,0.8378581852056008,0.0,1.0,0.0
AGA,0.59436735729899,0.1498525017707881,0.0,0.33333333333333326,0.0
AGAP3,0.5757835829304201,0.22463225264178283,0.0,0.0,0.0
AGFG1,0.5038875683398608,0.1647947127706821,0.0,1.0,0.0
AGO2,0.5521971148101429,0.1866972224638832,0.0,0.33333333333333326,0.0
AGO3,0.5618332990926208,0.04311629659657266,1.0,0.33333333333333326,0.0
AGPAT2,0.36172285707677987,0.8710899794834063,1.0,1.0,0.0
AGPAT5,0.6652873567744703,0.6602520641200368,0.0,1.0,0.0
AGPS,0.43270175408948697,0.6230203734770033,0.0,1.0,0.0
AGR2,0.8670013955754343,0.6204065387792538,1.0,1.0,0.0
AGR3,0.8226510458069122,0.32741030776178404,0.0,1.0,0.0
AGRN,0.6954279250415988,1.0,0.0,1.0,0.0
AGTPBP1,0.4699431135460686,0.4468407948911543,0.0,1.0,0.0
AGTR1,0.3563764313490571,0.40073809873640304,1.0,1.0,0.0
AGTRAP,0.6357678912477813,0.6274662413006923,0.0,1.0,0.0
AHCY,0.6531935593422344,0.7736394406367034,1.0,1.0,0.0
AHI1,0.5667501393390482,0.07789252820858747,0.0,0.33333333333333326,0.0
