gene,cluster_id
A1BG,60
A1CF,88
A2M,173
AADAC,20
AAGAB,6
AAMDC,267
ABAT,195
ABCA1,378
ABCA3,358
ABCA5,277
ABCA6,153
ABCA8,177
ABCA9,337
ABCB6,301
ABCC5,193
ABCD2,304
ABCD3,197
ABCE1,217
ABCF3,427
ABHD11,62
ABHD12,124
ABHD14A,156
ABHD14B,181
ABHD15,65
ABHD16A,96
ABHD17C,208
ABHD2,384
ABHD4,41
ABHD5,355
ABHD6,65
ABI3BP,24
ABITRAM,100
ABL2,43
ABLIM1,247
ABLIM3,276
ABRACL,63
ABRAXAS1,70
ACAA2,212
ACACB,133
ACAD9,22
ACADL,216
ACADM,135
ACADS,357
ACADVL,399
ACAP2,103
ACAT1,2
ACBD3,120
ACBD6,201
ACER3,459
ACKR1,362
ACKR3,212
ACKR4,65
ACLY,198
ACO1,30
ACO2,11
ACOT1,356
ACOT7,265
ACOT8,427
ACOT9,256
ACOX1,241
ACP5,-1
ACSF2,301
ACSL1,216
ACSL5,21
ACSM5,46
ACSS2,323
ACSS3,210
ACTG1,288
ACTL6A,-1
ACTR3,429
ACTR5,236
ACTR8,164
ACVR1C,363
ACVR2A,95
ACVRL1,403
ACYP1,450
ADAM10,197
ADAM12,246
ADAM15,427
ADAM17,218
ADAM28,183
ADAM8,94
ADAMTS1,9
ADAMTS5,214
ADAMTS9,174
ADAP1,258
ADAR,327
ADAT3,96
ADCK2,266
ADCY1,36
ADCY3,41
ADCY4,403
ADCY6,421
ADD1,269
ADD3,397
ADGRA2,348
ADGRA3,445
ADGRE5,256
ADGRF5,73
ADGRG2,26
ADGRL2,220
ADGRL4,411
ADH1A,248
ADH1B,178
ADH1C,370
ADH5,432
ADHFE1,323
ADI1,461
ADIPOQ,177
ADIPOR2,244
ADIRF,370
ADISSP,452
ADK,453
ADM,212
ADM2,455
ADM5,92
ADNP,456
ADPGK,309
ADPRH,44
ADPRS,260
ADRA2A,379
ADRB1,339
ADRB2,300
ADRM1,464
ADSS1,20
ADSS2,389
AEN,203
AFAP1L1,337
AFDN,223
AFF1,399
AFG3L2,-1
AFTPH,170
AGA,224
AGAP3,61
AGFG1,301
AGO2,466
AGO3,259
AGPAT2,297
AGPAT5,94
AGPS,173
AGR2,414
AGR3,431
AGRN,479
AGTPBP1,254
AGTR1,336
AGTRAP,251
AHCY,457
AHI1,413
AHNAK,403
AHSA1,438
AIDA,22
AIFM2,417
AIG1,160
AIMP2,203
AK2,392
AK3,238
AK5,439
AK6,196
AKAP1,70
AKAP11,157
AKAP12,370
AKAP19,348
AKAP7,269
AKAP9,368
AKIRIN2,69
AKR1B1,445
AKR1C1,134
AKR1C3,133
AKT1,371
AKT2,395
AKT3,238
ALAD,278
ALCAM,414
ALDH18A1,60
ALDH1A1,216
ALDH1L1,360
ALDH2,176
ALDH3A2,129
ALDH3B2,285
ALDH4A1,244
ALDH5A1,461
ALDH6A1,395
ALDH9A1,38
ALDOA,384
ALDOC,297
ALG2,388
ALG3,309
ALG8,455
ALG9,38
ALKBH6,289
ALMS1,218
ALPK3,419
ALS2,312
ALYREF,288
AMFR,43
AMIGO3,331
AMMECR1,62
AMOTL1,37
AMOTL2,350
ANAPC15,393
ANAPC16,22
ANAPC7,438
ANG,397
ANGPT1,215
ANGPTL1,361
ANGPTL2,9
ANGPTL4,46
ANGPTL8,20
ANK2,153
ANK3,261
ANKMY2,99
ANKRD10,471
ANKRD11,187
ANKRD12,219
ANKRD29,324
ANKRD30A,333
ANKRD35,323
ANKRD36,184
ANKRD36B,333
ANKRD40,329
ANKRD46,395
ANKRD50,185
ANKRD54,387
ANKS6,67
ANLN,188
ANO3,65
ANO6,344
ANOS1,189
ANP32B,41
ANTKMT,62
ANTXR2,326
ANXA1,10
ANXA11,38
ANXA2,252
ANXA3,65
ANXA5,374
ANXA8L1,106
ANXA9,107
AOC3,133
AOX1,400
AP1AR,288
AP1G2,261
AP1M2,226
AP1S1,141
AP1S2,4
AP2B1,143
AP3B1,105
AP3M2,98
AP4B1,91
AP4M1,195
AP5M1,164
APBB1IP,175
APBB2,11
APC,312
APCDD1,417
APEX2,143
APH1A,456
APIP,374
APLNR,132
APOC1,185
APOD,270
