gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
A1BG,60,True,True,True,True,4,True,0.5506689351411502,0.5506689351411502,up
A2M,173,True,True,True,True,4,True,-0.6571454408851208,-0.7414001744509848,down
AADAC,20,True,True,True,True,4,True,-1.6871315438559216,-1.6871315438559216,down
AAGAB,6,True,True,True,True,4,True,0.36426402578130634,0.6370944639092881,up
AAMDC,267,True,True,True,True,4,True,-0.8834398020140778,-0.8834398020140778,down
ABAT,195,True,True,True,True,4,True,0.5549125233401941,0.5549125233401941,up
ABCA1,378,True,True,True,True,4,True,-1.0828161531540401,-1.0828161531540401,down
ABCA5,277,True,True,True,True,4,True,-1.1560355215277092,-1.1560355215277092,down
ABCA6,153,True,True,True,True,4,True,-2.1026807641758625,-2.1026807641758625,down
ABCA8,177,True,True,True,True,4,True,-4.020674155051119,-4.020674155051119,down
ABCA9,337,True,True,True,True,4,True,-2.353531690015876,-2.353531690015876,down
ABCC5,193,True,True,True,True,4,True,0.8280139775434332,1.201553025907744,up
ABCD2,304,True,True,True,True,4,True,-1.2329795669415988,-1.2329795669415988,down
ABCD3,197,True,True,True,True,4,True,0.4687242228053812,0.4687242228053812,up
ABHD11,62,True,True,True,True,4,True,0.8097943604392585,1.0569153679750753,up
ABHD12,124,True,True,True,True,4,True,0.7170692307482827,0.7170692307482827,up
ABHD14A,156,True,True,True,True,4,True,-0.7378849460326146,-0.7378849460326146,down
ABHD14B,181,True,True,True,True,4,True,-1.0425613769060345,-1.0425613769060345,down
ABHD15,65,True,True,True,True,4,True,-1.4223309956359782,-1.4223309956359782,down
ABHD16A,96,True,True,True,True,4,True,0.6135004387514744,0.6135004387514744,up
ABHD17C,208,True,True,True,True,4,True,1.1401795453095653,1.1401795453095653,up
ABHD2,384,True,True,True,True,4,True,0.4932452617908047,0.7876350727464692,up
ABHD4,41,True,True,True,True,4,True,-0.2834629977644454,-0.42116085768349887,down
ABHD5,355,True,True,True,True,4,True,-1.0586116037582916,-1.0586116037582916,down
ABHD6,65,True,True,True,True,4,True,-0.9621430186042277,-1.3159791922612336,down
ABI3BP,24,True,True,True,True,4,True,-1.4678430225954848,-2.2022818997993223,down
ABITRAM,100,True,True,True,True,4,True,-0.08209876432031245,-0.06606909202741873,down
ABLIM1,247,True,True,True,True,4,True,-1.0813347116123193,-1.0813347116123193,down
ABLIM3,276,True,True,True,True,4,True,-1.2338792552933684,-1.2338792552933684,down
ABRACL,63,True,True,True,True,4,True,1.433605493532792,1.433605493532792,up
ACAA2,212,True,True,True,True,4,True,-1.8455752000583578,-1.8455752000583578,down
ACACB,133,True,True,True,True,4,True,-3.36152700525637,-3.36152700525637,down
ACAD9,22,True,True,True,True,4,True,-0.4586163860788939,-0.4586163860788939,down
ACADL,216,True,True,True,True,4,True,-2.6482148403390524,-2.6482148403390524,down
ACADM,135,True,True,True,True,4,True,-0.9165192855018187,-1.2964109187792392,down
ACADS,357,True,True,True,True,4,True,-0.9327416943171105,-0.9327416943171105,down
ACADVL,399,True,True,True,True,4,True,-0.6657362045618443,-0.6657362045618443,down
ACAT1,2,True,True,True,True,4,True,-1.5045615220499304,-1.5045615220499304,down
