gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
ARHGAP35,0,4,0.2660097459198152,up
GLE1,0,4,0.37757937640353223,up
INO80D,0,4,0.34160035802529043,up
ZBTB40,0,4,0.2650252257888277,up
ZNF408,0,4,0.30763501414132444,up
ARFGEF1,1,4,0.46064118077330046,up
CENPX,1,4,0.6467507460239919,up
DCAF11,1,4,0.45723963810838875,up
DCAF7,1,4,0.37210137734063525,up
EGLN3,1,4,0.7756243803451044,up
FLT1,1,4,-0.4184068638888914,down
GRHL2,1,4,1.3775878118537372,up
HS6ST1,1,4,0.39548246784931607,up
INPP5J,1,4,0.40294897009652964,up
KIF2C,1,4,1.3339623292935443,up
LIG3,1,4,0.40587185039843493,up
MDM2,1,4,0.4821194799274163,up
MID1,1,4,-0.206229787453189,down
OVOL1,1,4,0.796927367638781,up
PACC1,1,4,0.30001773295791007,up
PTPN1,1,4,0.3503021548264587,up
SHB,1,4,0.8599973947980585,up
STXBP2,1,4,0.5762664907502243,up
TELO2,1,4,0.43353547440302176,up
TRAF2,1,4,0.13816857670476987,up
ACAT1,2,4,-1.5045615220499304,down
ARHGEF6,2,4,-1.4775969619360911,down
CLDN5,2,4,-1.4713572445696501,down
CRYBG3,2,4,-1.4856999106743398,down
CYP26B1,2,4,-1.483541823715947,down
DIPK1A,2,4,-1.4651569495512708,down
HOXA5,2,4,-1.493486393068837,down
LDHB,2,4,-1.475414770649424,down
SOBP,2,4,-1.4860774865925706,down
ARHGEF40,3,4,-1.8722072106072554,down
HSDL2,3,4,-1.8745222931083731,down
LHFPL6,3,4,-1.8721901529086293,down
PLSCR4,3,4,-1.875254062722074,down
SLC7A10,3,4,-1.9358042632725707,down
AP1S2,4,4,0.23872184259495702,up
ATP2A3,4,4,0.5567387298077769,up
IQCK,4,4,0.3733978647320291,up
MYO15B,4,4,-0.26899842075653285,down
PIGC,4,4,0.37346933552911327,up
SEMA4A,4,4,0.2182830396156857,up
TGIF2,4,4,0.4256628472485984,up
TRIM14,4,4,0.7878113395626523,up
TTC39A,4,4,1.300244116191099,up
UBE2L3,4,4,-0.34052963917719836,down
ZDHHC24,4,4,0.2950617392121793,up
ATP9A,5,4,-0.8843005567923772,down
CWC22,5,4,-0.5336489547756891,down
EVI5,5,4,-0.8972313487053722,down
KIF26A,5,4,-0.6912468535329839,down
MBNL1,5,4,-0.9413753429708551,down
RXRA,5,4,-0.5694131855804425,down
TMEM88,5,4,-0.8833698143143693,down
AAGAB,6,4,0.6370944639092881,up
FAAP100,6,4,0.6685682452973425,up
NSUN5,6,4,0.6071316463047918,up
PARN,6,4,0.6623072313072749,up
SEC14L2,6,4,0.7998019076634006,up
STYXL1,6,4,0.6079402465862955,up
WRNIP1,6,4,0.6992256042965201,up
BIN1,8,4,-1.7620737435050176,down
C2CD2,8,4,-1.7480011483619302,down
CAVIN1,8,4,-1.7799572079921433,down
CELF2,8,4,-1.7481473086252661,down
COBLL1,8,4,-1.7611255404180584,down
COQ8A,8,4,-1.7900110125035233,down
EHD2,8,4,-1.798019830737335,down
EPB41L2,8,4,-1.7663632994722818,down
FOXO1,8,4,-1.8001021868325127,down
HLF,8,4,-1.7796926598576306,down
ITSN1,8,4,-1.7742184746167498,down
LDB2,8,4,-1.8061922918568716,down
PALM2AKAP2,8,4,-1.7594604085692502,down
RETSAT,8,4,-1.7727565564988514,down
TGFBR2,8,4,-1.7357850882717747,down
ADAMTS1,9,4,-1.8650016653915304,down
ANGPTL2,9,4,-1.802430045655095,down
EHBP1,9,4,-1.8343233824443956,down
EPAS1,9,4,-1.8518418572130753,down
GSN,9,4,-1.8426172670444974,down
IRS2,9,4,-1.849309446902465,down
ITGB1BP1,9,4,-1.8597793992902023,down
LAMA4,9,4,-1.8560566504390559,down
MEOX1,9,4,-1.8329234237722505,down
MEST,9,4,-1.8547675707266296,down
PDE2A,9,4,-1.8286799352624288,down
PRELP,9,4,-1.8139570640934046,down
SAMD4A,9,4,-1.8449846304877893,down
SLC35G2,9,4,-1.8340455685097414,down
SPTBN1,9,4,-1.827536918007418,down
SYNPO,9,4,-1.8209631940183195,down
VWF,9,4,-1.8445645038041718,down
ANXA1,10,4,-1.9478488627209185,down
CASQ2,10,4,-1.916321384917654,down
FBLN5,10,4,-1.8927172953148366,down
FGF2,10,4,-1.9045990199469756,down
KANK1,10,4,-1.9071031162408907,down
MT1M,10,4,-1.9100524409301662,down
PCSK5,10,4,-1.8972100791397495,down
PFKFB3,10,4,-1.9136069978481283,down
RGCC,10,4,-1.9054676743136472,down
SIK2,10,4,-1.9104204119111499,down
SOX5,10,4,-1.9234590596117978,down
APBB2,11,4,-0.6142037543182779,down
BAG4,11,4,-0.5498575221774059,down
CCN1,11,4,-0.9486143320261462,down
CD14,11,4,-0.8272748322912546,down
CD163,11,4,-1.1173807832169163,down
CYB5A,11,4,-0.7931624709669105,down
EFEMP2,11,4,-0.7039784765674071,down
GSTK1,11,4,-0.4686120398138929,down
MPST,11,4,-0.49801661371846073,down
PGD,11,4,-0.854663621305838,down
PIM1,11,4,-0.5489767676762526,down
PLOD2,11,4,-0.9980352772521558,down
PNMA1,11,4,-0.6185540241273516,down
PTPRO,11,4,-0.5131941690753651,down
QDPR,11,4,-0.9247213477196953,down
RASSF4,11,4,-0.7707270335616396,down
REEP2,11,4,-0.3265217597700924,down
RWDD2B,11,4,-0.47107052026555013,down
SCD,11,4,-1.2315536779554332,down
SHOX2,11,4,-0.6396982743093892,down
SIRT1,11,4,-0.6028715397924088,down
SLC25A23,11,4,-0.5148997529019713,down
SOCS3,11,4,-1.1143405279757215,down
ARSD,12,4,0.5877006514352047,up
BYSL,12,4,0.20763444927779803,up
DUS1L,12,4,0.3371965504843306,up
HGH1,12,4,0.44288874778638565,up
SLC6A6,12,4,0.5358187817024932,up
SMG9,12,4,0.2306250697003668,up
NAV2,13,4,0.12618960819918298,up
OGT,13,4,0.24746753061050283,up
PKP1,13,4,-0.35328648247031874,down
PMM2,13,4,0.38015822569874924,up
PSMA3,13,4,0.08870150278779576,up
RSRP1,13,4,0.40787732455215436,up
CAMK2N1,14,4,0.8542724284413423,up
CMPK2,14,4,1.0656671319036137,up
DKK3,14,4,0.9498417463080333,up
ESR1,14,4,1.1169121491074883,up
HES1,14,4,1.1992869514428315,up
IL17RB,14,4,1.2147025611624147,up
MAL2,14,4,1.3247072106981723,up
TENT5C,14,4,1.1346434788288562,up
TFAP2B,14,4,1.74357342985377,up
DCLRE1C,15,4,0.5471143400239851,up
GPD2,15,4,0.5424741390340952,up
POC5,15,4,0.5151520732244297,up
ZNF180,15,4,0.5334257241558857,up
DNAJC24,16,4,-0.6055533632115155,down
DOCK5,16,4,0.8364689479171328,up
EXO5,16,4,0.3967934210848507,up
FIBP,16,4,0.6085766485325852,up
HLA-DOA,16,4,0.6280206117247475,up
LRRD1,16,4,0.7984782240440516,up
MFSD12,16,4,0.5173141961479972,up
MYO1D,16,4,0.910780494627307,up
NEU3,16,4,0.5232679686063579,up
NRIP3,16,4,1.1661809277758082,up
OAS2,16,4,0.9198642601804248,up
P3H1,16,4,0.6125926465881699,up
PRCC,16,4,0.7503635186286632,up
RAD21,16,4,0.5294635314244847,up
REL,16,4,0.7494401376082758,up
SIDT1,16,4,1.0342361032003358,up
SLC35D1,16,4,0.8089829507015809,up
YKT6,16,4,0.6330494350213218,up
ZNF729,16,4,0.6344830636362464,up
DTX1,17,4,-1.4184837130313985,down
EMC10,17,4,0.7519244732318904,up
EPM2A,17,4,-1.3903064592662062,down
GMIP,17,4,0.6313113319921531,up
GPATCH2,17,4,0.7546555099835266,up
HOXA3,17,4,-1.3914103194507814,down
HSPA5,17,4,0.808497969137024,up
NDRG2,17,4,-1.4084396215747486,down
PARVA,17,4,-1.4266079421348574,down
PCNX1,17,4,-1.4048572380911688,down
PDP2,17,4,-1.399458222951385,down
PEAR1,17,4,-1.4322095382822315,down
CRABP2,18,4,2.267040336341909,up
CREB3L4,18,4,2.741895895474644,up
EZH2,18,4,2.5020514676570205,up
H2BC21,18,4,2.012831573043569,up
LSR,18,4,2.1092787760034084,up
MARVELD3,18,4,1.7064548734909335,up
NHERF1,18,4,1.871825577619052,up
PLPP4,18,4,1.76470626853098,up
PRRG4,18,4,1.8717434895549734,up
SYTL1,18,4,2.108270463738795,up
TJP3,18,4,2.1246078113820754,up
TMC4,18,4,2.787254449147327,up
DCTN6,19,4,-1.1508335975578174,down
IGIP,19,4,-1.1277411469868759,down
OGFRL1,19,4,-1.1419997832545672,down
SDHD,19,4,-1.250329022374732,down
UBA2,19,4,-1.1080371271316949,down
AADAC,20,4,-1.6871315438559216,down
ADSS1,20,4,-1.3365779395755375,down
ATP23,20,4,-1.3626120592182036,down
BICC1,20,4,-1.514651719366623,down
CA3,20,4,-2.0316022051038622,down
CALM1,20,4,-1.291971744516323,down
CLSTN2,20,4,-2.100159586738986,down
CRIM1,20,4,-1.3307545637603555,down
EMX2,20,4,-1.1435826492411967,down
HSPB8,20,4,-1.737858638277821,down
LRP1B,20,4,-1.6419176546617396,down
MYO16,20,4,-1.3741582683728102,down
OSR2,20,4,-1.3950776612600748,down
PTGDS,20,4,-1.6302614072487658,down
PTGS2,20,4,-1.882252240850552,down
TENM3,20,4,-1.4738915628203988,down
ACSL5,21,4,-0.8998129633666951,down
ARRDC3,21,4,-1.0742522821725236,down
HCFC2,21,4,-0.7661549771259928,down
HOOK3,21,4,-0.6806480992272008,down
IGFBP3,21,4,-0.790279390358438,down
MAN1C1,21,4,-0.9376359995299328,down
MAP1LC3B,21,4,-0.8047005614433251,down
NKIRAS1,21,4,-0.8511736762993567,down
PEX11A,21,4,-0.970576792196943,down
POLE4,21,4,-0.6938232398280091,down
PTCD2,21,4,-0.7251235492279302,down
PXK,21,4,-0.9950406435231418,down
SH2B3,21,4,-0.8366455460435636,down
SLC24A3,21,4,-0.8721075184668718,down
SVBP,21,4,-0.7828623665246521,down
UQCRC2,21,4,-0.6680356573066568,down
ZBED3,21,4,-0.9156971342028135,down
ACAD9,22,4,-0.4586163860788939,down
AIDA,22,4,-0.514047020844699,down
GOLGA7,22,4,-0.5628962154575397,down
PDE4A,22,4,-0.565636190972659,down
RHOA,22,4,-0.5809680425618406,down
RPUSD4,22,4,-0.5417230658122825,down
CDC16,23,4,-0.36960644100949125,down
HMCES,23,4,-0.34503488764193335,down
MORF4L1,23,4,-0.43015308105777894,down
SEC62,23,4,-0.42512725639773397,down
ABI3BP,24,4,-2.2022818997993223,down
CCSER2,24,4,-0.8013525281027087,down
EEA1,24,4,-1.0476891065849543,down
IL15RA,24,4,-0.854572303544634,down
INPP1,24,4,-0.7682510659858992,down
RAB8B,24,4,-0.8676554053719854,down
SPART,24,4,-1.342895340341856,down
STX2,24,4,-0.6141835295496372,down
RPL11,25,4,-0.46102474926670833,down
SLC25A37,25,4,-0.06916238677591169,down
