gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
A1CF,2,2,-0.10900450485464175,-0.10900450485464175,False
ABCA1,3,3,-1.0828161531540401,-1.0828161531540401,True
ABRAXAS1,2,2,-0.5691519748415717,-0.5691519748415717,True
ACBD6,2,2,0.484524192952426,0.484524192952426,True
ADCY3,3,2,-0.320904878173244,-0.450601214699629,True
AKAP12,3,3,-2.839935116740429,-2.839935116740429,True
AKAP9,3,3,0.5436181214634143,0.5436181214634143,True
AKT1,3,3,0.49252835178801124,0.49252835178801124,True
ALCAM,3,3,1.592902945776012,1.592902945776012,True
AMFR,3,2,0.2645213147851493,0.41373588112691095,True
ANKRD30A,2,2,2.5890652923278332,2.5890652923278332,True
ANKRD35,2,2,-1.8767703291915678,-1.8767703291915678,True
AP4B1,2,2,0.008374568361314338,0.008374568361314338,False
APC,3,2,-0.43485821396687907,-0.583667833882878,True
ARRDC3,2,2,-1.0742522821725236,-1.0742522821725236,True
ASXL1,3,2,-0.04558386323406113,0.03350056305066618,False
ATAD5,2,2,-0.06973221640533467,-0.06973221640533467,False
ATF7IP,3,2,0.11695022503390422,0.22917515617443396,False
ATG10,2,2,-0.4067315492682333,-0.4067315492682333,True
AURKA,3,2,1.9178240669113444,2.914164288410809,True
BANP,3,2,0.47010795592881954,0.5547372984711205,True
BARD1,3,2,1.2287450611758957,1.782135457591489,True
BCAR1,2,2,0.3204138143311188,0.3204138143311188,True
BCKDHB,3,2,-0.7146953453974018,-0.9579333356943809,True
BCL2,3,3,-0.8666519351399072,-0.8666519351399072,True
BCL2L1,3,2,0.35616034381419465,0.6446456687946176,True
BCL2L11,3,2,0.3662756737976484,0.6379274122231027,True
BHLHE40,3,3,1.0031323957578546,1.0031323957578546,True
BIRC5,3,2,1.5090544579803178,2.3146449058643177,True
BRCA2,2,2,0.12936710133678497,0.12936710133678497,False
BRIP1,2,2,0.3275623022492564,0.3275623022492564,False
BTBD3,3,2,0.3473145374045039,0.5542736187123318,True
CACNA2D1,3,3,-1.988325276164305,-1.988325276164305,True
CASP3,3,3,0.4547692234390392,0.4547692234390392,True
CASP9,3,2,0.1686542955709426,0.2518378428279684,True
CASZ1,3,2,1.0532152565687125,1.5162471007455829,True
CAVIN1,3,3,-1.7799572079921433,-1.7799572079921433,True
CBX6,3,2,-0.013798969231084257,-0.06993797819775782,False
CCDC88C,2,2,0.41251092892622476,0.41251092892622476,False
CCNG1,3,2,-0.6954717968120369,-0.9354608840485188,True
CD248,3,3,-1.3906652547185834,-1.3906652547185834,True
CD34,3,3,-1.181047002906077,-1.181047002906077,True
CD8A,3,2,0.39716458963977974,0.6315163020527392,True
CDC73,3,2,-0.051951523179785276,-0.022028031963622574,False
CDH1,3,3,3.0049130936666546,3.0049130936666546,True
CDK12,3,2,0.22347337035681245,0.3623614565561293,True
CDK20,3,3,0.24068267567476168,0.24068267567476168,False
CDKAL1,3,2,-0.3126725115425506,-0.4248894694525909,True
CDKN2A,3,2,0.40097198517842436,0.5967004859978049,True
CDKN2B,3,2,-1.859342282593232,-2.6586551905160536,True
CDYL2,2,2,0.5276904090969587,0.5276904090969587,True
CEBPB,3,3,-0.7993091763770478,-0.7993091763770478,True
CEP120,2,2,-0.4743929146988366,-0.4743929146988366,True
CFLAR,3,2,-0.0027752288934141944,0.1077458573367931,False
CHD1,3,2,0.39917334406302035,0.5228537777165911,True
CHD1L,3,3,0.5718141300178713,0.5718141300178713,True
CPXM2,2,2,-1.1380006128426752,-1.1380006128426752,True
CTLA4,2,2,0.02125469153428239,0.02125469153428239,False
CTPS1,3,2,0.985559193421124,1.4522452408634041,True
CXCR2,2,2,-0.4188549344900556,-0.4188549344900556,True
CYBRD1,3,2,-1.0382091471311903,-1.4840625578191968,True
DNAJC1,3,2,0.9086334572676247,1.2882386640025443,True
DUSP4,3,2,0.7939333936313506,0.9924281010897626,True
EBF1,2,2,-3.989835148770206,-3.989835148770206,True
EGFR,3,3,-1.7414061841013357,-1.7414061841013357,True
EGR2,3,2,-0.7769557505538375,-1.0274397564010767,True
EIF2B5,3,2,0.47711283625474543,0.6794988148564416,True
EIF3H,3,3,0.3660906155195131,0.3660906155195131,True
ELOVL5,3,2,-0.7754615526656204,-1.0232761130030665,True
ENO2,3,3,0.9948922759942058,0.9948922759942058,True
EPCAM,3,3,3.27311047531488,3.27311047531488,True
ERBB2,3,3,1.6621741531780954,1.6621741531780954,True
ERCC8,2,2,-0.7518847656378602,-0.7518847656378602,True
ESR1,3,2,0.9913770940014454,1.1169121491074883,True
FAT1,3,2,-0.612530794969039,-0.7935631177719973,True
FAT4,3,2,-0.9779982081441688,-1.408052686096932,True
FEN1,3,2,0.8567522948297212,1.2999873192080056,True
FGFR1,3,3,-0.8456549753482498,-0.8456549753482498,True
FILIP1L,3,3,-1.2641221613894693,-1.2641221613894693,True
FTO,3,2,-0.4659507368972446,-0.5761875032822803,True
GAREM1,3,2,-0.5662071153700398,-0.7505199372543236,True
GPR68,3,2,0.5114501082334195,0.9019324977337821,True
GREB1,3,2,0.7160891447562693,1.1677144859525608,True
GRHL2,3,3,1.3775878118537372,1.3775878118537372,False
GSTM1,3,2,-0.5178805374048222,-0.6914147384934823,True
GTF3A,3,2,-0.15784511235747387,-0.27051601657001534,False
HLF,3,3,-1.7796926598576306,-1.7796926598576306,True
HPGD,3,2,-0.8333935967930901,-0.9562498884114452,True
HSPA4,3,3,0.5505623973083722,0.5505623973083722,True
HSPB7,3,3,-2.6752719244175416,-2.6752719244175416,True
IGF1,3,3,-2.3722682853923804,-2.3722682853923804,True
IL6,3,3,-1.1583237503197494,-1.1583237503197494,True
INHBB,3,3,-0.8780983136749825,-0.8780983136749825,True
IRX3,2,2,1.8776835760546051,1.8776835760546051,True
IRX5,3,3,1.61187919197826,1.61187919197826,True
ITGA1,3,3,-1.5159862284153507,-1.5159862284153507,True
JAZF1,2,2,-1.5529203678463883,-1.5529203678463883,True
KCTD1,2,2,0.7937811916980264,0.7937811916980264,True
KDM7A,3,2,-0.009797750844060834,0.00746126466839403,False
KLC1,3,2,-0.2743138705299059,-0.4740176810013068,True
KLF4,3,3,-2.3464311417278307,-2.3464311417278307,True
KRAS,3,2,0.5877695203674227,0.8463078915809441,True
KRT19,3,3,4.270111438840086,4.270111438840086,True
LDAH,3,2,-0.41438683889401745,-0.4975030114097696,True
LIFR,3,2,-1.6348859112848337,-2.3855715990063624,True
LRATD2,2,2,1.6849669285994082,1.6849669285994082,True
LYPD3,3,2,0.7538567820575812,1.1466722258719027,True
MAFG,3,2,-0.004875871211538356,0.09364331822330829,False
MAP1LC3B,3,2,-0.5822017539725456,-0.8047005614433251,True
MAP3K1,3,2,0.4675344392591434,0.6885426636017553,True
MARCO,3,2,-0.973900950483528,-1.394843658193145,True
MDM2,3,3,0.4821194799274163,0.4821194799274163,False
MELK,3,3,2.2629539222503166,2.2629539222503166,True
