gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
A1CF,0.4698372565431247,0.10961159999922324,0.0,0.0,0.0
ABCA1,0.35194162150837877,0.875227037609553,1.0,1.0,0.0
ABRAXAS1,0.41412897016302397,0.2801261488106723,0.0,1.0,0.0
ACBD6,0.5416934957465773,0.28934625711292866,0.0,1.0,0.0
ADCY3,0.4284814552408047,0.25021336132591837,0.0,1.0,0.0
AKAP12,0.13921397915025235,1.0,1.0,1.0,0.0
AKAP9,0.5488477706422077,0.2299494236825309,1.0,1.0,0.0
AKT1,0.5426625285061344,0.3255120698652475,1.0,1.0,0.0
ALCAM,0.6758806531412905,0.6766603657795067,1.0,1.0,0.0
AMFR,0.5331234267909626,0.02763580871196501,0.0,0.33333333333333326,0.0
ANKRD30A,0.7964822013457352,0.4939848186012328,0.0,1.0,0.0
ANKRD35,0.255820639657426,1.0,0.0,1.0,0.0
AP4B1,0.4840478899862055,0.06475471179301404,0.0,0.0,0.0
APC,0.41237159087644604,0.21631503215916512,0.0,1.0,0.0
ARRDC3,0.35297841646712125,0.3502404156624443,0.0,1.0,0.0
ASXL1,0.48708979763328886,0.6187217277197954,0.0,0.33333333333333326,0.0
ATAD5,0.4745918016279821,0.097601036336356,0.0,0.0,0.0
ATF7IP,0.5107793688730442,0.16266578375262228,0.0,0.33333333333333326,0.0
ATG10,0.4337925870945142,0.01711260832549451,0.0,1.0,0.0
AURKA,0.8358406878244028,1.0,0.0,0.33333333333333326,0.0
BANP,0.5501939266844739,0.20754469853353805,0.0,1.0,0.0
BARD1,0.6987903063464723,1.0,0.0,1.0,0.0
BCAR1,0.5218252826920924,0.16645772743567858,0.0,1.0,0.0
BCKDHB,0.3670607044388883,0.5561724410253234,0.0,1.0,0.0
BCL2,0.3781117929158275,0.2906297210184363,1.0,1.0,0.0
BCL2L1,0.561078787666306,0.6644318985150098,0.0,0.33333333333333326,0.0
BCL2L11,0.5602654341536342,0.625625364385864,0.0,0.33333333333333326,0.0
BHLHE40,0.6044793984524529,0.2952133640376853,1.0,1.0,0.0
BIRC5,0.7632591794347777,0.9954478509706722,0.0,0.33333333333333326,0.0
BRCA2,0.49869599112005014,1.0,0.0,0.0,0.0
BRIP1,0.5226907226610216,0.789332578975359,0.0,0.0,0.0
BTBD3,0.5501377907574589,0.056535071907075456,0.0,0.33333333333333326,0.0
CACNA2D1,0.24231511080327253,1.0,1.0,1.0,0.0
CASP3,0.5380911759013113,0.7150437816412406,1.0,1.0,0.0
CASP9,0.5135230532798571,0.11159447363153147,0.0,1.0,0.0
CASZ1,0.6666002244826583,0.8160695952930378,0.0,1.0,0.0
CAVIN1,0.2675414323008848,1.0,1.0,1.0,0.0
CBX6,0.4745668908382765,0.21860704819634874,0.0,0.33333333333333326,0.0
CCDC88C,0.5329751265340913,0.7590623799454361,0.0,0.0,0.0
CCNG1,0.3697813578241741,1.0,0.0,1.0,0.0
CD248,0.31467151348778827,0.90944098440897,1.0,1.0,0.0
CD34,0.3400491899157362,1.0,1.0,1.0,0.0
CD8A,0.5594892656757435,0.22921917309366197,0.0,0.33333333333333326,0.0
CDC73,0.48036716396667656,0.14779233953324097,0.0,0.33333333333333326,0.0
CDH1,0.8468272970346811,1.0,1.0,1.0,0.0
CDK12,0.5269037225803033,0.27155374276302485,0.0,0.33333333333333326,0.0
CDK20,0.5121725400489436,0.3779119050093316,1.0,0.33333333333333326,0.0
CDKAL1,0.43159427745754947,0.04335708910665372,0.0,1.0,0.0
CDKN2A,0.5552742485826357,0.16735679490217245,0.0,1.0,0.0
CDKN2B,0.1611608433704509,0.9485645226622899,0.0,1.0,0.0
CDYL2,0.5469194636976633,0.1645593402570506,0.0,1.0,0.0
CEBPB,0.38626472199939715,0.46429716813516936,1.0,1.0,0.0
CEP120,0.42560108552571546,0.22744044487731693,0.0,1.0,0.0
CFLAR,0.4960783901742495,0.39138890425856443,0.0,0.33333333333333326,0.0
CHD1,0.5463339113179878,0.14409088821370952,0.0,1.0,0.0
CHD1L,0.5522613530734489,0.4276337145447104,1.0,1.0,0.0
CPXM2,0.34526065098353176,0.5550014236507623,0.0,1.0,0.0
CTLA4,0.485607237015433,0.10413957322138695,0.0,0.0,0.0
CTPS1,0.6588517651913866,0.9102620786945068,0.0,1.0,0.0
CXCR2,0.43232485542176863,0.09392299699537338,0.0,1.0,0.0
CYBRD1,0.30336426081853896,0.5451106509854051,0.0,1.0,0.0
DNAJC1,0.6389961190172495,1.0,0.0,1.0,0.0
DUSP4,0.603183470621134,0.16238331201088266,0.0,1.0,0.0
EBF1,0.0,1.0,0.0,1.0,0.0
EGFR,0.2722086566566249,0.8896519264826818,1.0,1.0,0.0
EGR2,0.35864582911621323,0.14490470478450948,0.0,1.0,0.0
EIF2B5,0.5652983241599321,0.6057041216381649,0.0,1.0,0.0
EIF3H,0.5273551975291821,0.24573393075808783,1.0,1.0,0.0
ELOVL5,0.3591499054263743,0.2789266370415764,0.0,1.0,0.0
ENO2,0.6034817988098585,1.0,1.0,1.0,0.0
EPCAM,0.8792969236604167,1.0,1.0,1.0,0.0
ERBB2,0.6842670520928271,0.7166315071404216,1.0,1.0,0.0
ERCC8,0.39200621321077167,0.2551333172077154,0.0,1.0,0.0
ESR1,0.6182542760673155,0.20677870198995585,0.0,1.0,0.0
FAT1,0.3869603752392945,0.531113534086616,0.0,1.0,0.0
FAT4,0.31256648397047526,0.5122303515549509,0.0,1.0,0.0
FEN1,0.6404184835665656,0.8101040833219982,0.0,0.33333333333333326,0.0
FGFR1,0.3806538141709228,1.0,1.0,1.0,0.0
FILIP1L,0.32999159963930474,0.6047238476393515,1.0,1.0,0.0
FTO,0.4132772057640554,0.2589416352508147,0.0,1.0,0.0
GAREM1,0.3921714477397193,0.5064017621378075,0.0,1.0,0.0
GPR68,0.5922275155921122,1.0,0.0,0.33333333333333326,0.0
GREB1,0.6244047198148908,0.1979933434388538,0.0,0.33333333333333326,0.0
GRHL2,0.649813277082801,0.7983288977762535,1.0,0.33333333333333326,0.0
GSTM1,0.39932708708120096,0.2310267449041058,0.0,1.0,0.0
GTF3A,0.45028367832052013,0.773965714351948,0.0,0.33333333333333326,0.0
HLF,0.2675734601271796,1.0,1.0,1.0,0.0
HPGD,0.36726451293390455,0.13829339066288696,0.0,1.0,0.0
HSPA4,0.5496884874399863,0.6142713720830064,1.0,1.0,0.0
HSPB7,0.1591491192357679,1.0,1.0,1.0,0.0
IGF1,0.19583260572218886,0.8273974808342862,1.0,1.0,0.0
IL6,0.342800206807348,0.23987559524540025,1.0,1.0,0.0
INHBB,0.3767260238416976,0.8504767870221089,1.0,1.0,0.0
IRX3,0.7103579499685796,0.31954645100040124,0.0,1.0,0.0
IRX5,0.6781780343653667,0.620748529356863,1.0,1.0,0.0
ITGA1,0.2994993846649766,1.0,1.0,1.0,0.0
JAZF1,0.29502791029897546,0.7608183104170536,0.0,1.0,0.0
KCTD1,0.5791340524699681,0.2631700522019282,0.0,1.0,0.0
KDM7A,0.4839373198168669,0.21556567345787342,0.0,0.33333333333333326,0.0
KLC1,0.42564651362788897,1.0,0.0,0.33333333333333326,0.0
KLF4,0.19896060944358154,1.0,1.0,1.0,0.0
KRAS,0.5854932582258147,0.7467488887953714,0.0,1.0,0.0
KRT19,1.0,1.0,1.0,1.0,0.0
LDAH,0.4228032349021294,0.08747481019916596,0.0,1.0,0.0
LIFR,0.19422202465209618,1.0,0.0,1.0,0.0
LRATD2,0.6870264858469753,0.8284268032402644,0.0,1.0,0.0
LYPD3,0.6218572142278423,0.6035914310240775,0.0,0.33333333333333326,0.0
MAFG,0.49437104994342546,0.1799413294062913,0.0,0.33333333333333326,0.0
MAP1LC3B,0.38561200772224136,0.37025266824521286,0.0,1.0,0.0
MAP3K1,0.5663932281825415,0.25841520472841956,0.0,1.0,0.0
MARCO,0.3141656502318649,0.4959035012717997,0.0,1.0,0.0
MDM2,0.5414023663791531,0.9863370147017565,1.0,0.33333333333333326,0.0
