gene,cluster_id
A1CF,0
ABCA1,14
ABRAXAS1,17
ACBD6,20
ADCY3,17
AKAP12,9
AKAP9,24
AKT1,24
ALCAM,26
AMFR,21
ANKRD30A,1
ANKRD35,4
AP4B1,0
APC,17
ARRDC3,17
ASXL1,12
ATAD5,0
ATF7IP,21
ATG10,10
AURKA,13
BANP,11
BARD1,2
BCAR1,11
BCKDHB,6
BCL2,23
BCL2L1,12
BCL2L11,12
BHLHE40,24
BIRC5,13
BRCA2,13
BRIP1,13
BTBD3,21
CACNA2D1,8
CASP3,27
CASP9,11
CASZ1,1
CAVIN1,8
CBX6,22
CCDC88C,13
CCNG1,4
CD248,14
CD34,15
CD8A,22
CDC73,21
CDH1,3
CDK12,22
CDK20,25
CDKAL1,10
CDKN2A,11
CDKN2B,4
CDYL2,11
CEBPB,23
CEP120,17
CFLAR,22
CHD1,11
CHD1L,24
CPXM2,6
CTLA4,0
CTPS1,2
CXCR2,10
CYBRD1,6
DNAJC1,2
DUSP4,11
EBF1,4
EGFR,14
EGR2,18
EIF2B5,1
EIF3H,24
ELOVL5,17
ENO2,3
EPCAM,3
ERBB2,27
ERCC8,17
ESR1,11
FAT1,7
FAT4,6
FEN1,13
FGFR1,15
FILIP1L,16
FTO,17
GAREM1,7
GPR68,13
GREB1,22
GRHL2,25
GSTM1,17
GTF3A,13
HLF,8
HPGD,18
HSPA4,26
HSPB7,9
IGF1,14
IL6,23
INHBB,14
IRX3,20
IRX5,26
ITGA1,8
JAZF1,4
KCTD1,20
KDM7A,22
KLC1,13
KLF4,9
KRAS,1
KRT19,3
LDAH,10
LIFR,4
LRATD2,1
LYPD3,12
MAFG,21
MAP1LC3B,17
MAP3K1,20
MARCO,6
MDM2,25
MELK,3
MEN1,12
MET,4
MITF,15
MME,9
MN1,23
MRPS30,24
MRTFA,13
MSH6,24
MTMR11,21
MUC1,1
MYO5A,18
NCAM1,18
NCOA1,22
NCOA4,5
NFKB2,12
NR2F6,24
NREP,27
NUAK2,0
NUDT17,19
PAK4,13
PALB2,11
PCM1,22
PEG10,1
PHLDA3,5
PHLDB3,1
PID1,9
PIDD1,22
PIK3CA,12
PIK3R1,23
PKNOX2,18
PLAUR,25
PLCG1,13
PLK1,0
PLK2,20
PNPLA2,5
POGLUT3,6
POT1,11
PPP2R1B,14
PPP2R3C,4
PRC1,3
PRLR,12
PSIP1,5
PSME4,19
PTCH1,13
PTEN,14
PTPN11,15
PTPRK,1
RALB,17
RALY,2
RFC1,22
RNF115,11
RPN1,24
RPS23,22
SAV1,4
SERINC1,16
SERPINF1,16
SGCE,23
SGCG,14
SGSM3,19
SIAH2,-1
SLC22A5,19
SLC25A15,1
SLC35E3,24
SLC4A7,19
SLITRK6,1
SMAD7,18
SOX4,26
SPCS3,10
SRGAP2C,18
SSBP2,17
STRADB,5
SYNE1,7
TAB2,7
TACC3,12
TAF5L,19
TASOR2,24
TBX5,7
TCF25,25
TCF7L2,15
TDG,26
TEFM,27
TENT5C,11
TFRC,20
TGFBR2,8
TGIF1,24
THEM6,12
THSD4,1
TIMP3,4
TNC,20
TNFSF10,22
TNNT3,16
TNS1,9
TOP1,27
TOP2A,3
TOX3,26
TPM4,20
TRAK2,23
TRAP1,11
TRIM46,0
TRPS1,3
TTC28,15
TTK,1
TXNIP,15
TYRO3,8
UTRN,15
UVSSA,2
VEGFC,4
VGLL3,14
WWOX,10
XBP1,-1
ZBTB38,17
ZFPM2,16
ZMIZ1,22
ZNF217,24
