gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
ABCA1,14,True,True,True,True,4,True,-1.0828161531540401,-1.0828161531540401,down
ACBD6,20,True,True,True,True,4,True,0.484524192952426,0.484524192952426,up
AKAP12,9,True,True,True,True,4,True,-2.839935116740429,-2.839935116740429,down
AKAP9,24,True,True,True,True,4,True,0.5436181214634143,0.5436181214634143,up
ALCAM,26,True,True,True,True,4,True,1.592902945776012,1.592902945776012,up
ANKRD30A,1,True,True,True,True,4,True,2.5890652923278332,2.5890652923278332,up
ANKRD35,4,True,True,True,True,4,True,-1.8767703291915678,-1.8767703291915678,down
ARRDC3,17,True,True,True,True,4,True,-1.0742522821725236,-1.0742522821725236,down
ASXL1,12,True,True,True,True,4,True,-0.04558386323406113,0.03350056305066618,up
AURKA,13,True,True,True,True,4,True,1.9178240669113444,2.914164288410809,up
BANP,11,True,True,True,True,4,True,0.47010795592881954,0.5547372984711205,up
BARD1,2,True,True,True,True,4,True,1.2287450611758957,1.782135457591489,up
BCAR1,11,True,True,True,True,4,True,0.3204138143311188,0.3204138143311188,up
BCKDHB,6,True,True,True,True,4,True,-0.7146953453974018,-0.9579333356943809,down
BCL2,23,True,True,True,True,4,True,-0.8666519351399072,-0.8666519351399072,down
BCL2L1,12,True,True,True,True,4,True,0.35616034381419465,0.6446456687946176,up
BHLHE40,24,True,True,True,True,4,True,1.0031323957578546,1.0031323957578546,up
BIRC5,13,True,True,True,True,4,True,1.5090544579803178,2.3146449058643177,up
CACNA2D1,8,True,True,True,True,4,True,-1.988325276164305,-1.988325276164305,down
CASP3,27,True,True,True,True,4,True,0.4547692234390392,0.4547692234390392,up
CAVIN1,8,True,True,True,True,4,True,-1.7799572079921433,-1.7799572079921433,down
CBX6,22,True,True,True,True,4,True,-0.013798969231084257,-0.06993797819775782,down
CCNG1,4,True,True,True,True,4,True,-0.6954717968120369,-0.9354608840485188,down
CD248,14,True,True,True,True,4,True,-1.3906652547185834,-1.3906652547185834,down
CD34,15,True,True,True,True,4,True,-1.181047002906077,-1.181047002906077,down
CDH1,3,True,True,True,True,4,True,3.0049130936666546,3.0049130936666546,up
CDK20,25,True,True,True,True,4,True,0.24068267567476168,0.24068267567476168,up
CDKN2B,4,True,True,True,True,4,True,-1.859342282593232,-2.6586551905160536,down
CEBPB,23,True,True,True,True,4,True,-0.7993091763770478,-0.7993091763770478,down
CEP120,17,True,True,True,True,4,True,-0.4743929146988366,-0.4743929146988366,down
CFLAR,22,True,True,True,True,4,True,-0.0027752288934141944,0.1077458573367931,up
CHD1,11,True,True,True,True,4,True,0.39917334406302035,0.5228537777165911,up
CHD1L,24,True,True,True,True,4,True,0.5718141300178713,0.5718141300178713,up
CPXM2,6,True,True,True,True,4,True,-1.1380006128426752,-1.1380006128426752,down
CTPS1,2,True,True,True,True,4,True,0.985559193421124,1.4522452408634041,up
CYBRD1,6,True,True,True,True,4,True,-1.0382091471311903,-1.4840625578191968,down
DNAJC1,2,True,True,True,True,4,True,0.9086334572676247,1.2882386640025443,up
DUSP4,11,True,True,True,True,4,True,0.7939333936313506,0.9924281010897626,up
EBF1,4,True,True,True,True,4,True,-3.989835148770206,-3.989835148770206,down
EGFR,14,True,True,True,True,4,True,-1.7414061841013357,-1.7414061841013357,down
EGR2,18,True,True,True,True,4,True,-0.7769557505538375,-1.0274397564010767,down
EIF2B5,1,True,True,True,True,4,True,0.47711283625474543,0.6794988148564416,up
ELOVL5,17,True,True,True,True,4,True,-0.7754615526656204,-1.0232761130030665,down
ENO2,3,True,True,True,True,4,True,0.9948922759942058,0.9948922759942058,up
EPCAM,3,True,True,True,True,4,True,3.27311047531488,3.27311047531488,up
ERBB2,27,True,True,True,True,4,True,1.6621741531780954,1.6621741531780954,up
ERCC8,17,True,True,True,True,4,True,-0.7518847656378602,-0.7518847656378602,down
ESR1,11,True,True,True,True,4,True,0.9913770940014454,1.1169121491074883,up
FAT1,7,True,True,True,True,4,True,-0.612530794969039,-0.7935631177719973,down
FAT4,6,True,True,True,True,4,True,-0.9779982081441688,-1.408052686096932,down
FEN1,13,True,True,True,True,4,True,0.8567522948297212,1.2999873192080056,up
FGFR1,15,True,True,True,True,4,True,-0.8456549753482498,-0.8456549753482498,down
FILIP1L,16,True,True,True,True,4,True,-1.2641221613894693,-1.2641221613894693,down
GPR68,13,True,True,True,True,4,True,0.5114501082334195,0.9019324977337821,up
GRHL2,25,True,True,True,True,4,True,1.3775878118537372,1.3775878118537372,up
HLF,8,True,True,True,True,4,True,-1.7796926598576306,-1.7796926598576306,down
HSPA4,26,True,True,True,True,4,True,0.5505623973083722,0.5505623973083722,up
HSPB7,9,True,True,True,True,4,True,-2.6752719244175416,-2.6752719244175416,down
IGF1,14,True,True,True,True,4,True,-2.3722682853923804,-2.3722682853923804,down
IL6,23,True,True,True,True,4,True,-1.1583237503197494,-1.1583237503197494,down
INHBB,14,True,True,True,True,4,True,-0.8780983136749825,-0.8780983136749825,down
IRX3,20,True,True,True,True,4,True,1.8776835760546051,1.8776835760546051,up
IRX5,26,True,True,True,True,4,True,1.61187919197826,1.61187919197826,up
ITGA1,8,True,True,True,True,4,True,-1.5159862284153507,-1.5159862284153507,down
JAZF1,4,True,True,True,True,4,True,-1.5529203678463883,-1.5529203678463883,down
KLF4,9,True,True,True,True,4,True,-2.3464311417278307,-2.3464311417278307,down
KRAS,1,True,True,True,True,4,True,0.5877695203674227,0.8463078915809441,up
KRT19,3,True,True,True,True,4,True,4.270111438840086,4.270111438840086,up
LIFR,4,True,True,True,True,4,True,-1.6348859112848337,-2.3855715990063624,down
LRATD2,1,True,True,True,True,4,True,1.6849669285994082,1.6849669285994082,up
LYPD3,12,True,True,True,True,4,True,0.7538567820575812,1.1466722258719027,up
MAP1LC3B,17,True,True,True,True,4,True,-0.5822017539725456,-0.8047005614433251,down
MARCO,6,True,True,True,True,4,True,-0.973900950483528,-1.394843658193145,down
MDM2,25,True,True,True,True,4,True,0.4821194799274163,0.4821194799274163,up
MELK,3,True,True,True,True,4,True,2.2629539222503166,2.2629539222503166,up
MITF,15,True,True,True,True,4,True,-1.1656862040717522,-1.1656862040717522,down
MME,9,True,True,True,True,4,True,-2.6484201704864527,-2.6484201704864527,down
MN1,23,True,True,True,True,4,True,-0.8126946970561523,-0.8126946970561523,down
MRPS30,24,True,True,True,True,4,True,0.8758365130206537,0.8758365130206537,up
MRTFA,13,True,True,True,True,4,True,0.06339397357394017,0.10520111547658972,up
MSH6,24,True,True,True,True,4,True,0.5846636751858677,0.5846636751858677,up
MUC1,1,True,True,True,True,4,True,2.19502342701823,3.2352961127790305,up
MYO5A,18,True,True,True,True,4,True,-0.4235723041886672,-0.5440557979559273,down
NCOA1,22,True,True,True,True,4,True,-0.3378126450357953,-0.5095377538934138,down
NCOA4,5,True,True,True,True,4,True,-0.5591443849354635,-0.7853628549820408,down
NR2F6,24,True,True,True,True,4,True,0.7682141913531284,0.7682141913531284,up
NREP,27,True,True,True,True,4,True,0.9365800358428352,0.9365800358428352,up
PAK4,13,True,True,True,True,4,True,0.6286715218353844,0.9924511799636546,up
PHLDA3,5,True,True,True,True,4,True,-0.8327732928374653,-1.100154457582029,down
PHLDB3,1,True,True,True,True,4,True,1.2349695823159614,1.2349695823159614,up
PID1,9,True,True,True,True,4,True,-2.350959286016713,-2.350959286016713,down
PIK3CA,12,True,True,True,True,4,True,-0.7008413896147688,-1.112132587033099,down
PIK3R1,23,True,True,True,True,4,True,-0.5413777028793074,-0.5413777028793074,down
PKNOX2,18,True,True,True,True,4,True,-0.3069359633327733,-0.37323144442189027,down
PLCG1,13,True,True,True,True,4,True,0.07973114460192872,0.2516769475678151,up
PLK2,20,True,True,True,True,4,True,0.7238416094940398,1.059091378870979,up
PNPLA2,5,True,True,True,True,4,True,-0.6539955530254448,-0.9284023480674097,down
POGLUT3,6,True,True,True,True,4,True,-0.9126955026248322,-0.9126955026248322,down
PPP2R1B,14,True,True,True,True,4,True,-1.930393473642794,-1.930393473642794,down
PPP2R3C,4,True,True,True,True,4,True,-0.8407355123108818,-1.1556136289969872,down
PRC1,3,True,True,True,True,4,True,2.4332183841507624,2.4332183841507624,up
PRLR,12,True,True,True,True,4,True,1.8025948934131704,2.7650470785988834,up
PSIP1,5,True,True,True,True,4,True,-0.5676167038220177,-0.8391549775708644,down
PTCH1,13,True,True,True,True,4,True,-0.7995583193380206,-1.207067328216501,down
PTEN,14,True,True,True,True,4,True,-1.0146039470320407,-1.0146039470320407,down
