gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
ANKRD30A,1,4,2.5890652923278332,up
EIF2B5,1,4,0.6794988148564416,up
KRAS,1,4,0.8463078915809441,up
LRATD2,1,4,1.6849669285994082,up
MUC1,1,4,3.2352961127790305,up
PHLDB3,1,4,1.2349695823159614,up
PTPRK,1,4,1.1090731752881666,up
SLC25A15,1,4,1.0345583471062443,up
BARD1,2,4,1.782135457591489,up
CTPS1,2,4,1.4522452408634041,up
DNAJC1,2,4,1.2882386640025443,up
RALY,2,4,0.6856712007448227,up
CDH1,3,4,3.0049130936666546,up
ENO2,3,4,0.9948922759942058,up
EPCAM,3,4,3.27311047531488,up
KRT19,3,4,4.270111438840086,up
MELK,3,4,2.2629539222503166,up
PRC1,3,4,2.4332183841507624,up
TOP2A,3,4,2.8105345575955147,up
TRPS1,3,4,1.6377238843526525,up
ANKRD35,4,4,-1.8767703291915678,down
CCNG1,4,4,-0.9354608840485188,down
CDKN2B,4,4,-2.6586551905160536,down
EBF1,4,4,-3.989835148770206,down
JAZF1,4,4,-1.5529203678463883,down
LIFR,4,4,-2.3855715990063624,down
PPP2R3C,4,4,-1.1556136289969872,down
TIMP3,4,4,-1.0152118104529313,down
VEGFC,4,4,-1.3591525042003814,down
NCOA4,5,4,-0.7853628549820408,down
PHLDA3,5,4,-1.100154457582029,down
PNPLA2,5,4,-0.9284023480674097,down
PSIP1,5,4,-0.8391549775708644,down
STRADB,5,4,-1.342857143450101,down
BCKDHB,6,4,-0.9579333356943809,down
CPXM2,6,4,-1.1380006128426752,down
CYBRD1,6,4,-1.4840625578191968,down
FAT4,6,4,-1.408052686096932,down
MARCO,6,4,-1.394843658193145,down
POGLUT3,6,4,-0.9126955026248322,down
FAT1,7,4,-0.7935631177719973,down
SYNE1,7,4,-0.8970726248879437,down
TAB2,7,4,-0.5631627787831146,down
TBX5,7,4,-0.9347618555198811,down
CACNA2D1,8,4,-1.988325276164305,down
CAVIN1,8,4,-1.7799572079921433,down
HLF,8,4,-1.7796926598576306,down
ITGA1,8,4,-1.5159862284153507,down
TGFBR2,8,4,-1.7357850882717747,down
TYRO3,8,4,-1.6730153825577165,down
AKAP12,9,4,-2.839935116740429,down
HSPB7,9,4,-2.6752719244175416,down
KLF4,9,4,-2.3464311417278307,down
MME,9,4,-2.6484201704864527,down
PID1,9,4,-2.350959286016713,down
TNS1,9,4,-2.2597528998882708,down
BANP,11,4,0.5547372984711205,up
BCAR1,11,4,0.3204138143311188,up
CHD1,11,4,0.5228537777165911,up
DUSP4,11,4,0.9924281010897626,up
ESR1,11,4,1.1169121491074883,up
RNF115,11,4,0.5336641375069675,up
TENT5C,11,4,1.1346434788288562,up
TRAP1,11,4,0.4175079810391136,up
ASXL1,12,4,0.03350056305066618,up
BCL2L1,12,4,0.6446456687946176,up
LYPD3,12,4,1.1466722258719027,up
PIK3CA,12,4,-1.112132587033099,down
PRLR,12,4,2.7650470785988834,up
TACC3,12,4,1.1828035717562857,up
AURKA,13,4,2.914164288410809,up
BIRC5,13,4,2.3146449058643177,up
FEN1,13,4,1.2999873192080056,up
GPR68,13,4,0.9019324977337821,up
MRTFA,13,4,0.10520111547658972,up
PAK4,13,4,0.9924511799636546,up
PLCG1,13,4,0.2516769475678151,up
PTCH1,13,4,-1.207067328216501,down
ABCA1,14,4,-1.0828161531540401,down
CD248,14,4,-1.3906652547185834,down
EGFR,14,4,-1.7414061841013357,down
IGF1,14,4,-2.3722682853923804,down
INHBB,14,4,-0.8780983136749825,down
PPP2R1B,14,4,-1.930393473642794,down
PTEN,14,4,-1.0146039470320407,down
SGCG,14,4,-2.698371134921491,down
VGLL3,14,4,-2.130522888609223,down
CD34,15,4,-1.181047002906077,down
FGFR1,15,4,-0.8456549753482498,down
MITF,15,4,-1.1656862040717522,down
PTPN11,15,4,-0.793261820593297,down
TCF7L2,15,4,-0.8928199308001675,down
TTC28,15,4,-1.0039093373902686,down
TXNIP,15,4,-1.303984944922582,down
UTRN,15,4,-1.1043078106321662,down
