gene,n_runs_in_phase6,median_random_effect,std_random_effect,iqr_random_effect,median_random_p,direction,direction_concordance
A1BG,50,0.553694,0.000000,0.000000,8.858470e-07,up,1.0000
A2M,50,-0.691529,0.000000,0.000000,2.496917e-03,down,1.0000
AADAC,50,-1.640468,0.000000,0.000000,8.404456e-03,down,1.0000
AAGAB,50,0.364860,0.000000,0.000000,1.798971e-01,up,1.0000
AAMDC,50,-0.832377,0.000000,0.000000,1.323711e-15,down,1.0000
ABAT,50,0.533431,0.000000,0.000000,2.894012e-01,up,1.0000
ABCA1,47,-1.069072,0.000000,0.000000,2.027478e-02,down,1.0000
ABCA5,50,-1.149704,0.000000,0.000000,3.884213e-03,down,1.0000
ABCA6,50,-2.083547,0.000000,0.000000,1.260617e-02,down,1.0000
ABCA8,50,-3.954515,0.000000,0.000000,5.577728e-09,down,1.0000
ABCA9,49,-2.400059,0.000000,0.000000,1.914263e-46,down,1.0000
ABCC5,47,0.798083,0.000000,0.000000,5.083464e-02,up,1.0000
ABCD2,50,-1.192454,0.000000,0.000000,3.926919e-02,down,1.0000
ABCD3,46,0.471892,0.000000,0.000000,3.289552e-06,up,1.0000
ABHD11,50,0.808535,0.000000,0.000000,1.765333e-03,up,1.0000
ABHD12,50,0.705735,0.000000,0.000000,2.274191e-04,up,1.0000
ABHD14A,50,-0.572690,0.000000,0.000000,1.348485e-02,down,1.0000
ABHD14B,50,-1.001392,0.000000,0.000000,6.794352e-11,down,1.0000
ABHD15,50,-1.363236,0.000000,0.000000,2.999096e-03,down,1.0000
ABHD16A,50,0.540810,0.000000,0.000000,1.562381e-02,up,1.0000
ABHD17C,50,1.126119,0.000000,0.000000,3.353536e-21,up,1.0000
ABHD2,50,0.471078,0.000000,0.000000,1.642099e-01,up,1.0000
ABHD4,49,-0.271958,0.000000,0.000000,5.649524e-02,down,1.0000
ABHD5,50,-1.034628,0.000000,0.000000,8.056459e-03,down,1.0000
ABHD6,50,-0.929868,0.000000,0.000000,2.070517e-02,down,1.0000
ABI3BP,50,-1.426149,0.000000,0.000000,8.389809e-02,down,1.0000
ABITRAM,0,0,0,0,1.0,none,0.0
ABLIM1,50,-1.084860,0.000000,0.000000,2.273509e-02,down,1.0000
ABLIM3,50,-1.220546,0.000000,0.000000,2.314391e-04,down,1.0000
ABRACL,50,1.410847,0.000000,0.000000,1.567289e-14,up,1.0000
ACAA2,50,-1.812669,0.000000,0.000000,4.802520e-05,down,1.0000
ACACB,49,-3.342037,0.000000,0.000000,2.050337e-07,down,1.0000
ACAD9,50,-0.440238,0.000000,0.000000,8.954100e-08,down,1.0000
ACADL,50,-2.606821,0.000000,0.000000,7.114180e-06,down,1.0000
ACADM,50,-0.888508,0.000000,0.000000,4.785817e-02,down,1.0000
ACADS,50,-0.925200,0.000000,0.000000,8.344570e-04,down,1.0000
ACADVL,50,-0.687111,0.000000,0.000000,2.684436e-06,down,1.0000
ACAT1,50,-1.457315,0.000000,0.000000,5.008240e-06,down,1.0000
ACBD3,50,0.413401,0.000000,0.000000,4.421920e-03,up,1.0000
ACBD6,45,0.486565,0.000000,0.000000,2.153803e-07,up,1.0000
ACER3,50,-1.050930,0.000000,0.000000,4.451926e-18,down,1.0000
ACKR1,50,-1.496961,0.000000,0.000000,3.478268e-02,down,1.0000
ACKR3,50,-1.645289,0.000000,0.000000,2.234339e-04,down,1.0000
ACLY,50,0.295622,0.000000,0.000000,2.688436e-02,up,1.0000
ACO1,50,-1.907189,0.000000,0.000000,6.593181e-04,down,1.0000
ACOT1,45,-1.847169,0.000000,0.000000,5.869729e-05,down,1.0000
ACOT7,50,0.722868,0.000000,0.000000,5.576265e-05,up,1.0000
ACSL1,46,-2.426317,0.000000,0.000000,3.430193e-11,down,1.0000
ACSL5,0,0,0,0,1.0,none,0.0
ACSM5,50,-1.995960,0.000000,0.000000,2.835676e-02,down,1.0000
ACSS2,50,-1.865651,0.000000,0.000000,1.156087e-10,down,1.0000
ACSS3,50,-1.444427,0.000000,0.000000,8.921365e-03,down,1.0000
ACTG1,50,0.367436,0.000000,0.000000,2.503969e-02,up,1.0000
ACTR3,50,0.522594,0.000000,0.000000,2.525989e-07,up,1.0000
ACTR5,47,0.425613,0.000000,0.000000,4.365336e-02,up,1.0000
ACVR1C,50,-4.529064,0.000000,0.000000,9.829663e-71,down,1.0000
ACVR2A,50,-0.412821,0.000000,0.000000,4.695845e-02,down,1.0000
ACVRL1,50,-0.788094,0.000000,0.000000,1.497916e-04,down,1.0000
ACYP1,48,0.537813,0.000000,0.000000,2.885903e-04,up,1.0000
ADAM12,50,0.624009,0.000000,0.000000,8.890986e-02,up,1.0000
ADAM15,47,0.223412,0.000000,0.000000,1.695022e-01,up,1.0000
ADAM28,50,0.550111,0.000000,0.000000,6.393670e-03,up,1.0000
ADAM8,50,0.748351,0.000000,0.000000,2.677132e-02,up,1.0000
ADAMTS1,46,-1.818144,0.000000,0.000000,1.895281e-10,down,1.0000
ADAMTS5,48,-2.296093,0.000000,0.000000,4.158984e-03,down,1.0000
ADAMTS9,46,-0.956964,0.000000,0.000000,5.449551e-02,down,1.0000
ADAR,50,0.813054,0.000000,0.000000,1.164273e-02,up,1.0000
ADAT3,50,0.549098,0.000000,0.000000,9.199842e-02,up,1.0000
ADCK2,50,0.453834,0.000000,0.000000,1.078171e-02,up,1.0000
ADCY4,50,-0.936133,0.000000,0.000000,7.952808e-09,down,1.0000
ADCY6,50,-0.756647,0.000000,0.000000,1.264967e-05,down,1.0000
ADGRA2,48,-1.022282,0.000000,0.000000,3.865487e-02,down,1.0000
ADGRF5,49,-1.582601,0.000000,0.000000,1.567457e-03,down,1.0000
ADGRL2,50,-1.013049,0.000000,0.000000,1.364485e-02,down,1.0000
ADGRL4,50,-1.425416,0.000000,0.000000,8.810452e-05,down,1.0000
ADH1B,50,-4.303105,0.000000,0.000000,1.167623e-03,down,1.0000
ADH1C,50,-2.792984,0.000000,0.000000,1.504223e-03,down,1.0000
ADH5,50,-0.900211,0.000000,0.000000,9.103985e-04,down,1.0000
ADHFE1,50,-1.883647,0.000000,0.000000,3.666676e-03,down,1.0000
ADI1,50,-0.554863,0.000000,0.000000,1.146629e-02,down,1.0000
ADIPOQ,50,-4.064021,0.000000,0.000000,1.023749e-03,down,1.0000
ADIPOR2,0,0,0,0,1.0,none,0.0
ADIRF,50,-2.695493,0.000000,0.000000,8.632343e-16,down,1.0000
ADK,0,0,0,0,1.0,none,0.0
ADM,50,-2.144367,0.000000,0.000000,1.415152e-03,down,1.0000
ADNP,46,0.634776,0.000000,0.000000,4.462368e-04,up,1.0000
ADPGK,50,0.291587,0.000000,0.000000,6.632265e-02,up,1.0000
ADPRS,50,0.618923,0.000000,0.000000,6.578490e-04,up,1.0000
ADRA2A,50,-1.928892,0.000000,0.000000,2.217346e-02,down,1.0000
ADRB1,50,-2.513369,0.000000,0.000000,6.724217e-02,down,1.0000
ADRB2,50,-1.572241,0.000000,0.000000,2.969176e-02,down,1.0000
ADSS1,50,-1.244222,0.000000,0.000000,2.188784e-02,down,1.0000
ADSS2,50,0.788411,0.000000,0.000000,1.193776e-03,up,1.0000
AFAP1L1,50,-2.324477,0.000000,0.000000,3.091827e-07,down,1.0000
AFDN,50,0.133639,0.000000,0.000000,7.458729e-01,up,1.0000
AFTPH,50,0.542436,0.000000,0.000000,1.153650e-02,up,1.0000
AGAP3,0,0,0,0,1.0,none,0.0
AGFG1,0,0,0,0,1.0,none,0.0
AGPAT2,50,-1.652076,0.000000,0.000000,4.365825e-04,down,1.0000
AGPAT5,50,0.754382,0.000000,0.000000,1.526873e-02,up,1.0000
AGPS,0,0,0,0,1.0,none,0.0
AGR2,50,2.968133,0.000000,0.000000,3.584892e-06,up,1.0000
AGR3,45,2.609811,0.000000,0.000000,5.873740e-08,up,1.0000
AGTPBP1,0,0,0,0,1.0,none,0.0
AGTR1,50,-1.857746,0.000000,0.000000,6.606171e-03,down,1.0000
AGTRAP,46,0.679251,0.000000,0.000000,7.955264e-09,up,1.0000
AHCY,50,0.930554,0.000000,0.000000,2.727633e-04,up,1.0000
AHNAK,50,-0.809616,0.000000,0.000000,1.732299e-02,down,1.0000
AIDA,50,-0.453277,0.000000,0.000000,9.812265e-07,down,1.0000
AIFM2,50,-2.222146,0.000000,0.000000,2.506779e-33,down,1.0000
AK3,50,-1.203049,0.000000,0.000000,2.524052e-03,down,1.0000
AK6,0,0,0,0,1.0,none,0.0
AKAP1,50,-0.447692,0.000000,0.000000,2.328802e-04,down,1.0000
AKAP11,0,0,0,0,1.0,none,0.0
AKAP12,50,-2.763728,0.000000,0.000000,5.703026e-05,down,1.0000
AKAP19,48,-1.535662,0.000000,0.000000,1.941726e-05,down,1.0000
AKAP7,46,-0.993212,0.000000,0.000000,1.515826e-02,down,1.0000
AKAP9,50,0.527504,0.000000,0.000000,1.394838e-05,up,1.0000
AKIRIN2,50,-0.421582,0.000000,0.000000,8.712172e-04,down,1.0000
AKR1C1,50,-3.489777,0.000000,0.000000,7.040458e-05,down,1.0000
AKR1C3,50,-3.037804,0.000000,0.000000,1.172645e-13,down,1.0000
AKT3,50,-0.826746,0.000000,0.000000,1.064171e-02,down,1.0000
ALAD,50,-0.986814,0.000000,0.000000,2.952525e-08,down,1.0000
ALCAM,50,1.475322,0.000000,0.000000,4.008403e-12,up,1.0000
ALDH18A1,47,0.817586,0.000000,0.000000,1.707109e-02,up,1.0000
ALDH1A1,50,-2.655200,0.000000,0.000000,8.990459e-04,down,1.0000
ALDH1L1,47,-1.946705,0.000000,0.000000,4.757144e-02,down,1.0000
ALDH2,50,-2.157552,0.000000,0.000000,7.223132e-05,down,1.0000
ALDH3A2,50,-0.809000,0.000000,0.000000,4.315911e-03,down,1.0000
ALDH3B2,50,1.473132,0.000000,0.000000,8.764979e-03,up,1.0000
ALDH4A1,50,-0.545815,0.000000,0.000000,2.731941e-06,down,1.0000
ALDH5A1,50,-0.790942,0.000000,0.000000,6.683632e-02,down,1.0000
ALDH6A1,50,-0.607564,0.000000,0.000000,1.369771e-02,down,1.0000
ALDH9A1,50,-0.552141,0.000000,0.000000,1.149366e-03,down,1.0000
ALDOA,50,0.409285,0.000000,0.000000,5.967318e-02,up,1.0000
ALDOC,50,-1.982319,0.000000,0.000000,2.166101e-02,down,1.0000
