gene,modal_cluster,modal_count,total_runs,modal_fraction,n_distinct_clusters
A1BG,0,4,50,0.080,40
A2M,279,2,50,0.040,49
AADAC,42,3,50,0.060,42
AAGAB,0,4,50,0.080,43
AAMDC,224,2,50,0.040,48
ABAT,3,3,50,0.060,45
ABCA1,292,2,50,0.040,44
ABCA5,237,2,50,0.040,46
ABCA6,7,2,50,0.040,43
ABCA8,155,2,50,0.040,47
ABCA9,306,2,50,0.040,48
ABCC5,67,2,50,0.040,46
ABCD2,267,2,50,0.040,47
ABCD3,237,2,50,0.040,44
ABHD11,372,2,50,0.040,45
ABHD12,418,2,50,0.040,48
ABHD14A,326,2,50,0.040,45
ABHD14B,268,2,50,0.040,47
ABHD15,393,1,50,0.020,50
ABHD16A,141,2,50,0.040,44
ABHD17C,352,2,50,0.040,46
ABHD2,364,3,50,0.060,44
ABHD4,397,2,50,0.040,46
ABHD5,226,2,50,0.040,46
ABHD6,393,2,50,0.040,48
ABI3BP,244,3,50,0.060,45
ABITRAM,288,2,50,0.040,47
ABLIM1,153,2,50,0.040,44
ABLIM3,124,1,50,0.020,50
ABRACL,390,1,50,0.020,50
ACAA2,0,4,50,0.080,43
ACACB,71,3,50,0.060,46
ACAD9,165,2,50,0.040,44
ACADL,242,2,50,0.040,49
ACADM,404,2,50,0.040,46
ACADS,94,3,50,0.060,47
ACADVL,73,3,50,0.060,42
ACAT1,146,2,50,0.040,48
ACBD3,41,2,50,0.040,43
ACBD6,401,2,50,0.040,41
ACER3,172,2,50,0.040,44
ACKR1,23,2,50,0.040,47
ACKR3,0,4,50,0.080,43
ACLY,310,2,50,0.040,48
ACO1,4,2,50,0.040,46
ACOT1,409,2,50,0.040,41
ACOT7,179,3,50,0.060,46
ACSL1,303,2,50,0.040,43
ACSL5,43,4,50,0.080,43
ACSM5,267,2,50,0.040,47
ACSS2,49,1,50,0.020,50
ACSS3,172,2,50,0.040,47
ACTG1,210,3,50,0.060,47
ACTR3,401,2,50,0.040,47
ACTR5,219,2,50,0.040,42
ACVR1C,2,2,50,0.040,49
ACVR2A,102,2,50,0.040,49
ACVRL1,263,2,50,0.040,49
ACYP1,352,2,50,0.040,42
ADAM12,15,2,50,0.040,49
ADAM15,444,2,50,0.040,42
ADAM28,163,2,50,0.040,45
ADAM8,389,1,50,0.020,50
ADAMTS1,355,3,50,0.060,42
ADAMTS5,299,2,50,0.040,46
ADAMTS9,181,2,50,0.040,44
ADAR,319,2,50,0.040,47
ADAT3,141,2,50,0.040,44
ADCK2,179,3,50,0.060,47
ADCY4,263,2,50,0.040,49
ADCY6,352,3,50,0.060,46
ADGRA2,12,2,50,0.040,45
ADGRF5,357,2,50,0.040,45
ADGRL2,251,2,50,0.040,48
ADGRL4,44,3,50,0.060,45
ADH1B,155,2,50,0.040,48
ADH1C,314,2,50,0.040,49
ADH5,415,2,50,0.040,46
ADHFE1,49,1,50,0.020,50
ADI1,222,2,50,0.040,46
ADIPOQ,155,2,50,0.040,47
ADIPOR2,179,2,50,0.040,47
ADIRF,314,2,50,0.040,49
ADK,221,2,50,0.040,44
ADM,0,4,50,0.080,43
ADNP,226,1,50,0.020,46
ADPGK,340,2,50,0.040,48
ADPRS,327,2,50,0.040,48
ADRA2A,454,2,50,0.040,48
ADRB1,95,2,50,0.040,48
ADRB2,215,2,50,0.040,48
ADSS1,42,3,50,0.060,42
ADSS2,393,2,50,0.040,47
AFAP1L1,306,2,50,0.040,48
AFDN,377,2,50,0.040,46
AFTPH,141,2,50,0.040,48
AGAP3,21,4,50,0.080,44
AGFG1,388,2,50,0.040,46
AGPAT2,195,2,50,0.040,47
AGPAT5,389,1,50,0.020,50
AGPS,116,2,50,0.040,47
AGR2,303,2,50,0.040,46
AGR3,460,2,50,0.040,43
AGTPBP1,473,3,50,0.060,42
AGTR1,189,2,50,0.040,47
AGTRAP,276,2,50,0.040,43
AHCY,358,2,50,0.040,49
AHNAK,263,2,50,0.040,49
AIDA,165,2,50,0.040,44
AIFM2,256,2,50,0.040,46
AK3,282,2,50,0.040,46
AK6,131,2,50,0.040,43
AKAP1,2,4,50,0.080,45
AKAP11,313,2,50,0.040,47
AKAP12,314,2,50,0.040,49
AKAP19,12,2,50,0.040,45
AKAP7,300,2,50,0.040,45
AKAP9,117,2,50,0.040,48
AKIRIN2,72,3,50,0.060,44
AKR1C1,72,3,50,0.060,47
AKR1C3,71,3,50,0.060,47
AKT3,282,2,50,0.040,46
ALAD,15,3,50,0.060,46
ALCAM,303,2,50,0.040,46
ALDH18A1,0,4,50,0.080,37
ALDH1A1,242,2,50,0.040,49
ALDH1L1,253,2,50,0.040,46
ALDH2,298,2,50,0.040,46
ALDH3A2,261,3,50,0.060,46
ALDH3B2,118,2,50,0.040,48
ALDH4A1,179,2,50,0.040,46
ALDH5A1,222,2,50,0.040,48
ALDH6A1,213,2,50,0.040,48
ALDH9A1,183,3,50,0.060,47
ALDOA,364,3,50,0.060,44
ALDOC,195,2,50,0.040,47
ALG2,318,2,50,0.040,46
ALG3,340,2,50,0.040,48
ALG9,183,3,50,0.060,47
ALS2,426,2,50,0.040,47
ALYREF,362,2,50,0.040,43
AMIGO3,92,2,50,0.040,45
AMMECR1,372,2,50,0.040,45
AMOTL1,121,2,50,0.040,48
AMOTL2,143,3,50,0.060,47
ANAPC7,26,2,50,0.040,46
ANGPT1,140,2,50,0.040,46
ANGPTL2,41,2,50,0.040,44
ANGPTL4,267,2,50,0.040,47
ANK2,7,2,50,0.040,43
ANK3,232,2,50,0.040,48
ANKMY2,275,2,50,0.040,49
ANKRD12,220,2,50,0.040,49
ANKRD29,49,1,50,0.020,50
ANKRD30A,392,3,50,0.060,42
ANKRD35,49,1,50,0.020,49
ANKRD36,304,2,50,0.040,48
ANKRD40,350,2,50,0.040,48
ANKRD50,109,2,50,0.040,48
ANKS6,395,2,50,0.040,45
ANLN,3,2,50,0.040,48
ANO3,247,2,50,0.040,45
ANO6,154,2,50,0.040,48
ANTKMT,372,2,50,0.040,45
ANTXR2,18,2,50,0.040,46
ANXA11,183,3,50,0.060,47
ANXA2,182,2,50,0.040,44
ANXA3,247,2,50,0.040,45
ANXA5,268,2,50,0.040,46
