cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
0,47,A1BG|AAGAB|ACAA2|ACKR3|ADM|ALDH18A1|ATP13A1|C11orf98|CXCL12|DDX39A|DHRS3|EARS2|EBP|EFEMP1|F11R|FAAP100|HK1|LMLN|LMO3|LSM4|MAGED1|MDFIC|MFAP4|NRN1|NSUN5|NUDT16L1|NUP43|PARN|PDE8B|POGZ|PPIL1|PPP1R14B|PPP1R35|PTGIS|RARRES2|RBCK1|RFX5|RPS6KB2|SEC14L2|SFRP1|SRPRB|STYXL1|TAGLN2|VLDLR|WRNIP1|ZEB2|ZNF544,4,4,4.0
1,14,BICDL2|CAPS|CORO2A|DENND1B|DNAJC1|DPP3|FAAH2|LAGE3|MMEL1|NECTIN4|PLS1|RAP1GAP|RMI1|TAPBP,3,3,3.0
2,13,ACVR1C|AKAP1|DCP1A|DLG1|DRG1|GPAM|IK|KLB|NBAS|PCBP2|PLIN4|SCARA5|THRSP,2,4,3.1
3,46,ABAT|ANLN|ARHGEF15|B4GALT7|CD24|CDC20|CKS2|COMMD4|COMP|COXFA4L3|CXADR|DSP|DTL|FOXA1|GALNT6|GATA3|GJB2|GPATCH4|ITPKB|KRI1|KRT15|KRT7|KRT8|LRRC15|MELK|NAGA|NUSAP1|ORAI2|PAFAH1B3|PI16|PRC1|PRSS8|RAB25|RIMKLB|S100A14|SATB1|SDC1|SLC38A1|SPINT2|SQLE|TACSTD2|TBC1D2B|TPD52|UHRF1|ZG16B|ZWINT,2,3,2.2
4,5,ACO1|CACNA2D1|NDN|NMB|PFKFB1,2,2,2.0
5,10,CASQ2|FBLN5|FGF2|KANK1|MT1M|PCSK5|PFKFB3|RGCC|SIK2|SOX5,3,3,3.0
6,12,CRABP2|CREB3L4|EZH2|H2BC21|LSR|MARVELD3|NHERF1|PLPP4|PRRG4|SYTL1|TJP3|TMC4,2,2,2.0
7,24,ABCA6|ANK2|CDCA4|CFH|DCTPP1|DNMT3A|EBF2|FABP5|GNG11|HSPA12A|LMNB2|MBOAT7|MGLL|NVL|PAGR1|PPP4C|PYGL|RNASEH2A|SLC37A1|SPATS2|STX3|TLE3|TRPM4|ZMYND8,2,2,2.0
10,8,EXO5|NOLC1|P3H1|PARP1|RAD21|SLC35H1|UBE2Z|YKT6,2,3,2.5
12,14,ADGRA2|AKAP19|ARHGAP21|BLOC1S2|DCUN1D3|EMX2|FOXN2|PKD2|SGK2|SNCG|SOD3|STAT5B|TMEM8B|ZNF366,2,3,2.1
14,6,COMMD8|FBXO22|GARNL3|MRPL35|NDUFV2|STX16,2,2,2.0
15,11,ADAM12|ALAD|KLF11|MAP7D3|RAB11FIP1|RBPMS|SDR16C5|SPATA13|TSTD1|UTRN|WNT5A,2,3,2.5
16,9,CD47|DNAJC10|IFI30|NDE1|NUP58|RFC4|SCYL3|SRP9|TTC13,3,3,3.0
17,4,HSPA14|SLC25A14|TRIM37|UTP18,3,3,3.0
18,6,ANTXR2|CACHD1|CCDC178|MAP3K20|PKDCC|SCN4B,2,2,2.0
19,9,CLDN11|DYNC2I2|FAM162B|FOXP2|MYOM1|NATD1|PTPRB|SOX7|SPRY2,2,2,2.0
20,1,MYB,2,2,2.0
21,6,AGAP3|CCDC97|NRDE2|SUGT1|TCHP|THPO,4,4,4.0
22,9,DZIP1|GDF5|HERC6|RAI14|SULF2|SUSD4|TIAM1|WFS1|ZFHX3,2,2,2.0
23,15,ACKR1|AVL9|BCL2L12|BOK|DNASE1L3|ELMOD3|FGFBP2|GALNT15|MGST1|PAXX|RALY|RASD1|RNF157|SMIM3|ZNF672,1,2,1.7
24,7,ARHGAP20|DMD|DOCK11|GNG2|PPP1R14A|RNF150|TMEM132C,2,2,2.0
25,4,CD163L1|CD99|PACS1|PLEKHO2,2,2,2.0
26,11,ANAPC7|C12orf76|DDOST|DDX49|ENTR1|EPHX1|IKBKE|PYM1|RSPRY1|TAF5L|UBE2J2,1,2,1.9
28,6,NAV2|OGT|PKP1|PMM2|PSMA3|RSRP1,2,2,2.0
29,7,ARSD|BYSL|DUS1L|HGH1|RIOX1|SLC6A6|SMG9,2,2,2.0
30,19,CNOT6|DIABLO|EIPR1|F12|GCNT1|KCNK1|MAPK13|MICAL2|MMP1|PABPC1L|SKIC2|TARBP2|TK1|TMED3|TMEM106C|TMEM125|TOMM40|TOP6BL|UBE2T,2,2,2.0
31,14,BCAS4|CRK|DYNC2H1|FAM241A|GPR68|PKP3|PSMA5|RAB9A|RABIF|RASSF7|SLC30A4|TPM3|TWNK|UFSP2,2,2,2.0
32,9,APOL3|BLCAP|CDC42EP2|MAP4|MID2|NAB1|PTPN11|RASIP1|SIDT2,3,3,3.0
33,23,ARHGEF7|CAST|CYB5R3|DUSP22|ESD|EZH1|FER|HACD2|HOXD4|MPRIP|NPR1|PDXK|PGRMC2|RBMS2|ROBO3|RPL11|SH3BP5|SLC25A37|SOS1|SUN2|TFE3|TTC28|WDFY3,2,3,2.9
35,4,H2AC14|NINL|PLCG1|SIPA1L1,2,2,2.0
39,23,ATP9A|CWC22|CYBC1|DNMT3B|EIF4A3|EVI5|GCAT|GPAT4|IQCE|KIF26A|MBD6|MBNL1|MTFP1|POLB|PSENEN|RXRA|SEC16A|SETD5|SPNS1|TCF3|TMEM25|TMEM88|U2AF2,2,4,2.6
41,7,ACBD3|ANGPTL2|HNRNPC|PPP1R3D|PRELP|RAB8A|ZDHHC12,2,2,2.0
42,15,AADAC|ADSS1|ATP23|BICC1|CA3|CALM1|CLSTN2|CRIM1|HSPB8|LRP1B|MYO16|OSR2|PTGDS|PTGS2|TENM3,3,3,3.0
43,17,ACSL5|CTSD|HCFC2|HOOK3|IGFBP3|MAN1C1|MAP1LC3B|NKIRAS1|PEX11A|POLE4|PTCD2|PXK|SH2B3|SLC24A3|SVBP|UQCRC2|ZBED3,2,4,3.4
44,9,ADGRL4|ARHGAP6|CDC16|CORO2B|HADH|HMCES|MOCS1|MORF4L1|SEC62,2,3,2.6
45,12,FAM193B|FOXN3|HIF1AN|KAT2B|NDUFB3|NR3C2|PDE12|PRRC2B|S1PR1|SASH1|TSPYL2|ZSCAN9,3,3,3.0
49,22,ACSS2|ADHFE1|ANKRD29|ANKRD35|CFLAR|DAAM2|EIF2S1|ENTREP1|FIGN|KLF15|MAP2K7|MEGF6|MMRN2|PALM|PAMR1|PIP4P2|PTPN21|RPL22|SCRN2|SCYL2|SLC9A9|ZBTB7C,1,3,1.7
50,8,DTX1|EPM2A|HOXA3|NDRG2|PARVA|PCNX1|PDP2|PEAR1,2,2,2.0
51,3,MRPS26|NUCKS1|PHETA2,2,2,2.0
52,28,BMP2|CACFD1|CCDC80|CFHR1|DPY30|ELOF1|FKBP5|FOXO6|GPR34|H2BC6|KANK4|MESP1|NAALAD2|NEGR1|NEXN|PABPC3|PDGFRL|PLA2G2A|RAB17|RASGRF2|ROGDI|SERTAD4|SIX4|SLC29A4|TBCB|TCEAL7|TRHDE|ZNF587B,2,2,2.0
55,5,DHX15|NKD2|PET100|SHKBP1|ZNF765,2,2,2.0
56,4,EFHC2|MLLT6|NSUN7|RBM12B,3,3,3.0
57,3,FBRSL1|NEURL1B|SLC35F2,3,3,3.0
58,2,EIF4E3|SAMD8,2,2,2.0
61,5,EDNRB|FZD4|LARP6|MRAS|NIPSNAP3B,2,2,2.0
63,18,BANF1|CCDC137|CDKN3|ECT2|GOLM1|GRAMD1A|ILF2|IRF9|JPT1|LCLAT1|LLGL2|MGME1|MOV10|MTHFD2|P4HA1|PUS7|ZNF444|ZNF467,2,2,2.0
67,18,ABCC5|CTBP2|DCTN6|EOLA2|FAM241B|HSD17B7|IGIP|NFKBIE|OAS3|OGFRL1|PTPA|RFC3|SDHD|SFPQ|SRARP|STMN1|TIMELESS|UBA2,2,2,2.0
68,7,CCDC3|HEPN1|LIPE|MTURN|NTRK2|PLAC9|TNXB,2,2,2.0
71,16,ACACB|AKR1C3|AOC3|ASPA|CAVIN2|CDO1|DPT|GHR|GPX3|HBA2|ITIH5|LYVE1|PALMD|PPARG|S100B|SLC19A3,3,3,3.0
72,11,AKIRIN2|AKR1C1|CD36|CHRDL1|FRMD4B|G0S2|HBB|KCTD20|KPNA4|NOAZFP|PHKB,3,3,3.0
73,4,ACADVL|GALT|GJA4|RASL12,3,3,3.0
74,1,RASA3,2,2,2.0
75,20,ARHGAP35|C19orf12|CEP120|CYYR1|DET1|GLE1|GPATCH11|GSDMD|INF2|INMT|INO80D|MYDGF|PRXL2A|SUGP2|TMEM11|TMOD1|TSPAN17|YTHDF1|ZBTB40|ZNF408,2,2,2.0
77,6,BATF|CHPF|JMJD4|MOGS|RHOT2|SETD4,3,3,3.0
78,1,IPPK,1,1,1.0
81,6,CUTA|DDX41|FAM98C|KDM2B|NOXA1|TCERG1,2,2,2.0
82,3,MLX|PJA2|PRKAR1A,2,2,2.0
85,12,BTNL9|CLMP|CPED1|DOLPP1|FLAD1|LRRN4CL|MAMDC2|PHAF1|PKMYT1|SIN3B|TRPM2|UTP25,3,3,3.0
86,7,BUB1B|CCNB2|CFB|CXCL10|HMGB3|LEF1|TYMS,2,2,2.0
87,18,ECHS1|FGL2|HOXA10|HSBP1L1|MARCKSL1|MDK|MROH6|NLK|NPY5R|PBK|PEMT|PEX19|PLPP2|RNASET2|SEPTIN11|TMEM65|TPI1|TRPS1,2,2,2.0
88,7,BOLA2B|CCDC24|QSOX1|SEC61A2|SEMA4D|TMEM141|ZMYND19,2,2,2.0
89,14,ATF7|AUP1|CD81|CHST3|CKAP5|COIL|DTYMK|MISP|MRPL14|PANK3|PUS1|SLC50A1|UBAP2L|ZNF101,2,2,2.0
90,24,ARF6|ATP5MG|BRMS1|CARMIL1|CNOT11|CRB3|CTSF|DAGLB|FAM204A|MANF|MYO9A|PSMB8|SEPTIN7|SETDB1|SLC12A7|SLC35B1|SNAP47|SNRNP25|TRAFD1|TSEN34|TSEN54|USP48|WASF2|ZDHHC16,1,2,1.9
92,5,AMIGO3|NOMO3|TXNDC17|ULK3|WDR55,2,2,2.0
93,7,CLIC2|CREBL2|HOXA7|PER3|PLEKHG6|RGS5|YBX3,3,3,3.0
94,11,ACADS|HIPK2|HOOK2|JHY|MPC1|PJA1|PPP3CB|SNRK|TLE1|TLR3|TRIP10,3,3,3.0
95,8,ADRB1|ARPP19|C14orf180|KCNIP2|KLHL31|LGALS12|PDK4|TRARG1,2,2,2.0
96,12,ARHGEF10|CBX1|CPSF6|ESAM|HMGB2|MOB3C|NUCB2|PINK1|RPN1|SLC25A13|TBC1D4|UBXN2B,2,2,2.0
97,10,ARHGEF9|ECE1|HNRNPUL2|KLHL11|LAMTOR3|PIP5K1C|PLVAP|PPP6R3|TCF25|TUBB,2,2,2.0
100,3,NKRF|TUBA3D|WDR3,2,2,2.0
101,6,CD163|CYB5A|PIM1|PTPRO|RASSF4|SOCS3,2,2,2.0
102,10,ACVR2A|APEX2|CDK5|EIF4B|GNAQ|NAT10|PRUNE2|SIRT7|SMARCC1|TAB2,2,2,2.0
103,5,BGN|EZR|KRTCAP3|PAQR4|WDR90,2,2,2.0
106,3,MTF2|PHF6|TMEM107,2,2,2.0
107,2,KCTD18|RIOX2,2,2,2.0
108,9,APOD|ASS1|DLC1|FBLN2|GSTM5|PLTP|SERPINF1|SPX|ZFPM2,2,2,2.0
109,2,ANKRD50|TIFA,2,2,2.0
110,16,AVPR1A|BNIP2|CLEC1A|ERG|EXOSC7|KCNAB1|KLHL29|LETMD1|NPR2|PLD1|POU6F1|PTCH1|ROCK2|SNED1|TEF|WNK1,2,2,2.0
113,8,ATP6AP1|CTPS1|EME1|EVL|PARP9|PREX1|PRXL2B|STRBP,2,2,2.0
114,11,CKAP4|EXOSC4|GPSM2|KIF20A|KIF22|NIBAN2|PLEK2|RAB15|SPAG5|TFPT|VMP1,1,2,1.6
116,12,AGPS|CC2D2A|CLIC4|FITM2|LMBRD1|MLYCD|MYH10|NCOA4|NDUFAF1|PDE5A|PHLDA3|RILP,2,2,2.0
117,8,AKAP9|G3BP1|INTS13|KDM1A|MTPAP|P4HB|RSAD2|TMEM41B,2,2,2.0
118,10,ALDH3B2|BHLHE40|DHCR24|DLG5|GPR137B|MXRA5|PLXNC1|PRSS23|TFF3|TOM1L1,2,2,2.0
119,6,CD248|DIXDC1|GYPC|KLF2|MAN1A1|ZNF423,3,3,3.0
120,7,CKMT2|CTNNAL1|HRCT1|MAOB|PHLDB2|TMEM170B|VEGFB,2,2,2.0
121,19,AMOTL1|CCDC50|DBF4|ENO2|GAS7|GGCT|HYCC1|ISM1|JAZF1|KCTD5|KHDC4|MAML2|PELI2|PYCR1|STX7|THYN1|TM4SF18|VEGFC|VPS37C,2,2,2.0
123,3,HM13|RLIM|TBCE,2,2,2.0
124,7,ABLIM3|ARHGAP24|B3GALT6|DUSP6|GPER1|SPRY1|TNIP1,1,2,1.1
125,14,DOCK5|FIBP|HLA-DOA|LRRD1|MFSD12|MYO1D|NEU3|NRIP3|OAS2|PRCC|REL|SIDT1|SLC35D1|ZNF729,2,2,2.0
128,20,ARHGEF16|CD2AP|CERS2|EIF2B5|EML2|ENC1|FOXK2|H2AC17|HNRNPK|INPP4B|MORF4L2|MPV17L2|PRPF4|PSMB4|SETSIP|SLC4A8|TMEM134|TMF1|TRIM24|ZBTB5,2,3,2.4
131,9,AK6|CDK20|CUEDC1|EPHB2|PA2G4|TMPO|TNK1|TRAM1|TUBA1B,2,2,2.0
132,6,DNAJB11|HEATR1|KPNB1|TMEM39A|TMEM86A|UBE2Q1,2,2,2.0
133,7,ARHGAP31|C22orf39|CEP68|GID4|MSRA|PEAK1|QTMAN,2,2,2.0
134,18,ARHGEF19|DPH2|KLHDC8B|KRABD5|MEIS3|MTMR10|PGAP4|PPARA|RPL8|SETD7|SMIM20|SRP72|SRXN1|TATDN2|TPMT|TSHZ2|USP7|ZNF213,2,2,2.0
136,1,ROBO4,2,2,2.0
137,7,CLIC5|NAT8L|PLEKHH2|PRICKLE2|PTPRG|TEK|TMEM273,2,2,2.0
138,9,ARID5B|C1QTNF1|CDK2|EFCAB11|HEBP2|NLRX1|PDK2|SPARCL1|TNFAIP8,1,2,1.8
140,16,ANGPT1|BHMT2|CAV1|CEP85|LIG1|METTL1|MGAT4A|NOP16|PAK4|PCDH9|PIK3R2|POLR3K|RCC1|SLC2A1|SLX1A|YIF1B,2,2,2.0
141,15,ABHD16A|ADAT3|AFTPH|CERS5|CSE1L|FARSA|LCMT1|MED19|NAGK|NUP133|OFD1|PIGQ|PPDPF|SECISBP2|UQCC3,2,2,2.0
143,19,AMOTL2|AQP1|ASPH|BTBD6|CDC14B|COX14|CUTC|DENND2A|GRK5|HABP4|IL11RA|KANK2|MYCT1|NR3C1|OSBPL1A|PNPLA2|RRAS2|SYN2|TXNIP,2,3,2.8
144,8,HDDC2|HIBCH|LSM6|RAMP2|SSH2|USP33|WDR36|ZFP36L2,2,2,2.0
