run,success,core_gene_count,elapsed_seconds
1,True,3702,839.1
2,True,3692,982.4
3,True,3679,854.4
4,True,3686,853.4
5,True,3709,893.6
6,True,3684,938.4
7,True,3680,868.3
8,True,3668,827.7
9,True,3668,826.3
10,True,3671,818.9
11,True,3698,826.5
12,True,3684,819.7
13,True,3653,825.7
14,True,3674,832.5
15,True,3679,828.5
16,True,3687,836.9
17,True,3676,827.8
18,True,3670,814.1
19,True,3710,814.5
20,True,3691,814.3
21,True,3700,817.6
22,True,3693,812.9
23,True,3679,820.8
24,True,3667,807.0
25,True,3660,824.1
26,True,3684,807.7
27,True,3675,811.4
28,True,3685,816.0
29,True,3686,818.6
30,True,3664,810.8
31,True,3655,801.5
32,True,3650,808.5
33,True,3688,807.3
34,True,3664,806.3
35,True,3662,806.4
36,True,3693,808.9
37,True,3674,815.0
38,True,3648,800.0
39,True,3682,813.8
40,True,3676,811.8
41,True,3644,815.2
42,True,3709,836.4
43,True,3690,807.2
44,True,3673,807.1
45,True,3654,833.1
46,True,3675,811.0
47,True,3691,824.5
48,True,3667,807.1
49,True,3715,804.1
50,True,3696,897.4
