run_i,run_j,n_genes_i,n_genes_j,n_intersection,n_union,jaccard
1,2,3702,3692,3641,3753,0.9701572075672795
1,3,3702,3679,3626,3755,0.9656458055925433
1,4,3702,3686,3623,3765,0.9622841965471447
1,5,3702,3709,3644,3767,0.9673480222989116
1,6,3702,3684,3627,3759,0.9648842777334398
1,7,3702,3680,3624,3758,0.9643427354976051
1,8,3702,3668,3616,3754,0.9632392115077251
1,9,3702,3668,3608,3762,0.9590643274853801
1,10,3702,3671,3621,3752,0.9650852878464818
1,11,3702,3698,3631,3769,0.9633855133987795
1,12,3702,3684,3623,3763,0.9627956417751794
1,13,3702,3653,3593,3762,0.9550770866560341
1,14,3702,3674,3619,3757,0.96326856534469
1,15,3702,3679,3624,3757,0.9645994144264041
1,16,3702,3687,3632,3757,0.9667287729571467
1,17,3702,3676,3625,3753,0.9658939515054623
1,18,3702,3670,3618,3754,0.9637719765583378
1,19,3702,3710,3651,3761,0.9707524594522733
1,20,3702,3691,3630,3763,0.9646558596864204
1,21,3702,3700,3641,3761,0.9680935921297528
1,22,3702,3693,3633,3762,0.9657097288676236
1,23,3702,3679,3626,3755,0.9656458055925433
1,24,3702,3667,3613,3756,0.9619275825346113
1,25,3702,3660,3609,3753,0.9616306954436451
1,26,3702,3684,3624,3762,0.9633173843700159
1,27,3702,3675,3615,3762,0.9609250398724083
1,28,3702,3685,3625,3762,0.9635832004253057
1,29,3702,3686,3630,3758,0.9659393294305482
1,30,3702,3664,3609,3757,0.9606068671812616
1,31,3702,3655,3598,3759,0.957169459962756
1,32,3702,3650,3591,3761,0.9547992555171497
1,33,3702,3688,3626,3764,0.963336875664187
1,34,3702,3664,3610,3756,0.9611288604898829
1,35,3702,3662,3609,3755,0.9611185086551265
1,36,3702,3693,3637,3758,0.967802022352315
1,37,3702,3674,3625,3751,0.9664089576113036
1,38,3702,3648,3598,3752,0.9589552238805971
1,39,3702,3682,3635,3749,0.9695918911709789
1,40,3702,3676,3620,3758,0.9632783395423098
1,41,3702,3644,3590,3756,0.95580404685836
1,42,3702,3709,3652,3759,0.9715349827081671
1,43,3702,3690,3632,3760,0.9659574468085106
1,44,3702,3673,3613,3762,0.9603934077618288
1,45,3702,3654,3604,3752,0.9605543710021321
1,46,3702,3675,3625,3752,0.9661513859275054
1,47,3702,3691,3632,3761,0.9657006115394842
1,48,3702,3667,3614,3755,0.9624500665778961
1,49,3702,3715,3658,3759,0.9731311519021016
1,50,3702,3696,3636,3762,0.9665071770334929
2,3,3692,3679,3619,3752,0.9645522388059702
2,4,3692,3686,3619,3759,0.962756052141527
2,5,3692,3709,3641,3760,0.9683510638297872
2,6,3692,3684,3622,3754,0.9648375066595631
