gene,appearance_count,appearance_rate,stability_class,total_runs
AK6,50,1.0000,iron-clad,50
CDK20,50,1.0000,iron-clad,50
CUEDC1,50,1.0000,iron-clad,50
EPHB2,50,1.0000,iron-clad,50
TMPO,50,1.0000,iron-clad,50
TNK1,50,1.0000,iron-clad,50
ABAT,50,1.0000,iron-clad,50
GPATCH4,50,1.0000,iron-clad,50
KRI1,50,1.0000,iron-clad,50
ORAI2,50,1.0000,iron-clad,50
COMMD4,50,1.0000,iron-clad,50
ITPKB,50,1.0000,iron-clad,50
KRT15,50,1.0000,iron-clad,50
NAGA,50,1.0000,iron-clad,50
ADSS2,50,1.0000,iron-clad,50
BZW2,50,1.0000,iron-clad,50
CASK,50,1.0000,iron-clad,50
COBL,50,1.0000,iron-clad,50
CSTF3,50,1.0000,iron-clad,50
DAP3,50,1.0000,iron-clad,50
ENOPH1,50,1.0000,iron-clad,50
FN1,50,1.0000,iron-clad,50
H4C11,50,1.0000,iron-clad,50
HNRNPAB,50,1.0000,iron-clad,50
HPRT1,50,1.0000,iron-clad,50
IDH2,50,1.0000,iron-clad,50
JTB,50,1.0000,iron-clad,50
KIF5C,50,1.0000,iron-clad,50
LYPLA1,50,1.0000,iron-clad,50
SDF2L1,50,1.0000,iron-clad,50
SEPTIN8,50,1.0000,iron-clad,50
SERP1,50,1.0000,iron-clad,50
SNRPG,50,1.0000,iron-clad,50
SUCO,50,1.0000,iron-clad,50
SYNGR2,50,1.0000,iron-clad,50
TMEM132A,50,1.0000,iron-clad,50
CDK4,50,1.0000,iron-clad,50
NELFCD,50,1.0000,iron-clad,50
PPP4R1,50,1.0000,iron-clad,50
TAF11,50,1.0000,iron-clad,50
ZFP64,50,1.0000,iron-clad,50
CEP120,50,1.0000,iron-clad,50
DET1,50,1.0000,iron-clad,50
INF2,50,1.0000,iron-clad,50
TMEM11,50,1.0000,iron-clad,50
CD24,50,1.0000,iron-clad,50
KRT8,50,1.0000,iron-clad,50
NUSAP1,50,1.0000,iron-clad,50
PRC1,50,1.0000,iron-clad,50
SDC1,50,1.0000,iron-clad,50
SLC38A1,50,1.0000,iron-clad,50
CDCA4,50,1.0000,iron-clad,50
DCTPP1,50,1.0000,iron-clad,50
DNMT3A,50,1.0000,iron-clad,50
LMNB2,50,1.0000,iron-clad,50
MBOAT7,50,1.0000,iron-clad,50
NVL,50,1.0000,iron-clad,50
PAGR1,50,1.0000,iron-clad,50
PPP4C,50,1.0000,iron-clad,50
RNASEH2A,50,1.0000,iron-clad,50
SLC37A1,50,1.0000,iron-clad,50
SPATS2,50,1.0000,iron-clad,50
STX3,50,1.0000,iron-clad,50
TLE3,50,1.0000,iron-clad,50
TRPM4,50,1.0000,iron-clad,50
ZMYND8,50,1.0000,iron-clad,50
A1BG,50,1.0000,iron-clad,50
ATP13A1,50,1.0000,iron-clad,50
C11orf98,50,1.0000,iron-clad,50
DDX39A,50,1.0000,iron-clad,50
EARS2,50,1.0000,iron-clad,50
EBP,50,1.0000,iron-clad,50
F11R,50,1.0000,iron-clad,50
HK1,50,1.0000,iron-clad,50
LMLN,50,1.0000,iron-clad,50
LSM4,50,1.0000,iron-clad,50
MAGED1,50,1.0000,iron-clad,50
NUDT16L1,50,1.0000,iron-clad,50
NUP43,50,1.0000,iron-clad,50
POGZ,50,1.0000,iron-clad,50
PPIL1,50,1.0000,iron-clad,50
PPP1R14B,50,1.0000,iron-clad,50
RBCK1,50,1.0000,iron-clad,50
RFX5,50,1.0000,iron-clad,50
RPS6KB2,50,1.0000,iron-clad,50
TAGLN2,50,1.0000,iron-clad,50
ZNF544,50,1.0000,iron-clad,50
ACSS3,50,1.0000,iron-clad,50
C1orf115,50,1.0000,iron-clad,50
F3,50,1.0000,iron-clad,50
FOLR2,50,1.0000,iron-clad,50
MRC1,50,1.0000,iron-clad,50
PLPP3,50,1.0000,iron-clad,50
TMEM47,50,1.0000,iron-clad,50
TPPP3,50,1.0000,iron-clad,50
TUBB6,50,1.0000,iron-clad,50
ZEB1,50,1.0000,iron-clad,50
ZFP36,50,1.0000,iron-clad,50
ARID5B,50,1.0000,iron-clad,50
CLIC2,50,1.0000,iron-clad,50
CREBL2,50,1.0000,iron-clad,50
HOXA7,50,1.0000,iron-clad,50
PER3,50,1.0000,iron-clad,50
PLEKHG6,50,1.0000,iron-clad,50
RGS5,50,1.0000,iron-clad,50
SPARCL1,50,1.0000,iron-clad,50
TNFAIP8,50,1.0000,iron-clad,50
YBX3,50,1.0000,iron-clad,50
COASY,50,1.0000,iron-clad,50
GRK6,50,1.0000,iron-clad,50
RAB11A,50,1.0000,iron-clad,50
SMCR8,50,1.0000,iron-clad,50
ALG2,50,1.0000,iron-clad,50
B4GALT1,50,1.0000,iron-clad,50
DNAL4,50,1.0000,iron-clad,50
MIEN1,50,1.0000,iron-clad,50
PRR11,50,1.0000,iron-clad,50
PSMD3,50,1.0000,iron-clad,50
RDH11,50,1.0000,iron-clad,50
SGSM3,50,1.0000,iron-clad,50
TMEM123,50,1.0000,iron-clad,50
ZNF468,50,1.0000,iron-clad,50
CCL8,50,1.0000,iron-clad,50
CSF1R,50,1.0000,iron-clad,50
FCGR2B,50,1.0000,iron-clad,50
PTGR1,50,1.0000,iron-clad,50
PTX3,50,1.0000,iron-clad,50
RDH10,50,1.0000,iron-clad,50
SESTD1,50,1.0000,iron-clad,50
SPON1,50,1.0000,iron-clad,50
TFPI2,50,1.0000,iron-clad,50
THBS4,50,1.0000,iron-clad,50
TSPAN8,50,1.0000,iron-clad,50
DMXL1,50,1.0000,iron-clad,50
PLCL1,50,1.0000,iron-clad,50
SLC47A1,50,1.0000,iron-clad,50
EGLN1,50,1.0000,iron-clad,50
EIF3K,50,1.0000,iron-clad,50
KCTD7,50,1.0000,iron-clad,50
MKNK2,50,1.0000,iron-clad,50
NEK1,50,1.0000,iron-clad,50
PPP4R3B,50,1.0000,iron-clad,50
VAMP4,50,1.0000,iron-clad,50
ANLN,50,1.0000,iron-clad,50
COMP,50,1.0000,iron-clad,50
COXFA4L3,50,1.0000,iron-clad,50
GALNT6,50,1.0000,iron-clad,50
GJB2,50,1.0000,iron-clad,50
KRT7,50,1.0000,iron-clad,50
LRRC15,50,1.0000,iron-clad,50
TACSTD2,50,1.0000,iron-clad,50
UHRF1,50,1.0000,iron-clad,50
ZG16B,50,1.0000,iron-clad,50
ANTXR2,50,1.0000,iron-clad,50
CACHD1,50,1.0000,iron-clad,50
CCDC178,50,1.0000,iron-clad,50
MAP3K20,50,1.0000,iron-clad,50
PKDCC,50,1.0000,iron-clad,50
SCN4B,50,1.0000,iron-clad,50
CLDN11,50,1.0000,iron-clad,50
FAM162B,50,1.0000,iron-clad,50
FOXP2,50,1.0000,iron-clad,50
MYOM1,50,1.0000,iron-clad,50
NATD1,50,1.0000,iron-clad,50
PTPRB,50,1.0000,iron-clad,50
SOX7,50,1.0000,iron-clad,50
SPRY2,50,1.0000,iron-clad,50
CXADR,50,1.0000,iron-clad,50
DSP,50,1.0000,iron-clad,50
RAB25,50,1.0000,iron-clad,50
SPINT2,50,1.0000,iron-clad,50
TPD52,50,1.0000,iron-clad,50
CD47,50,1.0000,iron-clad,50
DNAJC10,50,1.0000,iron-clad,50
IFI30,50,1.0000,iron-clad,50
NDE1,50,1.0000,iron-clad,50
NUP58,50,1.0000,iron-clad,50
RFC4,50,1.0000,iron-clad,50
SCYL3,50,1.0000,iron-clad,50
SRP9,50,1.0000,iron-clad,50
TTC13,50,1.0000,iron-clad,50
HSPA14,50,1.0000,iron-clad,50
SLC25A14,50,1.0000,iron-clad,50
TRIM37,50,1.0000,iron-clad,50
UTP18,50,1.0000,iron-clad,50
PARP1,50,1.0000,iron-clad,50
RALY,50,1.0000,iron-clad,50
SLC35H1,50,1.0000,iron-clad,50
UBE2Z,50,1.0000,iron-clad,50
ZNF672,50,1.0000,iron-clad,50
AAGAB,50,1.0000,iron-clad,50
FAAP100,50,1.0000,iron-clad,50
NSUN5,50,1.0000,iron-clad,50
PARN,50,1.0000,iron-clad,50
SEC14L2,50,1.0000,iron-clad,50
STYXL1,50,1.0000,iron-clad,50
WRNIP1,50,1.0000,iron-clad,50
FILIP1L,50,1.0000,iron-clad,50
FSTL1,50,1.0000,iron-clad,50
PDGFRA,50,1.0000,iron-clad,50
S100A4,50,1.0000,iron-clad,50
TSKU,50,1.0000,iron-clad,50
CHP1,50,1.0000,iron-clad,50
CHST7,50,1.0000,iron-clad,50
IPO5,50,1.0000,iron-clad,50
MFNG,50,1.0000,iron-clad,50
MLXIPL,50,1.0000,iron-clad,50
NQO2,50,1.0000,iron-clad,50
PHGDH,50,1.0000,iron-clad,50
PKIG,50,1.0000,iron-clad,50
PMP22,50,1.0000,iron-clad,50
PRDX6,50,1.0000,iron-clad,50
PRKD1,50,1.0000,iron-clad,50
RBMS1,50,1.0000,iron-clad,50
TNNT3,50,1.0000,iron-clad,50
TTC38,50,1.0000,iron-clad,50
CCDC28A,50,1.0000,iron-clad,50
JCAD,50,1.0000,iron-clad,50
NDUFS4,50,1.0000,iron-clad,50
RNF146,50,1.0000,iron-clad,50
SDCBP,50,1.0000,iron-clad,50
SMARCA2,50,1.0000,iron-clad,50
TRIM8,50,1.0000,iron-clad,50
UROD,50,1.0000,iron-clad,50
UVRAG,50,1.0000,iron-clad,50
YBX1,50,1.0000,iron-clad,50
CPQ,50,1.0000,iron-clad,50
CTSG,50,1.0000,iron-clad,50
DIP2C,50,1.0000,iron-clad,50
EIF2B3,50,1.0000,iron-clad,50
FNDC4,50,1.0000,iron-clad,50
FTL,50,1.0000,iron-clad,50
GCLC,50,1.0000,iron-clad,50
MT1HL1,50,1.0000,iron-clad,50
NDEL1,50,1.0000,iron-clad,50
PRR5,50,1.0000,iron-clad,50
WDR19,50,1.0000,iron-clad,50
ECHS1,50,1.0000,iron-clad,50
FGL2,50,1.0000,iron-clad,50
HOXA10,50,1.0000,iron-clad,50
NPY5R,50,1.0000,iron-clad,50
PEX19,50,1.0000,iron-clad,50
SEPTIN11,50,1.0000,iron-clad,50
CAVIN3,50,1.0000,iron-clad,50
CEBPB,50,1.0000,iron-clad,50
DLD,50,1.0000,iron-clad,50
FBXL5,50,1.0000,iron-clad,50
HIGD1B,50,1.0000,iron-clad,50
JUN,50,1.0000,iron-clad,50
MCCC1,50,1.0000,iron-clad,50
NDRG1,50,1.0000,iron-clad,50
PHACTR2,50,1.0000,iron-clad,50
RGS3,50,1.0000,iron-clad,50
CBX1,50,1.0000,iron-clad,50
CPSF6,50,1.0000,iron-clad,50
HMGB2,50,1.0000,iron-clad,50
NUCB2,50,1.0000,iron-clad,50
RPN1,50,1.0000,iron-clad,50
SLC25A13,50,1.0000,iron-clad,50
UBXN2B,50,1.0000,iron-clad,50
CCN4,50,1.0000,iron-clad,50
CDK1,50,1.0000,iron-clad,50
GINS1,50,1.0000,iron-clad,50
GPRC5A,50,1.0000,iron-clad,50
H2BC5,50,1.0000,iron-clad,50
MMP11,50,1.0000,iron-clad,50
SACK1H,50,1.0000,iron-clad,50
AP1M2,50,1.0000,iron-clad,50
BAIAP2L1,50,1.0000,iron-clad,50
CCNB1,50,1.0000,iron-clad,50
CENPU,50,1.0000,iron-clad,50
NPNT,50,1.0000,iron-clad,50
PTTG1,50,1.0000,iron-clad,50
SYNE4,50,1.0000,iron-clad,50
CANT1,50,1.0000,iron-clad,50
GALE,50,1.0000,iron-clad,50
GCH1,50,1.0000,iron-clad,50
GFUS,50,1.0000,iron-clad,50
INAVA,50,1.0000,iron-clad,50
MIF,50,1.0000,iron-clad,50
PDCD6,50,1.0000,iron-clad,50
PLAAT4,50,1.0000,iron-clad,50
SLC20A1,50,1.0000,iron-clad,50
SLC35A2,50,1.0000,iron-clad,50
CDH1,50,1.0000,iron-clad,50
COL10A1,50,1.0000,iron-clad,50
COL11A1,50,1.0000,iron-clad,50
EPCAM,50,1.0000,iron-clad,50
KRT18,50,1.0000,iron-clad,50
KRT19,50,1.0000,iron-clad,50
RRM2,50,1.0000,iron-clad,50
S100P,50,1.0000,iron-clad,50
TOP2A,50,1.0000,iron-clad,50
CDC20,50,1.0000,iron-clad,50
CKS2,50,1.0000,iron-clad,50
DTL,50,1.0000,iron-clad,50
FOXA1,50,1.0000,iron-clad,50
GATA3,50,1.0000,iron-clad,50
MELK,50,1.0000,iron-clad,50
PAFAH1B3,50,1.0000,iron-clad,50
PRSS8,50,1.0000,iron-clad,50
S100A14,50,1.0000,iron-clad,50
SQLE,50,1.0000,iron-clad,50
ZWINT,50,1.0000,iron-clad,50
NOMO3,50,1.0000,iron-clad,50
RIOX1,50,1.0000,iron-clad,50
TXNDC17,50,1.0000,iron-clad,50
ULK3,50,1.0000,iron-clad,50
WDR55,50,1.0000,iron-clad,50
AGAP3,50,1.0000,iron-clad,50
CCDC97,50,1.0000,iron-clad,50
NRDE2,50,1.0000,iron-clad,50
SUGT1,50,1.0000,iron-clad,50
THPO,50,1.0000,iron-clad,50
ATP9A,50,1.0000,iron-clad,50
CWC22,50,1.0000,iron-clad,50
EVI5,50,1.0000,iron-clad,50
KIF26A,50,1.0000,iron-clad,50
MBNL1,50,1.0000,iron-clad,50
RXRA,50,1.0000,iron-clad,50
TMEM88,50,1.0000,iron-clad,50
ACSS2,50,1.0000,iron-clad,50
ADHFE1,50,1.0000,iron-clad,50
ANKRD29,50,1.0000,iron-clad,50
DAAM2,50,1.0000,iron-clad,50
FIGN,50,1.0000,iron-clad,50
KLF15,50,1.0000,iron-clad,50
MMRN2,50,1.0000,iron-clad,50
PALM,50,1.0000,iron-clad,50
PAMR1,50,1.0000,iron-clad,50
PTPN21,50,1.0000,iron-clad,50
SCRN2,50,1.0000,iron-clad,50
SLC9A9,50,1.0000,iron-clad,50
ACAD9,50,1.0000,iron-clad,50
AIDA,50,1.0000,iron-clad,50
GOLGA7,50,1.0000,iron-clad,50
PDE4A,50,1.0000,iron-clad,50
RHOA,50,1.0000,iron-clad,50
RPUSD4,50,1.0000,iron-clad,50
CDC16,50,1.0000,iron-clad,50
HMCES,50,1.0000,iron-clad,50
MORF4L1,50,1.0000,iron-clad,50
SEC62,50,1.0000,iron-clad,50
MXD3,50,1.0000,iron-clad,50
NPIPA1,50,1.0000,iron-clad,50
XPO7,50,1.0000,iron-clad,50
ASS1,50,1.0000,iron-clad,50
FBLN2,50,1.0000,iron-clad,50
GSTM5,50,1.0000,iron-clad,50
PLTP,50,1.0000,iron-clad,50
SPX,50,1.0000,iron-clad,50
C3,50,1.0000,iron-clad,50
COL15A1,50,1.0000,iron-clad,50
ID1,50,1.0000,iron-clad,50
PEPD,50,1.0000,iron-clad,50
RNF130,50,1.0000,iron-clad,50
VTI1B,50,1.0000,iron-clad,50
NAV3,50,1.0000,iron-clad,50
NFU1,50,1.0000,iron-clad,50
PLAGL1,50,1.0000,iron-clad,50
TM7SF2,50,1.0000,iron-clad,50
TUBB2A,50,1.0000,iron-clad,50
BNC2,50,1.0000,iron-clad,50
CCNH,50,1.0000,iron-clad,50
DPP4,50,1.0000,iron-clad,50
LNPEP,50,1.0000,iron-clad,50
RAB33B,50,1.0000,iron-clad,50
BCL2L13,50,1.0000,iron-clad,50
DAAM1,50,1.0000,iron-clad,50
FSTL3,50,1.0000,iron-clad,50
LIPT1,50,1.0000,iron-clad,50
POP5,50,1.0000,iron-clad,50
AGTR1,50,1.0000,iron-clad,50
CXCL14,50,1.0000,iron-clad,50
CYP4B1,50,1.0000,iron-clad,50
DUSP1,50,1.0000,iron-clad,50
FOS,50,1.0000,iron-clad,50
OMD,50,1.0000,iron-clad,50
PIR,50,1.0000,iron-clad,50
SGCE,50,1.0000,iron-clad,50
VSIG4,50,1.0000,iron-clad,50
CD248,50,1.0000,iron-clad,50
DIXDC1,50,1.0000,iron-clad,50
GYPC,50,1.0000,iron-clad,50
KLF2,50,1.0000,iron-clad,50
MAN1A1,50,1.0000,iron-clad,50
ZNF423,50,1.0000,iron-clad,50
ABCA6,50,1.0000,iron-clad,50
ANK2,50,1.0000,iron-clad,50
CFH,50,1.0000,iron-clad,50
EBF2,50,1.0000,iron-clad,50
