gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
A1CF,3,3,-1.1965254269856167,-1.1965254269856167,True
A2M,3,3,0.9376716807665773,0.9376716807665773,True
A2ML1,3,2,-0.175384664536681,-0.13295771011226654,True
A4GALT,3,2,0.26055436045302144,0.3325157429131935,True
AAAS,3,2,0.1507945912995646,0.11138637163187148,True
AADACL2,3,2,-0.2692552245346989,-0.13758330822694465,True
AADAT,3,2,0.21043518726498167,0.2856901785782333,False
AAK1,3,3,-0.24791387899516457,-0.24791387899516457,True
AAMDC,3,3,-0.45767487338505514,-0.45767487338505514,True
AAMP,3,2,-0.20273910276093213,-0.2597165037493303,True
AAR2,3,2,0.022311134963816315,0.04029317057949111,False
AARS1,3,2,0.3520364681728019,0.4498836371638122,True
AASS,3,3,0.5856053633396567,0.5856053633396567,True
ABAT,3,3,-0.8125310157562803,-0.8125310157562803,True
ABCA10,2,2,-0.4731656708441254,-0.4731656708441254,True
ABCA12,3,3,2.4088490709981065,2.4088490709981065,True
ABCA13,3,2,0.6713472874493638,0.5605126945508356,True
ABCA2,3,2,-0.381658582564115,-0.4279799283186523,True
ABCA5,3,3,-0.6745718643936858,-0.6745718643936858,True
ABCA7,3,2,0.21309904127679888,0.15375470824138882,True
ABCA8,3,3,-0.674611186587712,-0.674611186587712,True
ABCA9,3,2,-0.26355813190407257,-0.3419578047144598,True
ABCB1,3,3,-2.3877307440454323,-2.3877307440454323,True
ABCB10,3,3,-0.2736603036097189,-0.2736603036097189,True
ABCB11,3,2,-0.6289294343832431,-0.5504077463654089,True
ABCB4,3,2,-0.8299272438766456,-1.2338784933017544,False
ABCB6,3,2,0.23933249946823754,0.19536167499604717,True
ABCB7,3,3,-0.32874896783165813,-0.32874896783165813,True
ABCB8,3,2,0.18413198350498602,0.1442358635123444,True
ABCB9,3,2,-0.40578118720568374,-0.29583480903335246,True
ABCC1,3,3,0.7999263942709876,0.7999263942709876,True
ABCC10,3,2,0.196043533954995,0.2726254946050619,True
ABCC12,3,2,0.02275814841314509,-0.1858426982284982,True
ABCC2,3,2,-0.8531096865480462,-0.6419172231141195,True
ABCC6,2,2,-0.3716849990463835,-0.3716849990463835,True
ABCC8,3,2,-0.21928465058162314,-0.12793896435717667,True
ABCC9,3,2,0.6544712987209511,0.7729440880946044,True
ABCD2,3,2,0.36678761106342783,0.4817481515093527,True
ABCD3,3,3,-0.7718891918153599,-0.7718891918153599,True
ABCD4,3,2,-0.13766836842761845,-0.10780674808973911,True
ABCE1,3,2,0.24160611326384066,0.2752130298845059,True
ABCG2,3,3,-3.1119814067671094,-3.1119814067671094,True
ABHD11,3,3,-0.3283379613101604,-0.3283379613101604,True
ABHD12,3,3,-0.5539022183912051,-0.5539022183912051,True
ABHD14B,3,3,-0.3109797318605185,-0.3109797318605185,True
ABHD15,3,3,-0.3592547095045943,-0.3592547095045943,True
ABHD17A,3,2,-0.01648929075883802,0.013600171394208438,False
ABHD18,3,3,-0.393983343581741,-0.393983343581741,True
ABHD2,3,3,0.4442348390512656,0.4442348390512656,True
ABHD3,3,2,-0.49646569442561156,-0.5862704058202786,True
ABHD4,3,3,-0.4354544500862734,-0.4354544500862734,True
ABHD5,3,3,-0.5549778729268713,-0.5549778729268713,True
ABHD6,3,3,-0.588803291081233,-0.588803291081233,True
ABI2,3,3,0.46458781965613066,0.46458781965613066,True
ABITRAM,3,3,-0.31151718566404024,-0.31151718566404024,True
ABL2,3,3,0.350671374747189,0.350671374747189,True
ABLIM3,3,2,0.3341302943708551,0.31729698228881453,True
ABO,3,2,-0.4698216187967666,-0.5339716674443871,True
ABR,3,2,-0.23681954136646213,-0.3248370988586302,True
ABRACL,3,3,-0.3952132404297351,-0.3952132404297351,True
ABRAXAS2,3,3,-0.21453878743143306,-0.21453878743143306,True
ABTB2,3,3,-0.27153099516975104,-0.27153099516975104,True
ACAA1,3,3,-0.6472221505935138,-0.6472221505935138,True
ACAA2,3,3,-0.6999515895504663,-0.6999515895504663,True
ACACA,3,2,0.3719768432533292,0.479258625415925,True
ACACB,3,3,-0.42417510072307846,-0.42417510072307846,True
ACAD10,3,3,-0.3920401300104365,-0.3920401300104365,True
ACAD8,3,3,-0.3490161028215765,-0.3490161028215765,True
ACADM,3,3,-1.070744819922415,-1.070744819922415,True
ACADS,3,3,-0.9528018044270858,-0.9528018044270858,True
ACADSB,3,2,-0.47940497065127224,-0.5796112673610474,True
ACADVL,3,3,-0.4402388982664019,-0.4402388982664019,True
ACAP2,3,3,-0.2761163937800557,-0.2761163937800557,True
ACAT1,3,3,-1.0110600525273536,-1.0110600525273536,True
ACBD3,3,3,0.3853984450292695,0.3853984450292695,True
