gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
A1CF,0.26433498167525854,1.0,1.0,1.0,0.0
A2M,0.5231583124321921,0.5802378012624604,1.0,1.0,0.0
A2ML1,0.3933184471512462,0.10700436949391108,0.0,1.0,0.0
A4GALT,0.44976842970129716,0.537270319564377,0.0,1.0,0.0
AAAS,0.4229511126899839,0.019559811498264728,0.0,1.0,0.0
AADACL2,0.392757480825111,0.17934143364977473,0.0,1.0,0.0
AADAT,0.444089690618705,0.06223619150983372,0.0,0.0,0.0
AAK1,0.3793772144444577,0.40177810119212687,1.0,1.0,0.0
AAMDC,0.353938589758072,0.5903081777402095,1.0,1.0,0.0
AAMP,0.3779458589996156,0.3341824252160834,0.0,1.0,0.0
AAR2,0.41432933215073026,0.019270261955307334,0.0,0.0,0.0
AARS1,0.46400214279346197,0.7709531300324162,0.0,1.0,0.0
AASS,0.48046170461055693,0.241998651115186,1.0,1.0,0.0
ABAT,0.31090364777709856,0.746849970860558,1.0,1.0,0.0
ABCA10,0.35205995362841275,0.3026934365678897,0.0,1.0,0.0
ABCA12,0.7015743691735781,1.0,1.0,1.0,0.0
ABCA13,0.4774186079397234,1.0,0.0,1.0,0.0
ABCA2,0.35753982441480225,0.5107057443695382,0.0,1.0,0.0
ABCA5,0.32763455184137896,0.5570032020297143,1.0,1.0,0.0
ABCA7,0.4280893044530943,0.10783125102557009,0.0,1.0,0.0
ABCA8,0.32762978306852586,0.16782081253882172,1.0,1.0,0.0
ABCA9,0.3679721000791018,0.03811314291473643,0.0,1.0,0.0
ABCB1,0.1198723513695159,1.0,1.0,1.0,0.0
ABCB10,0.3762548339719063,0.7807968673593513,1.0,1.0,0.0
ABCB11,0.3426924724391736,0.20657671704116137,0.0,1.0,0.0
ABCB4,0.2598050134718484,0.5732442855046378,0.0,0.0,0.0
ABCB6,0.4331351615948818,0.13986881679502786,0.0,1.0,0.0
ABCB7,0.3695739929619164,0.5795865709222154,1.0,1.0,0.0
ABCB8,0.4269349129075429,0.03186779898566449,0.0,1.0,0.0
ABCB9,0.3735656356168034,0.3368427317143883,0.0,1.0,0.0
