gene,cluster_id
A1CF,36
A2M,72
A2ML1,42
A4GALT,172
AAAS,176
AADACL2,11
AADAT,2
AAK1,76
AAMDC,601
AAMP,182
AAR2,24
AARS1,338
AASS,131
ABAT,181
ABCA10,86
ABCA12,27
ABCA13,13
ABCA2,188
ABCA5,-1
ABCA7,192
ABCA8,265
ABCA9,490
ABCB1,40
ABCB10,270
ABCB11,89
ABCB4,196
ABCB6,197
ABCB7,641
ABCB8,122
ABCB9,182
ABCC1,354
ABCC10,239
ABCC12,350
ABCC2,533
ABCC6,491
ABCC8,409
ABCC9,198
ABCD2,280
ABCD3,195
ABCD4,454
ABCE1,90
ABCG2,40
ABHD11,-1
ABHD12,245
ABHD14B,642
ABHD15,329
ABHD17A,92
ABHD18,602
ABHD2,417
ABHD3,94
ABHD4,463
ABHD5,265
ABHD6,144
ABI2,489
ABITRAM,270
ABL2,465
ABLIM3,96
ABO,47
ABR,296
ABRACL,464
ABRAXAS2,333
ABTB2,406
ACAA1,298
ACAA2,298
ACACA,30
ACACB,127
ACAD10,248
ACAD8,399
ACADM,32
ACADS,59
ACADSB,58
ACADVL,486
ACAP2,373
ACAT1,33
ACBD3,375
ACBD4,374
ACBD5,127
ACER2,539
ACKR1,148
ACKR2,603
ACKR4,413
ACMSD,91
ACO2,702
ACOD1,626
ACOT11,664
ACOT12,492
ACOT2,643
ACOT4,419
ACOT8,51
ACOT9,719
ACOX1,37
ACOX2,181
ACOXL,184
ACP1,726
ACP2,54
ACP3,284
ACP4,92
ACP5,495
ACR,721
ACRBP,722
ACSF2,71
ACSF3,740
ACSL1,-1
ACSL3,741
ACSL4,565
ACSL5,402
ACSM2B,604
ACSM5,588
ACSS1,266
ACSS2,644
ACTA2,742
ACTB,756
ACTG1,405
ACTL8,137
ACTMAP,291
ACTN1,354
ACTR1A,723
ACTR1B,205
ACTR3,665
ACVR1,666
ACVR1B,648
ACVR1C,606
ACVR2A,629
ACVR2B,-1
ACVRL1,91
ACY1,591
ACYP1,652
ADA,592
ADA2,260
ADAD1,140
ADAM10,211
ADAM12,567
ADAM15,707
ADAM17,714
ADAM19,760
ADAM22,673
ADAM30,677
ADAM33,540
ADAM8,720
ADAM9,506
ADAMDEC1,533
ADAMTS1,306
ADAMTS10,353
ADAMTS12,13
ADAMTS14,426
ADAMTS15,155
ADAMTS16,156
ADAMTS17,103
ADAMTS19,136
ADAMTS2,34
ADAMTS3,365
ADAMTS4,198
ADAMTS5,13
ADAMTS6,62
ADAMTS9,15
ADAMTSL1,272
ADAMTSL4,760
ADAP1,0
ADAR,734
ADARB1,64
ADAT1,11
ADCK2,137
ADCK5,287
ADCY1,604
ADCY10,633
ADCY4,528
ADCY5,47
ADCY6,508
ADCY7,754
ADCY9,274
ADCYAP1,747
ADD3,664
ADGB,611
ADGRA1,136
ADGRA2,708
ADGRA3,590
ADGRE1,342
ADGRE2,509
ADGRE3,455
ADGRE5,461
ADGRF1,284
ADGRF5,428
ADGRG1,430
ADGRG3,308
ADGRG6,159
ADGRL1,729
ADGRL2,669
ADGRL4,160
ADGRV1,729
ADH1A,590
ADH1B,662
ADH1C,70
ADH6,37
ADHFE1,335
ADI1,614
ADIPOR1,11
ADIPOR2,44
ADIRF,161
ADM,669
ADNP2,443
ADO,443
ADPGK,-1
ADPRH,691
ADPRHL1,191
ADPRM,642
ADRM1,264
ADSS1,293
AEBP1,506
AEN,477
AFAP1L1,-1
AFAP1L2,73
AFDN,611
AFF1,194
AFG1L,366
AFG3L2,651
AFM,52
AFMID,217
AFTPH,368
AGAP1,94
AGBL2,584
AGBL5,611
AGFG1,604
AGFG2,703
AGGF1,76
AGMAT,126
AGMO,534
AGO1,333
AGO2,733
AGPAT2,398
AGPAT3,439
AGPAT4,690
AGR2,563
AGR3,451
AGRN,517
AGTPBP1,540
AGTRAP,518
AGXT2,534
AHCYL1,718
AHDC1,679
AHI1,742
AHNAK2,469
AHR,711
AIF1,257
AIF1L,442
AIFM1,95
AIM2,620
AIMP2,738
AJAP1,31
AJUBA,342
AK2,374
AK3,519
AK7,151
AK9,660
AKAP1,379
AKAP12,495
AKAP17A,311
AKAP19,37
AKAP3,591
AKAP4,2
AKAP6,591
AKAP8,81
AKAP9,298
AKIP1,301
AKIRIN1,635
AKIRIN2,471
AKR1B1,340
AKR1B10,681
AKR1C2,662
AKR1C3,265
AKR1C4,157
AKR1E2,200
AKR7A2,611
AKR7A3,374
AKR7L,132
AKT2,54
AKT3,155
AKTIP,726
ALAD,272
ALCAM,462
ALDH18A1,555
ALDH1A1,533
ALDH1A2,557
ALDH1B1,541
ALDH1L2,478
ALDH3A2,594
ALDH4A1,760
ALDH5A1,195
ALDH6A1,649
ALDH9A1,366
ALDOC,534
ALG1,418
ALG14,186
ALG2,760
ALG5,760
ALG9,546
ALKBH1,439
ALKBH2,405
ALKBH7,431
ALOX12,2
ALOX12B,696
ALOX5,404
ALOX5AP,618
ALPG,406
ALPI,432
ALPK3,759
ALPL,559
ALPP,136
ALYREF,351
AMBRA1,608
AMDHD2,634
AMELX,407
AMELY,53
AMER3,42
AMFR,492
AMIGO1,52
AMIGO3,513
AMMECR1,685
AMN,482
AMOTL1,417
AMOTL2,149
AMPD2,433
AMPD3,339
AMPH,312
AMT,703
AMY2B,381
ANAPC15,591
