gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
A1CF,36,True,True,True,True,4,True,-1.1965254269856167,-1.1965254269856167,down
A2M,72,True,True,True,True,4,True,0.9376716807665773,0.9376716807665773,up
A4GALT,172,True,True,True,True,4,True,0.26055436045302144,0.3325157429131935,up
AAMDC,601,True,True,True,True,4,True,-0.45767487338505514,-0.45767487338505514,down
AARS1,338,True,True,True,True,4,True,0.3520364681728019,0.4498836371638122,up
AASS,131,True,True,True,True,4,True,0.5856053633396567,0.5856053633396567,up
ABAT,181,True,True,True,True,4,True,-0.8125310157562803,-0.8125310157562803,down
ABCA10,86,True,True,True,True,4,True,-0.4731656708441254,-0.4731656708441254,down
ABCA12,27,True,True,True,True,4,True,2.4088490709981065,2.4088490709981065,up
ABCA13,13,True,True,True,True,4,True,0.6713472874493638,0.5605126945508356,up
ABCA2,188,True,True,True,True,4,True,-0.381658582564115,-0.4279799283186523,down
ABCA8,265,True,True,True,True,4,True,-0.674611186587712,-0.674611186587712,down
ABCB1,40,True,True,True,True,4,True,-2.3877307440454323,-2.3877307440454323,down
ABCB10,270,True,True,True,True,4,True,-0.2736603036097189,-0.2736603036097189,down
ABCB7,641,True,True,True,True,4,True,-0.32874896783165813,-0.32874896783165813,down
ABCB9,182,True,True,True,True,4,True,-0.40578118720568374,-0.29583480903335246,down
ABCC1,354,True,True,True,True,4,True,0.7999263942709876,0.7999263942709876,up
ABCC10,239,True,True,True,True,4,True,0.196043533954995,0.2726254946050619,up
ABCC12,350,True,True,True,True,4,True,0.02275814841314509,-0.1858426982284982,down
ABCC6,491,True,True,True,True,4,True,-0.3716849990463835,-0.3716849990463835,down
ABCC9,198,True,True,True,True,4,True,0.6544712987209511,0.7729440880946044,up
ABCD2,280,True,True,True,True,4,True,0.36678761106342783,0.4817481515093527,up
ABCD3,195,True,True,True,True,4,True,-0.7718891918153599,-0.7718891918153599,down
ABCG2,40,True,True,True,True,4,True,-3.1119814067671094,-3.1119814067671094,down
ABHD12,245,True,True,True,True,4,True,-0.5539022183912051,-0.5539022183912051,down
ABHD14B,642,True,True,True,True,4,True,-0.3109797318605185,-0.3109797318605185,down
ABHD15,329,True,True,True,True,4,True,-0.3592547095045943,-0.3592547095045943,down
ABHD18,602,True,True,True,True,4,True,-0.393983343581741,-0.393983343581741,down
ABHD2,417,True,True,True,True,4,True,0.4442348390512656,0.4442348390512656,up
ABHD3,94,True,True,True,True,4,True,-0.49646569442561156,-0.5862704058202786,down
ABHD4,463,True,True,True,True,4,True,-0.4354544500862734,-0.4354544500862734,down
ABHD5,265,True,True,True,True,4,True,-0.5549778729268713,-0.5549778729268713,down
ABHD6,144,True,True,True,True,4,True,-0.588803291081233,-0.588803291081233,down
ABI2,489,True,True,True,True,4,True,0.46458781965613066,0.46458781965613066,up
ABITRAM,270,True,True,True,True,4,True,-0.31151718566404024,-0.31151718566404024,down
ABL2,465,True,True,True,True,4,True,0.350671374747189,0.350671374747189,up
ABLIM3,96,True,True,True,True,4,True,0.3341302943708551,0.31729698228881453,up
ABO,47,True,True,True,True,4,True,-0.4698216187967666,-0.5339716674443871,down
ABR,296,True,True,True,True,4,True,-0.23681954136646213,-0.3248370988586302,down
ABRACL,464,True,True,True,True,4,True,-0.3952132404297351,-0.3952132404297351,down
ABRAXAS2,333,True,True,True,True,4,True,-0.21453878743143306,-0.21453878743143306,down
ACAA1,298,True,True,True,True,4,True,-0.6472221505935138,-0.6472221505935138,down
ACAA2,298,True,True,True,True,4,True,-0.6999515895504663,-0.6999515895504663,down
ACACB,127,True,True,True,True,4,True,-0.42417510072307846,-0.42417510072307846,down
ACAD10,248,True,True,True,True,4,True,-0.3920401300104365,-0.3920401300104365,down
ACAD8,399,True,True,True,True,4,True,-0.3490161028215765,-0.3490161028215765,down
ACADM,32,True,True,True,True,4,True,-1.070744819922415,-1.070744819922415,down
ACADS,59,True,True,True,True,4,True,-0.9528018044270858,-0.9528018044270858,down
ACADVL,486,True,True,True,True,4,True,-0.4402388982664019,-0.4402388982664019,down
ACAP2,373,True,True,True,True,4,True,-0.2761163937800557,-0.2761163937800557,down
ACAT1,33,True,True,True,True,4,True,-1.0110600525273536,-1.0110600525273536,down
ACBD3,375,True,True,True,True,4,True,0.3853984450292695,0.3853984450292695,up
ACBD4,374,True,True,True,True,4,True,-0.39112550848232974,-0.39112550848232974,down
ACBD5,127,True,True,True,True,4,True,-0.39647112709828214,-0.39647112709828214,down
ACER2,539,True,True,True,True,4,True,-0.5792998802901966,-0.5630687514159018,down
ACKR1,148,True,True,True,True,4,True,1.0461142181236394,1.0461142181236394,up
ACO2,702,True,True,True,True,4,True,-0.6360661557416881,-0.6360661557416881,down
ACOD1,626,True,True,True,True,4,True,0.7794441974306624,0.7794441974306624,up
ACOT11,664,True,True,True,True,4,True,-0.5446982924766539,-0.5446982924766539,down
ACOT12,492,True,True,True,True,4,True,-0.22385772036940624,-0.22928816864188528,down
ACOT4,419,True,True,True,True,4,True,-0.6175307798576414,-0.6175307798576414,down
ACOT8,51,True,True,True,True,4,True,-0.6227036030814815,-0.6227036030814815,down
ACOT9,719,True,True,True,True,4,True,0.3730239763081986,0.43050347395980637,up
ACOX1,37,True,True,True,True,4,True,-1.2207749198046443,-1.2207749198046443,down
ACOX2,181,True,True,True,True,4,True,-0.7742334525217528,-0.7742334525217528,down
ACOXL,184,True,True,True,True,4,True,0.3801451464914522,0.38502394566155784,up
ACP3,284,True,True,True,True,4,True,1.2328044665936482,1.2328044665936482,up
ACP5,495,True,True,True,True,4,True,0.5010299035874096,0.49312493420625625,up
ACR,721,True,True,True,True,4,True,-0.274140959886972,-0.45940961631295574,down
ACRBP,722,True,True,True,True,4,True,-0.4017907681084362,-0.4017907681084362,down
ACSF2,71,True,True,True,True,4,True,-1.7723777978413644,-1.7723777978413644,down
ACSL4,565,True,True,True,True,4,True,1.7531264864186877,1.7531264864186877,up
ACSL5,402,True,True,True,True,4,True,-0.608718470593366,-0.608718470593366,down
ACSS1,266,True,True,True,True,4,True,-0.34836816636014234,-0.34836816636014234,down
ACSS2,644,True,True,True,True,4,True,-0.5170952429635692,-0.6276115058312248,down
ACTB,756,True,True,True,True,4,True,0.12874395106609468,0.12515804346222392,up
ACTG1,405,True,True,True,True,4,True,0.0908737809327036,0.09406211262040642,up
ACTMAP,291,True,True,True,True,4,True,-0.2630235947917064,-0.2630235947917064,down
ACTN1,354,True,True,True,True,4,True,0.8691384637436617,0.8691384637436617,up
ACTR1B,205,True,True,True,True,4,True,-0.16120475394733388,-0.16120475394733388,down
