gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
ADAP1,0,4,-0.21850881717332804,down
ARHGEF16,0,4,-0.18118851348957676,down
CABLES2,0,4,-0.16385387394862638,down
FOXP1,0,4,-0.1751234092074876,down
GARIN1B,0,4,-0.19433875052173333,down
HSFX1,0,4,-0.1674422778434188,down
MAS1L,0,4,-0.20116575601690379,down
NALCN,0,4,-0.14538592997950994,down
NR2E3,0,4,-0.1625380904796132,down
PROKR2,0,4,-0.18399520911537293,down
PRRT2,0,4,-0.12439409442791893,down
RABL6,0,4,-0.15602079061365526,down
SESN2,0,4,-0.2605501706633273,down
SLC35A4,0,4,-0.18494315489810642,down
TIGD5,0,4,-0.09216946144853555,down
TRMO,0,4,-0.21302328117918368,down
ZSCAN4,0,4,-0.16441879072095,down
CENPV,1,4,-0.7194625244589895,down
FOXP2,1,4,-0.720465386593804,down
MAGI1,1,4,-0.7157888335524154,down
NR5A2,1,4,-0.7134636897004611,down
SEMA6D,1,4,-0.7203407028305732,down
TMEM98,1,4,-0.7152279976092911,down
TSHZ1,1,4,-0.7182425255526216,down
XK,1,4,-0.7079329873565392,down
CAT,3,4,-0.7363590801219578,down
CLRN3,3,4,-0.7326956228467996,down
MAST2,3,4,-0.7320096331615448,down
PANK1,3,4,-0.7250535797536252,down
SLC22A23,3,4,-0.7256949961968727,down
ZNF704,3,4,-0.7287360114079418,down
EAPP,4,4,-0.7484558179967324,down
ERBB3,4,4,-0.7811954712888399,down
FAHD1,4,4,-0.7761288830210201,down
FZD5,4,4,-0.7524556245263726,down
MYO1D,4,4,-0.7438997911429807,down
NUDT7,4,4,-0.7417788715294998,down
PEX26,4,4,-0.7522778136155784,down
STAP2,4,4,-0.7668962875435555,down
TESK2,4,4,-0.7855866211231662,down
TMEM170A,4,4,-0.7613982781794834,down
MNT,5,4,0.3898351102499773,up
NLRP7,5,4,0.48678996262743235,up
NOA1,5,4,-0.2689137276431266,down
NOTCH4,5,4,0.3112011201102571,up
OGDHL,5,4,-0.3004787418716295,down
PIK3C3,5,4,-0.18839290223689945,down
PLA2G6,5,4,-0.17695552262518044,down
PLSCR1,5,4,0.5242198315578234,up
R3HDM1,5,4,0.26095652291383775,up
RIPOR3,5,4,0.4510124957225698,up
SCAMP2,5,4,-0.31088870046638384,down
SFMBT2,5,4,0.707182408059014,up
TIMM17A,5,4,0.265226024946807,up
TMBIM6,5,4,-0.3359566535529635,down
TRIM21,5,4,0.3263672232749748,up
TYMP,5,4,0.6067065686086318,up
UBASH3B,5,4,0.4657612943323137,up
PTPN4,6,4,-0.16730819070451863,down
SLC25A2,6,4,-0.17393341581400712,down
TEDDM1,6,4,-0.15064819924962825,down
TMEM18,6,4,-0.16408835102020625,down
ASH1L,7,4,0.058498318330120945,up
CFAP65,7,4,0.1323069636682841,up
COA8,7,4,-0.02150373728228742,down
MINDY1,7,4,-0.06330435598688251,down
MAU2,8,4,-0.1442386992573237,down
MYH8,8,4,-0.12391430685765226,down
NAXD,8,4,-0.2024608694732244,down
NRDE2,8,4,-0.1837565176025966,down
PDS5A,8,4,-0.18745349525731392,down
RAG1,8,4,-0.21413562742830639,down
SOX13,8,4,-0.2598041661115613,down
CCSAP,9,4,0.34716869041235476,up
CETN2,9,4,0.410995828900389,up
CHD3,9,4,0.38798422182291087,up
E2F7,9,4,0.41389703060132926,up
GAS7,9,4,0.4028564108655335,up
HYAL2,9,4,0.3963603826799602,up
MACF1,9,4,0.40117251855024233,up
PRRC2C,9,4,0.30480636842782377,up
RNF149,9,4,0.2930835520604293,up
TKT,9,4,0.353666163298992,up
TUBB,9,4,0.3762763492251941,up
MTFR2,10,4,0.4880002550001725,up
NUDCD1,10,4,0.47059981066126344,up
RTL8C,10,4,0.4367966781961415,up
TMEM237,10,4,0.48007567495436937,up
UHRF1,10,4,0.4458635950325194,up
ABCA13,13,4,0.5605126945508356,up
ADAMTS12,13,4,0.5191604126426785,up
ADAMTS5,13,4,0.5360984989775845,up
AOX1,13,4,0.5473217550039027,up
ATP11A,13,4,0.6195527688188882,up
CLSTN3,13,4,0.638484296376149,up
CPEB4,13,4,0.5293482453984155,up
DCC,13,4,0.5684608582571391,up
DNAJB11,13,4,0.5141937646309058,up
FAIM2,13,4,0.6619192250017489,up
IL21R,13,4,0.5233350515640494,up
IQSEC1,13,4,0.5711899343599867,up
IRAK2,13,4,0.5930876844317146,up
LTBP2,13,4,0.5345721221610393,up
MEFV,13,4,0.5649638929443022,up
NOTCH3,13,4,0.5174170775666811,up
NRCAM,13,4,0.610096030498219,up
RAMP2,13,4,0.5784572526082492,up
RUNX1,13,4,0.5508403041415022,up
S100A3,13,4,0.5331253930935729,up
S100B,13,4,0.547088048053685,up
SPHK1,13,4,0.5573659256669896,up
TGFB3,13,4,0.623780340357702,up
ATP2B4,14,4,0.6089651903267632,up
BEST1,14,4,0.44359061527619525,up
CCDC69,14,4,0.9132533235581111,up
EMILIN1,14,4,0.34996390709200753,up
FYN,14,4,0.957799611513134,up
HASPIN,14,4,0.42340432502959624,up
P2RX7,14,4,0.4900565498968814,up
SRGAP2,14,4,0.5348077213370361,up
SYVN1,14,4,0.4537393752016836,up
TNS2,14,4,0.4545966901059644,up
ADAMTS9,15,4,1.9723272497334354,up
CXCL3,15,4,1.993605159978564,up
IRAK3,15,4,1.98040974180537,up
SLCO1B3,15,4,1.994358226579833,up
UBD,15,4,1.964361098667818,up
ANXA1,16,4,2.0444793101359067,up
IGFBP5,16,4,2.025680780772055,up
PDZK1IP1,16,4,2.0439202427657825,up
REG4,16,4,2.0150626436265715,up
SERPINB3,16,4,2.0582715400278135,up
STEAP4,16,4,2.0321072217877405,up
VNN2,16,4,2.047143768826406,up
C4BPB,17,4,1.9127551246783916,up
CD55,17,4,1.9072385491374249,up
DEFB4B,17,4,1.8998398827378553,up
PHLDA1,17,4,1.8940872797020738,up
PROK2,17,4,1.9125105115847048,up
SLC7A11,17,4,1.8903357302608759,up
KLK10,18,4,1.9458968168802941,up
OSMR,18,4,1.9228868834112383,up
PLAU,18,4,1.9268372993978797,up
S100A12,18,4,1.9367700502521323,up
SERPINE1,18,4,1.942530510758961,up
SPP1,18,4,1.929108076688233,up
TFPI2,18,4,1.9361429488849389,up
ASCC3,19,4,0.430465616741673,up
CCDC134,19,4,0.28363362342537,up
CFAP251,19,4,0.4095298197862099,up
COL18A1,19,4,0.4629871385597462,up
DOK5,19,4,0.28465426224329055,up
EIF3B,19,4,0.279886920381936,up
ELMO2,19,4,0.32149378479175833,up
GTSE1,19,4,0.37905441064089257,up
HK3,19,4,0.4266970995048112,up
KDELR1,19,4,0.268362496890824,up
MLLT11,19,4,0.3750422953880171,up
MRPL17,19,4,0.29289623316167734,up
MRPL33,19,4,0.27271684994101,up
OLFML2A,19,4,0.34403206183310847,up
OSBPL10,19,4,0.38667244432841513,up
PGD,19,4,0.38320118532908864,up
POLR3H,19,4,0.2535311861489191,up
PRPF4,19,4,0.2990576892520827,up
PTK7,19,4,0.4195139216162138,up
REC8,19,4,0.3484667674848903,up
ROBO4,19,4,0.436368536701325,up
SGSM3,19,4,0.24728719888340991,up
SLC75A1,19,4,0.3041757004169631,up
SPIRE1,19,4,0.4563220675168281,up
TRABD,19,4,0.29599975566051473,up
TRAM2,19,4,0.3856822164778186,up
UBFD1,19,4,0.3090670570842799,up
CBX4,20,4,0.48576621178461793,up
CCND1,20,4,0.5245533144881085,up
CFP,20,4,0.6045698015124151,up
LYST,20,4,0.46748895647807426,up
MSX2,20,4,0.4706194595493856,up
MYDGF,20,4,0.4660770693817735,up
PTPN12,20,4,0.5436817422964572,up
RARRES1,20,4,0.49277419483184975,up
SRPRB,20,4,0.5795190538286192,up
STAT4,20,4,0.4730199207109722,up
WDR19,20,4,0.5754097110944857,up
CCL2,21,4,2.211535341535931,up
CEMIP,21,4,2.140165051783266,up
CXCL2,21,4,2.217004092003792,up
CXCL5,21,4,2.20103301793143,up
FCGR3B,21,4,2.2238963820631046,up
IL1A,21,4,2.154290267483239,up
INHBA,21,4,2.169620604858449,up
MXRA5,21,4,2.2094559738154373,up
TNC,21,4,2.1211355736573196,up
TNFAIP6,21,4,2.201247867010041,up
CCM2L,22,4,0.2102408924822754,up
CHST10,22,4,0.3130992896145499,up
COPG1,22,4,0.26001727642263184,up
EID1,22,4,0.35114038299538297,up
EPRS1,22,4,0.13285379615116444,up
FBXW10B,22,4,0.6321769124156895,up
GUCY1A2,22,4,0.32926814864294096,up
H2AC16,22,4,0.30589463164717623,up
HID1,22,4,0.5120070983925897,up
IPO4,22,4,0.3412510570965428,up
KANSL1L,22,4,0.3879869854178306,up
KCND1,22,4,0.30255684767537083,up
NLRP14,22,4,0.30490983389436943,up
NOP10,22,4,0.3021469502683898,up
OLFM2,22,4,0.2209432990735598,up
PLXNA1,22,4,0.4964674063548222,up
PPBP,22,4,1.1404070157656219,up
PPP1R15B,22,4,0.25198113623052887,up
PSMB7,22,4,0.3076128008500234,up
PTPRG,22,4,0.35736538272216256,up
RBP5,22,4,0.37258298038655546,up
RHBDD1,22,4,0.28549839457010506,up
TMEM255B,22,4,0.4557003163617712,up
TRPV4,22,4,0.23799842846223562,up
ZNF200,22,4,0.13733732850838543,up
CHN2,23,4,-1.285398610118716,down
ETFDH,23,4,-1.2685450010268744,down
RHOU,23,4,-1.274002739434702,down
TINAG,23,4,-1.2823269572613905,down
ZG16,23,4,-1.276451337927125,down
CST5,25,4,-0.14983633284827302,down
SALL3,25,4,-0.13751756158709938,down
TMEM179B,25,4,-0.15649304957335808,down
UBE2D3,25,4,-0.14949435160840796,down
VHL,25,4,-0.14981733480988169,down
ZNF99,25,4,-0.1457622156032694,down
CHRNA1,26,4,-0.6488005306059574,down
GLB1L2,26,4,-0.8355300932172449,down
MB,26,4,-0.6269616368175339,down
SCGN,26,4,-0.723289449324374,down
TRAF3IP2,26,4,-0.4930903311550674,down
UGT2B10,26,4,-0.7381418920781897,down
ABCA12,27,4,2.4088490709981065,up
CXCL11,27,4,2.351869404681549,up
HCAR3,27,4,2.3508113080828665,up
IL1RN,27,4,2.507118891837069,up
MMP10,27,4,2.435280747408696,up
S100A9,27,4,2.452685854490784,up
SELE,27,4,2.4423954432006783,up
SERPINA3,27,4,2.4728035098761185,up
SERPINB7,27,4,2.425067082385678,up
SOCS3,27,4,2.369385833234277,up
ANKS4B,28,4,-0.6754103201750477,down
ATP5F1C,28,4,-0.30005210160706497,down
COBL,28,4,-0.7594352224780234,down
CPT1A,28,4,-0.8722104498033362,down
IQGAP2,28,4,-0.7406492571228162,down
ITPKA,28,4,-0.8116215332210533,down
RNPC3,28,4,-0.5256128073110643,down
SLC35F2,28,4,-0.46716285323838846,down
ELL3,29,4,-0.6473444586083046,down
FAM117B,29,4,-0.4168182620148884,down
GAREM1,29,4,-0.5442593322509245,down
HSD17B8,29,4,-0.46504961096932657,down
IDH3A,29,4,-0.35392782144832385,down
MED14,29,4,-0.3622078635086427,down
NFS1,29,4,-0.34546066139991005,down
OAF,29,4,-0.5652165391930541,down
PATJ,29,4,-0.4579970644625953,down
RNF103,29,4,-0.5292831990440519,down
SDHD,29,4,-0.5128239159230557,down
SDR42E1,29,4,-0.6551026600521611,down
SPR,29,4,-0.4725306762097243,down
VPS26C,29,4,-0.5442954912659967,down
GINS1,30,4,0.5336816606782988,up
GPR171,30,4,0.3758251323245547,up
LMLN,30,4,0.5765902211714389,up
PHF21A,30,4,0.38372179984977395,up
PPP1R13L,30,4,0.3647508917679083,up
RAD51AP1,30,4,0.4644756016770448,up
RPGRIP1L,30,4,0.49445554815159376,up
TRNP1,30,4,0.5576503304996452,up
AJAP1,31,4,0.21318255381314088,up
ERVMER34-1,31,4,0.11847512517352632,up
PABPC4,31,4,0.2251852461089454,up
RNGTT,31,4,0.19942323366285475,up
ACADM,32,4,-1.070744819922415,down
ANKRD40CL,32,4,-1.0914946444325009,down
HHLA2,32,4,-1.083966347788231,down
HOXA6,32,4,-1.0677943378192245,down
MYO1A,32,4,-1.0589440844969982,down
PFN2,32,4,-1.1057496861018346,down
PHYH,32,4,-1.068540225984374,down
PPP2R3A,32,4,-1.1194330025885428,down
RMND5A,32,4,-1.0651387067374298,down
SEMA5A,32,4,-1.1482377273586992,down
SGK2,32,4,-1.0998534988161708,down
SLC26A3,32,4,-1.105735585931665,down
TDP2,32,4,-1.084242912255102,down
ACAT1,33,4,-1.0110600525273536,down
ANK3,33,4,-1.0136175294879057,down
CES2,33,4,-1.0154421465078503,down
CMBL,33,4,-1.0355263467525877,down
IGSF9,33,4,-1.0396968851782102,down
MT1E,33,4,-1.0426007342818882,down
PRR15,33,4,-1.0114684600354746,down
RAVER2,33,4,-1.033662075668369,down
SMPDL3A,33,4,-1.0107776652660778,down
STRADB,33,4,-1.0182043831428214,down
ADAMTS2,34,4,1.23003236609809,up
BST2,34,4,1.2534544179223885,up
CYP4X1,34,4,1.2264605152097259,up
IL11,34,4,1.2251135577209884,up
IL1R1,34,4,1.2475865034168068,up
KCNE3,34,4,1.2524138337531665,up
KDR,34,4,1.2312286615229862,up
LAX1,34,4,1.2099767341905523,up
LIPG,34,4,1.2130990503148968,up
LRP8,34,4,1.2454022471810946,up
NID1,34,4,1.2279195350129621,up
PCDH17,34,4,1.2217541330074901,up
PLA1A,34,4,1.2250339526649359,up
SLC7A5,34,4,1.2384050272691034,up
SLCO4A1,34,4,1.2140470320385932,up
STXBP1,34,4,1.214744186459181,up
TMTC1,34,4,1.2318881943838715,up
CALR,35,4,0.4850602354004015,up
CCNF,35,4,0.4731767584731754,up
DCHS1,35,4,0.49154188916692476,up
ECM1,35,4,0.45288249116514034,up
ENO1,35,4,0.4979304703221133,up
FBXW7,35,4,0.49639237113493007,up
GSTP1,35,4,0.4746467148516628,up
IFI35,35,4,0.5164362672806222,up
KIAA0040,35,4,0.5050526782759359,up
LAP3,35,4,0.4997655243855578,up
MAPKAPK2,35,4,0.4737830843416768,up
MIF,35,4,0.4989954832987227,up
NUP188,35,4,0.49008233757525116,up
PTPN1,35,4,0.49346720749372075,up
SHISA5,35,4,0.47401244624819466,up
SND1,35,4,0.4723590733029385,up
TAPBP,35,4,0.4830043513209965,up
TIPARP,35,4,0.44961142349973987,up
TMEM258,35,4,0.4509715086376828,up
ZNF593,35,4,0.4501854265991039,up
A1CF,36,4,-1.1965254269856167,down
FMO4,36,4,-1.2128167417681788,down
RNF152,36,4,-1.19728756893898,down
SLC25A34,36,4,-1.1923353350804566,down
VIPR1,36,4,-1.1951845520824829,down
ACOX1,37,4,-1.2207749198046443,down
ADH6,37,4,-1.24682510842565,down
AKAP19,37,4,-1.22978528935557,down
CDHR5,37,4,-1.236176899948907,down
EPHX2,37,4,-1.2417408170928919,down
MAOA,37,4,-1.2389380869462763,down
CHAD,38,4,-1.3604766263863528,down
CNKSR3,38,4,-1.3663453944587856,down
NHERF4,38,4,-1.4052370324536716,down
PDK2,38,4,-1.35846076819376,down
PPARGC1A,38,4,-1.334333016098018,down
PTPRR,38,4,-1.4073848193859613,down
RMDN2,38,4,-1.387771492116461,down
SLC36A1,38,4,-1.3314380831297428,down
SLC39A5,38,4,-1.3180145056750987,down
SULT1A2,38,4,-1.3902948425236312,down
BMP3,39,4,-2.0714914394028416,down
BRINP3,39,4,-1.9181638402394061,down
CDHR1,39,4,-1.957378940578095,down
CHP2,39,4,-2.1924336147097043,down
PADI2,39,4,-1.8813882587671487,down
PAQR5,39,4,-1.9146817699002814,down
PHLPP2,39,4,-1.8847061423609996,down
SLC17A4,39,4,-1.9969644826456598,down
SLC30A10,39,4,-1.9435816968014532,down
SLC51B,39,4,-1.8865521436647843,down
TRPM6,39,4,-2.1757006203164386,down
ABCB1,40,4,-2.3877307440454323,down
ABCG2,40,4,-3.1119814067671094,down
CYP2B6,40,4,-2.6511499269718954,down
GUCA2A,40,4,-2.597721822923084,down
GUCA2B,40,4,-2.6113800220276615,down
HMGCS2,40,4,-3.119007817686583,down
PCK1,40,4,-2.4768395732134145,down
SLC26A2,40,4,-2.6035824501133025,down
UGT2A3,40,4,-3.0616447290475617,down
AOPEP,41,4,0.3085537328984633,up
ARFGAP1,41,4,0.274622714801852,up
ARMCX6,41,4,0.33837940213619194,up
ATP6V1G1,41,4,0.24576726219491896,up
DEF8,41,4,0.32545758033305755,up
MAP4,41,4,0.2708074486027101,up
MYBBP1A,41,4,0.26854872049462336,up
NOP2,41,4,0.3654630079367231,up
PARK7,41,4,0.2573834287703569,up
PKP4,41,4,0.33599163681143135,up
SPRY1,41,4,0.3345047880638787,up
TMEM147,41,4,0.3170795330531657,up
ZNF35,41,4,0.2127256221243353,up
C3orf22,42,4,-0.12837905763620894,down
NGB,42,4,-0.14050015865233334,down
ZNF549,42,4,-0.11963230640936606,down
OR5AU1,43,4,-0.1512652544479054,down
PCGF5,43,4,-0.1799826247556524,down
SLC25A41,43,4,-0.18269666377234284,down
SOS1,43,4,-0.1875217258301598,down
ADIPOR2,44,4,-0.38344232081962204,down
ATE1,44,4,-0.3716632934362636,down
BMP2K,44,4,-0.34052694598951455,down
C11orf71,44,4,-0.36404278766424536,down
CBR4,44,4,-0.3688539820323162,down
DECR2,44,4,-0.31184666796151966,down
GPR35,44,4,-0.3331708759849361,down
NSMF,44,4,-0.39492031528422356,down
RPP14,44,4,-0.3297028744257536,down
PPP1R37,45,4,-0.1180743612657853,down
REX1BD,45,4,-0.13435278106899773,down
TRPC7,45,4,-0.14372407879692162,down
ZNF148,45,4,-0.17981781778696337,down
CFAP100,46,4,-0.155479844950293,down
CHCHD7,46,4,-0.12668052995543233,down
EIF4ENIF1,46,4,-0.09215121503213419,down
PHKG2,46,4,-0.1358575794749628,down
SCAF4,46,4,-0.11427920218404886,down
ST18,46,4,-0.15177955782129304,down
ABO,47,4,-0.5339716674443871,down
ADCY5,47,4,-0.4410402047155424,down
BNIP5,47,4,-0.7008605008839712,down
CLIP2,47,4,-0.528909994253751,down
HRCT1,47,4,-0.6400128348378105,down
HUS1,47,4,-0.4047993948239732,down
KCNH6,47,4,-0.9476020434476431,down
KLK1,47,4,-0.6362944725164139,down
KLRC3,47,4,-0.4489257737506147,down
LANCL3,47,4,-0.6767715974706681,down
QPRT,47,4,-0.5246442128782904,down
SCO1,47,4,-0.4433439263099057,down
SPIB,47,4,-0.41095393938041624,down
THNSL2,47,4,-0.44278505557327064,down
TMEM82,47,4,-0.45434575485413964,down
UBE2A,47,4,-0.5060807571982195,down
ZNF607,47,4,-0.37706486028836705,down
CLCA1,48,4,-1.1325401577602854,down
FZD7,48,4,-1.1317172383050225,down
HTR4,48,4,-0.76953291806901,down
NAT8,48,4,-1.3070546548742055,down
PYY,48,4,-0.9694890321647525,down
CDH3,49,4,2.6176703544298063,up
KYNU,49,4,2.8311361421586736,up
MMP7,49,4,2.920985904149562,up
NOS2,49,4,2.6714623584224024,up
PI3,49,4,2.594832841036331,up
PTGS2,49,4,2.7542077785391563,up
SAA2,49,4,2.9982029617747568,up
TCN1,49,4,2.895897253560874,up
TIMP1,49,4,2.575242615360427,up
VSIG1,49,4,2.737004505797966,up
AQP9,50,4,3.0666752607051357,up
CHI3L1,50,4,3.289801990486655,up
CXCL1,50,4,3.1457868989002082,up
CXCL8,50,4,3.3866288212067217,up
DUOX2,50,4,4.23177503185772,up
DUOXA2,50,4,3.9275830045252165,up
IDO1,50,4,3.41698785947005,up
IL1B,50,4,3.141967039510771,up
LCN2,50,4,3.4567528884547905,up
MMP1,50,4,3.5945057301078465,up
MMP3,50,4,4.072239390547978,up
S100A8,50,4,3.6125067482272577,up
SLC6A14,50,4,4.869597552698927,up
TNIP3,50,4,3.307353736513201,up
ACOT8,51,4,-0.6227036030814815,down
ASTE1,51,4,-0.7581054652069522,down
CDKL1,51,4,-0.5331198140403405,down
CHKA,51,4,-0.6089755029771092,down
CTSA,51,4,-0.5834721698175933,down
HDHD3,51,4,-0.532806150871958,down
ID2,51,4,-0.5324766311975058,down
KAT8,51,4,-0.2886233074226781,down
NGEF,51,4,-0.6271521699333938,down
SUCLG2,51,4,-0.6212787198837623,down
TMEM144,51,4,-0.6760936939320906,down
CD99,52,4,-0.054827300054478556,down
CSTL1,52,4,-0.1297804974716672,down
DNAAF1,52,4,-0.12614748047225932,down
MRPL55,52,4,-0.04848820243676544,down
NDST3,52,4,-0.12654703484208918,down
PTP4A2,52,4,0.02605530736056849,up
SETMAR,52,4,-0.15026992739788625,down
SIM1,52,4,-0.17810212636958322,down
SLC6A15,52,4,-0.13982317803281452,down
TRMT10B,52,4,-0.16925854428819598,down
ASAP1,57,4,0.7419607490059305,up
CDC6,57,4,0.6577222477747835,up
CENPE,57,4,0.6983147417143233,up
EMP3,57,4,0.8048083264626497,up
FASN,57,4,0.6427727731492432,up
GPX7,57,4,0.8486557940756413,up
HCLS1,57,4,0.871369704304394,up
HELZ2,57,4,0.721152917618535,up
PHLDA2,57,4,0.8113501993916928,up
PYCR1,57,4,0.6323081091382304,up
SHANK3,57,4,0.7843106482628506,up
SLC25A37,57,4,0.7638542876894009,up
TNFRSF10A,57,4,0.5798215530368959,up
CGN,58,4,-0.6939540244627977,down
DNAH1,58,4,-0.45290159239964956,down
MTMR8,58,4,-0.6301965188649876,down
PARP4,58,4,-0.30708517903455146,down
TOMM20L,58,4,-0.33810354688333577,down
USF3,58,4,-0.44168345563027955,down
ACADS,59,4,-0.9528018044270858,down
APPL2,59,4,-0.934233728717329,down
C1orf210,59,4,-0.9449498330507365,down
FGFR3,59,4,-0.9271956532164832,down
HOXA2,59,4,-0.9454762227081162,down
HSD17B11,59,4,-0.925918135068823,down
IYD,59,4,-0.9149755145780732,down
LRRC75A,59,4,-0.9263489824890616,down
MTMR11,59,4,-0.9274828173595756,down
RETSAT,59,4,-0.9416279389302513,down
TMT1A,59,4,-0.9189278570879521,down
CLYBL,60,4,-0.986944905164413,down
EDN3,60,4,-0.9993871431549385,down
EPB41L3,60,4,-0.9592803239923994,down
GRAMD2B,60,4,-0.9930787706150456,down
HOXA5,60,4,-0.9653256412578207,down
PAG1,60,4,-0.991163133877464,down
PXMP2,60,4,-0.9945160446683795,down
SNX30,60,4,-0.9754883745161234,down
TSPAN7,60,4,-0.9748856659811516,down
VIL1,60,4,-0.9833376620171812,down
C4B_2,61,4,1.2696881074281328,up
FKBP11,61,4,1.2647952647452085,up
GABRP,61,4,1.2659054780987555,up
HEG1,61,4,1.2707351755894285,up
TFAP2C,61,4,1.2623140504673058,up
ADAMTS6,62,4,0.3057096760705118,up
GLYATL1,62,4,0.30588755771919107,up
GMPPA,62,4,0.28072229269603,up
IL12RB2,62,4,0.3047192330251338,up
LSAMP,62,4,0.6458998122648163,up
MRTFA,62,4,0.2783041871181222,up
SLCO1B1,62,4,0.2750618425922715,up
CD300E,63,4,0.41469003666864035,up
CGAS,63,4,0.962107662814399,up
CLU,63,4,1.0110466558509619,up
NFAM1,63,4,0.26694621314545897,up
PHGDH,63,4,0.5750828869753151,up
TMEM119,63,4,0.4462689620742255,up
TNFRSF9,63,4,0.9397595759489166,up
ADARB1,64,4,0.5069785020270539,up
CASS4,64,4,0.37638075544446314,up
FHL5,64,4,0.35045918365567763,up
GSDMC,64,4,0.37593066922639995,up
LAMA5,64,4,0.4306917004537909,up
LRCH2,64,4,0.383614202404551,up
LRFN5,64,4,0.2763871791139505,up
PKN1,64,4,0.39957659418588065,up
PLEKHO1,64,4,0.4786313533842539,up
SNAI1,64,4,0.4493745392501709,up
SVEP1,64,4,0.5904755914701294,up
BACE1,65,4,0.42672975143584857,up
CERCAM,65,4,0.48857074867610173,up
DENND3,65,4,0.5714822928569441,up
IL22,65,4,0.4363208087820998,up
MTHFD1L,65,4,0.4414672744860404,up
SYDE1,65,4,0.5189033339325406,up
ASAP2,66,4,-0.37208356561419453,down
DOP1A,66,4,-0.25085192130557,down
MMP24,66,4,-0.32069540862842905,down
SEPTIN12,66,4,-0.32184595106816705,down
TAFA2,66,4,-0.24119883868199876,down
TIPRL,66,4,-0.32992113621521835,down
TRIM2,66,4,-0.3060380524875761,down
TTR,66,4,-0.27220014166836526,down
UBE3B,66,4,-0.287107718699275,down
ATP1A2,67,4,-0.21155167954506338,down
ATXN7L3B,67,4,-0.2302292675800457,down
BIRC2,67,4,-0.21777150896436925,down
CTSZ,67,4,-0.2424778705585915,down
KIFC2,67,4,-0.21417245029536103,down
MPL,67,4,-0.19474925227956952,down
PLEKHG4,67,4,-0.23806015570405714,down
SLC12A3,67,4,-0.17760525872782384,down
SNX27,67,4,-0.20524325572288316,down
UPK2,67,4,-0.14501503721016107,down
ZNF317,67,4,-0.14799748681117864,down
BDH1,68,4,-0.7227768603777065,down
CES3,68,4,-0.759276989411676,down
ENTPD8,68,4,-0.7003179668611219,down
HNF4A,68,4,-0.7158952044372473,down
NIPSNAP3A,68,4,-0.7105325225162917,down
PDE8A,68,4,-0.745656973513344,down
PHF7,68,4,-0.68816105792874,down
TCEA3,68,4,-0.7705229072824835,down
ZDHHC23,68,4,-0.6917367241555255,down
CH25H,69,4,0.9329322815613604,up
CRELD2,69,4,0.9376981081835769,up
DDIT4,69,4,0.9275573677824113,up
EGFL6,69,4,0.9400815812423101,up
EGR2,69,4,0.9256200462799896,up
ERG,69,4,0.9334391735768582,up
FAM167B,69,4,0.9293436330769104,up
FCAR,69,4,0.9346279670444019,up
GMPR,69,4,0.9382576088304265,up
IL18R1,69,4,0.9329708562694595,up
JAK2,69,4,0.9200714677028365,up
LILRA3,69,4,0.9277618029687722,up
NAMPT,69,4,0.9327830424772076,up
SLC26A4,69,4,0.9257880300920523,up
SLC4A11,69,4,0.9374110627199824,up
TMEM163,69,4,0.9350811306922985,up
VWA1,69,4,0.9379362755691805,up
ADH1C,70,4,-1.610820924429025,down
CDC14A,70,4,-1.6115342263937416,down
CDKN2B,70,4,-1.4592313150788077,down
CNTN3,70,4,-1.451527206658185,down
ENTPD5,70,4,-1.483495643151431,down
FMO5,70,4,-1.4408334971357721,down
FRMD1,70,4,-1.428636236156467,down
LRRC19,70,4,-1.4690194550316373,down
NAAA,70,4,-1.451525370866122,down
PBLD,70,4,-1.6235019982020644,down
RUNDC3B,70,4,-1.4606564557747073,down
SCIN,70,4,-1.5227449562978304,down
SLC19A3,70,4,-1.5348716145953707,down
TMEM37,70,4,-1.4973914020583823,down
TUBAL3,70,4,-1.5804638775236801,down
ACSF2,71,4,-1.7723777978413644,down
DHRS11,71,4,-1.7309427564034536,down
HSD17B2,71,4,-1.7089897785224284,down
MEP1A,71,4,-1.778527729466573,down
MT1F,71,4,-1.7671769712869985,down
MT1G,71,4,-1.7416400390713307,down
MT1H,71,4,-1.8351193204774254,down
SLC22A5,71,4,-1.71004435316581,down
TRHDE,71,4,-1.7380838481491756,down
A2M,72,4,0.9376716807665773,up
ARHGAP30,72,4,0.6589889268291372,up
ARHGEF3,72,4,0.8257921216089817,up
C2CD4A,72,4,1.4847392596619333,up
CAV1,72,4,1.074743325719651,up
CCL20,72,4,1.6386863302640202,up
CD38,72,4,1.2026715779757484,up
CDC20,72,4,0.5930204323490438,up
CEP112,72,4,0.7436981994449227,up
COL8A1,72,4,0.8479236554572546,up
CREB3L1,72,4,0.7930105711499967,up
CREB3L2,72,4,0.7583280683449617,up
CYBA,72,4,0.5565581954661939,up
CYRIA,72,4,0.9431610095845073,up
CYTIP,72,4,1.028055639438107,up
DOCK4,72,4,0.8793207599561356,up
DPY19L1,72,4,0.9438931928229813,up
ENTPD3,72,4,0.960250455270943,up
FAM171B,72,4,0.7738985121418654,up
FCER1G,72,4,1.0634880626725078,up
FOXQ1,72,4,1.0648702528968557,up
