gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ABCB1,3,3,-2.3877307440454323,-2.3877307440454323,True
ABO,3,2,-0.4698216187967666,-0.5339716674443871,True
ACOXL,3,2,0.3801451464914522,0.38502394566155784,True
ACTA2,3,2,0.45677409083577736,0.6007962014166122,True
ACTB,3,2,0.12874395106609468,0.12515804346222392,True
ACTN1,3,3,0.8691384637436617,0.8691384637436617,True
ACVR2A,3,3,-0.9777133551533371,-0.9777133551533371,True
ADAD1,3,2,-0.056852721937862505,-0.0911895743368265,True
ADAM17,3,2,0.19448313463444902,0.2395810084404153,True
ADAM30,3,2,-0.11326209571555583,-0.1279649298517298,True
ADAP1,3,2,-0.1265569610138133,-0.21850881717332804,True
ADCY7,3,2,0.381888307875502,0.342872435750774,True
ADGRL2,3,3,1.4384571216466977,1.4384571216466977,True
ADO,3,2,0.11369660414869583,0.10344998210610967,True
AHR,3,3,0.8388626196934403,0.8388626196934403,True
ALOX5AP,3,2,0.3327285532205228,0.37220638736777856,True
ALPI,3,3,-1.4107505982070758,-1.4107505982070758,True
ANGPT4,3,2,-0.07587912746819796,-0.1412106425705577,True
ANK3,3,3,-1.0136175294879057,-1.0136175294879057,True
ANKRD12,3,3,-0.2972779139502724,-0.2972779139502724,True
APOE,3,2,0.19784727933904497,0.2774666048338714,True
ARFRP1,3,3,-0.20994090486690187,-0.20994090486690187,True
ARHGEF17,3,2,0.23990925267626384,0.25074332940886546,True
ARPC2,3,2,-0.13796969981049698,-0.13884118809684765,True
ASAP2,3,2,-0.2873992611092439,-0.37208356561419453,True
ASCC2,3,2,-0.30516265387368396,-0.3169562295560313,True
ASPG,3,2,-0.3472453326000868,-0.327298533944254,True
ATP10A,3,2,0.1206626370778811,0.11383555429348391,True
BATF,3,2,0.44166891662947955,0.40153541446010443,True
BCL2L11,3,3,-0.5628938286744706,-0.5628938286744706,True
BLTP1,3,3,-0.4182138842297718,-0.4182138842297718,True
BLTP3A,3,3,0.19543001489437048,0.19543001489437048,True
BTBD3,3,2,-0.46650727589203395,-0.5345461849816493,True
C1orf141,2,2,-0.11025114111869572,-0.11025114111869572,True
CACNA1C,3,2,0.4793182506091512,0.35703167837256133,True
CALHM6,3,3,0.844417577038748,0.844417577038748,True
CAMK2A,3,2,-0.17720940112682046,-0.12273648207065069,True
CAMK2G,3,3,-0.4408767231744089,-0.4408767231744089,True
CARD11,3,2,0.3564498160259211,0.5351943781734096,True
CARD8,3,2,0.5051633222036642,0.5680905572681718,True
CARMIL1,3,3,-0.25257583640068937,-0.25257583640068937,True
CARMIL2,3,2,0.2787045924539169,0.4039242707268593,True
CCDC122,3,2,-0.26438937718046446,-0.2632159145951123,True
CCDC18,3,2,0.04480106277218917,0.18989030045895294,True
CCDC88B,3,3,0.42295338473657296,0.42295338473657296,True
CCDC93,3,3,-0.35051824252577113,-0.35051824252577113,True
CCL11,3,3,1.0001154612814187,1.0001154612814187,True
CCL2,3,3,2.211535341535931,2.211535341535931,True
CCL20,3,3,1.6386863302640202,1.6386863302640202,True
CCL7,3,2,0.4237085346040235,0.5585645378069011,True
CCNH,3,2,0.10646396082635719,0.14833910279995743,True
CD200,3,3,0.5493856361273085,0.5493856361273085,True
CD226,3,2,0.5287056207915352,0.6628362833688057,True
CD274,3,3,1.5246554851998855,1.5246554851998855,True
CD28,3,2,0.6166844802714003,0.584226438849039,True
CD40,3,3,0.7470102150904641,0.7470102150904641,True
CDC73,3,2,0.0006589115447391455,-0.018094100365238397,False
CDH13,3,3,0.6963006325732399,0.6963006325732399,True
CDKN2B,3,3,-1.4592313150788077,-1.4592313150788077,True
CEP128,3,3,0.8175071184361687,0.8175071184361687,True
CEP72,3,2,0.3507020012968664,0.5091170446682436,True
CEP76,3,2,-0.1484676213626989,-0.16866701297523568,True
CH25H,3,3,0.9329322815613604,0.9329322815613604,True
CHLSN,3,2,0.150974116956613,0.12292006258816057,True
CHRM3,3,2,0.5863915852601144,0.7111068356291321,True
CHSY3,3,2,0.23036815382578787,0.16364473765488707,True
CIITA,3,2,0.5180542865088101,0.6812753243549166,True
CISD1,3,3,-0.47920615591811355,-0.47920615591811355,True
CLEC16A,3,2,-0.1452745140312978,-0.1300724282531176,True
CNTN6,3,2,-0.2757782766155539,-0.0915837404552784,True
CNTNAP2,3,2,-0.14691144117253874,-0.18679720332075123,True
COL28A1,3,3,0.9079069130310254,0.9079069130310254,True
CPEB4,3,2,0.4392108402195782,0.5293482453984155,True
CRACR2A,3,2,-0.12845648050993633,-0.2942071820336549,True
CRB1,3,2,-0.264131352958423,-0.07713896941955278,True
CREM,3,3,0.45539509984248916,0.45539509984248916,True
CRISPLD2,3,3,1.0049223576360102,1.0049223576360102,True
CRTC3,3,3,0.4224229292392767,0.4224229292392767,True
CSF2RB,3,3,1.4023972675364307,1.4023972675364307,True
CSMD1,3,2,-0.14890924203134137,-0.10875653354023829,True
CTNNB1,3,2,-0.047155319184907306,-0.10627887106307554,False
CTSF,3,2,0.13386685620204108,0.18750604132096482,True
CXCR2,3,3,1.7888322215764407,1.7888322215764407,True
CYLD,3,3,0.35181290764621487,0.35181290764621487,True
CYP2J2,3,3,-1.0228631423476038,-1.0228631423476038,True
DAGLB,3,3,-0.2347251737608985,-0.2347251737608985,True
DAP,3,2,0.2687610277311627,0.28021449380810104,True
DCBLD1,3,3,0.3009860621601801,0.3009860621601801,True
DENND1B,3,3,-0.5778051596347081,-0.5778051596347081,True
DLD,3,2,-0.3256184831961857,-0.39887640705458605,True
DLG1,3,3,-0.25856108852820076,-0.25856108852820076,True
