gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ABCB1,0.0,1.0,1.0,1.0,0.0
ABO,0.4030554097342954,0.3261899514223427,0.0,1.0,0.0
ACOXL,0.6028689443299526,0.8028650793249967,0.0,1.0,0.0
ACTA2,0.6497834414997288,0.1409086355121694,0.0,1.0,0.0
ACTB,0.5463673422560892,0.40089805275567064,0.0,1.0,0.0
ACTN1,0.7081280245992583,0.7311460600860645,1.0,1.0,0.0
ACVR2A,0.30657443223658676,0.9778233331651888,1.0,1.0,0.0
ADAD1,0.4993277464220283,0.03767843616796122,0.0,0.0,0.0
ADAM17,0.5712458691447391,0.28892859326059495,0.0,1.0,0.0
ADAM30,0.4913318281971199,0.04464094773427074,0.0,1.0,0.0
ADAP1,0.4716452335020549,0.22741677405689603,0.0,0.0,0.0
ADCY7,0.5937041103920058,0.48337312600787574,0.0,1.0,0.0
ADGRL2,0.8319126996559684,0.9486492615388759,1.0,1.0,0.0
ADO,0.5416474454394712,0.1465400730419753,0.0,1.0,0.0
AHR,0.7015452691146091,0.8793854674926344,1.0,1.0,0.0
ALOX5AP,0.6000820739781889,0.02824482667747346,0.0,1.0,0.0
ALPI,0.21242087925749195,0.3782722428690458,1.0,1.0,0.0
ANGPT4,0.48845186594393497,0.13535216096214195,0.0,0.0,0.0
ANK3,0.2987679314457045,1.0,1.0,1.0,0.0
ANKRD12,0.4545187843444633,0.23466059440970086,1.0,1.0,0.0
APOE,0.579483182596167,0.3641123824603115,0.0,1.0,0.0
ARFRP1,0.4735081203511734,0.18972054575008013,1.0,1.0,0.0
ARHGEF17,0.5736728478758553,0.3710031913842451,0.0,1.0,0.0
ARPC2,0.4889670469379501,0.3346147232340378,0.0,1.0,0.0
ASAP2,0.43825409117995245,0.34751916410826417,0.0,1.0,0.0
ASCC2,0.450240207015039,0.5333490967349175,0.0,1.0,0.0
ASPG,0.44799152120391666,0.17436157092455146,0.0,1.0,0.0
ATP10A,0.5439055387948292,0.07279882091710245,0.0,1.0,0.0
BATF,0.606458966844699,0.6294372630826855,0.0,1.0,0.0
BCL2L11,0.3967669800822789,0.43478086401437444,1.0,1.0,0.0
BLTP1,0.4282241608047138,0.8120938045921398,1.0,1.0,0.0
BLTP3A,0.5616462954900515,0.351436627878691,1.0,1.0,0.0
BTBD3,0.4029304946877267,0.8009856939072098,0.0,1.0,0.0
C1orf141,0.49518326631864246,0.22711535358157356,0.0,1.0,0.0
CACNA1C,0.5967826977923253,0.7499476451276437,0.0,1.0,0.0
CALHM6,0.702753061236644,0.7666099294728346,1.0,1.0,0.0
CAMK2A,0.4924686286526252,0.0727931066810122,0.0,1.0,0.0
CAMK2G,0.4232966705219305,1.0,1.0,1.0,0.0
CARD11,0.6355198998775419,0.8802523719457717,0.0,0.0,0.0
CARD8,0.6426723843136765,0.5210785458379583,0.0,1.0,0.0
CARMIL1,0.4642381779863584,0.6256740841141183,1.0,1.0,0.0
CARMIL2,0.606978366292851,0.1735705855862504,0.0,1.0,0.0
CCDC122,0.46192474840945713,0.2052710661461608,0.0,1.0,0.0
CCDC18,0.5604418175728497,0.0768269137445635,0.0,0.0,0.0
CCDC88B,0.6111157903199951,0.1205738153599702,1.0,1.0,0.0
CCDC93,0.442942952986846,0.8357434080270516,1.0,1.0,0.0
CCL11,0.7366058284706994,1.0,1.0,1.0,0.0
CCL2,1.0,1.0,1.0,1.0,0.0
CCL20,0.8754477343531428,0.5425173230772041,1.0,1.0,0.0
CCL7,0.6406011800641257,0.05199480553820644,0.0,1.0,0.0
CCNH,0.5514075071229155,0.058709047842060415,0.0,1.0,0.0
CD200,0.6386054482432666,0.30793783654036294,1.0,1.0,0.0
CD226,0.6632725679816013,0.2981129323625846,0.0,1.0,0.0
CD274,0.8506544645265459,1.0,1.0,1.0,0.0
CD28,0.646180744404312,0.223682979818689,0.0,1.0,0.0
CD40,0.6815741687490677,1.0,1.0,1.0,0.0
CDC73,0.5152206025019889,0.0,0.0,0.0,0.0
CDH13,0.6705485873685518,0.2852086845862633,1.0,1.0,0.0
CDKN2B,0.2018799112052807,1.0,1.0,1.0,0.0
CEP128,0.6969020280279017,1.0,1.0,1.0,0.0
CEP72,0.6298500097211714,0.09644372767494148,0.0,1.0,0.0
CEP76,0.48248213731902384,0.13079268837505703,0.0,1.0,0.0
CH25H,0.7219984588447766,1.0,1.0,1.0,0.0
CHLSN,0.5458807470401525,0.21843500599905494,0.0,1.0,0.0
CHRM3,0.6737678407842891,0.25450221342918106,0.0,1.0,0.0
CHSY3,0.5547353499939581,0.22336197144601655,0.0,1.0,0.0
CIITA,0.6672816947950981,0.6742112531865848,0.0,1.0,0.0
CISD1,0.414962855510908,0.3246793908528997,1.0,1.0,0.0
CLEC16A,0.490873603262495,0.18753400453861083,0.0,1.0,0.0
CNTN6,0.4992420444619509,0.05726941136661911,0.0,1.0,0.0
CNTNAP2,0.47854016266303395,0.29123218877426993,0.0,1.0,0.0
COL28A1,0.716557293218637,0.4615226424587658,1.0,1.0,0.0
CPEB4,0.6342487986482997,1.0,0.0,1.0,0.0
CRACR2A,0.4551864412835224,0.035677487011601776,0.0,0.0,0.0
CRB1,0.5023827131614658,0.015905416415788652,0.0,1.0,0.0
CREM,0.61816946247165,0.948531395189095,1.0,1.0,0.0
CRISPLD2,0.7376509726883086,1.0,1.0,1.0,0.0
CRTC3,0.6110004555062606,0.4336889473022403,1.0,1.0,0.0
CSF2RB,0.8240723500351202,0.760065002537706,1.0,1.0,0.0
CSMD1,0.4955082328569219,0.12769430120283046,0.0,1.0,0.0
CTNNB1,0.49604694108363884,0.048478715118583954,0.0,0.0,0.0
CTSF,0.5599234176599891,0.2698653108862845,0.0,1.0,0.0
CXCR2,0.9080933540060535,1.0,1.0,1.0,0.0
CYLD,0.5956480013800635,0.3172810184946198,1.0,1.0,0.0
CYP2J2,0.29675769488020487,0.9048080012026913,1.0,1.0,0.0
DAGLB,0.4681193760531005,0.3154168044160524,1.0,1.0,0.0
DAP,0.5800806450875946,0.5490810705121205,0.0,1.0,0.0
DCBLD1,0.5845969239820029,0.5840511161673276,1.0,1.0,0.0
