gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
BTBD3,0,4,-0.5345461849816493,down
FAM53B,0,4,-0.33784334719296005,down
IQCN,0,4,-0.3742755681506962,down
MTMR3,0,4,-0.22927032942061398,down
CCL11,1,4,1.0001154612814187,up
CRISPLD2,1,4,1.0049223576360102,up
ELK3,1,4,1.0830619300597222,up
HIF1A,1,4,1.1055583675826537,up
LRRC32,1,4,1.0181281569396425,up
LRRK2,1,4,1.0528755401847947,up
RIPK2,1,4,1.073025705274125,up
SOCS1,1,4,1.0385981333344494,up
ADAP1,2,4,-0.21850881717332804,down
ANGPT4,2,4,-0.1412106425705577,down
DNAJC28,2,4,-0.38417269204369653,down
ELL,2,4,0.1949260692476611,up
EMSY,2,4,0.08740002171946386,up
FOXP1,2,4,-0.1751234092074876,down
FSHR,2,4,-0.10919263427961035,down
IL2,2,4,-0.15437704767771265,down
IL27,2,4,-0.11758552424550173,down
KCNH7,2,4,-0.08405187257602131,down
LRRC7,2,4,-0.24651384223343253,down
PADI4,2,4,0.18467563073236226,up
PCSK5,2,4,-1.0689282080393978,down
SLC22A16,2,4,-0.1282427381519784,down
TRAPPC10,2,4,-0.09952930702381775,down
TSHR,2,4,0.23315766519905923,up
VAPB,2,4,-0.20258874617807798,down
ANKRD12,3,4,-0.2972779139502724,down
ARFRP1,3,4,-0.20994090486690187,down
DOCK5,3,4,-0.27360154258902963,down
FASTKD3,3,4,-0.30200339050346986,down
KAT5,3,4,-0.2245164715014886,down
MAP4K3,3,4,-0.22877777712340533,down
TTC33,3,4,-0.2927816999742567,down
CISD1,4,4,-0.47920615591811355,down
PELI2,4,4,-0.414094959444256,down
PITX2,4,4,-1.2331859312636455,down
SLC22A4,4,4,-1.0895104310863386,down
TAB2,4,4,-0.29983514441643305,down
USP25,4,4,-0.23647005003142554,down
BLTP1,5,4,-0.4182138842297718,down
CCDC93,5,4,-0.35051824252577113,down
DUSP16,5,4,-0.5846019033560026,down
IL10RB,5,4,-0.44340985456182064,down
LYRM7,5,4,-0.6755210193314154,down
MAGI3,5,4,-0.47203435061829896,down
MTARC2,5,4,-0.6953656231713197,down
MYO5B,5,4,-0.4909382671797857,down
SMAD4,5,4,-0.34495097077456843,down
SPRED2,5,4,-0.5109304797689956,down
TRANK1,5,4,-0.5135272047648328,down
CARMIL1,6,4,-0.25257583640068937,down
DENND1B,6,4,-0.5778051596347081,down
DLG1,6,4,-0.25856108852820076,down
EFNA1,6,4,-1.3252854009514243,down
HNF4G,6,4,-1.115499461807838,down
IL6R,6,4,-0.6353646231462141,down
MAX,6,4,-0.37495699429596624,down
PIK3R1,6,4,-0.4086728453468928,down
SMAD7,6,4,-0.6625442479052834,down
STK38,6,4,-0.4650783619127126,down
CH25H,7,4,0.9329322815613604,up
EGR2,7,4,0.9256200462799896,up
IFNG,7,4,0.9079995559138115,up
IL18R1,7,4,0.9329708562694595,up
JAK2,7,4,0.9200714677028365,up
NCALD,7,4,0.8713518909152785,up
PRR16,7,4,0.8783978545603092,up
TMEM163,7,4,0.9350811306922985,up
HNF4A,8,4,-0.7158952044372473,down
NR6A1,8,4,-0.5642836991172455,down
PDE8A,8,4,-0.745656973513344,down
SATB2,8,4,-0.9395881498252798,down
SUOX,8,4,-0.6339502534229111,down
ACTB,9,4,0.12515804346222392,up
APOE,9,4,0.2774666048338714,up
ARHGEF17,9,4,0.25074332940886546,up
FBN2,9,4,0.25484158979110516,up
GPX1,9,4,0.26052637102865805,up
