run,success,core_gene_count,elapsed_seconds
1,True,5992,1536.0
2,True,6060,1494.7
3,True,6015,1485.9
4,True,5993,1502.8
5,True,6005,1511.5
6,True,6061,1467.5
7,True,6022,1494.1
8,True,6039,1509.1
9,True,6037,1483.0
10,True,6033,1476.2
11,True,6032,1495.9
12,True,6068,1507.4
13,True,5999,1503.3
14,True,5997,1460.7
15,True,5998,1464.4
16,True,6042,1465.0
17,True,5985,1465.0
18,True,6045,1452.0
19,True,6037,1436.7
20,True,5989,1422.6
21,True,6028,1429.8
22,True,6007,1403.6
23,True,6012,1408.7
24,True,6050,1411.9
25,True,6026,1403.0
26,True,5984,1403.5
27,True,6023,1394.3
28,True,6028,1399.0
29,True,6017,1384.4
30,True,5997,1403.2
31,True,6014,1377.1
32,True,6054,1386.7
33,True,6030,1401.4
34,True,6016,1343.8
35,True,6015,1397.4
36,True,6037,1370.6
37,True,6017,1396.3
38,True,5994,1308.9
39,True,6017,1312.4
40,True,5988,1318.5
41,True,5981,1340.2
42,True,6004,1361.3
43,True,6019,1358.7
44,True,6006,1375.5
45,True,5968,1367.6
46,True,6051,1380.3
47,True,5999,1367.8
48,True,6037,1346.5
49,True,6027,1343.9
50,True,6010,1359.1
