run_i,run_j,n_genes_i,n_genes_j,n_intersection,n_union,jaccard
1,2,5992,6060,5898,6154,0.9584010399740006
1,3,5992,6015,5862,6145,0.9539462978030919
1,4,5992,5993,5863,6122,0.9576935641947076
1,5,5992,6005,5845,6152,0.9500975292587777
1,6,5992,6061,5900,6153,0.9588818462538599
1,7,5992,6022,5865,6149,0.9538136282322329
1,8,5992,6039,5890,6141,0.9591271779840417
1,9,5992,6037,5886,6143,0.9581637636334038
1,10,5992,6033,5876,6149,0.9556025369978859
1,11,5992,6032,5876,6148,0.955757970071568
1,12,5992,6068,5909,6151,0.9606568037717444
1,13,5992,5999,5859,6132,0.9554794520547946
1,14,5992,5997,5852,6137,0.9535603715170279
1,15,5992,5998,5853,6137,0.9537233175818804
1,16,5992,6042,5892,6142,0.959296646043634
1,17,5992,5985,5841,6136,0.9519230769230769
1,18,5992,6045,5883,6154,0.9559636009099772
1,19,5992,6037,5877,6152,0.9552990897269181
1,20,5992,5989,5840,6141,0.9509851815665201
1,21,5992,6028,5865,6155,0.9528838342810723
1,22,5992,6007,5848,6151,0.9507397171191676
1,23,5992,6012,5850,6154,0.9506012349691257
1,24,5992,6050,5883,6159,0.9551875304432538
1,25,5992,6026,5860,6158,0.9516076648262423
1,26,5992,5984,5834,6142,0.9498534679257571
1,27,5992,6023,5866,6149,0.9539762563018377
1,28,5992,6028,5868,6152,0.9538361508452535
1,29,5992,6017,5853,6156,0.9507797270955166
1,30,5992,5997,5842,6147,0.9503823003090939
1,31,5992,6014,5859,6147,0.9531478770131772
1,32,5992,6054,5893,6153,0.9577441898261011
1,33,5992,6030,5874,6148,0.9554326610279765
1,34,5992,6016,5864,6144,0.9544270833333334
1,35,5992,6015,5864,6143,0.9545824515708937
1,36,5992,6037,5867,6162,0.9521259331385914
1,37,5992,6017,5862,6147,0.9536359199609565
1,38,5992,5994,5835,6151,0.9486262396358316
1,39,5992,6017,5868,6141,0.9555446995603322
1,40,5992,5988,5851,6129,0.9546418665361397
1,41,5992,5981,5837,6136,0.951271186440678
1,42,5992,6004,5856,6140,0.9537459283387623
1,43,5992,6019,5870,6141,0.955870379417033
1,44,5992,6006,5859,6139,0.9543899657924744
1,45,5992,5968,5820,6140,0.9478827361563518
1,46,5992,6051,5892,6151,0.957893025524305
1,47,5992,5999,5843,6148,0.9503903708523097
1,48,5992,6037,5878,6151,0.9556169728499431
1,49,5992,6027,5865,6154,0.9530386740331491
1,50,5992,6010,5851,6151,0.9512274426922451
2,3,6060,6015,5927,6148,0.964053350683149
2,4,6060,5993,5909,6144,0.9617513020833334
2,5,6060,6005,5925,6140,0.9649837133550488
2,6,6060,6061,5969,6152,0.9702535760728218
2,7,6060,6022,5931,6151,0.9642334579743131
2,8,6060,6039,5946,6153,0.9663578742077036
2,9,6060,6037,5939,6158,0.9644365053588827
2,10,6060,6033,5944,6149,0.9666612457310132
2,11,6060,6032,5945,6147,0.9671384415161868
2,12,6060,6068,5970,6158,0.9694706073400454
2,13,6060,5999,5908,6151,0.9604942285807185
2,14,6060,5997,5901,6156,0.9585769980506823
2,15,6060,5998,5912,6146,0.9619264562316954
2,16,6060,6042,5944,6158,0.9652484572913284
2,17,6060,5985,5893,6152,0.9578998699609883
2,18,6060,6045,5946,6159,0.9654164637116415
2,19,6060,6037,5933,6164,0.9625243348475017
2,20,6060,5989,5899,6150,0.9591869918699187
2,21,6060,6028,5936,6152,0.9648894668400521
2,22,6060,6007,5916,6151,0.9617948301089254
2,23,6060,6012,5917,6155,0.9613322502030869
2,24,6060,6050,5962,6148,0.9697462589459988
2,25,6060,6026,5923,6163,0.9610579263345773
2,26,6060,5984,5906,6138,0.9622026718800912
2,27,6060,6023,5927,6156,0.9628005198180637
2,28,6060,6028,5938,6150,0.9655284552845529
2,29,6060,6017,5929,6148,0.9643786597267404
2,30,6060,5997,5912,6145,0.9620829943043124
2,31,6060,6014,5920,6154,0.961975950601235
2,32,6060,6054,5965,6149,0.9700764351927142
2,33,6060,6030,5939,6151,0.9655340595025199
2,34,6060,6016,5930,6146,0.9648551903677188
2,35,6060,6015,5925,6150,0.9634146341463414
2,36,6060,6037,5946,6151,0.9666720858397009
2,37,6060,6017,5920,6157,0.9615072275458827
2,38,6060,5994,5907,6147,0.9609565641776476
2,39,6060,6017,5925,6152,0.9631014304291288
2,40,6060,5988,5900,6148,0.9596616785946649
2,41,6060,5981,5899,6142,0.9604363399544122
2,42,6060,6004,5916,6148,0.9622641509433962
2,43,6060,6019,5927,6152,0.9634265279583876
2,44,6060,6006,5919,6147,0.9629087359687653
2,45,6060,5968,5865,6163,0.9516469251987668
2,46,6060,6051,5951,6160,0.9660714285714286
2,47,6060,5999,5916,6143,0.9630473709913723
2,48,6060,6037,5940,6157,0.9647555627740783
2,49,6060,6027,5940,6147,0.9663250366032211
2,50,6060,6010,5921,6149,0.9629208001301025
3,4,6015,5993,5880,6128,0.9595300261096605
3,5,6015,6005,5881,6139,0.9579736113373514
3,6,6015,6061,5924,6152,0.9629388816644994
3,7,6015,6022,5889,6148,0.9578724788549121
3,8,6015,6039,5913,6141,0.9628724963361016
3,9,6015,6037,5906,6146,0.9609502115196876
3,10,6015,6033,5910,6138,0.9628543499511242
3,11,6015,6032,5901,6146,0.9601366742596811
3,12,6015,6068,5930,6153,0.9637575166585406
3,13,6015,5999,5868,6146,0.9547673283436381
3,14,6015,5997,5885,6127,0.9605026929982047
3,15,6015,5998,5873,6140,0.956514657980456
3,16,6015,6042,5910,6147,0.961444607125427
3,17,6015,5985,5868,6132,0.9569471624266145
3,18,6015,6045,5915,6145,0.9625711960943857
3,19,6015,6037,5907,6145,0.9612693246541903
3,20,6015,5989,5883,6121,0.9611174644665904
3,21,6015,6028,5892,6151,0.957893025524305
3,22,6015,6007,5893,6129,0.9614945341817589
3,23,6015,6012,5891,6136,0.9600717079530638
3,24,6015,6050,5927,6138,0.965623981753014
3,25,6015,6026,5903,6138,0.9617139133268165
3,26,6015,5984,5872,6127,0.9583809368369512
3,27,6015,6023,5893,6145,0.9589910496338486
3,28,6015,6028,5893,6150,0.9582113821138212
3,29,6015,6017,5895,6137,0.9605670523056868
3,30,6015,5997,5891,6121,0.9624244404509067
3,31,6015,6014,5877,6152,0.9552990897269181
3,32,6015,6054,5917,6152,0.9618010403120937
3,33,6015,6030,5922,6123,0.9671729544341009
3,34,6015,6016,5888,6143,0.9584893374572684
3,35,6015,6015,5892,6138,0.9599217986314761
3,36,6015,6037,5929,6123,0.9683161848766945
3,37,6015,6017,5879,6153,0.9554688769705835
3,38,6015,5994,5880,6129,0.9593734703866863
3,39,6015,6017,5891,6141,0.9592900179123921
3,40,6015,5988,5871,6132,0.9574363992172211
3,41,6015,5981,5865,6131,0.9566139292122003
3,42,6015,6004,5884,6135,0.9590872045639772
3,43,6015,6019,5895,6139,0.9602541130477277
3,44,6015,6006,5872,6149,0.9549520247194666
3,45,6015,5968,5860,6123,0.9570471990854157
3,46,6015,6051,5921,6145,0.9635475996745322
3,47,6015,5999,5889,6125,0.961469387755102
3,48,6015,6037,5914,6138,0.963506028022157
3,49,6015,6027,5905,6137,0.9621965129542122
3,50,6015,6010,5874,6151,0.9549666720858397
4,5,5993,6005,5865,6133,0.9563019729333115
4,6,5993,6061,5906,6148,0.9606376057254392
4,7,5993,6022,5875,6140,0.9568403908794788
4,8,5993,6039,5894,6138,0.9602476376669925
4,9,5993,6037,5886,6144,0.9580078125
4,10,5993,6033,5898,6128,0.962467362924282
4,11,5993,6032,5893,6132,0.9610241356816699
4,12,5993,6068,5923,6138,0.9649723036819811
4,13,5993,5999,5860,6132,0.9556425309849967
4,14,5993,5997,5867,6123,0.9581904295280091
4,15,5993,5998,5859,6132,0.9554794520547946
4,16,5993,6042,5894,6141,0.9597785376974434
4,17,5993,5985,5851,6127,0.9549534845764648
4,18,5993,6045,5897,6141,0.9602670574824947
4,19,5993,6037,5882,6148,0.9567338972023423
4,20,5993,5989,5857,6125,0.9562448979591837
4,21,5993,6028,5878,6143,0.9568614683379456
4,22,5993,6007,5871,6129,0.9579050416054822
4,23,5993,6012,5860,6145,0.9536208299430431
4,24,5993,6050,5902,6141,0.9610812571242469
4,25,5993,6026,5872,6147,0.9552627297868879
4,26,5993,5984,5848,6129,0.9541523902757383
4,27,5993,6023,5884,6132,0.95955642530985
4,28,5993,6028,5882,6139,0.958136504316664
4,29,5993,6017,5882,6128,0.9598563968668408
4,30,5993,5997,5854,6136,0.9540417209908736
4,31,5993,6014,5863,6144,0.9542643229166666
4,32,5993,6054,5906,6141,0.9617326168376485
4,33,5993,6030,5896,6127,0.9622980251346499
4,34,5993,6016,5872,6137,0.9568192928140785
4,35,5993,6015,5867,6141,0.9553818596319817
4,36,5993,6037,5891,6139,0.9596025411304773
4,37,5993,6017,5877,6133,0.9582586010109245
4,38,5993,5994,5850,6137,0.9532344793873228
4,39,5993,6017,5874,6136,0.9573011734028684
4,40,5993,5988,5838,6143,0.9503499918606544
4,41,5993,5981,5846,6128,0.9539817232375979
4,42,5993,6004,5873,6124,0.959013716525147
4,43,5993,6019,5883,6129,0.9598629466470876
4,44,5993,6006,5861,6138,0.954871293580971
4,45,5993,5968,5838,6123,0.953454189122979
4,46,5993,6051,5906,6138,0.9622026718800912
4,47,5993,5999,5867,6125,0.9578775510204082
4,48,5993,6037,5903,6127,0.9634405092214787
4,49,5993,6027,5897,6123,0.9630899885676956
4,50,5993,6010,5879,6124,0.9599934683213586
5,6,6005,6061,5916,6150,0.9619512195121951
5,7,6005,6022,5887,6140,0.9587947882736156
5,8,6005,6039,5890,6154,0.9571010724731882
5,9,6005,6037,5908,6134,0.9631561786762308
5,10,6005,6033,5903,6135,0.9621841890790546
5,11,6005,6032,5896,6141,0.9601042175541443
5,12,6005,6068,5921,6152,0.9624512353706112
5,13,6005,5999,5860,6144,0.9537760416666666
5,14,6005,5997,5854,6148,0.9521795705920625
5,15,6005,5998,5861,6142,0.9542494301530446
5,16,6005,6042,5900,6147,0.9598177972994957
5,17,6005,5985,5857,6133,0.954997554214903
5,18,6005,6045,5899,6151,0.959031051861486
5,19,6005,6037,5890,6152,0.9574122236671001
5,20,6005,5989,5849,6145,0.9518307567127746
