gene,appearance_count,appearance_rate,stability_class,total_runs
C5AR1,50,1.0000,iron-clad,50
CAVIN3,50,1.0000,iron-clad,50
CCDC3,50,1.0000,iron-clad,50
ELK3,50,1.0000,iron-clad,50
HSPG2,50,1.0000,iron-clad,50
KLK6,50,1.0000,iron-clad,50
KRT7,50,1.0000,iron-clad,50
MLKL,50,1.0000,iron-clad,50
PGC,50,1.0000,iron-clad,50
RIPK2,50,1.0000,iron-clad,50
STAT1,50,1.0000,iron-clad,50
TAP1,50,1.0000,iron-clad,50
CTSE,50,1.0000,iron-clad,50
GIMAP4,50,1.0000,iron-clad,50
GYG2,50,1.0000,iron-clad,50
HBEGF,50,1.0000,iron-clad,50
MYOF,50,1.0000,iron-clad,50
TCF4,50,1.0000,iron-clad,50
TM4SF1,50,1.0000,iron-clad,50
C3AR1,50,1.0000,iron-clad,50
CDH13,50,1.0000,iron-clad,50
CDK1,50,1.0000,iron-clad,50
IL26,50,1.0000,iron-clad,50
KRT6A,50,1.0000,iron-clad,50
AASS,50,1.0000,iron-clad,50
C1QA,50,1.0000,iron-clad,50
CELSR1,50,1.0000,iron-clad,50
GLUL,50,1.0000,iron-clad,50
PPT1,50,1.0000,iron-clad,50
SLC36A4,50,1.0000,iron-clad,50
AGRN,50,1.0000,iron-clad,50
EVA1C,50,1.0000,iron-clad,50
GPR180,50,1.0000,iron-clad,50
PIAS3,50,1.0000,iron-clad,50
PPIL1,50,1.0000,iron-clad,50
RFX5,50,1.0000,iron-clad,50
EVI2B,50,1.0000,iron-clad,50
FFAR4,50,1.0000,iron-clad,50
LYZ,50,1.0000,iron-clad,50
OLFM4,50,1.0000,iron-clad,50
POSTN,50,1.0000,iron-clad,50
SLPI,50,1.0000,iron-clad,50
ST3GAL4,50,1.0000,iron-clad,50
VSNL1,50,1.0000,iron-clad,50
ANGPT2,50,1.0000,iron-clad,50
ARMCX2,50,1.0000,iron-clad,50
ASPH,50,1.0000,iron-clad,50
CEP128,50,1.0000,iron-clad,50
CHRDL2,50,1.0000,iron-clad,50
ENC1,50,1.0000,iron-clad,50
FAM20A,50,1.0000,iron-clad,50
FEZ1,50,1.0000,iron-clad,50
IRF1,50,1.0000,iron-clad,50
KIRREL1,50,1.0000,iron-clad,50
KRT6C,50,1.0000,iron-clad,50
NME5,50,1.0000,iron-clad,50
ODC1,50,1.0000,iron-clad,50
PIM3,50,1.0000,iron-clad,50
S100A7,50,1.0000,iron-clad,50
SEC14L1,50,1.0000,iron-clad,50
SGIP1,50,1.0000,iron-clad,50
SMOX,50,1.0000,iron-clad,50
TPRG1,50,1.0000,iron-clad,50
TUBA1A,50,1.0000,iron-clad,50
ADAM12,50,1.0000,iron-clad,50
CLEC1A,50,1.0000,iron-clad,50
CLEC7A,50,1.0000,iron-clad,50
CRIP2,50,1.0000,iron-clad,50
LGALS1,50,1.0000,iron-clad,50
MTCL1,50,1.0000,iron-clad,50
TSPAN18,50,1.0000,iron-clad,50
ARID5A,50,1.0000,iron-clad,50
CLEC4A,50,1.0000,iron-clad,50
HTRA1,50,1.0000,iron-clad,50
NLRP3,50,1.0000,iron-clad,50
OAS3,50,1.0000,iron-clad,50
SH3PXD2B,50,1.0000,iron-clad,50
C2CD2,50,1.0000,iron-clad,50
LIMS4,50,1.0000,iron-clad,50
SHMT2,50,1.0000,iron-clad,50
DCBLD1,50,1.0000,iron-clad,50
NARF,50,1.0000,iron-clad,50
NRDC,50,1.0000,iron-clad,50
PRKD2,50,1.0000,iron-clad,50
SRP19,50,1.0000,iron-clad,50
TFE3,50,1.0000,iron-clad,50
UBE2H,50,1.0000,iron-clad,50
VARS1,50,1.0000,iron-clad,50
GBP5,50,1.0000,iron-clad,50
IL13RA2,50,1.0000,iron-clad,50
ITGA5,50,1.0000,iron-clad,50
PIM2,50,1.0000,iron-clad,50
SERPINB4,50,1.0000,iron-clad,50
CXCL6,50,1.0000,iron-clad,50
ICAM1,50,1.0000,iron-clad,50
IL6,50,1.0000,iron-clad,50
KCNJ15,50,1.0000,iron-clad,50
STC1,50,1.0000,iron-clad,50
STRIP2,50,1.0000,iron-clad,50
TRIB2,50,1.0000,iron-clad,50
VWF,50,1.0000,iron-clad,50
WNT5A,50,1.0000,iron-clad,50
DCST1,50,1.0000,iron-clad,50
DOC2A,50,1.0000,iron-clad,50
LRRC2,50,1.0000,iron-clad,50
TSSK6,50,1.0000,iron-clad,50
CCL2,50,1.0000,iron-clad,50
CEMIP,50,1.0000,iron-clad,50
CXCL2,50,1.0000,iron-clad,50
CXCL5,50,1.0000,iron-clad,50
FCGR3B,50,1.0000,iron-clad,50
IL1A,50,1.0000,iron-clad,50
INHBA,50,1.0000,iron-clad,50
MXRA5,50,1.0000,iron-clad,50
TNC,50,1.0000,iron-clad,50
TNFAIP6,50,1.0000,iron-clad,50
CCSAP,50,1.0000,iron-clad,50
CETN2,50,1.0000,iron-clad,50
CHD3,50,1.0000,iron-clad,50
E2F7,50,1.0000,iron-clad,50
GAS7,50,1.0000,iron-clad,50
HYAL2,50,1.0000,iron-clad,50
MACF1,50,1.0000,iron-clad,50
PRRC2C,50,1.0000,iron-clad,50
RNF149,50,1.0000,iron-clad,50
TKT,50,1.0000,iron-clad,50
TUBB,50,1.0000,iron-clad,50
MTFR2,50,1.0000,iron-clad,50
NUDCD1,50,1.0000,iron-clad,50
RTL8C,50,1.0000,iron-clad,50
TMEM237,50,1.0000,iron-clad,50
UHRF1,50,1.0000,iron-clad,50
CD74,50,1.0000,iron-clad,50
HLA-DPA1,50,1.0000,iron-clad,50
HLA-DPB1,50,1.0000,iron-clad,50
MUC4,50,1.0000,iron-clad,50
EFEMP2,50,1.0000,iron-clad,50
ETS2,50,1.0000,iron-clad,50
HSH2D,50,1.0000,iron-clad,50
IFT22,50,1.0000,iron-clad,50
PANX1,50,1.0000,iron-clad,50
PDLIM7,50,1.0000,iron-clad,50
TBC1D19,50,1.0000,iron-clad,50
HECW2,50,1.0000,iron-clad,50
HM13,50,1.0000,iron-clad,50
PML,50,1.0000,iron-clad,50
GPR176,50,1.0000,iron-clad,50
SDK1,50,1.0000,iron-clad,50
SSR4,50,1.0000,iron-clad,50
UBE2S,50,1.0000,iron-clad,50
ZNFX1,50,1.0000,iron-clad,50
CALR,50,1.0000,iron-clad,50
CCNF,50,1.0000,iron-clad,50
DCHS1,50,1.0000,iron-clad,50
ECM1,50,1.0000,iron-clad,50
ENO1,50,1.0000,iron-clad,50
FBXW7,50,1.0000,iron-clad,50
GSTP1,50,1.0000,iron-clad,50
KIAA0040,50,1.0000,iron-clad,50
LAP3,50,1.0000,iron-clad,50
MAPKAPK2,50,1.0000,iron-clad,50
MIF,50,1.0000,iron-clad,50
NUP188,50,1.0000,iron-clad,50
PTPN1,50,1.0000,iron-clad,50
SHISA5,50,1.0000,iron-clad,50
SND1,50,1.0000,iron-clad,50
TAPBP,50,1.0000,iron-clad,50
TIPARP,50,1.0000,iron-clad,50
TMEM258,50,1.0000,iron-clad,50
ZNF593,50,1.0000,iron-clad,50
APCDD1,50,1.0000,iron-clad,50
CCL19,50,1.0000,iron-clad,50
CPA3,50,1.0000,iron-clad,50
CXCR4,50,1.0000,iron-clad,50
GRIN3A,50,1.0000,iron-clad,50
HYAL1,50,1.0000,iron-clad,50
IL17A,50,1.0000,iron-clad,50
KDELR3,50,1.0000,iron-clad,50
P2RY13,50,1.0000,iron-clad,50
PLXNC1,50,1.0000,iron-clad,50
SEC24D,50,1.0000,iron-clad,50
SELPLG,50,1.0000,iron-clad,50
SRD5A3,50,1.0000,iron-clad,50
TMEM158,50,1.0000,iron-clad,50
E2F5,50,1.0000,iron-clad,50
GRK5,50,1.0000,iron-clad,50
IGF2BP3,50,1.0000,iron-clad,50
LDHB,50,1.0000,iron-clad,50
LHFPL6,50,1.0000,iron-clad,50
SLA,50,1.0000,iron-clad,50
AJAP1,50,1.0000,iron-clad,50
AP2B1,50,1.0000,iron-clad,50
CCM2,50,1.0000,iron-clad,50
CYRIB,50,1.0000,iron-clad,50
EIF3A,50,1.0000,iron-clad,50
ERVMER34-1,50,1.0000,iron-clad,50
FAM120C,50,1.0000,iron-clad,50
H2BC21,50,1.0000,iron-clad,50
IFFO2,50,1.0000,iron-clad,50
PABPC4,50,1.0000,iron-clad,50
RNGTT,50,1.0000,iron-clad,50
SFXN2,50,1.0000,iron-clad,50
SIRPD,50,1.0000,iron-clad,50
SUV39H1,50,1.0000,iron-clad,50
YOD1,50,1.0000,iron-clad,50
EQTN,50,1.0000,iron-clad,50
HCRTR2,50,1.0000,iron-clad,50
MPP4,50,1.0000,iron-clad,50
VPS33B,50,1.0000,iron-clad,50
GOLGA6L2,50,1.0000,iron-clad,50
ZNF385C,50,1.0000,iron-clad,50
ZNF7,50,1.0000,iron-clad,50
CCDC86,50,1.0000,iron-clad,50
DNAJC3,50,1.0000,iron-clad,50
DPCD,50,1.0000,iron-clad,50
HILPDA,50,1.0000,iron-clad,50
NECTIN2,50,1.0000,iron-clad,50
PMM2,50,1.0000,iron-clad,50
SACK1H,50,1.0000,iron-clad,50
TOP1,50,1.0000,iron-clad,50
ZFAND5,50,1.0000,iron-clad,50
IL27RA,50,1.0000,iron-clad,50
IL4I1,50,1.0000,iron-clad,50
ITGB3,50,1.0000,iron-clad,50
LGI2,50,1.0000,iron-clad,50
LRRC8C,50,1.0000,iron-clad,50
MORF4L2,50,1.0000,iron-clad,50
TRAM1,50,1.0000,iron-clad,50
H4C3,50,1.0000,iron-clad,50
NCOR2,50,1.0000,iron-clad,50
NFKBIA,50,1.0000,iron-clad,50
PLEKHM2,50,1.0000,iron-clad,50
POLN,50,1.0000,iron-clad,50
TTC28,50,1.0000,iron-clad,50
ZDBF2,50,1.0000,iron-clad,50
C6orf62,50,1.0000,iron-clad,50
CFAP54,50,1.0000,iron-clad,50
HTRA4,50,1.0000,iron-clad,50
KCNA2,50,1.0000,iron-clad,50
MMP25,50,1.0000,iron-clad,50
LAMP5,50,1.0000,iron-clad,50
MTSS2,50,1.0000,iron-clad,50
NUTF2,50,1.0000,iron-clad,50
PDE1C,50,1.0000,iron-clad,50
RPLP2,50,1.0000,iron-clad,50
TGIF2,50,1.0000,iron-clad,50
ADGRL1,50,1.0000,iron-clad,50
AVIL,50,1.0000,iron-clad,50
CILK1,50,1.0000,iron-clad,50
MINK1,50,1.0000,iron-clad,50
RAB1B,50,1.0000,iron-clad,50
GGNBP2,50,1.0000,iron-clad,50
GPRC5C,50,1.0000,iron-clad,50
RABL2A,50,1.0000,iron-clad,50
STK25,50,1.0000,iron-clad,50
ZNF527,50,1.0000,iron-clad,50
AGTRAP,50,1.0000,iron-clad,50
ASS1,50,1.0000,iron-clad,50
DENND2B,50,1.0000,iron-clad,50
IDH2,50,1.0000,iron-clad,50
KLK11,50,1.0000,iron-clad,50
NXN,50,1.0000,iron-clad,50
RNF24,50,1.0000,iron-clad,50
ROPN1L,50,1.0000,iron-clad,50
S1PR1,50,1.0000,iron-clad,50
TFAP2A,50,1.0000,iron-clad,50
TTC9,50,1.0000,iron-clad,50
CD276,50,1.0000,iron-clad,50
CXCL17,50,1.0000,iron-clad,50
FMO3,50,1.0000,iron-clad,50
RAMP3,50,1.0000,iron-clad,50
RASIP1,50,1.0000,iron-clad,50
TMEM184B,50,1.0000,iron-clad,50
B4GAT1,50,1.0000,iron-clad,50
HACL2,50,1.0000,iron-clad,50
ZBTB3,50,1.0000,iron-clad,50
PPP1R37,50,1.0000,iron-clad,50
REX1BD,50,1.0000,iron-clad,50
TRPC7,50,1.0000,iron-clad,50
ZNF148,50,1.0000,iron-clad,50
BSPH1,50,1.0000,iron-clad,50
KIF6,50,1.0000,iron-clad,50
TTC32,50,1.0000,iron-clad,50
ABHD12,50,1.0000,iron-clad,50
ATG14,50,1.0000,iron-clad,50
BCAR3,50,1.0000,iron-clad,50
CCNDBP1,50,1.0000,iron-clad,50
CDX2,50,1.0000,iron-clad,50
GATA6,50,1.0000,iron-clad,50
HCN3,50,1.0000,iron-clad,50
HOXA10,50,1.0000,iron-clad,50
MALL,50,1.0000,iron-clad,50
NUDT9,50,1.0000,iron-clad,50
PARD6B,50,1.0000,iron-clad,50
PGM1,50,1.0000,iron-clad,50
CARF,50,1.0000,iron-clad,50
DHX35,50,1.0000,iron-clad,50
EZR,50,1.0000,iron-clad,50
GK5,50,1.0000,iron-clad,50
INPP5A,50,1.0000,iron-clad,50
NPAS2,50,1.0000,iron-clad,50
PNPLA2,50,1.0000,iron-clad,50
SLC25A10,50,1.0000,iron-clad,50
SNRNP48,50,1.0000,iron-clad,50
SRR,50,1.0000,iron-clad,50
ZNF558,50,1.0000,iron-clad,50
AARS1,50,1.0000,iron-clad,50
CCR5,50,1.0000,iron-clad,50
CIT,50,1.0000,iron-clad,50
DZIP1,50,1.0000,iron-clad,50
AFAP1L1,50,1.0000,iron-clad,50
KCNJ8,50,1.0000,iron-clad,50
NUGGC,50,1.0000,iron-clad,50
CACNA1C,50,1.0000,iron-clad,50
CACNA2D1,50,1.0000,iron-clad,50
CCDC102B,50,1.0000,iron-clad,50
FMNL3,50,1.0000,iron-clad,50
MARS1,50,1.0000,iron-clad,50
PAMR1,50,1.0000,iron-clad,50
PIP4P2,50,1.0000,iron-clad,50
STAT5A,50,1.0000,iron-clad,50
TXLNB,50,1.0000,iron-clad,50
ANO1,50,1.0000,iron-clad,50
LST1,50,1.0000,iron-clad,50
SERPINF1,50,1.0000,iron-clad,50
SLC7A2,50,1.0000,iron-clad,50
SULF2,50,1.0000,iron-clad,50
ADIRF,50,1.0000,iron-clad,50
CLDN8,50,1.0000,iron-clad,50
CREB3L3,50,1.0000,iron-clad,50
CYP4F2,50,1.0000,iron-clad,50
GBA3,50,1.0000,iron-clad,50
GSTA1,50,1.0000,iron-clad,50
HSD3B1,50,1.0000,iron-clad,50
MEP1B,50,1.0000,iron-clad,50
MS4A8,50,1.0000,iron-clad,50
PLA2G12B,50,1.0000,iron-clad,50
SLC38A4,50,1.0000,iron-clad,50
SLC51A,50,1.0000,iron-clad,50
XPNPEP2,50,1.0000,iron-clad,50
ASPA,50,1.0000,iron-clad,50
G6PC1,50,1.0000,iron-clad,50
MAOB,50,1.0000,iron-clad,50
NR1H4,50,1.0000,iron-clad,50
OTC,50,1.0000,iron-clad,50
PITX2,50,1.0000,iron-clad,50
PLIN2,50,1.0000,iron-clad,50
SLC13A2,50,1.0000,iron-clad,50
SLC22A4,50,1.0000,iron-clad,50
SLC5A11,50,1.0000,iron-clad,50
SLC6A4,50,1.0000,iron-clad,50
TMEM252,50,1.0000,iron-clad,50
CLEC5A,50,1.0000,iron-clad,50
GALNT2,50,1.0000,iron-clad,50
LATS2,50,1.0000,iron-clad,50
LDLRAD3,50,1.0000,iron-clad,50
MAGED1,50,1.0000,iron-clad,50
TRIM16,50,1.0000,iron-clad,50
TRIP13,50,1.0000,iron-clad,50
ZNF618,50,1.0000,iron-clad,50
CCDC13,50,1.0000,iron-clad,50
CDK19,50,1.0000,iron-clad,50
CTDSP1,50,1.0000,iron-clad,50
ETFA,50,1.0000,iron-clad,50
FAM110C,50,1.0000,iron-clad,50
FNIP1,50,1.0000,iron-clad,50
MGST3,50,1.0000,iron-clad,50
NIT1,50,1.0000,iron-clad,50
PELI2,50,1.0000,iron-clad,50
PPP1R16A,50,1.0000,iron-clad,50
RARS2,50,1.0000,iron-clad,50
RPL8,50,1.0000,iron-clad,50
RRN3,50,1.0000,iron-clad,50
SACK1G,50,1.0000,iron-clad,50
SNAP23,50,1.0000,iron-clad,50
SUMF2,50,1.0000,iron-clad,50
ZFAND6,50,1.0000,iron-clad,50
ZNF33A,50,1.0000,iron-clad,50
FUT6,50,1.0000,iron-clad,50
RCCD1,50,1.0000,iron-clad,50
RPS29,50,1.0000,iron-clad,50
CRELD2,50,1.0000,iron-clad,50
EGFL6,50,1.0000,iron-clad,50
GMPR,50,1.0000,iron-clad,50
SLC4A11,50,1.0000,iron-clad,50
VWA1,50,1.0000,iron-clad,50
CHPT1,50,1.0000,iron-clad,50
EIF4EBP2,50,1.0000,iron-clad,50
EPB41L4B,50,1.0000,iron-clad,50
GDA,50,1.0000,iron-clad,50
GIPC2,50,1.0000,iron-clad,50
IGSF3,50,1.0000,iron-clad,50
KCNK5,50,1.0000,iron-clad,50
NHSL1,50,1.0000,iron-clad,50
PMM1,50,1.0000,iron-clad,50
VSIG10,50,1.0000,iron-clad,50
PDPN,50,1.0000,iron-clad,50
PIK3C3,50,1.0000,iron-clad,50
A1CF,50,1.0000,iron-clad,50
ACOX1,50,1.0000,iron-clad,50
AKAP19,50,1.0000,iron-clad,50
CDHR5,50,1.0000,iron-clad,50
EPHX2,50,1.0000,iron-clad,50
FMO4,50,1.0000,iron-clad,50
MAOA,50,1.0000,iron-clad,50
RNF152,50,1.0000,iron-clad,50
SLC25A34,50,1.0000,iron-clad,50
VIPR1,50,1.0000,iron-clad,50
CHN2,50,1.0000,iron-clad,50
ETFDH,50,1.0000,iron-clad,50
RHOU,50,1.0000,iron-clad,50
TINAG,50,1.0000,iron-clad,50
ZG16,50,1.0000,iron-clad,50
CHAD,50,1.0000,iron-clad,50
CNKSR3,50,1.0000,iron-clad,50
NHERF4,50,1.0000,iron-clad,50
PDK2,50,1.0000,iron-clad,50
PPARGC1A,50,1.0000,iron-clad,50
PTPRR,50,1.0000,iron-clad,50
RMDN2,50,1.0000,iron-clad,50
SLC36A1,50,1.0000,iron-clad,50
SLC39A5,50,1.0000,iron-clad,50
SULT1A2,50,1.0000,iron-clad,50
SLC25A41,50,1.0000,iron-clad,50
OR5T1,50,1.0000,iron-clad,50
ABCC10,50,1.0000,iron-clad,50
