gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
AACS,3,2,-0.40594813998303064,-0.30825923378406905,True
ABAT,3,3,-0.8304444963928462,-0.8304444963928462,True
ABCA2,3,2,0.17952093953935755,0.13157574117268078,False
ABCA6,3,3,0.32013457400805995,0.32013457400805995,True
ABCA7,3,2,0.12412945298236917,0.17259234010338353,False
ABCC4,3,2,-0.12185227291719099,-0.24057379769630316,False
ABCC8,3,3,-0.8625064693932899,-0.8625064693932899,True
ABCE1,3,2,-0.48885242161860987,-0.6698182693142862,False
ABCF2,3,2,0.35779451653830385,0.27506248909317055,True
ABHD10,3,2,-0.453665781881256,-0.5631912111363557,True
ABHD8,3,2,0.009405078571303349,0.033107995843357774,False
ACADM,3,2,-0.5490583838712787,-0.7476739718229948,True
ACHE,3,2,0.27625398815277347,0.4607921795975809,True
ACKR2,3,2,0.3536515973055465,0.5358728331241092,True
ACLY,3,3,-0.6131963946371991,-0.6131963946371991,True
ACO2,3,2,-0.29526406876325745,-0.4404819215378679,True
ACOT1,3,2,-0.6334131929643609,-0.9213684209961026,True
ACOT11,3,2,0.07370421050014819,0.12564558909013446,False
ACOT7,3,2,0.23959715588841077,0.3539040086190193,True
ACOT9,3,2,-0.240164702872019,-0.28235795060820923,False
ACRV1,3,2,0.015017527058792743,0.03908682285880305,False
ACSL5,3,2,0.0744169160476078,-0.06266629259525525,False
ACTN3,3,2,-0.04655299501426846,-0.0361692863889469,False
ACVR1B,3,3,-0.40770100210925914,-0.40770100210925914,True
ACYP1,3,2,-0.43057463542363966,-0.6876938120869669,True
ADAMTS2,3,2,0.12265273541346478,0.21942141455776998,False
ADAMTS4,2,2,0.025004645958087934,0.025004645958087934,False
ADAMTS7,3,2,0.299631128023304,0.4425867249963602,True
ADAP2,3,2,0.07991332592591387,0.1629501324102134,False
ADCY2,3,2,0.04575853118747079,0.03669151545138183,False
ADCY6,3,2,0.2115705901106019,0.3749456422102022,True
ADD2,3,2,0.6858722419283874,0.9920707872333709,True
ADGRE2,3,2,0.3449727783120114,0.45952261984896925,True
ADGRE3,3,2,-0.07292622317788784,-0.0975682527282351,False
ADK,3,2,-0.5156192898283255,-0.8134306436696801,True
ADO,3,2,-0.28774616756634125,-0.4557601139802139,True
ADRA2C,3,2,0.34396196435119614,0.3384508623682967,True
ADRB1,3,2,0.4378014159151715,0.6652589164056508,True
AGA,3,2,-0.3392478243773489,-0.5107432579734792,False
AGTPBP1,3,2,-0.5253087759206153,-0.6210096880691096,True
AGTR1,3,2,-0.28018498949543585,-0.4434877769089429,True
AHCY,3,2,-0.5022937499940804,-0.8372520912460528,False
AHCYL1,3,3,-0.4481928513817808,-0.4481928513817808,True
AJAP1,3,3,0.38680729289474414,0.38680729289474414,False
AKAP11,3,2,-0.9320035336467164,-1.3342669525016535,True
AKAP9,3,3,-0.6023185588069877,-0.6023185588069877,True
AKT3,3,2,-0.44057030951811793,-0.6695415912345237,True
ALAS1,3,2,-0.26426462051226335,-0.40472159398769225,False
ALDH18A1,3,2,-0.3748012910030978,-0.5375971070840317,True
ALG5,3,2,-0.5483001643171296,-0.8433157417511317,True
ALLC,3,2,0.01766957642943205,0.055967683898534126,False
