gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
AACS,0.42892743042777637,0.3120862818997694,0.0,1.0,0.0
ABAT,0.2976512600779721,0.12608833641460282,1.0,1.0,0.0
ABCA2,0.5395009284421833,0.13807345098396387,0.0,0.33333333333333326,0.0
ABCA6,0.5869041840158719,0.15278085619226608,1.0,1.0,0.0
ABCA7,0.5498124067889604,0.2666260636487813,0.0,0.33333333333333326,0.0
ABCC4,0.44594339291141194,0.17853622488746707,0.0,0.33333333333333326,0.0
ABCC8,0.2895909540319349,0.41403759114666644,1.0,1.0,0.0
ABCE1,0.33803232300431013,0.25191990218427623,0.0,0.33333333333333326,0.0
ABCF2,0.5755731658485881,0.10745373578263367,0.0,1.0,0.0
ABHD10,0.364838119443938,0.1573211113388194,0.0,1.0,0.0
ABHD8,0.5147463644293381,0.060353562529885836,0.0,0.33333333333333326,0.0
ACADM,0.318459579005033,0.25189710417679495,0.0,1.0,0.0
ACHE,0.6222651815670408,0.11170071695240429,0.0,0.33333333333333326,0.0
ACKR2,0.6411402846541755,0.23899102416983126,0.0,0.33333333333333326,0.0
ACLY,0.35226693167269657,0.23892628326199009,1.0,1.0,0.0
ACO2,0.3956869517613359,0.023216108290161307,0.0,1.0,0.0
ACOT1,0.2747931951922298,0.30631574487760344,0.0,1.0,0.0
ACOT11,0.538010101889363,0.1756384052498539,0.0,0.33333333333333326,0.0
ACOT7,0.5953937419717158,0.09246291164121417,0.0,1.0,0.0
ACOT9,0.43543895326449067,0.2775839057596362,0.0,0.33333333333333326,0.0
ACRV1,0.5162494277479972,0.1348228604565662,0.0,0.33333333333333326,0.0
ACSL5,0.49066892926507094,0.10937426980822756,0.0,0.33333333333333326,0.0
ACTN3,0.4973302154973199,0.08581836887994157,0.0,0.33333333333333326,0.0
ACVR1B,0.40392799928082007,0.135547162924224,1.0,1.0,0.0
ACYP1,0.3335384527897466,0.20668691082875634,0.0,0.33333333333333326,0.0
ADAMTS2,0.561585128073137,0.1676067252658456,0.0,0.33333333333333326,0.0
ADAMTS4,0.5127092009624332,0.09103947000650345,0.0,0.0,0.0
ADAMTS7,0.6176883722798817,0.13668914712823613,0.0,1.0,0.0
ADAP2,0.5473883780192609,0.1505929844769861,0.0,0.33333333333333326,0.0
ADCY2,0.5156472529916936,0.03920971016684225,0.0,0.33333333333333326,0.0
ADCY6,0.6006835601139482,0.2048945647629443,0.0,0.33333333333333326,0.0
ADD2,0.7558273978784869,0.3549646272034103,0.0,1.0,0.0
ADGRE2,0.6219460171750866,0.042347860343773545,0.0,1.0,0.0
ADGRE3,0.48189465700570266,0.18014799277743726,0.0,0.33333333333333326,0.0
ADK,0.30192850340198796,0.1477700766077524,0.0,0.33333333333333326,0.0
ADO,0.3918460494277878,0.15133669727938553,0.0,0.33333333333333326,0.0
ADRA2C,0.5915088566543565,0.1033961695477239,0.0,1.0,0.0
ADRB1,0.6736676475002753,0.12489533231894376,0.0,0.33333333333333326,0.0
AGA,0.3780234138727981,0.13722773855893056,0.0,0.33333333333333326,0.0
AGTPBP1,0.3503026877290123,0.11561836193303827,0.0,1.0,0.0
AGTR1,0.3949312866554906,0.16793537742580925,0.0,0.33333333333333326,0.0
AHCY,0.29593984643684923,0.4021157551426528,0.0,0.33333333333333326,0.0
AHCYL1,0.3937484417875236,0.08225517158619375,1.0,1.0,0.0
AJAP1,0.603665551731472,0.21293761198879677,1.0,0.33333333333333326,0.0
AKAP11,0.17099145691966514,0.3363058251396032,0.0,1.0,0.0
AKAP9,0.35500159450548113,0.22634350317481922,1.0,1.0,0.0
AKT3,0.33810187923527213,0.09659322728841015,0.0,0.33333333333333326,0.0
ALAS1,0.40467701560915226,0.08491112408521415,0.0,0.33333333333333326,0.0
ALDH18A1,0.37127241815765094,0.0934588855041836,0.0,1.0,0.0
ALG5,0.2944154586885822,0.27134113214384237,0.0,0.33333333333333326,0.0
ALLC,0.5204932372696063,0.09270765255789684,0.0,0.33333333333333326,0.0
ALOXE3,0.5587110934456624,0.07768471376555044,0.0,0.33333333333333326,0.0
ALS2CL,0.5783655526124771,0.18934056069361024,0.0,0.33333333333333326,0.0
ALYREF,0.6046313095348607,0.257117097620364,0.0,1.0,0.0
AMOTL2,0.630394958870289,0.30103771033024956,0.0,0.33333333333333326,0.0
ANGPTL7,0.5979932120494497,0.04621865389050238,0.0,1.0,0.0
ANKRD23,0.33968619123470956,0.29439275893609956,0.0,1.0,0.0
ANKRD26,0.47905990481188976,0.04287141921469931,0.0,0.33333333333333326,0.0
