gene,cluster_id
AACS,84
ABAT,62
ABCA2,99
ABCA6,46
ABCA7,140
ABCC4,35
ABCC8,36
ABCE1,136
ABCF2,50
ABHD10,29
ABHD8,119
ACADM,91
ACHE,22
ACKR2,113
ACLY,37
ACO2,24
ACOT1,52
ACOT11,135
ACOT7,69
ACOT9,131
ACRV1,107
ACSL5,107
ACTN3,108
ACVR1B,63
ACYP1,124
ADAMTS2,135
ADAMTS4,5
ADAMTS7,12
ADAP2,94
ADCY2,142
ADCY6,134
ADD2,92
ADGRE2,-1
ADGRE3,123
ADK,54
ADO,-1
ADRA2C,68
ADRB1,67
AGA,109
AGTPBP1,11
AGTR1,128
AHCY,121
AHCYL1,63
AJAP1,72
AKAP11,53
AKAP9,37
AKT3,55
ALAS1,139
ALDH18A1,11
ALG5,112
ALLC,107
ALOXE3,59
ALS2CL,135
ALYREF,33
AMOTL2,115
ANGPTL7,125
ANKRD23,84
ANKRD26,102
ANKRD53,141
ANKS1B,14
ANO1,102
ANXA5,121
ANXA7,30
AOAH,-1
AOPEP,55
APBA1,100
APBA2,58
APEX1,121
APH1A,122
APH1B,107
APLNR,0
APOBEC2,135
APOD,15
APOH,120
APOL1,92
APOLD1,54
APPL2,63
AQP4,124
ARF4,55
ARF6,71
ARFGAP1,92
ARFIP1,11
ARG2,37
ARHGAP11A,104
ARHGAP28,-1
ARHGAP29,82
ARHGAP6,71
ARHGEF26,122
ARHGEF4,115
ARHGEF9,37
ARID5A,134
ARIH2,138
ARMCX1,121
ARPP19,84
ARR3,73
ARSA,14
ARTN,74
ARVCF,121
ASCC1,84
ASIC2,80
ASPH,7
ASPM,132
ASS1,118
ATF4,60
ATG9A,0
ATP2A1,142
ATP2B2,106
ATP5MC2,55
ATP6AP1,55
ATP6V0A4,111
ATP6V1A,36
ATP6V1B2,39
ATXN2,145
AXL,19
AZIN1,112
B3GALNT2,50
B3GALT5,121
B3GAT1,45
B3GAT3,143
B3GNT3,9
BAAT,3
BACE2,67
BAIAP2L1,80
BARD1,38
BARX2,114
BCAM,98
BCAN,81
BCAP29,120
BCAS1,71
BDH1,41
BDKRB1,115
BEX4,52
BHLHA15,125
BIRC5,56
BLMH,44
BMP1,133
BMP5,55
BMPR1B,76
BMX,65
BNC1,107
BOK,99
BPGM,139
BRD3OS,90
BRINP1,78
BRMS1,71
BRSK2,100
BTBD1,17
BTBD3,40
BTG2,92
BTN2A1,90
BUB1,145
BZW2,131
C11orf58,112
C12orf76,10
C14orf132,40
C19orf44,5
C1D,25
C1QBP,54
C1R,106
C1orf198,2
C2,13
C6orf15,9
C7,135
C8orf33,82
C9,138
CA1,-1
CA5B,135
CAAP1,30
CACHD1,12
CACNA1A,1
CACNA1D,37
CACNA1S,71
CACNA2D1,107
CACNG5,9
CALM3,90
CALML5,81
CAMK1D,98
CAMKK2,92
CAPG,9
CAPN11,88
CAPN7,84
CARD14,113
CASD1,26
CASKIN2,81
CASP4,57
CASR,90
CASZ1,133
CBLC,88
CBX4,142
CCDC121,141
CCDC177,65
CCDC22,107
CCDC30,141
CCDC70,107
CCDC71,74
CCDC85C,43
CCDC9,71
CCL11,117
CCL13,107
CCL21,41
CCL5,121
CCNB1IP1,11
CCNB2,3
CCR4,133
CCT2,109
CCT5,64
CCT8L2,135
CD19,102
CD2,2
CD200,4
CD226,74
CD244,80
CD40,23
CD44,133
CD55,114
CD59,135
CD5L,35
CD86,23
CD9,121
CDC14B,131
CDC20,142
CDC25C,111
CDC42EP1,107
CDC42SE1,56
CDCA7L,117
CDH16,41
CDH4,76
CDK10,98
CDK18,43
CDK5R1,59
CDK5RAP2,14
CDK8,87
CDKL5,60
CDKN1A,48
CDKN1B,7
CDR2L,15
CDX4,65
CEBPD,2
CEL,118
CELA3B,34
CELF3,144
CELSR1,108
CENPC,84
CENPF,107
CENPI,107
CENPV,2
CEP97,107
CFAP298,21
CFAP70,107
CFHR2,80
CFLAR,65
CH25H,15
CHAT,76
CHGB,112
CHI3L1,141
CHL1,61
CHM,138
CHMP1A,14
CIB2,76
CITED2,90
CLCF1,19
CLCN3,62
CLCN4,7
CLCN7,43
CLDN18,67
CLDN4,114
CLEC11A,92
CLEC5A,3
CLGN,51
CLIC4,55
CLINT1,29
CLMP,1
CLP1,131
CLPS,113
CLTC,11
CLTCL1,48
CLTRN,91
CLUH,126
CMKLR2,47
CNGB1,135
CNNM3,143
CNOT2,138
COBLL1,24
COG4,65
COL11A1,107
COL14A1,126
COQ4,21
COX11,40
COX5A,139
COX7A2L,24
CPA1,76
CPB2,117
CPD,39
CPE,51
CPNE6,132
CPTP,71
CR2,144
CRABP1,122
CRABP2,38
CREG1,128
CRIM1,125
CRKL,77
CRLF3,72
CRTAC1,94
CRTC1,97
CRX,113
CRYBG1,49
CRYZ,4
CRYZL1,64
CSGALNACT2,109
CSHL1,119
CSPG4,111
CST1,74
CST2,33
CST5,34
CST8,78
CTDSPL,35
CTF1,113
CTNNA2,29
CTPS1,88
CTRB2,80
CTRC,-1
CTSC,103
CTSE,16
CTSL,127
CTSO,54
CXCR5,132
CYB5R4,63
CYLC1,74
CYP17A1,58
CYP19A1,38
CYP27A1,60
CYP2C8,145
CYP2J2,41
CYP2U1,138
CYTH4,12
DAP,121
DAP3,109
DAPP1,76
DBN1,27
DBP,45
DBT,67
DCAF4,50
DCK,86
DCLRE1B,-1
DCPH1,77
DCTN6,121
DDN,74
DDX1,54
DDX18,19
DDX21,124
DDX27,28
DDX39A,9
DDX50,87
DENND5A,138
DEPDC1,107
DESI1,127
DGKE,121
DHRS2,62
DHRS7,70
DHX32,139
DHX33,6
DIAPH2,90
DIMT1,35
DIPK2B,48
DKC1,1
DLD,53
DLG2,119
DLG4,99
DLX2,125
DLX4,74
DNAAF8,14
DNAI1,135
DNAJB14,30
DNAJB9,86
DNAJC28,-1
DNAJC6,40
DNASE1L2,122
DNASE2,115
DNMT3A,60
DOCK10,89
DPYSL2,7
DPYSL3,92
DRG2,28
DSCAML1,1
DTNBP1,6
DUSP13B,74
DUSP14,56
DYNLT3,4
DYRK1B,41
EBF2,13
ECEL1,130
EDN3,36
EEF1D,42
EFCAB13,44
EFCAB7,24
EFHC1,56
EFHD2,132
EFNA2,130
EFNA3,116
EFNB3,16
EHBP1,17
EIF1B,91
EIF2B1,136
EIF3D,95
EIF3F,64
EIF3J,103
EIF5,54
ELAPOR1,56
ELMO2,63
ELP1,77
ELP4,84
EMC10,72
ENG,78
ENGASE,74
ENPP2,51
ENTPD1,34
ENTPD3,36
ENTREP1,106
ENTREP3,73
EOGT,120
EPB41L1,22
EPB41L5,66
EPHB3,69
EPN1,78
ERBB2,15
ERLEC1,10
ERLIN1,84
ERO1B,36
ERVMER34-1,71
ESR2,2
ETFDH,11
ETNK1,39
ETV4,69
EXD3,115
EXOC2,90
EXT2,83
EXTL1,99
EYA1,108
F2,74
F2RL1,76
F2RL3,3
F7,74
FA2H,74
FAM120C,57
FAM135A,82
FAM153A,93
FAM171A2,32
FAM3C,55
FBXO7,10
FBXO9,55
FCAR,104
FECH,24
FES,14
FEZ2,107
FFAR1,87
FGF7,-1
FHL2,131
FHL3,93
FKBP2,130
FMNL2,8
FMO2,81
FNBP1L,18
FNTA,127
FOLH1,1
FOXA2,74
FOXC1,118
FOXD1,-1
FOXD4L1,79
FOXE1,102
FOXJ3,24
FOXN3,113
FPGS,20
FRAS1,3
FRMD4A,15
FRMD4B,80
FRS2,3
FRY,39
FTCD,60
FTSJ1,121
FUT5,123
FXN,104
FXR2,142
G6PC1,66
G6PC2,24
GABBR1,3
GABRA2,105
GABRA3,41
GABRG2,142
GABRG3,122
GADD45B,43
GALR2,134
GAP43,75
GATA1,110
GATC,88
GBP3,16
GCC2,26
GCNT4,144
GDAP1,95
GDF3,68
GET1,39
GFAP,14
GFPT1,39
GFPT2,98
GFRA3,119
GGCT,103
GHDC,5
GHRH,76
GIMAP5,1
GJB4,8
GJC2,110
GK3,108
GLP1R,132
GLRA1,121
GLT8D1,82
GM2A,141
GMEB2,33
GMFB,136
GNG12,140
GNG3,142
GNG7,121
GNL1,71
GOLGA5,53
GORASP2,84
GP1BA,60
GP2,79
GPATCH4,38
GPC3,93
GPHRA,87
GPM6A,55
GPR157,14
GPR158,90
GPR183,127
GPR31,65
GPX5,33
GPX7,84
GRAMD2B,36
GREB1,144
GRIA2,55
GRIK5,3
GRM1,107
GRM3,140
GRM4,65
GRPEL1,82
GRSF1,63
GTF2IRD2B,6
GTF3C2,64
GUCA1A,80
GUCY1B1,4
H1-5,108
H4C7,81
HADH,44
HAP1,132
HAUS2,15
HBP1,89
HCFC2,24
HDAC7,97
HDDC2,136
HEATR1,74
HEY2,43
HEYL,65
HGF,134
HGS,50
HHATL,-1
HIKESHI,121
HLF,7
HMBOX1,110
HMGA1,78
HMGCR,51
HMGN5,88
HMMR,58
HNF1A,107
HNF1B,81
HNRNPAB,128
HNRNPF,136
HOPX,4
HOXA4,100
HOXB13,74
HOXB7,27
HOXC10,123
HOXC4,16
HPRT1,52
HPS6,80
HRH2,130
HS6ST2,61
HSD17B12,39
HSD17B4,11
HTR2B,142
IAPP,36
IARS1,121
ID4,124
IFFO1,130
IFNA6,57
IFNW1,135
IGF1R,48
IGF2BP2,15
IGFBP1,144
IGK,118
IGSF11,10
IGSF9B,134
IKZF2,41
IL11,115
IL12RB1,14
IL13RA2,129
IL17A,102
IL1RL1,15
IL2RG,74
IL6ST,55
IL7R,79
IMP4,131
INPP5D,15
INPP5F,4
INTS11,19
IPO4,128
IPO5,105
IQSEC1,44
IRF4,135
ISG20L2,55
ISL1,107
ITFG1,54
ITGB4,116
ITGB7,135
ITIH1,126
ITPK1,14
ITPKC,80
JAK3,94
JARID2,41
JAZF1,30
JCAD,80
JKAMP,10
JOSD1,136
JPT1,126
KAT2B,44
KCNB2,58
KCNE5,35
KCNG1,20
KCNG3,85
KCNH1,141
KCNH6,74
KCNJ5,107
KCNJ6,7
KCTD13,73
KCTD7,90
KDM1A,32
KDM5C,81
KDSR,135
KIAA0040,15
KIAA1614,71
KIF17,135
KIF4A,145
KIF5C,51
KITLG,27
KLF12,22
KLHL22,14
KLHL28,145
KLHL29,102
KLHL41,112
KLHL9,84
KLK1,117
KLK7,98
KLRB1,74
KLRD1,135
KNL1,45
KRT1,110
KRT16,47
KRT19,14
KRT33A,141
KRT6B,142
KRT80,93
KRTAP7-1,5
L1CAM,133
LAMA3,104
LBP,134
LCOR,134
LDAF1,47
LDB1,41
LDHA,114
LDLRAD4,73
LETMD1,29
LHFPL2,3
LHPP,135
LIMS1,1
LIMS2,144
LIN7C,11
LLPH,74
LMAN1,83
LMBRD1,37
LMNA,93
LMO3,76
LMO4,3
LPAR3,58
LPAR4,107
LRFN2,61
LRFN3,83
LRRC59,121
LRRFIP1,78
LSM12,58
LSM2,89
LSM7,120
LSR,47
LUZP2,107
LYPD3,135
MADCAM1,69
MAFB,53
MAG,65
MAGEB4,122
MAGED1,11
MAGED2,109
MAGEL2,24
MAGI2,18
MAK16,57
MAML3,83
MAP1LC3A,6
MAP3K11,116
MAP3K19,74
MAP3K20,33
MAP4K1,3
MAP4K2,100
MAP7,109
MAP7D3,59
MAPK12,14
MAPK6,55
MAPK9,17
MAPRE1,86
MAPRE3,66
MARCKSL1,80
MARCO,65
MARK1,30
MASP2,3
MAST1,21
MAT2B,54
MATN4,14
MBD1,121
MBD2,89
MBD5,107
MBOAT2,138
MBTD1,130
MC1R,97
MCFD2,101
MCM4,71
MCOLN3,85
MDN1,122
ME2,52
MECP2,73
MEGF9,84
MEIS2,96
MEST,35
MFAP4,113
MFNG,140
MGAT2,109
MGAT3,76
MGST1,126
MIA2,84
MICB,93
MINDY1,143
MINPP1,88
MKI67,101
MKNK2,15
MLH3,135
MLIP,115
MLLT10,48
MLLT11,18
MLN,14
MLPH,46
MMP11,130
MMP14,65
MMP19,16
MMP3,116
MMP7,118
MNT,107
MOB1A,139
MOCOS,119
MOCS3,74
MON2,85
MORF4L1,26
MORF4L2,30
MOSPD3,8
MPHOSPH9,72
MPP1,90
MPP2,73
MPP3,101
MRAS,122
MROH9,101
MRPL15,137
MRPL28,13
MRPL3,57
MRPL39,124
MRPL4,28
MRPS11,35
MRPS12,129
MRPS2,59
MRPS33,11
MRTFA,34
MS4A5,81
MSI1,83
MSN,14
MSRB1,28
MST1R,74
MT2A,117
MTCL2,134
MTHFD2,64
MTMR10,108
MTR,29
