gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
APEX1,121,True,True,True,True,4,True,-0.3919690633334015,-0.6042275777835213,down
ARVCF,121,True,True,True,True,4,True,0.039051441641177576,0.23113153212343285,up
CPNE6,132,True,True,True,True,4,True,0.11201929767565577,0.174651852452957,up
ENTPD3,36,True,True,True,True,4,True,-0.8843553972785886,-0.8843553972785886,down
FHL3,93,True,True,True,True,4,True,0.3962944497788925,0.5397381900117604,up
GLRA1,121,True,True,True,True,4,True,-0.17201338342588324,-0.24789659935162955,down
HAP1,132,True,True,True,True,4,True,0.15002991289635106,0.13958242360971163,up
HS6ST2,61,True,True,True,True,4,True,-0.6823711570092805,-0.6823711570092805,down
IARS1,121,True,True,True,True,4,True,-0.7904266619878048,-1.198852908635216,down
KRT80,93,True,True,True,True,4,True,0.7499921097771711,0.7499921097771711,up
LRFN2,61,True,True,True,True,4,True,-0.4851534880077657,-0.4851534880077657,down
NEFL,93,True,True,True,True,4,True,0.45646263561035044,0.6238258581774305,up
NLK,121,True,True,True,True,4,True,-0.12560542423388318,-0.27470539825558626,down
ODC1,121,True,True,True,True,4,True,-0.6684522017511488,-1.0517942200521615,down
OTULINL,86,True,True,True,True,4,True,-0.708385412302599,-0.7873893089300887,down
PLAUR,132,True,True,True,True,4,True,0.1489696044677468,0.05647309717781068,up
PLEKHA6,132,True,True,True,True,4,True,-0.04813953721568994,0.12671813135733023,up
PPP2CB,61,True,True,True,True,4,True,-0.7981183888385569,-1.1557703209788888,down
PTMA,58,True,True,True,True,4,True,0.05619285573365573,0.05619285573365573,up
PTPN3,36,True,True,True,True,4,True,-0.7184211502969994,-0.7184211502969994,down
RASGRP1,61,True,True,True,True,4,True,-0.7025655484728418,-0.9158886798521197,down
SLC2A2,36,True,True,True,True,4,True,-1.3004827528990084,-1.3004827528990084,down
TM4SF1,92,True,True,True,True,4,True,0.40189989618671973,0.3608477014229363,up
APBA2,58,True,False,True,True,4,False,0.2964270882833204,0.2964270882833204,up
ASPM,132,True,False,True,True,4,False,0.04394195240567115,-0.05026016674204281,down
B3GALT5,121,True,False,True,True,4,False,-0.06274447802139986,-0.04743912563516939,down
CD44,133,True,False,True,True,4,False,0.3320627204339548,0.6768809854128373,up
CDK8,87,True,False,True,True,4,False,-0.564531254139229,-0.6651743477270657,down
CHL1,61,True,False,True,True,4,False,-1.0429180965646483,-1.5185886924660204,down
CXCR5,132,True,False,True,True,4,False,0.3559472922679392,0.5510773340716448,up
DAP,121,True,False,True,True,4,False,-0.4057541209284056,-0.6165635509065162,down
DDX50,87,True,False,True,True,4,False,-0.37683223388453807,-0.5271183405276858,down
DGKE,121,True,False,True,True,4,False,-0.2547795178137749,-0.3005080943939078,down
EFHD2,132,True,False,True,True,4,False,0.3701686888283433,0.5881536284806104,up
FAM153A,93,True,False,True,True,4,False,0.6517949290320668,0.6517949290320668,up
FFAR1,87,True,False,True,True,4,False,-0.43491704802800735,-0.43491704802800735,down
GLP1R,132,True,False,True,True,4,False,0.055191881134679356,0.0151692217382835,up
GPC3,93,True,False,True,True,4,False,0.5390639312867608,0.7227625635968074,up
GPHRA,87,True,False,True,True,4,False,-0.47080468748721344,-0.6965864822666652,down
L1CAM,133,True,False,True,True,4,False,0.33366770532670004,0.5643160449194355,up
LMNA,93,True,False,True,True,4,False,0.4241307499446136,0.5932475031262525,up
LRRC59,121,True,False,True,True,4,False,-0.2663006621769739,-0.4940067986892247,down
MAPRE1,86,True,False,True,True,4,False,-0.5727788129484738,-0.8189621927735882,down
MICB,93,True,False,True,True,4,False,0.4489378969591078,0.6287041947224341,up
NT5M,93,True,False,True,True,4,False,0.4196285572722965,0.6167811012338826,up
PCK1,133,True,True,True,True,4,False,0.40048543516734725,0.7842382717986398,up
PCOLCE2,132,True,False,True,True,4,False,1.070121414453315,1.6781652169180679,up
PFKFB2,121,True,False,True,True,4,False,-0.5893670745624288,-0.15637710158978724,down
PID1,121,True,False,True,True,4,False,-0.0072624756464581,0.00533289375714352,up
PLA1A,87,True,False,True,True,4,False,-0.7023883883747931,-0.9523129397050472,down
POLQ,132,True,False,True,True,4,False,0.221561329934057,0.3210643517142229,up
PTP4A1,121,True,False,True,True,4,False,-0.18745455588193613,-0.31730074779220185,down
RANBP1,121,True,False,True,True,4,False,-0.2640544597538315,-0.2794436516284473,down
RCAN2,87,True,False,True,True,4,False,-0.7495986186662412,-0.4774422137136476,down
RRAGD,36,True,False,True,True,4,False,-0.5539286069659184,-0.5539286069659184,down
SCD5,121,True,False,True,True,4,False,-0.1367732137393697,-0.33731922537095915,down
SLC17A9,93,True,False,True,True,4,False,0.3305420036842562,0.4795812942334021,up
SPCS2,87,True,False,True,True,4,False,-0.5559076676632436,-0.8145350979448645,down
STOML2,121,True,False,True,True,4,False,-0.3855636705849757,-0.5429397293908531,down
SYBU,61,True,False,True,True,4,False,-0.8067709341040592,-1.042645643254072,down
TMEM37,87,True,True,True,True,4,False,-0.9042068362767135,-0.9042068362767135,down
TNS2,133,True,False,True,True,4,False,0.3235561882686957,0.5470349673175177,up
TREM2,42,True,False,True,True,4,False,0.34385164292233156,0.34385164292233156,up
ZNF358,132,True,False,True,True,4,False,0.33210579488444364,0.40799477537869766,up
ABCC8,36,True,True,True,False,3,True,-0.8625064693932899,-0.8625064693932899,down
ACOT1,52,True,True,True,False,3,True,-0.6334131929643609,-0.9213684209961026,down
AKAP11,53,True,True,True,False,3,True,-0.9320035336467164,-1.3342669525016535,down
ANKRD23,84,True,True,True,False,3,True,-0.6632395763655952,-0.6632395763655952,down
ANXA5,121,True,True,True,False,3,True,-0.26616977582797574,-0.09098752088482165,down
ARFGAP1,92,True,True,True,False,3,True,0.4309265654360018,0.6382195207057575,up
ARHGAP6,71,True,True,True,False,3,True,0.34005238220036677,0.36205405570670335,up
ATP6V1A,36,True,True,True,False,3,True,-0.674699290845069,-0.674699290845069,down
BARX2,114,True,True,True,False,3,True,0.2218539984480626,0.3776878581283838,up
BRMS1,71,True,True,True,False,3,True,0.17693899838910246,0.264547902345559,up
BTG2,92,True,True,True,False,3,True,0.38895383081081797,0.5300762224067035,up
CACNA1D,37,True,True,True,False,3,True,-0.8696082229059113,-0.8696082229059113,down
CAPN7,84,True,True,True,False,3,True,-0.7114322121147311,-0.8195399946122817,down
CASP4,57,True,True,True,False,3,True,-0.046235812055315684,-0.046235812055315684,down
CCL5,121,True,True,True,False,3,True,0.16914219916292725,0.21031485106149583,up
CELA3B,34,True,True,True,False,3,True,0.457912662699196,0.5164928035726035,up
CH25H,15,True,True,True,False,3,True,0.762655158485229,1.0351032139183198,up
CHGB,112,True,True,True,False,3,True,-0.7299646953690596,-0.9919009733035891,down
CLMP,1,True,True,True,False,3,True,-0.031810659201535696,-0.031810659201535696,down
CSPG4,111,True,True,True,False,3,True,0.06623108784216214,0.09351753902124038,up
CST5,34,True,True,True,False,3,True,0.3563879395384812,0.5255789009292124,up
CYP2C8,145,True,True,True,False,3,True,-0.024862431120683166,0.038199838190977164,up
DCK,86,True,True,True,False,3,True,-0.6726800059471957,-0.9225883912151636,down
DCTN6,121,True,True,True,False,3,True,-0.6136497313304687,-0.9247228723000895,down
DNAJB9,86,True,True,True,False,3,True,-0.7123606722859757,-1.0522308822526472,down
DSCAML1,1,True,True,True,False,3,True,0.1745426479536536,0.1745426479536536,up
EEF1D,42,True,True,True,False,3,True,0.33802882521739736,0.33802882521739736,up
ELP1,77,True,True,True,False,3,True,-0.5854565188059645,-0.8226139944909634,down
ELP4,84,True,True,True,False,3,True,-0.3847681285560742,-0.5288510769971166,down
ENG,78,True,True,True,False,3,True,0.4204989747821128,0.6024343152600111,up
ERLIN1,84,True,True,True,False,3,True,-0.4160477090771157,-0.6018132574209365,down
ERO1B,36,True,True,True,False,3,True,-1.1774030823010966,-1.1774030823010966,down
ERVMER34-1,71,True,True,True,False,3,True,0.2540920864940368,0.29206671048182953,up
GIMAP5,1,True,True,True,False,3,True,0.027683159136919766,0.027683159136919766,up
GJC2,110,True,True,True,False,3,True,0.2827191812750624,0.4324642739582072,up
GNG7,121,True,True,True,False,3,True,-0.13602255686523948,-0.40353788291690673,down
GNL1,71,True,True,True,False,3,True,0.23686512107148636,0.31824695529144,up
GREB1,144,True,True,True,False,3,True,-0.047121348294498176,0.07304801177619025,up
HIKESHI,121,True,True,True,False,3,True,-0.32065761663729164,-0.4850230030581304,down
HMGA1,78,True,True,True,False,3,True,0.5613280412266647,0.6120676570780916,up
HMMR,58,True,True,True,False,3,True,0.35783529774603906,0.35783529774603906,up
HPRT1,52,True,True,True,False,3,True,-0.677175751394047,-1.0100557999467732,down
IAPP,36,True,True,True,False,3,True,-1.6165165803717148,-1.6165165803717148,down
