gene,cluster_id,max_level_survived,mean_log2fc_sig,direction
CLMP,1,3,-0.031810659201535696,down
DSCAML1,1,3,0.1745426479536536,up
GIMAP5,1,3,0.027683159136919766,up
SELENOS,1,3,-0.1297137844788221,down
SETSIP,1,2,-0.6534255902008148,down
CDK5RAP2,14,2,0.4197842955096407,up
GFAP,14,2,0.46579140421480414,up
IL12RB1,14,2,0.3134472970642155,up
MAPK12,14,2,0.4219951583816761,up
SLC24A3,14,2,0.5205186813917289,up
SSH3,14,2,0.38528791281304686,up
CH25H,15,3,1.0351032139183198,up
HAUS2,15,2,0.7051816532885327,up
INPP5D,15,3,0.695844960334711,up
KIAA0040,15,2,0.5607703810502174,up
NEU3,15,3,1.0048570882333134,up
CELA3B,34,3,0.5164928035726035,up
CST5,34,3,0.5255789009292124,up
ENTPD1,34,2,0.5349991247641963,up
SH2D4A,34,3,0.48025666053082583,up
TCF7,34,3,0.4976652418887846,up
TMEM212,34,2,0.5262654516292118,up
ABCC8,36,3,-0.8625064693932899,down
ATP6V1A,36,3,-0.674699290845069,down
ENTPD3,36,4,-0.8843553972785886,down
ERO1B,36,3,-1.1774030823010966,down
IAPP,36,3,-1.6165165803717148,down
PGRMC1,36,3,-0.7089926945605839,down
PLAGL1,36,3,-0.821928015781974,down
PTPN3,36,4,-0.7184211502969994,down
RNF6,36,3,-1.0288525666112596,down
SLC2A2,36,4,-1.3004827528990084,down
ACLY,37,2,-0.6131963946371991,down
AKAP9,37,2,-0.6023185588069877,down
CACNA1D,37,3,-0.8696082229059113,down
LMBRD1,37,3,-0.8955473201543036,down
MTUS2,37,2,-0.6882618573805384,down
PPP3CB,37,3,-0.5703074771278711,down
EEF1D,42,3,0.33802882521739736,up
SEPTIN9,42,2,0.4454810136984267,up
TEAD4,42,3,0.5720230974198331,up
TGFB3,42,3,0.4976729842168221,up
TNIP1,42,3,0.5117526097430041,up
EFCAB13,44,2,-0.343090611752201,down
SYT9,44,2,-0.1781185314431757,down
TBC1D4,44,2,-0.2806267220461298,down
ACOT1,52,3,-0.9213684209961026,down
HPRT1,52,3,-1.0100557999467732,down
ME2,52,3,-1.0844777180083884,down
PRKAR1A,52,3,-1.0321523776161814,down
VLDLR,52,3,-1.1310817550836458,down
AKAP11,53,3,-1.3342669525016535,down
MAFB,53,3,-1.4955651757550124,down
PFN2,53,3,-1.1840956299257521,down
CASP4,57,3,-0.046235812055315684,down
MAK16,57,3,-0.3685951310939786,down
MRPL3,57,3,-0.5971526440154321,down
HMMR,58,3,0.35783529774603906,up
PDX1,58,3,0.28670080642356144,up
PTMA,58,4,0.05619285573365573,up
ZNF576,58,3,-0.042798940927037954,down
HS6ST2,61,4,-0.6823711570092805,down
LRFN2,61,4,-0.4851534880077657,down
PPP2CB,61,4,-1.1557703209788888,down
RASGRP1,61,4,-0.9158886798521197,down
ARHGAP6,71,3,0.36205405570670335,up
BRMS1,71,3,0.264547902345559,up
ERVMER34-1,71,3,0.29206671048182953,up
GNL1,71,3,0.31824695529144,up
NLRP1,71,3,0.3602068878923146,up
PLEKHA4,71,3,0.43691299724172916,up
PLEKHG3,71,3,0.4017819616708933,up
STAT5A,71,3,0.3490367561077692,up
TNNI1,71,3,0.4383347133988249,up
AJAP1,72,2,0.38680729289474414,up
EMC10,72,2,0.2907170571221114,up
RPH3A,72,2,0.14725793104276677,up
BMPR1B,76,2,0.4561995447083964,up
CPA1,76,2,0.4650939601808135,up
NT5E,76,2,0.5075779182428399,up
RUNX2,76,2,0.429287146881411,up
ELP1,77,3,-0.8226139944909634,down
NEBL,77,3,-0.8949057751280698,down
PALS2,77,2,-0.9189672067924182,down
PRPS1,77,3,-0.9403399153251333,down
TOM1L1,77,3,-0.9198836952798866,down
UBL3,77,3,-0.8644617958872773,down
ENG,78,3,0.6024343152600111,up
HMGA1,78,3,0.6120676570780916,up
PDLIM4,78,3,0.6066368438970655,up
TRADD,78,3,0.5483202005664993,up
ANKRD23,84,3,-0.6632395763655952,down
CAPN7,84,3,-0.8195399946122817,down
ELP4,84,3,-0.5288510769971166,down
ERLIN1,84,3,-0.6018132574209365,down
MEGF9,84,3,-0.5640435064090221,down
RIMBP2,84,3,-0.461475277603173,down
RPS6KC1,84,3,-0.5850157612614533,down
RWDD2A,84,3,-0.6779122465922058,down
TRIM37,84,3,-0.71262830013533,down
KCNG3,85,3,-0.6043458811329376,down
MCOLN3,85,3,-0.5740110340736662,down
PPM1E,85,3,-0.6744864336618788,down
PPP1R1A,85,3,-0.6495793003446986,down
ZNF697,85,3,-0.4475334439468748,down
DCK,86,3,-0.9225883912151636,down
DNAJB9,86,3,-1.0522308822526472,down
OTULINL,86,4,-0.7873893089300887,down
LSM2,89,2,-0.5151503157880417,down
RNF130,89,2,-0.45449688684668077,down
SNRPB,89,2,-0.5123014188436095,down
ARFGAP1,92,3,0.6382195207057575,up
BTG2,92,3,0.5300762224067035,up
NRGN,92,3,0.45249729541464134,up
TM4SF1,92,4,0.3608477014229363,up
FHL3,93,4,0.5397381900117604,up
KRT80,93,4,0.7499921097771711,up
NEFL,93,4,0.6238258581774305,up
GJC2,110,3,0.4324642739582072,up
SIX1,110,3,0.2024769545968257,up
VPS37A,110,3,0.24926388917218123,up
CSPG4,111,3,0.09351753902124038,up
VPS53,111,3,0.29064269020140143,up
ZNF518A,111,3,0.2018430096001249,up
CHGB,112,3,-0.9919009733035891,down
RBP4,112,3,-1.6094839728030688,down
TOMM20,112,3,-1.5315387242745424,down
YBX1,112,2,-0.8366356765482443,down
ACKR2,113,2,0.5358728331241092,up
CLPS,113,2,0.9142320394587715,up
TJAP1,113,2,0.5083257826941816,up
BARX2,114,3,0.3776878581283838,up
VANGL1,114,3,0.2960448719898756,up
ZFR2,114,3,0.43128481594436696,up
ANXA5,121,3,-0.09098752088482165,down
APEX1,121,4,-0.6042275777835213,down
ARVCF,121,4,0.23113153212343285,up
CCL5,121,3,0.21031485106149583,up
DCTN6,121,3,-0.9247228723000895,down
GLRA1,121,4,-0.24789659935162955,down
GNG7,121,3,-0.40353788291690673,down
HIKESHI,121,3,-0.4850230030581304,down
IARS1,121,4,-1.198852908635216,down
NLK,121,4,-0.27470539825558626,down
ODC1,121,4,-1.0517942200521615,down
PSMD11,121,3,-0.5877754696711772,down
RASGRF1,121,3,-0.7529202970643429,down
SLC25A5,121,3,-0.6606114947280703,down
SLC4A8,121,3,-0.566497848575183,down
SRPRB,121,3,-0.7808430593317004,down
ZFR,121,3,-0.8476391429045766,down
AGTR1,128,2,-0.4434877769089429,down
VDAC2,128,2,-0.3827003694617783,down
ZMAT4,128,2,-0.4066270276224362,down
IMP4,131,3,-0.23806180787449938,down
NEFM,131,3,-0.22514452494963288,down
