gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
CLMP,1,-0.02641926746657273,0.6478099661241494,0.9674693430020335,0.09282694101214854,0.1322203875819106,0.4826403515865111,95.67434568242675,0.8030652365892862,23.117889840097387,2,down
DSCAML1,1,0.16108430921851657,0.34056247027246955,0.6362168226575928,-0.0970075944353883,0.045854126810848175,0.034381433873134935,95.0438863111543,0.2208134138966615,20.177099695081896,2,up
GIMAP5,1,0.026809216732790173,0.5082472799582091,0.9579323971405067,0.0002834729034180048,0.0906384152237096,0.9975046090141398,96.81039265675605,0.500153586596638,31.35182147477004,2,up
SELENOS,1,-0.12310951320369577,0.3051101216115252,0.6865862705416199,0.02970319823461346,0.05296758083217385,0.5749470300789258,95.85723480477733,0.17855481017992123,24.138466769808144,2,down
CDK5RAP2,14,0.24225843919604279,0.195633999401483,0.21559564032275103,0.04716871735692177,0.04317131995450004,0.2745721775948098,91.8517721921805,0.10426562123454304,24.545214581269896,3,up
GFAP,14,0.2622879048354254,0.1938338836135771,0.17600510277746673,0.024772092774355967,0.038295164440438435,0.5177143973560483,91.25037730876922,0.0987738996350486,22.858128522553066,3,up
IL12RB1,14,0.18496555893563005,0.1340925913714982,0.16777550755340642,0.09024477853496474,0.04058629732353588,0.02618020085872847,88.54420648733388,0.04722803136670798,17.458415235825417,3,up
MAPK12,14,0.2592635242195314,0.1713028225777166,0.1301575875029437,0.08481508663282343,0.04418813675401269,0.054932652199572024,87.97387408132336,0.07609876365000742,16.630459497301526,3,up
SLC24A3,14,0.268193968106845,0.16425768406319544,0.10251872467738156,0.18898589074601416,0.06063648318517579,0.0018288590551457844,81.19682282003548,0.06099297612879774,10.636500315122667,3,up
SSH3,14,0.23944958355256404,0.1452470978563996,0.09923635823228148,0.13852734944155468,0.04919437088378936,0.00486379715152083,85.54403561045042,0.05318579128035334,13.83511985852586,3,up
CH25H,15,0.5605926502916734,0.2282595631236494,0.01405151450186408,0.3718046385621255,0.08299034297309134,7.460974817797056e-06,80.85357276297466,0.11138549985224779,10.44581307645952,3,up
HAUS2,15,0.3919219632676957,0.17573452325296401,0.02573461025607636,0.21398538659275315,0.05231167839172472,4.3028577734463895e-05,82.8611695348297,0.06855087003042694,11.669407688374177,3,up
INPP5D,15,0.43952078938197586,0.23368403315098302,0.05999455327142448,0.2681994598016053,0.07272131707927844,0.00022598405766602043,87.78215587689341,0.13912286262968185,16.369500051302563,3,up
KIAA0040,15,0.3760789857895212,0.16007089262939453,0.018801034296722047,0.35306226946517494,0.08721486455211477,5.161542422594713e-05,62.22354910320272,0.0474454175842089,5.294303600578745,3,up
NEU3,15,0.6251300172267071,0.3632413249361236,0.0852549718281741,0.09891828975817556,0.04823101046073536,0.040274039828140214,91.22762300593627,0.34763523712438676,22.7988377762766,3,up
CELA3B,34,0.47689328816207477,0.10386010900244658,4.39673867473074e-06,0.47689328816207477,0.10386010900244658,4.39673867473074e-06,0.0,0.0,0.8201504729160585,3,up
