gene,n_datasets_detected,n_datasets_significant,mean_log2fc,mean_log2fc_sig,consistent_direction
ABCC8,3,3,-0.8625064693932899,-0.8625064693932899,True
ADRB1,3,2,0.4378014159151715,0.6652589164056508,True
AOAH,3,2,0.3718246948664336,0.550014345854914,True
BACE2,3,2,0.441235760928343,0.7244599509163243,True
CACNA1D,3,3,-0.8696082229059113,-0.8696082229059113,True
CAMK1D,3,2,0.4284922981389873,0.6218071199163755,True
CASR,3,2,-0.3921379819851453,-0.47770625869200334,True
CDKN1B,3,2,-0.46999777770616813,-0.6824360958863411,True
COBLL1,3,2,-0.3125015853540723,-0.4343793561153184,True
CPA1,3,2,0.2853181163110185,0.4650939601808135,True
CTRB2,3,2,0.4268280670882672,0.38201710063240046,True
DNMT3A,3,2,0.08790793429776222,0.13489013055657795,False
EBF2,3,2,0.31219777809543653,0.4326202437558744,True
EYA1,3,2,-0.00022754916699740946,0.0034260523718725455,False
GLP1R,3,2,0.055191881134679356,0.0151692217382835,False
GP2,3,2,0.7108968669892596,0.594732324293413,True
GRM4,3,2,0.2335581193901287,0.4035511357457193,True
GUCY1B1,3,2,-0.6798074251341261,-0.9285578587065784,True
HEY2,3,2,0.2873512111369556,0.4029597916185905,True
HMGA1,3,2,0.5613280412266647,0.6120676570780916,True
HMGCR,3,2,-0.9871960034938585,-1.439515105786401,True
HNF1A,3,2,0.14643975787740912,0.11919648702568963,False
HNF1B,3,2,0.3796562055444195,0.5505269745337351,True
HSD17B12,3,2,-0.5845036255229008,-0.8698311604198778,True
ID4,3,2,-0.33689609823241656,-0.7635373472767544,True
IGF1R,3,2,0.29067555997927,0.28388310187366717,False
IGF2BP2,3,2,0.5866731753683826,0.8507824549683631,True
JAZF1,2,2,-0.4262042571028717,-0.4262042571028717,True
LRFN2,2,2,-0.4851534880077657,-0.4851534880077657,True
MAML3,3,3,-0.16241493293291734,-0.16241493293291734,False
MINDY1,3,2,0.06425633954867571,0.059219033132537735,False
MRAS,3,2,0.08013256813151177,-0.015215552564636692,False
MYO5C,3,2,-0.4317616287979777,-0.7000599969548613,True
NKX6-1,3,2,-0.061685713780471975,-0.06766758097067793,False
OTULINL,3,2,-0.708385412302599,-0.7873893089300887,True
PABPC4,2,2,0.3781465626895226,0.3781465626895226,True
PAM,3,2,-0.6566848191402487,-0.9922736061229456,True
PDX1,3,3,0.28670080642356144,0.28670080642356144,False
PROX1,3,2,0.010757974887240174,0.08215926083377223,False
PSMD6,3,2,-0.5921139509187675,-0.8848418824746882,False
PTEN,3,2,-0.32549477477902694,-0.4509288102224298,True
RASGRP1,3,2,-0.7025655484728418,-0.9158886798521197,True
RNF6,3,3,-1.0288525666112596,-1.0288525666112596,True
SCD5,3,2,-0.1367732137393697,-0.33731922537095915,True
SIRPA,3,2,0.26372072602247726,0.41379762739292003,True
SKI,3,2,0.20883862157890132,0.3078389978231768,True
SLC1A2,3,2,0.1851414117542065,0.13745864274315256,False
SLC22A3,3,2,0.25539230776005484,0.6624651283067491,True
SLC2A2,3,3,-1.3004827528990084,-1.3004827528990084,True
SLC30A8,2,2,-0.3662891823622756,-0.3662891823622756,True
SLIT2,3,2,0.3210130195237377,0.49588240970307007,True
TOX3,3,2,-0.8767205588898985,-1.1014965999092734,True
TRAF3IP2,3,2,-0.35478714390206595,-0.5549608690544146,True
UBE3C,3,2,-0.529670439232774,-0.7113376506513789,True
WSCD2,3,2,-0.15327106249122066,-0.006230834012908026,False
ZEB2,3,2,0.4543330377637827,0.6933940804551981,True
