gene,avg_log2fc,neg_log10_min_p,n_sig_datasets,direction_consistency,tier_score
ABCC8,0.2519361004789958,0.4846576209232356,1.0,1.0,0.0
ADRB1,0.9189958799495147,0.1356917570434153,0.0,0.0,0.0
AOAH,0.8686772783295759,0.0,0.0,1.0,0.0
BACE2,0.9448445013361454,0.13476918279751196,0.0,0.0,0.0
CACNA1D,0.24883530098712492,0.2935433005586843,1.0,1.0,0.0
CAMK1D,0.9000237615515212,0.06226832684062685,0.0,1.0,0.0
CASR,0.4199492954869301,0.26821238818298776,0.0,1.0,0.0
CDKN1B,0.33055923512862917,0.03418454484427101,0.0,1.0,0.0
COBLL1,0.43886688214427544,0.010295113802590692,0.0,1.0,0.0
CPA1,0.8315989584076374,0.14949751596999633,0.0,0.0,0.0
CTRB2,0.7953255671365769,0.06424858339185013,0.0,1.0,0.0
DNMT3A,0.6874238803381234,0.0752060956129865,0.0,0.0,0.0
EBF2,0.817420138597762,0.1702808392625933,0.0,1.0,0.0
EYA1,0.6300234445007026,0.09312733679542916,0.0,0.0,0.0
GLP1R,0.6351507998136694,0.6513738529589403,0.0,0.0,0.0
GP2,0.8882022427729569,0.15668690247502953,0.0,1.0,0.0
GRM4,0.8047278541940815,0.0948482853882649,0.0,0.0,0.0
GUCY1B1,0.22309644643355317,0.13713427270344408,0.0,1.0,0.0
HEY2,0.8044696588672987,0.14501559751931128,0.0,1.0,0.0
HMGA1,0.8957712735756469,0.37375048026359525,0.0,1.0,0.0
HMGCR,0.0,0.19933168948390625,0.0,1.0,0.0
HNF1A,0.6805716512654449,0.1324497791983652,0.0,0.0,0.0
HNF1B,0.8689011045640378,0.11785995368863396,0.0,1.0,0.0
HSD17B12,0.24873796100921694,0.2239844928194105,0.0,1.0,0.0
ID4,0.2951484427581887,0.24610600638186528,0.0,0.0,0.0
IGF1R,0.7524778601659624,0.36046901082980415,0.0,0.0,0.0
IGF2BP2,1.0,0.26222181891946594,0.0,1.0,0.0
JAZF1,0.4424363305655333,0.14146919483534912,0.0,1.0,0.0
LRFN2,0.41669765279937115,0.9815464052622968,0.0,1.0,0.0
MAML3,0.5576132091904326,0.12902751323834027,1.0,0.0,0.0
MINDY1,0.6543840261634096,0.007237323518209545,0.0,0.0,0.0
MRAS,0.6218840632884352,0.1849383001394042,0.0,0.0,0.0
MYO5C,0.32286420834673263,0.12408125154127111,0.0,0.0,0.0
NKX6-1,0.5989822232372429,0.4148259356809789,0.0,0.0,0.0
OTULINL,0.2847340922117584,0.5345220702369754,0.0,1.0,0.0
PABPC4,0.7936355954886997,0.3880877295425444,0.0,1.0,0.0
PAM,0.19527659083567628,0.21658859694762742,0.0,0.0,0.0
PDX1,0.7537081389726017,0.4232822220707691,1.0,0.0,0.0
PROX1,0.6644002913397453,0.017763122856653834,0.0,0.0,0.0
PSMD6,0.2421839121764253,0.2984544418885678,0.0,0.0,0.0
PTEN,0.43164098521686595,0.26012508894490854,0.0,1.0,0.0
RASGRP1,0.2286281201651898,0.8406636604637913,0.0,1.0,0.0
RNF6,0.1793053209382139,0.3609048333592037,1.0,1.0,0.0
SCD5,0.48124571204285566,0.6463497415017319,0.0,0.0,0.0
SIRPA,0.8092017233640875,0.27994233753765063,0.0,0.0,0.0
SKI,0.7629375909712535,0.1022393897966446,0.0,1.0,0.0
SLC1A2,0.6885453556566965,0.1308479107119691,0.0,0.0,0.0
SLC22A3,0.9177760436510467,0.3424338556283298,0.0,0.0,0.0
SLC2A2,0.06070492990507957,1.0,1.0,1.0,0.0
SLC30A8,0.4685967194020175,0.1689356712485142,0.0,1.0,0.0
SLIT2,0.8450419494188623,0.14296348640158454,0.0,0.0,0.0
TOX3,0.1475871570878913,0.14050311366298765,0.0,1.0,0.0
TRAF3IP2,0.38621804078614264,0.3541289001676492,0.0,0.0,0.0
UBE3C,0.3179401085748231,0.3837347503217373,0.0,1.0,0.0
WSCD2,0.625807011426566,0.3392820653636624,0.0,0.0,0.0
ZEB2,0.9312803815495058,0.10776509489555673,0.0,0.0,0.0
