gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,mean_log2fc_sig,direction
ABCC8,0,True,True,True,True,4,True,-0.8625064693932899,-0.8625064693932899,down
CACNA1D,0,True,True,True,True,4,True,-0.8696082229059113,-0.8696082229059113,down
LRFN2,0,True,True,True,True,4,True,-0.4851534880077657,-0.4851534880077657,down
OTULINL,0,True,True,True,True,4,True,-0.708385412302599,-0.7873893089300887,down
RASGRP1,0,True,True,True,True,4,True,-0.7025655484728418,-0.9158886798521197,down
RNF6,0,True,True,True,True,4,True,-1.0288525666112596,-1.0288525666112596,down
SLC2A2,0,True,True,True,True,4,True,-1.3004827528990084,-1.3004827528990084,down
GLP1R,4,True,False,True,True,4,False,0.055191881134679356,0.0151692217382835,up
HMGA1,1,True,True,True,True,4,False,0.5613280412266647,0.6120676570780916,up
IGF1R,4,True,True,True,True,4,False,0.29067555997927,0.28388310187366717,up
NKX6-1,4,True,False,True,True,4,False,-0.061685713780471975,-0.06766758097067793,down
PABPC4,1,True,False,True,True,4,False,0.3781465626895226,0.3781465626895226,up
PDX1,4,True,True,True,True,4,False,0.28670080642356144,0.28670080642356144,up
PSMD6,2,True,False,True,True,4,False,-0.5921139509187675,-0.8848418824746882,down
SCD5,4,True,False,True,True,4,False,-0.1367732137393697,-0.33731922537095915,down
SIRPA,4,True,False,True,True,4,False,0.26372072602247726,0.41379762739292003,up
SLC22A3,4,True,False,True,True,4,False,0.25539230776005484,0.6624651283067491,up
TRAF3IP2,2,True,False,True,True,4,False,-0.35478714390206595,-0.5549608690544146,down
UBE3C,0,True,False,True,True,4,False,-0.529670439232774,-0.7113376506513789,down
WSCD2,4,True,False,True,True,4,False,-0.15327106249122066,-0.006230834012908026,down
CASR,0,True,True,True,False,3,True,-0.3921379819851453,-0.47770625869200334,down
HMGCR,0,True,False,True,False,3,False,-0.9871960034938585,-1.439515105786401,down
HSD17B12,0,True,False,True,False,3,False,-0.5845036255229008,-0.8698311604198778,down
ID4,2,True,False,True,False,3,False,-0.33689609823241656,-0.7635373472767544,down
IGF2BP2,1,True,False,True,False,3,False,0.5866731753683826,0.8507824549683631,up
MRAS,4,True,False,True,False,3,False,0.08013256813151177,-0.015215552564636692,down
PAM,2,True,False,True,False,3,False,-0.6566848191402487,-0.9922736061229456,down
PTEN,0,True,False,True,False,3,False,-0.32549477477902694,-0.4509288102224298,down
CPA1,3,True,True,False,False,2,False,0.2853181163110185,0.4650939601808135,up
EBF2,1,True,True,False,False,2,False,0.31219777809543653,0.4326202437558744,up
ADRB1,3,True,False,False,False,1,False,0.4378014159151715,0.6652589164056508,up
AOAH,1,True,False,False,False,1,False,0.3718246948664336,0.550014345854914,up
BACE2,3,True,False,False,False,1,False,0.441235760928343,0.7244599509163243,up
CAMK1D,1,True,False,False,False,1,False,0.4284922981389873,0.6218071199163755,up
CDKN1B,0,True,False,False,False,1,False,-0.46999777770616813,-0.6824360958863411,down
COBLL1,0,True,False,False,False,1,False,-0.3125015853540723,-0.4343793561153184,down
CTRB2,1,True,False,False,False,1,False,0.4268280670882672,0.38201710063240046,up
DNMT3A,4,True,False,False,False,1,False,0.08790793429776222,0.13489013055657795,up
EYA1,4,True,False,False,False,1,False,-0.00022754916699740946,0.0034260523718725455,up
GP2,1,True,False,False,False,1,False,0.7108968669892596,0.594732324293413,up
GRM4,3,True,False,False,False,1,False,0.2335581193901287,0.4035511357457193,up
GUCY1B1,0,True,False,False,False,1,False,-0.6798074251341261,-0.9285578587065784,down
HEY2,1,True,False,False,False,1,False,0.2873512111369556,0.4029597916185905,up
HNF1A,4,True,False,False,False,1,False,0.14643975787740912,0.11919648702568963,up
HNF1B,1,True,False,False,False,1,False,0.3796562055444195,0.5505269745337351,up
JAZF1,0,True,False,False,False,1,False,-0.4262042571028717,-0.4262042571028717,down
MAML3,4,True,False,False,False,1,False,-0.16241493293291734,-0.16241493293291734,down
MINDY1,4,True,False,False,False,1,False,0.06425633954867571,0.059219033132537735,up
MYO5C,2,True,False,False,False,1,False,-0.4317616287979777,-0.7000599969548613,down
PROX1,4,True,False,False,False,1,False,0.010757974887240174,0.08215926083377223,up
SKI,1,True,False,False,False,1,False,0.20883862157890132,0.3078389978231768,up
SLC1A2,4,True,False,False,False,1,False,0.1851414117542065,0.13745864274315256,up
SLC30A8,0,True,False,False,False,1,False,-0.3662891823622756,-0.3662891823622756,down
SLIT2,3,True,False,False,False,1,False,0.3210130195237377,0.49588240970307007,up
TOX3,0,True,False,False,False,1,False,-0.8767205588898985,-1.1014965999092734,down
ZEB2,3,True,False,False,False,1,False,0.4543330377637827,0.6933940804551981,up
