gene,n_runs_in_phase6,median_random_effect,std_random_effect,iqr_random_effect,median_random_p,direction,direction_concordance
ABCC8,50,-0.651707,0.000000,0.000000,4.332959e-03,down,1.0000
ACLY,50,-0.380175,0.000000,0.000000,2.190806e-03,down,1.0000
ACOT1,50,-0.542928,0.000000,0.000000,3.828686e-02,down,1.0000
AGTR1,50,-0.257860,0.000000,0.000000,1.519504e-01,down,1.0000
AJAP1,47,0.346852,0.000000,0.000000,2.786531e-01,up,1.0000
AKAP11,50,-0.773895,0.000000,0.000000,3.157010e-02,down,1.0000
AKAP9,49,-0.452499,0.000000,0.000000,1.379029e-02,down,1.0000
ANKRD23,50,-0.622018,0.000000,0.000000,1.105865e-01,down,1.0000
ARHGAP6,48,0.315656,0.000000,0.000000,9.915323e-05,up,1.0000
ATP6V1A,47,-0.487602,0.000000,0.000000,9.109021e-03,down,1.0000
BMPR1B,49,0.211829,0.000000,0.000000,3.609339e-01,up,1.0000
BRMS1,48,0.219543,0.000000,0.000000,2.462309e-02,up,1.0000
CACNA1D,48,-0.571037,0.000000,0.000000,2.935808e-03,down,1.0000
CASP4,50,0.018592,0.000000,0.000000,9.547809e-01,up,1.0000
CELA3B,50,0.476893,0.000000,0.000000,4.396739e-06,up,1.0000
CH25H,50,0.560593,0.000000,0.000000,1.405151e-02,up,1.0000
CHGB,50,-0.357294,0.000000,0.000000,2.414930e-01,down,1.0000
CLMP,50,-0.026419,0.000000,0.000000,9.674693e-01,down,1.0000
CPA1,49,0.412379,0.000000,0.000000,6.966827e-05,up,1.0000
CPNE6,0,0,0,0,1.0,none,0.0
CSPG4,50,0.066503,0.000000,0.000000,7.373560e-01,up,1.0000
CST5,50,0.330026,0.000000,0.000000,8.917924e-02,up,1.0000
CYP2C8,50,-0.009649,0.000000,0.000000,9.726172e-01,down,1.0000
DCK,50,-0.622432,0.000000,0.000000,6.473353e-02,down,1.0000
DCTN6,50,-0.499617,0.000000,0.000000,4.532500e-02,down,1.0000
DNAJB9,50,-0.538898,0.000000,0.000000,3.092905e-02,down,1.0000
DSCAML1,50,0.161084,0.000000,0.000000,6.362168e-01,up,1.0000
EEF1D,49,0.316212,0.000000,0.000000,1.092253e-03,up,1.0000
EFCAB13,45,-0.321621,0.000000,0.000000,5.442142e-03,down,1.0000
ELP1,50,-0.494388,0.000000,0.000000,2.140965e-02,down,1.0000
ELP4,50,-0.341114,0.000000,0.000000,1.744456e-02,down,1.0000
EMC10,47,0.281279,0.000000,0.000000,2.866803e-01,up,1.0000
ENG,50,0.406554,0.000000,0.000000,4.206302e-02,up,1.0000
ENTPD1,50,0.357003,0.000000,0.000000,3.554311e-02,up,1.0000
ENTPD3,50,-0.728896,0.000000,0.000000,2.683325e-03,down,1.0000
ERLIN1,50,-0.356627,0.000000,0.000000,4.772401e-02,down,1.0000
ERO1B,50,-1.107108,0.000000,0.000000,1.643588e-02,down,1.0000
ERVMER34-1,48,0.235177,0.000000,0.000000,1.875238e-03,up,1.0000
FHL3,50,0.360675,0.000000,0.000000,1.005077e-02,up,1.0000
GIMAP5,50,0.026809,0.000000,0.000000,9.579324e-01,up,1.0000
GJC2,46,0.260687,0.000000,0.000000,1.046319e-01,up,1.0000
GNG7,50,-0.193815,0.000000,0.000000,3.100959e-01,down,1.0000
