gene,modal_cluster,modal_count,total_runs,modal_fraction,n_distinct_clusters
ABCC8,24,4,50,0.080,39
ACLY,25,4,50,0.080,34
ACOT1,71,4,50,0.080,41
AGTR1,61,2,50,0.040,43
AJAP1,147,3,50,0.060,39
AKAP11,72,4,50,0.080,41
AKAP9,25,4,50,0.080,34
ANKRD23,0,4,50,0.080,35
ARHGAP6,19,3,50,0.060,39
ATP6V1A,14,4,50,0.080,34
BMPR1B,131,3,50,0.060,41
BRMS1,36,3,50,0.060,40
CACNA1D,25,4,50,0.080,34
CASP4,34,2,50,0.040,43
CELA3B,66,3,50,0.060,42
CH25H,48,2,50,0.040,45
CHGB,132,3,50,0.060,41
CLMP,15,3,50,0.060,37
CPA1,131,3,50,0.060,41
CPNE6,152,3,50,0.060,45
CSPG4,92,3,50,0.060,43
CST5,66,3,50,0.060,42
CYP2C8,65,3,50,0.060,41
DCK,11,5,50,0.100,33
DCTN6,26,2,50,0.040,43
DNAJB9,11,5,50,0.100,33
DSCAML1,15,3,50,0.060,37
EEF1D,26,4,50,0.080,34
EFCAB13,103,2,50,0.040,43
ELP1,135,3,50,0.060,42
ELP4,0,4,50,0.080,34
EMC10,147,3,50,0.060,39
ENG,73,3,50,0.060,39
ENTPD1,66,3,50,0.060,42
ENTPD3,24,4,50,0.080,38
ERLIN1,0,4,50,0.080,35
ERO1B,24,4,50,0.080,39
ERVMER34-1,36,3,50,0.060,40
FHL3,59,2,50,0.040,42
GIMAP5,15,3,50,0.060,37
GJC2,1,3,50,0.060,43
GNG7,26,2,50,0.040,44
GNL1,19,3,50,0.060,39
GREB1,65,3,50,0.060,39
HAP1,100,2,50,0.040,47
HAUS2,48,2,50,0.040,44
HIKESHI,26,2,50,0.040,43
HMGA1,73,3,50,0.060,39
HMMR,97,3,50,0.060,40
HPRT1,71,4,50,0.080,41
HS6ST2,0,13,50,0.260,20
IAPP,13,4,50,0.080,38
IARS1,26,2,50,0.040,43
INPP5D,98,2,50,0.040,44
KCNG3,10,4,50,0.080,33
KIF4A,65,3,50,0.060,41
KRT80,59,2,50,0.040,42
LMBRD1,25,4,50,0.080,34
LRFN2,0,13,50,0.260,20
LSM2,81,2,50,0.040,44
MAFB,72,4,50,0.080,41
MAK16,34,2,50,0.040,43
MCOLN3,10,4,50,0.080,33
ME2,71,3,50,0.060,39
MEGF9,0,4,50,0.080,34
MRPL3,34,2,50,0.040,43
MTUS2,25,4,50,0.080,34
NEBL,135,3,50,0.060,42
NEFL,59,2,50,0.040,42
NEFM,66,3,50,0.060,42
NEU3,48,2,50,0.040,45
NLRP1,19,3,50,0.060,39
NT5E,131,3,50,0.060,41
OCA2,65,3,50,0.060,38
ODC1,26,2,50,0.040,38
OTULINL,11,5,50,0.100,33
PDCD1,65,3,50,0.060,41
PDLIM4,73,3,50,0.060,39
PDX1,97,3,50,0.060,40
PEG10,66,3,50,0.060,42
PFN2,72,4,50,0.080,41
PGRMC1,13,4,50,0.080,38
PLAGL1,13,4,50,0.080,39
PLAUR,152,3,50,0.060,45
PLEKHA4,28,2,50,0.040,40
PLEKHA6,100,2,50,0.040,47
PLEKHG3,28,2,50,0.040,41
PPM1E,10,4,50,0.080,33
PPP1R1A,10,4,50,0.080,33
PPP2CB,0,13,50,0.260,20
PPP3CB,25,4,50,0.080,34
PRKAR1A,71,4,50,0.080,41
PSMD11,26,2,50,0.040,43
PTMA,35,2,50,0.040,40
PTPN3,24,4,50,0.080,38
RASGRF1,26,2,50,0.040,43
RASGRP1,0,13,50,0.260,20
RBP4,132,3,50,0.060,41
RIMBP2,0,4,50,0.080,35
RNF130,81,2,50,0.040,44
RNF6,15,3,50,0.060,32
RPH3A,147,3,50,0.060,39
RPS6KC1,0,4,50,0.080,34
RSL1D1,66,3,50,0.060,42
RWDD2A,0,4,50,0.080,35
SELENOS,15,3,50,0.060,37
SEMG1,65,3,50,0.060,40
SEPTIN9,26,4,50,0.080,35
SH2D4A,66,3,50,0.060,42
SIX1,1,3,50,0.060,43
SLC25A5,26,2,50,0.040,44
SLC2A2,24,4,50,0.080,39
SLC4A8,26,2,50,0.040,44
SNRPB,81,2,50,0.040,44
SRPRB,26,2,50,0.040,43
STAT5A,19,3,50,0.060,39
SYT9,103,2,50,0.040,43
TBC1D4,103,2,50,0.040,43
TCF7,66,3,50,0.060,42
TEAD4,26,4,50,0.080,35
TGFB3,26,4,50,0.080,35
TM4SF20,65,3,50,0.060,38
TMEM212,66,3,50,0.060,42
TNIP1,26,4,50,0.080,34
TOM1L1,135,3,50,0.060,42
TOMM20,132,3,50,0.060,41
TRADD,73,3,50,0.060,39
UBL3,135,3,50,0.060,42
VDAC2,61,2,50,0.040,43
VLDLR,71,4,50,0.080,41
VPS37A,1,3,50,0.060,43
VPS53,92,3,50,0.060,43
YBX1,132,3,50,0.060,41
ZFR,26,2,50,0.040,43
ZMAT4,61,2,50,0.040,43
ZNF518A,92,3,50,0.060,43
ZNF576,35,2,50,0.040,42
ZNF697,10,4,50,0.080,33
