cluster_id,n_iron_clad_members,members,min_modal_count,max_modal_count,mean_modal_count
0,11,ANKRD23|ELP4|ERLIN1|HS6ST2|LRFN2|MEGF9|PPP2CB|RASGRP1|RIMBP2|RPS6KC1|RWDD2A,4,13,7.3
1,3,GJC2|SIX1|VPS37A,3,3,3.0
10,5,KCNG3|MCOLN3|PPM1E|PPP1R1A|ZNF697,4,4,4.0
11,3,DCK|DNAJB9|OTULINL,5,5,5.0
13,3,IAPP|PGRMC1|PLAGL1,4,4,4.0
14,1,ATP6V1A,4,4,4.0
15,5,CLMP|DSCAML1|GIMAP5|RNF6|SELENOS,3,3,3.0
19,4,ARHGAP6|GNL1|NLRP1|STAT5A,3,3,3.0
24,5,ABCC8|ENTPD3|ERO1B|PTPN3|SLC2A2,4,4,4.0
25,6,ACLY|AKAP9|CACNA1D|LMBRD1|MTUS2|PPP3CB,4,4,4.0
26,16,DCTN6|EEF1D|GNG7|HIKESHI|IARS1|ODC1|PSMD11|RASGRF1|SEPTIN9|SLC25A5|SLC4A8|SRPRB|TEAD4|TGFB3|TNIP1|ZFR,2,4,2.6
28,2,PLEKHA4|PLEKHG3,2,2,2.0
34,3,CASP4|MAK16|MRPL3,2,2,2.0
35,2,PTMA|ZNF576,2,2,2.0
36,2,BRMS1|ERVMER34-1,3,3,3.0
48,3,CH25H|HAUS2|NEU3,2,2,2.0
59,3,FHL3|KRT80|NEFL,2,2,2.0
61,3,AGTR1|VDAC2|ZMAT4,2,2,2.0
65,7,CYP2C8|GREB1|KIF4A|OCA2|PDCD1|SEMG1|TM4SF20,3,3,3.0
66,9,CELA3B|CST5|ENTPD1|NEFM|PEG10|RSL1D1|SH2D4A|TCF7|TMEM212,3,3,3.0
71,5,ACOT1|HPRT1|ME2|PRKAR1A|VLDLR,3,4,3.8
72,3,AKAP11|MAFB|PFN2,4,4,4.0
73,4,ENG|HMGA1|PDLIM4|TRADD,3,3,3.0
81,3,LSM2|RNF130|SNRPB,2,2,2.0
92,3,CSPG4|VPS53|ZNF518A,3,3,3.0
97,2,HMMR|PDX1,3,3,3.0
98,1,INPP5D,2,2,2.0
100,2,HAP1|PLEKHA6,2,2,2.0
103,3,EFCAB13|SYT9|TBC1D4,2,2,2.0
131,3,BMPR1B|CPA1|NT5E,3,3,3.0
132,4,CHGB|RBP4|TOMM20|YBX1,3,3,3.0
135,4,ELP1|NEBL|TOM1L1|UBL3,3,3,3.0
147,3,AJAP1|EMC10|RPH3A,3,3,3.0
152,2,CPNE6|PLAUR,3,3,3.0
