run,success,core_gene_count,elapsed_seconds
1,True,168,378.6
2,True,166,380.8
3,True,159,361.2
4,True,168,367.1
5,True,166,363.1
6,True,167,345.6
7,True,159,279.1
8,True,173,267.8
9,True,158,263.6
10,True,169,266.3
11,True,173,265.9
12,True,162,269.5
13,True,165,266.8
14,True,163,267.8
15,True,163,267.5
16,True,169,266.3
17,True,173,259.4
18,True,169,267.5
19,True,165,263.3
20,True,167,263.0
21,True,168,267.2
22,True,156,268.1
23,True,173,264.9
24,True,160,262.4
25,True,174,262.9
26,True,161,262.7
27,True,164,261.3
28,True,164,263.4
29,True,167,268.6
30,True,165,266.8
31,True,161,268.5
32,True,156,269.4
33,True,179,261.4
34,True,161,268.6
35,True,171,263.5
36,True,179,264.0
37,True,159,261.4
38,True,158,263.0
39,True,170,266.8
40,True,166,261.7
41,True,170,265.8
42,True,164,261.0
43,True,163,265.7
44,True,157,262.3
45,True,167,266.6
46,True,168,268.5
47,True,175,266.8
48,True,174,268.1
49,True,161,268.7
50,True,169,272.9
