run_i,run_j,n_genes_i,n_genes_j,n_intersection,n_union,jaccard
1,2,168,166,155,179,0.8659217877094972
1,3,168,159,153,174,0.8793103448275862
1,4,168,168,156,180,0.8666666666666667
1,5,168,166,151,183,0.825136612021858
1,6,168,167,158,177,0.8926553672316384
1,7,168,159,150,177,0.847457627118644
1,8,168,173,159,182,0.8736263736263736
1,9,168,158,150,176,0.8522727272727273
1,10,168,169,156,181,0.861878453038674
1,11,168,173,158,183,0.8633879781420765
1,12,168,162,152,178,0.8539325842696629
1,13,168,165,153,180,0.85
1,14,168,163,154,177,0.8700564971751412
1,15,168,163,159,172,0.9244186046511628
1,16,168,169,153,184,0.8315217391304348
1,17,168,173,159,182,0.8736263736263736
1,18,168,169,159,178,0.8932584269662921
1,19,168,165,154,179,0.8603351955307262
1,20,168,167,157,178,0.8820224719101124
1,21,168,168,161,175,0.92
1,22,168,156,154,170,0.9058823529411765
1,23,168,173,163,178,0.9157303370786517
1,24,168,160,146,182,0.8021978021978022
1,25,168,174,160,182,0.8791208791208791
1,26,168,161,147,182,0.8076923076923077
1,27,168,164,158,174,0.9080459770114943
1,28,168,164,155,177,0.8757062146892656
1,29,168,167,152,183,0.8306010928961749
1,30,168,165,151,182,0.8296703296703297
1,31,168,161,154,175,0.88
1,32,168,156,148,176,0.8409090909090909
1,33,168,179,161,186,0.8655913978494624
1,34,168,161,154,175,0.88
1,35,168,171,155,184,0.842391304347826
1,36,168,179,161,186,0.8655913978494624
1,37,168,159,150,177,0.847457627118644
1,38,168,158,150,176,0.8522727272727273
1,39,168,170,157,181,0.8674033149171271
1,40,168,166,160,174,0.9195402298850575
1,41,168,170,158,180,0.8777777777777778
1,42,168,164,153,179,0.8547486033519553
1,43,168,163,154,177,0.8700564971751412
1,44,168,157,152,173,0.8786127167630058
1,45,168,167,156,179,0.8715083798882681
1,46,168,168,156,180,0.8666666666666667
1,47,168,175,164,179,0.9162011173184358
1,48,168,174,160,182,0.8791208791208791
1,49,168,161,147,182,0.8076923076923077
1,50,168,169,160,177,0.903954802259887
2,3,166,159,146,179,0.8156424581005587
2,4,166,168,154,180,0.8555555555555555
2,5,166,166,153,179,0.8547486033519553
2,6,166,167,152,181,0.8397790055248618
2,7,166,159,151,174,0.867816091954023
2,8,166,173,153,186,0.8225806451612904
2,9,166,158,146,178,0.8202247191011236
2,10,166,169,154,181,0.850828729281768
2,11,166,173,154,185,0.8324324324324325
2,12,166,162,149,179,0.8324022346368715
2,13,166,165,150,181,0.8287292817679558
2,14,166,163,151,178,0.848314606741573
2,15,166,163,155,174,0.8908045977011494
2,16,166,169,153,182,0.8406593406593407
2,17,166,173,156,183,0.8524590163934426
2,18,166,169,153,182,0.8406593406593407
2,19,166,165,153,178,0.8595505617977528
2,20,166,167,157,176,0.8920454545454546
2,21,166,168,153,181,0.8453038674033149
2,22,166,156,150,172,0.872093023255814
2,23,166,173,155,184,0.842391304347826
2,24,166,160,146,180,0.8111111111111111
2,25,166,174,158,182,0.8681318681318682
2,26,166,161,148,179,0.8268156424581006
2,27,166,164,155,175,0.8857142857142857
2,28,166,164,150,180,0.8333333333333334
2,29,166,167,152,181,0.8397790055248618
2,30,166,165,150,181,0.8287292817679558
2,31,166,161,153,174,0.8793103448275862
2,32,166,156,144,178,0.8089887640449438
2,33,166,179,160,185,0.8648648648648649
2,34,166,161,145,182,0.7967032967032966
2,35,166,171,159,178,0.8932584269662921
2,36,166,179,156,189,0.8253968253968254
2,37,166,159,143,182,0.7857142857142857
2,38,166,158,149,175,0.8514285714285714
2,39,166,170,153,183,0.8360655737704918
2,40,166,166,151,181,0.8342541436464088
2,41,166,170,159,177,0.8983050847457628
2,42,166,164,156,174,0.896551724137931
2,43,166,163,152,177,0.8587570621468926
2,44,166,157,145,178,0.8146067415730337
