gene,appearance_count,appearance_rate,stability_class,total_runs
CSPG4,50,1.0000,iron-clad,50
VPS53,50,1.0000,iron-clad,50
ZNF518A,50,1.0000,iron-clad,50
HS6ST2,50,1.0000,iron-clad,50
LRFN2,50,1.0000,iron-clad,50
PPP2CB,50,1.0000,iron-clad,50
RASGRP1,50,1.0000,iron-clad,50
ANKRD23,50,1.0000,iron-clad,50
ELP4,50,1.0000,iron-clad,50
ERLIN1,50,1.0000,iron-clad,50
MEGF9,50,1.0000,iron-clad,50
RIMBP2,50,1.0000,iron-clad,50
RPS6KC1,50,1.0000,iron-clad,50
RWDD2A,50,1.0000,iron-clad,50
CLMP,50,1.0000,iron-clad,50
DSCAML1,50,1.0000,iron-clad,50
GIMAP5,50,1.0000,iron-clad,50
SELENOS,50,1.0000,iron-clad,50
KCNG3,50,1.0000,iron-clad,50
MCOLN3,50,1.0000,iron-clad,50
PPM1E,50,1.0000,iron-clad,50
PPP1R1A,50,1.0000,iron-clad,50
ZNF697,50,1.0000,iron-clad,50
DCK,50,1.0000,iron-clad,50
DNAJB9,50,1.0000,iron-clad,50
OTULINL,50,1.0000,iron-clad,50
GNL1,50,1.0000,iron-clad,50
NLRP1,50,1.0000,iron-clad,50
STAT5A,50,1.0000,iron-clad,50
ABCC8,50,1.0000,iron-clad,50
ENTPD3,50,1.0000,iron-clad,50
ERO1B,50,1.0000,iron-clad,50
PGRMC1,50,1.0000,iron-clad,50
PLAGL1,50,1.0000,iron-clad,50
PTPN3,50,1.0000,iron-clad,50
SLC2A2,50,1.0000,iron-clad,50
ACLY,50,1.0000,iron-clad,50
ENG,50,1.0000,iron-clad,50
HMGA1,50,1.0000,iron-clad,50
PDLIM4,50,1.0000,iron-clad,50
TRADD,50,1.0000,iron-clad,50
HAP1,50,1.0000,iron-clad,50
PLEKHA6,50,1.0000,iron-clad,50
SEPTIN9,50,1.0000,iron-clad,50
TEAD4,50,1.0000,iron-clad,50
TGFB3,50,1.0000,iron-clad,50
FHL3,50,1.0000,iron-clad,50
KRT80,50,1.0000,iron-clad,50
NEFL,50,1.0000,iron-clad,50
CH25H,50,1.0000,iron-clad,50
NEU3,50,1.0000,iron-clad,50
CASP4,50,1.0000,iron-clad,50
MAK16,50,1.0000,iron-clad,50
MRPL3,50,1.0000,iron-clad,50
CELA3B,50,1.0000,iron-clad,50
CST5,50,1.0000,iron-clad,50
ENTPD1,50,1.0000,iron-clad,50
SH2D4A,50,1.0000,iron-clad,50
TCF7,50,1.0000,iron-clad,50
TMEM212,50,1.0000,iron-clad,50
DCTN6,50,1.0000,iron-clad,50
GNG7,50,1.0000,iron-clad,50
PSMD11,50,1.0000,iron-clad,50
RASGRF1,50,1.0000,iron-clad,50
SLC25A5,50,1.0000,iron-clad,50
SLC4A8,50,1.0000,iron-clad,50
SRPRB,50,1.0000,iron-clad,50
ZFR,50,1.0000,iron-clad,50
LSM2,50,1.0000,iron-clad,50
RNF130,50,1.0000,iron-clad,50
SNRPB,50,1.0000,iron-clad,50
ACOT1,50,1.0000,iron-clad,50
HPRT1,50,1.0000,iron-clad,50
PRKAR1A,50,1.0000,iron-clad,50
VLDLR,50,1.0000,iron-clad,50
AKAP11,50,1.0000,iron-clad,50
MAFB,50,1.0000,iron-clad,50
PFN2,50,1.0000,iron-clad,50
AGTR1,50,1.0000,iron-clad,50
VDAC2,50,1.0000,iron-clad,50
ZMAT4,50,1.0000,iron-clad,50
CHGB,50,1.0000,iron-clad,50
RBP4,50,1.0000,iron-clad,50
TOMM20,50,1.0000,iron-clad,50
YBX1,50,1.0000,iron-clad,50
NEFM,50,1.0000,iron-clad,50
PEG10,50,1.0000,iron-clad,50
RSL1D1,50,1.0000,iron-clad,50
CYP2C8,50,1.0000,iron-clad,50
KIF4A,50,1.0000,iron-clad,50
PDCD1,50,1.0000,iron-clad,50
ELP1,50,1.0000,iron-clad,50
NEBL,50,1.0000,iron-clad,50
TOM1L1,50,1.0000,iron-clad,50
UBL3,50,1.0000,iron-clad,50
IAPP,49,0.9800,iron-clad,50
AKAP9,49,0.9800,iron-clad,50
MTUS2,49,0.9800,iron-clad,50
CPNE6,49,0.9800,iron-clad,50
PLAUR,49,0.9800,iron-clad,50
EEF1D,49,0.9800,iron-clad,50
TNIP1,49,0.9800,iron-clad,50
HAUS2,49,0.9800,iron-clad,50
HMMR,49,0.9800,iron-clad,50
PDX1,49,0.9800,iron-clad,50
HIKESHI,49,0.9800,iron-clad,50
IARS1,49,0.9800,iron-clad,50
BMPR1B,49,0.9800,iron-clad,50
CPA1,49,0.9800,iron-clad,50
NT5E,49,0.9800,iron-clad,50
SEMG1,49,0.9800,iron-clad,50
ARHGAP6,48,0.9600,iron-clad,50
BRMS1,48,0.9600,iron-clad,50
ERVMER34-1,48,0.9600,iron-clad,50
PLEKHG3,48,0.9600,iron-clad,50
CACNA1D,48,0.9600,iron-clad,50
LMBRD1,48,0.9600,iron-clad,50
PPP3CB,48,0.9600,iron-clad,50
INPP5D,48,0.9600,iron-clad,50
PTMA,48,0.9600,iron-clad,50
ZNF576,48,0.9600,iron-clad,50
GREB1,48,0.9600,iron-clad,50
OCA2,48,0.9600,iron-clad,50
TM4SF20,48,0.9600,iron-clad,50
ATP6V1A,47,0.9400,iron-clad,50
AJAP1,47,0.9400,iron-clad,50
EMC10,47,0.9400,iron-clad,50
RPH3A,47,0.9400,iron-clad,50
ME2,47,0.9400,iron-clad,50
PLEKHA4,46,0.9200,iron-clad,50
ODC1,46,0.9200,iron-clad,50
GJC2,46,0.9200,iron-clad,50
SIX1,46,0.9200,iron-clad,50
VPS37A,46,0.9200,iron-clad,50
RNF6,45,0.9000,iron-clad,50
EFCAB13,45,0.9000,iron-clad,50
SYT9,45,0.9000,iron-clad,50
TBC1D4,45,0.9000,iron-clad,50
SETSIP,44,0.8800,borderline,50
CAPN7,42,0.8400,borderline,50
TRIM37,41,0.8200,borderline,50
IL12RB1,40,0.8000,borderline,50
RUNX2,40,0.8000,borderline,50
ACKR2,40,0.8000,borderline,50
CLPS,40,0.8000,borderline,50
TJAP1,40,0.8000,borderline,50
APEX1,39,0.7800,borderline,50
NLK,39,0.7800,borderline,50
ANXA5,38,0.7600,borderline,50
GLRA1,38,0.7600,borderline,50
TNNI1,38,0.7600,borderline,50
IMP4,38,0.7600,borderline,50
ARVCF,38,0.7600,borderline,50
BTG2,37,0.7400,borderline,50
NRGN,37,0.7400,borderline,50
TM4SF1,37,0.7400,borderline,50
KIAA0040,35,0.7000,borderline,50
GFAP,34,0.6800,borderline,50
MAPK12,34,0.6800,borderline,50
CD59,33,0.6600,borderline,50
NCAM1,33,0.6600,borderline,50
PPM1K,30,0.6000,borderline,50
MTCL2,30,0.6000,borderline,50
BMP1,29,0.5800,borderline,50
PCK1,29,0.5800,borderline,50
CCL5,29,0.5800,borderline,50
ARFGAP1,26,0.5200,borderline,50
SLC24A3,25,0.5000,borderline,50
CASR,24,0.4800,stochastic,50
NEXMIF,24,0.4800,stochastic,50
CDK5RAP2,24,0.4800,stochastic,50
SSH3,24,0.4800,stochastic,50
BARX2,23,0.4600,stochastic,50
VANGL1,23,0.4600,stochastic,50
ZFR2,23,0.4600,stochastic,50
CLTRN,23,0.4600,stochastic,50
PRPS1,22,0.4400,stochastic,50
PALS2,21,0.4200,stochastic,50
ABCE1,19,0.3800,stochastic,50
GALR2,16,0.3200,stochastic,50
CPD,15,0.3000,stochastic,50
PCSK1,14,0.2800,stochastic,50
MAP3K11,14,0.2800,stochastic,50
MLIP,14,0.2800,stochastic,50
