gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
AAMDC,2,2,0.4441409089909816,True
AARS1,3,2,0.0837317797936364,True
AASDHPPT,3,2,0.11681954228952425,False
ABCA1,3,3,1.0303962813488823,True
ABCA5,3,2,-0.10462064632660766,True
ABCC8,3,2,0.11057940621420759,True
ABCF2,3,2,0.15447308823022934,True
ABCG4,3,2,-0.0034218903893797523,True
ABHD10,3,2,0.008843471762017016,True
ABHD14A,3,2,-0.1370843502922532,True
ABI3BP,3,2,0.4284768250109631,True
ABLIM2,3,2,-0.07471529322286674,True
ABT1,2,2,0.047309863894559934,False
ABTB1,3,2,-0.08193093619117302,True
ACAA2,3,2,0.5701242001037542,True
ACADM,3,2,0.27170721212111165,False
ACBD6,3,2,0.2388158493966186,False
ACKR3,3,2,0.7410150245118055,True
ACLY,3,2,-0.004484885809058407,True
ACOT7,3,2,-0.08554655006716445,True
ACOX2,3,2,0.5584334593909389,True
ACOX3,3,2,0.2350515627924755,True
ACTA2,3,2,0.404793403700974,False
ACTL6A,3,3,0.6932162256594193,True
ACTL6B,3,2,-0.2379465493189672,True
ACTR1B,3,2,-0.29086667031482466,True
ACTR6,3,2,0.1493021103168554,True
ADA,3,3,0.7633016109554941,True
ADAMTS9,2,2,1.2482507363940039,True
ADAMTSL3,2,2,0.40572116979466655,True
ADAP2,3,3,0.810874537025375,True
ADCY1,3,3,0.1251204430769981,False
ADCY7,3,2,0.33340274275642007,True
ADD1,3,2,0.29522323236047104,False
ADGRG1,3,2,0.7868281546738611,True
ADPRH,2,2,0.2900534858198429,True
ADSS2,3,2,0.005155545364091611,True
AEBP1,3,3,0.7753471146596578,True
AEN,3,2,0.5154130876012087,True
AFG3L2,3,2,0.05127821277103628,True
AFTPH,3,2,-0.0691384511685597,True
AGGF1,3,2,0.06235801126327001,True
AGK,3,2,0.060417209469027476,True
AIFM1,3,2,0.05689160969512604,True
AIG1,3,2,0.15490293636783323,False
AK2,3,2,0.3854604018312558,True
AK4,3,2,0.5278643734308149,True
AKAP1,3,2,0.14918651205277467,True
AKAP11,3,2,0.20085152727605463,True
AKIP1,3,2,0.32087967560634256,False
AKNA,3,2,0.4347289754034245,True
AKR1B1,3,2,0.2039366502441385,True
AKR1C2,3,2,0.1436932075807992,True
ALDH1A2,3,3,0.5394419885699482,False
ALDOC,3,2,0.10329543835260384,True
ALG5,3,2,0.18893388670616115,False
ALPK1,2,2,0.9697144505943064,True
AMMECR1L,3,2,0.45491745326532557,True
AMPH,3,2,-0.08950159769825443,True
AMY2B,3,2,0.02599726491355418,True
AMZ2,3,2,0.40226586682042065,False
ANAPC5,3,2,0.10419824206598587,True
ANGPT2,2,2,0.9495244176902544,True
ANGPTL4,3,2,0.7311635447433593,True
ANK3,3,2,0.18080234198995923,True
ANKFN1,2,2,0.5335213866881041,True
ANKFY1,3,2,0.38109038802833695,True
ANKMY2,3,2,-0.044527315635151034,True
ANKRD29,3,2,-0.06154867922278721,True
ANKRD34A,2,2,0.3430967622270895,False
ANKRD37,3,2,0.6206479288988446,True
ANO6,3,3,0.6704436830014285,True
ANP32B,3,2,0.7114719707537583,True
ANTXR1,3,2,0.6054772939263552,True
ANXA2,3,2,0.902531141098193,True
ANXA5,3,2,0.6777530568798231,True
ANXA6,3,2,-0.2098113359805088,True
ANXA7,3,3,0.1953828000000725,False
AP3M1,3,2,0.3007204219851743,True
AP3M2,3,2,0.1907530363048068,False
APBA2,3,2,-0.1120479988772356,True
APBB1IP,3,3,0.7479821036760329,True
APEX1,3,2,0.26402404815614755,True
APIP,3,2,0.05170019011214655,False
APOC1,2,2,0.9050275732561341,True
APOE,3,3,0.8107512643967812,True
APP,3,2,-0.12670317604651574,True
ARAF,3,2,0.38338089310748796,True
ARAP1,3,2,0.3019849115505062,True
ARFGAP2,3,2,0.2187499654569048,False
ARFIP2,3,2,0.12022375271007728,True
ARHGAP26,3,2,-0.11024037892092468,True
ARHGAP27,2,2,0.6613951960476596,True
ARHGAP30,3,2,0.7176410910413441,True
ARHGAP4,3,2,0.295554829792595,True
ARHGAP45,2,2,0.6088935478746476,True
ARHGDIB,3,2,0.7353776963964074,True
ARHGEF3,3,2,0.35715329563912324,False
ARID3A,3,2,0.5957702392632344,True
ARID4B,3,2,0.5272834580794452,True
ARL1,3,2,0.17819940731782827,True
ARL3,3,2,0.04018304859287388,True
ARL8B,3,2,0.2262451619487873,False
ARMC8,3,2,0.02289026315130312,True
ARMCX3,3,2,-0.07509355380152065,True
ARMCX5,3,3,0.011399118847922404,False
ARNT,2,2,0.05065815303827215,False
ARRDC4,3,2,0.7425524000976501,True
ARSG,3,2,-0.280193141940527,True
ASAP3,3,2,0.48832579040910656,True
ASB13,3,2,-0.17072924352405097,True
ASB8,3,2,0.1255956556460731,False
ASCC2,3,2,0.5662762192610215,True
ASH2L,3,2,0.014114285366699045,True
ASNS,3,2,0.2248033724041806,True
ASXL2,3,2,0.3858883533733355,True
ATAD1,3,2,-0.030220031834690353,True
ATF5,3,2,0.4158599284387782,True
ATF7IP2,3,2,0.6343182887744258,True
ATG16L1,3,2,0.06154053981592256,True
ATIC,3,2,0.3684791456740039,False
ATP1A1,3,2,-0.309459256297103,True
ATP2B1,3,2,0.08053932477449462,False
ATP2B2,3,2,-0.16134065081453564,True
ATP2B3,3,2,0.053790575249607876,True
ATP5F1A,3,3,0.1947665866426466,False
ATP5F1B,3,2,0.027658698790912872,True
ATP5MC1,3,2,0.07250522049290427,True
ATP5PD,3,2,0.0660381903180219,True
ATP5PF,3,2,0.2973836609389104,False
ATP5PO,3,2,0.22542830921731527,False
ATP6AP1,3,2,0.016145892399163603,True
ATP6AP2,3,2,0.15150818596640145,False
ATP6V0D1,3,2,-0.08717329236443483,True
ATP6V0E1,3,2,0.6363356338663565,True
ATP6V1A,3,2,-0.09197116252890858,True
ATP6V1B2,3,3,0.18337932668058285,False
ATP6V1C1,3,2,-0.040415732875655586,True
ATP6V1D,3,2,0.21321132878238558,False
ATP6V1E1,3,2,-0.1265443800908308,True
ATPAF1,3,3,0.24163634304793055,False
ATRNL1,3,2,-0.4746903840451253,True
ATXN7,2,2,0.22318459969858617,True
ATXN7L1,2,2,0.2586247520198257,True
AUH,3,2,-0.2964037800472288,True
AVIL,2,2,0.17779773629043416,True
AVPI1,3,2,-0.13640140775348972,True
AZIN1,3,2,0.3248010327700168,False
B2M,3,2,0.7073031081328951,True
B3GALNT1,3,2,0.2832611427517904,False
B3GNT5,2,2,0.562068268925239,True
B4GALT1,2,2,0.6484342402679228,True
B4GALT6,3,2,-0.31648527760735173,True
BAALC,3,2,0.5786546565080958,True
BAG3,3,3,1.555920761616972,True
BAHD1,2,2,0.33700126357210225,True
BANF1,3,2,0.3504060886072427,True
BAX,3,2,0.34706096998805425,True
BAZ2A,2,2,0.4712823822244978,True
BBS7,3,2,-0.12841670109114092,True
BCAR3,3,2,0.4609033740993042,True
BEND6,3,2,0.12173990429141963,True
BEX1,3,2,0.1578014802330007,False
BEX2,3,2,0.2185496950394136,False
BEX3,3,2,0.11905587090448815,False
BEX5,3,2,-0.23396695343735008,True
BIN2,2,2,0.6403119749145968,True
BIN3,3,2,0.40519441067673573,True
