gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
AARS1,173,True,True,True,True,4,True,0.0837317797936364,up
ABCA1,117,True,True,True,True,4,True,1.0303962813488823,up
ABCG4,176,True,True,True,True,4,True,-0.0034218903893797523,down
ACBD6,151,True,True,True,True,4,True,0.2388158493966186,up
ACTL6B,179,True,True,True,True,4,True,-0.2379465493189672,down
ACTR1B,27,True,True,True,True,4,True,-0.29086667031482466,down
ACTR6,114,True,True,True,True,4,True,0.1493021103168554,up
ADAP2,44,True,True,True,True,4,True,0.810874537025375,up
AEBP1,103,True,True,True,True,4,True,0.7753471146596578,up
ALDOC,114,True,True,True,True,4,True,0.10329543835260384,up
ANAPC5,18,True,True,True,True,4,True,0.10419824206598587,up
ANO6,13,True,True,True,True,4,True,0.6704436830014285,up
APBA2,21,True,True,True,True,4,True,-0.1120479988772356,down
APOC1,9,True,True,True,True,4,True,0.9050275732561341,up
ARHGAP26,138,True,True,True,True,4,True,-0.11024037892092468,down
ARHGAP45,49,True,True,True,True,4,True,0.6088935478746476,up
ARMCX5,132,True,True,True,True,4,True,0.011399118847922404,up
ASB13,175,True,True,True,True,4,True,-0.17072924352405097,down
ASXL2,142,True,True,True,True,4,True,0.3858883533733355,up
ATP1A1,166,True,True,True,True,4,True,-0.309459256297103,down
ATP2B2,167,True,True,True,True,4,True,-0.16134065081453564,down
ATP5F1A,132,True,True,True,True,4,True,0.1947665866426466,up
ATP5F1B,174,True,True,True,True,4,True,0.027658698790912872,up
ATP6V1C1,111,True,True,True,True,4,True,-0.040415732875655586,down
ATP6V1E1,175,True,True,True,True,4,True,-0.1265443800908308,down
ATPAF1,131,True,True,True,True,4,True,0.24163634304793055,up
ATRNL1,135,True,True,True,True,4,True,-0.4746903840451253,down
ATXN7,68,True,True,True,True,4,True,0.22318459969858617,up
AVPI1,178,True,True,True,True,4,True,-0.13640140775348972,down
B4GALT6,156,True,True,True,True,4,True,-0.31648527760735173,down
BMP7,68,True,True,True,True,4,True,0.3518051773442539,up
BST2,117,True,True,True,True,4,True,0.8618405843978599,up
BTG3,171,True,True,True,True,4,True,0.6628301135918057,up
C1QB,53,True,True,True,True,4,True,1.2419780277641732,up
C1QC,70,True,True,True,True,4,True,0.9826890784487089,up
C3orf62,99,True,True,True,True,4,True,0.29482269622858376,up
CACHD1,103,True,True,True,True,4,True,0.7161416247155135,up
CBLN2,169,True,True,True,True,4,True,-0.353244543295171,down
CCDC25,14,True,True,True,True,4,True,0.030463513065308295,up
CD14,118,True,True,True,True,4,True,1.1477238826406753,up
CD84,171,True,True,True,True,4,True,0.5509844205519027,up
CDCA5,178,True,True,True,True,4,True,-0.12630897912811845,down
CEND1,138,True,True,True,True,4,True,-0.11701121777224739,down
CHCHD4,115,True,True,True,True,4,True,0.1450409177934834,up
CHCHD7,137,True,True,True,True,4,True,0.004211740522719332,up
CHST11,69,True,True,True,True,4,True,0.4350553611027501,up
CHSY1,59,True,True,True,True,4,True,0.5153773718276226,up
CIRBP,111,True,True,True,True,4,True,-0.012431649009328657,down
CNN3,118,True,True,True,True,4,True,0.9279821636024655,up
COLGALT1,49,True,True,True,True,4,True,0.598030568229681,up
COPG1,176,True,True,True,True,4,True,-0.06594249739109603,down
COQ3,132,True,True,True,True,4,True,0.05307464503480378,up
COQ6,114,True,True,True,True,4,True,0.22799511741647382,up
CORO2A,28,True,True,True,True,4,True,-0.23940610817364436,down
COX7A1,177,True,True,True,True,4,True,-0.1503866685172325,down
CPEB1,111,True,True,True,True,4,True,-0.009109466746702951,down
CPLX2,135,True,True,True,True,4,True,-0.3378172958920261,down
CPNE3,44,True,True,True,True,4,True,0.6024400145533623,up
CTSH,13,True,True,True,True,4,True,0.6927910475824574,up
CXCL16,110,True,True,True,True,4,True,0.9764846260139954,up
CYBA,118,True,True,True,True,4,True,0.8712628167693591,up
CYC1,51,True,True,True,True,4,True,0.056569712233887515,up
DDAH2,68,True,True,True,True,4,True,0.49689415280044996,up
DDX1,17,True,True,True,True,4,True,0.11901865397295157,up
DDX24,176,True,True,True,True,4,True,0.07932843486756447,up
DEPDC5,165,True,True,True,True,4,True,0.018321273074113797,up
DHX35,14,True,True,True,True,4,True,0.08035342943062036,up
DNAJB1,34,True,True,True,True,4,True,1.1009004077606257,up
DOK1,59,True,True,True,True,4,True,0.509805998347024,up
DOP1A,51,True,True,True,True,4,True,0.07700143262975523,up
DPP10,166,True,True,True,True,4,True,-0.24350988825275235,down
DPP8,165,True,True,True,True,4,True,0.01739966438109075,up
DTNA,94,True,True,True,True,4,True,0.6668572213037116,up
DTX2,33,True,True,True,True,4,True,0.6836233822783832,up
DYNLT1,44,True,True,True,True,4,True,0.6837544287618078,up
DYNLT5,175,True,True,True,True,4,True,-0.293883305684631,down
EFR3A,131,True,True,True,True,4,True,0.16132101914295896,up
EHD4,103,True,True,True,True,4,True,0.7033896142682229,up
ELF1,32,True,True,True,True,4,True,0.5847911392275088,up
EMC1,111,True,True,True,True,4,True,-0.051971667944302524,down
ENO2,132,True,True,True,True,4,True,-0.038356628694890205,down
ENTPD6,174,True,True,True,True,4,True,0.04545947396596558,up
EPB41L2,68,True,True,True,True,4,True,0.4218036203881228,up
ERBB2,20,True,True,True,True,4,True,0.6547749631817742,up
EXOSC9,138,True,True,True,True,4,True,-0.10994300995706219,down
FAHD2B,132,True,True,True,True,4,True,0.08721153122710164,up
FAM111A,59,True,True,True,True,4,True,0.5085993347332718,up
FAM131B,136,True,True,True,True,4,True,-0.3684301430276194,down
FAM234B,162,True,True,True,True,4,True,-0.05548483243185073,down
FAM241B,137,True,True,True,True,4,True,-0.00949401122283966,down
FAM81A,21,True,True,True,True,4,True,-0.4250624316137929,down
FAR2,144,True,True,True,True,4,True,0.001129304399289784,up
FBLN7,166,True,True,True,True,4,True,-0.3198650698560505,down
FERMT2,103,True,True,True,True,4,True,0.7512721128195037,up
FH,115,True,True,True,True,4,True,0.130909427414409,up
FIBP,111,True,True,True,True,4,True,-0.03402525666354972,down
FOCAD,111,True,True,True,True,4,True,-0.05069482439166192,down
FXR2,173,True,True,True,True,4,True,0.12262311913294906,up
GABRG2,168,True,True,True,True,4,True,-0.16936471500584074,down
GBP2,53,True,True,True,True,4,True,1.0918681026386914,up
GLMN,177,True,True,True,True,4,True,-0.08220995780828311,down
GLS2,21,True,True,True,True,4,True,-0.21304010621317845,down
GMPR2,115,True,True,True,True,4,True,0.12077998543521318,up
GNA12,13,True,True,True,True,4,True,0.7174568342790835,up
GNG5,171,True,True,True,True,4,True,0.7316728136854976,up
GOT1,166,True,True,True,True,4,True,-0.2875157093865062,down
GOT2,52,True,True,True,True,4,True,0.025367868374810715,up
GPCPD1,137,True,True,True,True,4,True,-0.0019928983619446803,down
GPRASP2,132,True,True,True,True,4,True,0.007095836022115165,up
H2AC20,48,True,True,True,True,4,True,0.5451325989539498,up
H2BC21,44,True,True,True,True,4,True,0.6956560608268275,up
HACL1,52,True,True,True,True,4,True,0.024693570098906232,up
HAGH,14,True,True,True,True,4,True,0.11614116706640913,up
HEY2,32,True,True,True,True,4,True,0.5948938728413189,up
HMG20A,14,True,True,True,True,4,True,0.10982404217533788,up
HSPA5,171,True,True,True,True,4,True,0.6721930727006488,up
HSPD1,20,True,True,True,True,4,True,0.6412061539203403,up
HYLS1,178,True,True,True,True,4,True,-0.07538066273238304,down
ICA1,21,True,True,True,True,4,True,-0.11350185608173557,down
IDH1,44,True,True,True,True,4,True,0.6080770177215363,up
IDH3A,27,True,True,True,True,4,True,-0.006092816571589961,down
IDH3B,132,True,True,True,True,4,True,0.17470381856409625,up
IDH3G,115,True,True,True,True,4,True,0.059452049375725124,up
IFRD1,64,True,True,True,True,4,True,0.5781066609016818,up
INA,162,True,True,True,True,4,True,-0.015036269409987923,down
IRF8,20,True,True,True,True,4,True,0.6559084880114144,up
ITPR1,175,True,True,True,True,4,True,-0.2830043346949604,down
JUN,171,True,True,True,True,4,True,0.8364571547687726,up
KAT7,174,True,True,True,True,4,True,0.03358587585657791,up
KCNS1,169,True,True,True,True,4,True,-0.567892044001517,down
KCNS2,168,True,True,True,True,4,True,-0.1743676328742012,down
KCTD9,111,True,True,True,True,4,True,-0.06982949680876456,down
KIFBP,111,True,True,True,True,4,True,-0.022998976973261993,down
KLHDC2,115,True,True,True,True,4,True,0.05850475812597159,up
KLHDC9,177,True,True,True,True,4,True,-0.05966134445221464,down
KYAT3,138,True,True,True,True,4,True,-0.13723157588165247,down
LAPTM5,117,True,True,True,True,4,True,0.9794614741212201,up
LCMT1,131,True,True,True,True,4,True,0.21644158215159295,up
LHX2,13,True,True,True,True,4,True,0.6756608768470093,up
LIMS1,70,True,True,True,True,4,True,0.8534256481104914,up
LPCAT4,177,True,True,True,True,4,True,-0.08674649331465704,down
LPP,33,True,True,True,True,4,True,0.7580722549709517,up
LRRC20,174,True,True,True,True,4,True,-0.007936740756374702,down
MAGEE1,147,True,True,True,True,4,True,-0.007932064620318554,down
MANF,32,True,True,True,True,4,True,0.6389588429198407,up
MAP3K9,138,True,True,True,True,4,True,-0.10075978298009029,down
MAPKAPK2,59,True,True,True,True,4,True,0.4883339900103964,up
MARF1,151,True,True,True,True,4,True,0.21726546578512038,up
MAT2B,131,True,True,True,True,4,True,0.12987738450444533,up
MCL1,68,True,True,True,True,4,True,0.5001134507050479,up
ME3,18,True,True,True,True,4,True,0.08339448509201326,up
MGST1,33,True,True,True,True,4,True,0.7473631271434336,up
MPP1,176,True,True,True,True,4,True,-0.03525773929272239,down
MRPL2,115,True,True,True,True,4,True,0.01698690610955067,up
MRPL22,17,True,True,True,True,4,True,0.1544416072990941,up
MSN,117,True,True,True,True,4,True,1.0410114232284824,up
MTMR7,51,True,True,True,True,4,True,0.04376659152798782,up
NBPF9,34,True,True,True,True,4,True,1.1632490453589632,up
NCKIPSD,165,True,True,True,True,4,True,0.006878943084226208,up
NDRG3,166,True,True,True,True,4,True,-0.265287398854855,down
NDUFAF5,111,True,True,True,True,4,True,-0.0049675334018468575,down
