gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
ACTL6B,3,2,-0.2379465493189672,True
ADA,3,3,0.7633016109554941,True
ADCY1,3,3,0.1251204430769981,False
ADSS2,3,2,0.005155545364091611,True
ANK3,3,2,0.18080234198995923,True
APBA2,3,2,-0.1120479988772356,True
ARHGAP30,3,2,0.7176410910413441,True
ATP1A1,3,2,-0.309459256297103,True
ATP2B1,3,2,0.08053932477449462,False
ATP2B2,3,2,-0.16134065081453564,True
CACNG2,3,2,-0.021730617368090382,True
CADM1,3,2,0.5466440245457193,True
CADPS,3,2,-0.1900307582989651,True
CADPS2,3,2,-0.32034674119615286,True
CDH10,3,2,0.17174896407136112,False
CDH11,3,2,0.49781015533200473,True
CDK5RAP2,3,2,0.5936840619798028,True
CLTC,3,2,-0.14129693987880346,True
CNOT3,3,2,0.2585722477159666,False
CNTN6,3,2,-0.2238467247596582,False
CTPS1,3,2,0.1462826082071403,False
CUL2,3,3,0.23430157714893132,False
CUL3,3,2,-0.06699927344390814,True
DENR,3,2,0.2280093754293985,False
DEPDC5,3,2,0.018321273074113797,True
DHX30,3,2,0.07483354985482471,True
DLL1,3,2,0.6323672442999677,True
DMXL2,3,2,0.003974021904117109,True
DNM1,3,2,-0.19056527219691333,True
DPP10,3,2,-0.24350988825275235,True
DPP6,3,2,0.23966841046619317,True
DPYSL3,3,3,0.8338988347579891,True
DYNC1H1,3,2,0.09165506928664276,True
EFR3A,3,3,0.16132101914295896,False
ELP2,3,2,0.12966669354886987,True
EN2,2,2,0.32790823643214795,True
EPC2,3,2,0.05122026419323067,False
EXOC3,3,2,0.0931959300119362,True
FAT1,3,2,0.47049417870121363,True
FBXO11,3,2,0.2300790495185915,False
FBXO33,3,3,0.23384481872175833,False
FBXO40,2,2,-0.3907390015059853,False
FEZF2,3,2,0.023624373889095256,False
FLNA,3,2,0.4318077542616188,True
FRG1,3,2,0.11182226023731283,True
FRMPD4,3,2,-0.19705374264671752,True
G3BP2,3,2,-0.1354104415756797,True
GABRG2,3,2,-0.16936471500584074,True
GATM,3,2,0.4189846507312784,True
GPC4,3,2,0.5212890739605375,True
H2BC11,3,3,0.5530304561954079,True
H4C11,2,2,-0.14154926625442465,False
HECTD1,3,2,0.2427982350045997,True
HECW2,3,2,0.26599785259539094,False
HNRNPUL2,3,2,-0.02433321221257234,False
ICA1,3,2,-0.11350185608173557,True
HLA-DRB1,2,2,1.4183973023845746,True
HMGN1,3,2,0.5288509043704185,True
ITPR1,3,2,-0.2830043346949604,True
KANK1,3,2,0.40341050428446995,True
KATNAL1,3,2,0.27170257823411365,False
KDM1A,3,2,0.3149609594140446,True
KIAA0232,3,2,0.12094080695335278,True
LAMB1,3,2,0.0055945824584933135,True
LHX2,3,3,0.6756608768470093,True
LIN7B,3,2,-0.08337552770471879,True
LRRC4,2,2,-0.14365602139187317,False
MBD1,3,2,-0.0072565366944286796,False
MCM4,3,2,-0.09173288156995785,True
MDGA2,3,2,-0.011369755449441262,True
MEF2C,3,2,0.04670906427791325,False
MYCBP2,3,2,0.25624972466005974,False
MYH9,3,3,0.7759351317322688,True
NAV2,3,2,0.5525778612018929,True
NBEA,3,2,-0.14304614647817124,True
NEGR1,3,2,-0.3779446907379252,True
NFE2L3,2,2,0.6969255044582612,True
NIPA2,3,2,0.13748023923650296,True
NPAS3,3,2,0.43596387126978325,True
NPTN,3,2,-0.07054808201313634,True
NR3C2,3,2,0.03757899306343878,True
NUP133,3,2,0.22083357557506625,True
PABPC1,3,2,0.5171121141134218,True
PAK1,3,2,-0.22122237714781492,True
PCDHA11,3,2,0.06297681012386036,False
PCDHAC2,3,2,-0.2650860415759239,True
PER2,3,2,0.47612487380926566,False
PHF21A,3,2,0.46339885520926344,True
PLAA,3,2,-0.020129406382041637,False
PHB1,3,2,0.4019454845604932,True
PPP2R5D,3,2,0.09538188562029444,True
PPP3CA,3,2,-0.011051797295164553,True
PREX1,3,2,0.42303525260844044,True
PRKCB,3,2,0.2006200620551611,False
