gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
ACTL6B,10,True,True,True,True,4,True,-0.2379465493189672,down
APBA2,10,True,True,True,True,4,True,-0.1120479988772356,down
ATP1A1,11,True,True,True,True,4,True,-0.309459256297103,down
ATP2B2,4,True,True,True,True,4,True,-0.16134065081453564,down
CADPS,8,True,True,True,True,4,True,-0.1900307582989651,down
DEPDC5,4,True,True,True,True,4,True,0.018321273074113797,up
DPP10,11,True,True,True,True,4,True,-0.24350988825275235,down
EFR3A,1,True,True,True,True,4,True,0.16132101914295896,up
GABRG2,4,True,True,True,True,4,True,-0.16936471500584074,down
ICA1,10,True,True,True,True,4,True,-0.11350185608173557,down
ITPR1,11,True,True,True,True,4,True,-0.2830043346949604,down
KIAA0232,5,True,True,True,True,4,True,0.12094080695335278,up
NR3C2,4,True,True,True,True,4,True,0.03757899306343878,up
PPP3CA,4,True,True,True,True,4,True,-0.011051797295164553,down
PRPF19,4,True,True,True,True,4,True,-0.10564300803958915,down
QRICH1,4,True,True,True,True,4,True,0.033018744514012134,up
SEZ6L2,8,True,True,True,True,4,True,-0.2735071993985774,down
SLC12A5,4,True,True,True,True,4,True,0.017919026513596375,up
SLC25A12,10,True,True,True,True,4,True,-0.13393152641041764,down
SNAP25,8,True,True,True,True,4,True,-0.145858356474332,down
SNX14,5,True,True,True,True,4,True,0.1657591540444742,up
SPTAN1,4,True,True,True,True,4,True,-0.08854810282657806,down
SLC25A27,10,True,True,True,True,4,True,-0.20903003126377762,down
ZFHX3,12,True,True,True,True,4,True,0.5823425239793588,up
ZNF385B,4,True,True,True,True,4,True,-0.04233008717273575,down
ADCY1,1,True,False,True,True,4,False,0.1251204430769981,up
ADSS2,4,True,False,True,True,4,False,0.005155545364091611,up
ANK3,4,True,False,True,True,4,False,0.18080234198995923,up
ARHGAP30,12,True,False,True,True,4,False,0.7176410910413441,up
ATP2B1,5,True,False,True,True,4,False,0.08053932477449462,up
CADPS2,11,True,False,True,True,4,False,-0.32034674119615286,down
CUL3,4,True,False,True,True,4,False,-0.06699927344390814,down
DHX30,5,True,False,True,True,4,False,0.07483354985482471,up
DYNC1H1,4,True,False,True,True,4,False,0.09165506928664276,up
FRG1,4,True,False,True,True,4,False,0.11182226023731283,up
HECTD1,5,True,False,True,True,4,False,0.2427982350045997,up
HECW2,4,True,False,True,True,4,False,0.26599785259539094,up
HLA-DRB1,12,True,False,True,True,4,False,1.4183973023845746,up
LHX2,0,True,True,True,True,4,False,0.6756608768470093,up
MCM4,4,True,False,True,True,4,False,-0.09173288156995785,down
NBEA,8,True,False,True,True,4,False,-0.14304614647817124,down
NEGR1,8,True,False,True,True,4,False,-0.3779446907379252,down
PAK1,8,True,False,True,True,4,False,-0.22122237714781492,down
PCDHAC2,11,True,False,True,True,4,False,-0.2650860415759239,down
PREX1,12,True,False,True,True,4,False,0.42303525260844044,up
PRKD1,0,True,False,True,True,4,False,0.6427957893086381,up
RAB11FIP5,4,True,False,True,True,4,False,0.07171447548958139,up
RBFOX1,12,True,False,True,True,4,False,-0.4105691511330513,down
SAE1,4,True,False,True,True,4,False,0.32608500842389443,up
SYP,8,True,False,True,True,4,False,-0.2033797626688537,down
TRPC5,8,True,False,True,True,4,False,-0.0809099697676648,down
UNC79,4,True,False,True,True,4,False,0.030536981769329802,up
UNC80,9,True,True,True,True,4,False,-0.07174017089276763,down
WASF1,8,True,False,True,True,4,False,-0.20681489841482717,down
WDR37,1,True,False,True,True,4,False,0.2616006554213793,up
XRCC6,8,True,False,True,True,4,False,-0.03821305923165911,down
ZMIZ1,12,True,False,True,True,4,False,0.47566464304096395,up
ZNF462,12,True,False,True,True,4,False,0.7238281223627873,up
ELP2,5,True,True,True,False,3,True,0.12966669354886987,up
FBXO33,1,True,True,True,False,3,True,0.23384481872175833,up
LIN7B,6,True,True,True,False,3,True,-0.08337552770471879,down
NAV2,12,True,True,True,False,3,True,0.5525778612018929,up
NPAS3,12,True,True,True,False,3,True,0.43596387126978325,up
NPTN,6,True,True,True,False,3,True,-0.07054808201313634,down
RGS7,6,True,True,True,False,3,True,-0.014085711183797459,down
RPH3A,6,True,True,True,False,3,True,-0.26034159646507266,down
SLC45A1,1,True,True,True,False,3,True,-0.04806255805905598,down
TBR1,12,True,True,True,False,3,True,-0.5721419345747147,down
CACNG2,6,True,False,True,False,3,False,-0.021730617368090382,down
CDH10,2,True,False,True,False,3,False,0.17174896407136112,up
CLTC,6,True,False,True,False,3,False,-0.14129693987880346,down
CNTN6,9,True,False,True,False,3,False,-0.2238467247596582,down
CTPS1,5,True,False,True,False,3,False,0.1462826082071403,up
CUL2,1,True,False,True,False,3,False,0.23430157714893132,up
DMXL2,6,True,False,True,False,3,False,0.003974021904117109,up
DNM1,8,True,False,True,False,3,False,-0.19056527219691333,down
DPP6,2,True,True,True,False,3,False,0.23966841046619317,up
DPYSL3,0,True,False,True,False,3,False,0.8338988347579891,up
EPC2,7,True,False,True,False,3,False,0.05122026419323067,up
EXOC3,5,True,False,True,False,3,False,0.0931959300119362,up
FBXO40,9,True,False,True,False,3,False,-0.3907390015059853,down
FLNA,12,True,False,True,False,3,False,0.4318077542616188,up
FRMPD4,8,True,False,True,False,3,False,-0.19705374264671752,down
G3BP2,8,True,False,True,False,3,False,-0.1354104415756797,down
H2BC11,0,True,False,True,False,3,False,0.5530304561954079,up
H4C11,9,True,False,True,False,3,False,-0.14154926625442465,down
HNRNPUL2,6,True,False,True,False,3,False,-0.02433321221257234,down
KATNAL1,2,True,False,True,False,3,False,0.27170257823411365,up
LAMB1,6,True,False,True,False,3,False,0.0055945824584933135,up
LRRC4,9,True,False,True,False,3,False,-0.14365602139187317,down
