gene,cluster_id,max_level_survived,mean_log2fc,direction
EFR3A,1,4,0.16132101914295896,up
FBXO33,1,3,0.23384481872175833,up
SLC45A1,1,3,-0.04806255805905598,down
ATP2B2,4,4,-0.16134065081453564,down
DEPDC5,4,4,0.018321273074113797,up
GABRG2,4,4,-0.16936471500584074,down
NR3C2,4,4,0.03757899306343878,up
PPP3CA,4,4,-0.011051797295164553,down
PRPF19,4,4,-0.10564300803958915,down
QRICH1,4,4,0.033018744514012134,up
SLC12A5,4,4,0.017919026513596375,up
SPTAN1,4,4,-0.08854810282657806,down
ZNF385B,4,4,-0.04233008717273575,down
ELP2,5,3,0.12966669354886987,up
KIAA0232,5,4,0.12094080695335278,up
SNX14,5,4,0.1657591540444742,up
LIN7B,6,3,-0.08337552770471879,down
NPTN,6,3,-0.07054808201313634,down
RGS7,6,3,-0.014085711183797459,down
RPH3A,6,3,-0.26034159646507266,down
CADPS,8,4,-0.1900307582989651,down
SEZ6L2,8,4,-0.2735071993985774,down
SNAP25,8,4,-0.145858356474332,down
ACTL6B,10,4,-0.2379465493189672,down
APBA2,10,4,-0.1120479988772356,down
ICA1,10,4,-0.11350185608173557,down
SLC25A12,10,4,-0.13393152641041764,down
SLC25A27,10,4,-0.20903003126377762,down
ATP1A1,11,4,-0.309459256297103,down
DPP10,11,4,-0.24350988825275235,down
ITPR1,11,4,-0.2830043346949604,down
NAV2,12,3,0.5525778612018929,up
NPAS3,12,3,0.43596387126978325,up
TBR1,12,3,-0.5721419345747147,down
ZFHX3,12,4,0.5823425239793588,up
