gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
ABCB1,3,3,-1.8963828424935574,True
ABCC1,3,3,1.5497042608539193,True
ABCG2,3,3,-4.2963092007769275,True
ACLY,3,3,1.0247297024135655,True
ACVR2A,3,2,-0.3891312913022575,True
ADAM10,3,2,-0.14668033557795765,True
ADAM17,3,3,0.6789560380650362,True
AKT2,3,2,0.6685801684985178,True
ALCAM,3,3,0.7690651684199459,True
ALDH1A1,3,3,-1.986974041254175,True
ANGPT2,3,3,0.8453808718815293,True
ANPEP,3,3,-3.720320333721856,True
APC,3,3,-1.0941148523710484,True
ASCL2,3,3,3.365563897372484,True
ATM,3,2,0.28498201790185834,True
ATR,3,3,0.9368449998090836,True
AURKA,3,3,1.9205148012668642,True
AURKB,3,3,0.8881639652755711,True
AXIN1,3,2,0.5518001658680748,True
AXIN2,3,3,2.136777915185833,True
B2M,3,2,-0.33537731954813427,True
BAK1,3,2,-0.31535666731978235,True
BCL2,3,3,-1.5822192675234055,True
BCL2L1,3,3,1.082132470585614,True
BIRC5,3,3,1.6087019601024302,True
BLM,3,3,1.0768619031723432,True
BMP2,3,3,-1.6391157682711566,True
BMP4,3,3,1.157743460353353,True
BMP7,3,3,0.7711482186212941,True
BMPR2,3,2,0.08337769908659443,False
BRCA1,3,3,1.1367555883026477,True
BRCA2,3,3,1.6154011895177056,True
BRD4,3,3,0.7132765865073765,True
BUB1,3,3,1.565525236009342,True
BUB1B,3,3,1.2078031663783586,True
CASP9,3,3,-0.052553289244092305,False
CCL20,3,2,1.7123228615070023,True
CCL5,3,3,-1.4297949844553184,True
CCNA2,3,3,1.0451370568246352,True
CCNB1,3,3,1.491891482191072,True
CCND1,3,3,1.6404302745007635,True
CCNE1,3,3,1.451683278035464,True
CCNE2,3,3,0.980853034060312,True
CD274,3,2,0.12274265050884707,False
CD3E,3,2,-0.4795907811712099,True
CD4,3,2,-0.6097988157947709,True
CD40,3,2,0.1726014022154129,False
CD44,3,2,0.9316968437996671,True
CD8A,3,2,-1.180572582173215,True
CDA,3,2,-1.9388621391210075,True
CDC20,3,3,1.377853805520119,True
CDC25A,3,2,1.2682156253072592,True
CDH2,3,2,0.14212481080546402,False
CDH3,3,3,5.642636424583355,True
CDK1,3,3,1.722349191970624,True
CDK2,3,3,0.9726157433343431,True
CDK4,3,3,1.2637428780294073,True
CDK8,3,3,0.9299656502216083,True
CDKN1A,3,3,-0.8846356138601662,True
CDKN2A,3,2,0.5597354442932231,True
CDKN2B,3,3,-3.129991271741203,True
CDX1,3,2,-0.3801615715381921,True
CEACAM5,3,2,0.24542292344232308,False
CFLAR,3,2,0.27295329095918436,True
CHD4,3,2,0.6122608476424984,True
CHEK1,3,3,1.2930154192176528,True
CHEK2,3,3,1.019162954912132,True
CLDN1,3,3,4.048364718174798,True
CLDN7,3,3,-0.8797278989674341,True
CSF1,3,2,-0.3348691157457096,True
CSF1R,3,2,-0.9008519588642822,True
CSNK2A1,3,3,0.5279886873043699,True
CTNNB1,3,2,0.3901614246441252,True
CXCL1,3,3,3.1932713253741105,True
CXCL10,3,2,1.4632074971174756,True
CXCL12,3,3,-3.50719562830205,True
CXCL2,3,3,2.9930231439350514,True
CXCL5,3,3,3.0678401903142043,True
CXCL8,3,3,4.209807993597884,True
CXCL9,3,2,1.247499626843359,True
CXCR4,3,2,0.2050971339027233,False
CYP3A4,3,2,-0.8245126315956762,True
DCLK1,3,3,-1.4315835368248255,True
DDR2,3,2,-0.8777918859626302,True
DKK2,3,2,1.4403296407444444,True
DKK3,3,2,0.6839563399170032,True
DKK4,2,2,1.029335764976618,True
DLL1,3,2,-0.32523399880170195,True
DLL4,3,2,0.33057614604360097,True
DNMT1,3,3,1.0676858271992247,True
DNMT3A,3,2,0.5470508534067543,True
DNMT3B,3,3,1.266887288750076,True
DPEP1,3,3,4.35415884603968,True
