gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
ABCB1,2,True,True,True,True,4,True,-1.8963828424935574,down
ABCC1,4,True,True,True,True,4,True,1.5497042608539193,up
ABCG2,1,True,True,True,True,4,True,-4.2963092007769275,down
ACLY,12,True,True,True,True,4,True,1.0247297024135655,up
ACVR2A,17,True,True,True,True,4,True,-0.3891312913022575,down
ADAM17,24,True,True,True,True,4,True,0.6789560380650362,up
AKT2,19,True,True,True,True,4,True,0.6685801684985178,up
ALCAM,14,True,True,True,True,4,True,0.7690651684199459,up
ALDH1A1,2,True,True,True,True,4,True,-1.986974041254175,down
ANGPT2,42,True,True,True,True,4,True,0.8453808718815293,up
ANPEP,1,True,True,True,True,4,True,-3.720320333721856,down
APC,2,True,True,True,True,4,True,-1.0941148523710484,down
ASCL2,16,True,True,True,True,4,True,3.365563897372484,up
ATR,11,True,True,True,True,4,True,0.9368449998090836,up
AURKA,26,True,True,True,True,4,True,1.9205148012668642,up
AXIN1,17,True,True,True,True,4,True,0.5518001658680748,up
AXIN2,27,True,True,True,True,4,True,2.136777915185833,up
B2M,22,True,True,True,True,4,True,-0.33537731954813427,down
BAK1,41,True,True,True,True,4,True,-0.31535666731978235,down
BCL2,2,True,True,True,True,4,True,-1.5822192675234055,down
BCL2L1,25,True,True,True,True,4,True,1.082132470585614,up
BIRC5,4,True,True,True,True,4,True,1.6087019601024302,up
BLM,37,True,True,True,True,4,True,1.0768619031723432,up
BMP2,2,True,True,True,True,4,True,-1.6391157682711566,down
BMP7,28,True,True,True,True,4,True,0.7711482186212941,up
BRCA1,6,True,True,True,True,4,True,1.1367555883026477,up
BRCA2,4,True,True,True,True,4,True,1.6154011895177056,up
BRD4,29,True,True,True,True,4,True,0.7132765865073765,up
BUB1,37,True,True,True,True,4,True,1.565525236009342,up
BUB1B,14,True,True,True,True,4,True,1.2078031663783586,up
CASP9,7,True,True,True,True,4,True,-0.052553289244092305,down
CCL20,18,True,True,True,True,4,True,1.7123228615070023,up
CCL5,15,True,True,True,True,4,True,-1.4297949844553184,down
CCNA2,14,True,True,True,True,4,True,1.0451370568246352,up
CCNB1,25,True,True,True,True,4,True,1.491891482191072,up
CCND1,37,True,True,True,True,4,True,1.6404302745007635,up
CCNE1,4,True,True,True,True,4,True,1.451683278035464,up
CCNE2,14,True,True,True,True,4,True,0.980853034060312,up
CD3E,17,True,True,True,True,4,True,-0.4795907811712099,down
CD4,19,True,True,True,True,4,True,-0.6097988157947709,down
CD40,23,True,True,True,True,4,True,0.1726014022154129,up
CD44,21,True,True,True,True,4,True,0.9316968437996671,up
CD8A,22,True,True,True,True,4,True,-1.180572582173215,down
CDA,31,True,True,True,True,4,True,-1.9388621391210075,down
CDC20,5,True,True,True,True,4,True,1.377853805520119,up
CDC25A,21,True,True,True,True,4,True,1.2682156253072592,up
CDH3,8,True,True,True,True,4,True,5.642636424583355,up
CDK1,42,True,True,True,True,4,True,1.722349191970624,up
CDK2,11,True,True,True,True,4,True,0.9726157433343431,up
CDK4,5,True,True,True,True,4,True,1.2637428780294073,up
CDK8,11,True,True,True,True,4,True,0.9299656502216083,up
CDKN1A,15,True,True,True,True,4,True,-0.8846356138601662,down
CDKN2A,21,True,True,True,True,4,True,0.5597354442932231,up
CDKN2B,1,True,True,True,True,4,True,-3.129991271741203,down
CHD4,30,True,True,True,True,4,True,0.6122608476424984,up
CHEK1,37,True,True,True,True,4,True,1.2930154192176528,up
CHEK2,24,True,True,True,True,4,True,1.019162954912132,up
CLDN1,8,True,True,True,True,4,True,4.048364718174798,up
CLDN7,2,True,True,True,True,4,True,-0.8797278989674341,down
CSF1,32,True,True,True,True,4,True,-0.3348691157457096,down
CSF1R,22,True,True,True,True,4,True,-0.9008519588642822,down
CSNK2A1,28,True,True,True,True,4,True,0.5279886873043699,up
CTNNB1,21,True,True,True,True,4,True,0.3901614246441252,up
CXCL1,16,True,True,True,True,4,True,3.1932713253741105,up
CXCL10,9,True,True,True,True,4,True,1.4632074971174756,up
CXCL12,1,True,True,True,True,4,True,-3.50719562830205,down
CXCL2,16,True,True,True,True,4,True,2.9930231439350514,up
CXCL5,16,True,True,True,True,4,True,3.0678401903142043,up
CXCL8,8,True,True,True,True,4,True,4.209807993597884,up
CXCL9,23,True,True,True,True,4,True,1.247499626843359,up
CXCR4,41,True,True,True,True,4,True,0.2050971339027233,up
DCLK1,2,True,True,True,True,4,True,-1.4315835368248255,down
DDR2,30,True,True,True,True,4,True,-0.8777918859626302,down
DKK2,23,True,True,True,True,4,True,1.4403296407444444,up
DKK3,19,True,True,True,True,4,True,0.6839563399170032,up
DKK4,19,True,True,True,True,4,True,1.029335764976618,up
DLL1,41,True,True,True,True,4,True,-0.32523399880170195,down
DNMT1,12,True,True,True,True,4,True,1.0676858271992247,up
DNMT3A,17,True,True,True,True,4,True,0.5470508534067543,up
DNMT3B,42,True,True,True,True,4,True,1.266887288750076,up
DPEP1,8,True,True,True,True,4,True,4.35415884603968,up
DPYD,2,True,True,True,True,4,True,-1.6831412654438591,down
DUSP4,26,True,True,True,True,4,True,1.9489536356540256,up
DVL3,19,True,True,True,True,4,True,0.34430881033230865,up
E2F1,43,True,True,True,True,4,True,0.8948867014089311,up
E2F3,25,True,True,True,True,4,True,1.211738042291177,up
EGFR,33,True,True,True,True,4,True,-0.43290325350242426,down
EPAS1,31,True,True,True,True,4,True,-0.8002041230130944,down
EPHA2,0,True,True,True,True,4,True,1.1011834990175584,up
EPHB2,25,True,True,True,True,4,True,1.1757421719558172,up
EPHB3,14,True,True,True,True,4,True,1.0570033469290478,up
EPHB4,5,True,True,True,True,4,True,1.2963836545280965,up
ERRFI1,7,True,True,True,True,4,True,0.3775557955337276,up
ETS1,41,True,True,True,True,4,True,-0.3191016180425444,down
ETS2,0,True,True,True,True,4,True,0.8606074260424172,up
ETV4,27,True,True,True,True,4,True,2.4313152997482264,up
EXO1,6,True,True,True,True,4,True,1.325750007242083,up
EZH2,37,True,True,True,True,4,True,1.141073796036227,up
FABP1,3,True,True,True,True,4,True,-2.363019461288557,down
FANCA,14,True,True,True,True,4,True,0.8823344901998369,up
FANCD2,32,True,True,True,True,4,True,0.7976185000528186,up
FAS,31,True,True,True,True,4,True,-1.1232049380235116,down
FASN,4,True,True,True,True,4,True,1.6171970199507915,up
FGFR2,3,True,True,True,True,4,True,-2.20571970751081,down
FGFR4,12,True,True,True,True,4,True,1.083123932216003,up
FOS,7,True,True,True,True,4,True,0.6785389985256233,up
FOXA2,6,True,True,True,True,4,True,1.4323034843293512,up
FOXM1,26,True,True,True,True,4,True,2.0177884663713868,up
FOXO1,10,True,True,True,True,4,True,-0.5440203350579985,down
GADD45A,22,True,True,True,True,4,True,-0.6123066938927041,down
