gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
A1CF,8,True,True,True,True,4,True,-1.2453534046411028,down
A2M,68,True,True,True,True,4,True,-0.9070437495579746,down
AADAT,674,True,True,True,True,4,True,0.6979437156402616,up
AAR2,111,True,True,True,True,4,True,0.9209049085954666,up
AARS1,208,True,True,True,True,4,True,0.9472533451978021,up
AASDHPPT,544,True,True,True,True,4,True,0.6757260660618609,up
AATF,302,True,True,True,True,4,True,0.8751504880613247,up
ABCA1,10,True,True,True,True,4,True,-0.6192172949448341,down
ABCA5,14,True,True,True,True,4,True,-1.3114922824127266,down
ABCA8,164,True,True,True,True,4,True,-4.5113661077028056,down
ABCA9,485,True,True,True,True,4,True,-1.467882140578937,down
ABCB1,305,True,True,True,True,4,True,-1.8963828424935574,down
ABCB4,424,True,True,True,True,4,True,-1.5766256642378653,down
ABCB6,753,True,True,True,True,4,True,0.6979140618420531,up
ABCC1,548,True,True,True,True,4,True,1.5497042608539193,up
ABCC10,680,True,True,True,True,4,True,0.8237514878913729,up
ABCC3,369,True,True,True,True,4,True,-0.7038742549461396,down
ABCD3,420,True,True,True,True,4,True,-0.8050049991008782,down
ABCE1,551,True,True,True,True,4,True,0.9271778612928913,up
ABCF1,370,True,True,True,True,4,True,0.39230937231802826,up
ABCF2,552,True,True,True,True,4,True,0.5665313545764595,up
ABCG2,91,True,True,True,True,4,True,-4.2963092007769275,down
ABHD11,371,True,True,True,True,4,True,0.29940561935087445,up
ABHD17C,423,True,True,True,True,4,True,-0.6114075980504884,down
ABHD18,557,True,True,True,True,4,True,-0.2885575723757805,down
ABHD3,92,True,True,True,True,4,True,-1.6364108077010286,down
ABHD6,43,True,True,True,True,4,True,-0.5775367233655867,down
ABI2,546,True,True,True,True,4,True,0.7247569755700051,up
ABI3BP,3,True,True,True,True,4,True,-2.9080574255161515,down
ABRACL,171,True,True,True,True,4,True,-0.08527369331772998,down
ACAA1,41,True,True,True,True,4,True,-0.8885160314197957,down
ACAA2,444,True,True,True,True,4,True,-1.3311106933345151,down
ACACA,446,True,True,True,True,4,True,0.986670591854506,up
ACACB,436,True,True,True,True,4,True,-0.568624761168279,down
ACAD8,175,True,True,True,True,4,True,-0.6634047584960451,down
ACAD9,230,True,True,True,True,4,True,0.4115617259775286,up
ACADM,732,True,True,True,True,4,True,-0.9946955282580406,down
ACADS,616,True,True,True,True,4,True,-1.6172531636215963,down
ACADSB,426,True,True,True,True,4,True,-0.8626851904181336,down
ACADVL,653,True,True,True,True,4,True,-0.886444539870201,down
ACAP2,751,True,True,True,True,4,True,-0.3285852591834206,down
ACAT1,734,True,True,True,True,4,True,-1.0950747243076961,down
ACBD4,168,True,True,True,True,4,True,-0.5975294942420032,down
ACBD6,501,True,True,True,True,4,True,1.1334695687372969,up
ACD,566,True,True,True,True,4,True,1.3474004887155464,up
ACER2,498,True,True,True,True,4,True,-0.5286482533087735,down
ACER3,568,True,True,True,True,4,True,-0.4515946266576272,down
ACKR1,655,True,True,True,True,4,True,-1.5973060632753162,down
ACKR3,276,True,True,True,True,4,True,0.5363273160706162,up
ACKR4,364,True,True,True,True,4,True,-0.7920231641930707,down
ACLY,330,True,True,True,True,4,True,1.0247297024135655,up
ACO2,180,True,True,True,True,4,True,-0.7844051166972914,down
ACOT1,181,True,True,True,True,4,True,-0.6520882666648559,down
ACOT11,224,True,True,True,True,4,True,-0.6638890784585039,down
ACOT13,559,True,True,True,True,4,True,-0.605991747700766,down
ACOX1,377,True,True,True,True,4,True,-0.8266085917131489,down
ACOX3,183,True,True,True,True,4,True,-0.2984539262941315,down
ACP1,694,True,True,True,True,4,True,0.35297774305509283,up
