gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
AQP11,0,-1.2812073261358439,0.2134483541105225,1.943943679377603e-09,-1.398850472639865,0.09599810635893058,4.2551028220812276e-48,76.43318210647729,0.10155190287920882,8.486508484243416,3,down
C2orf72,0,-1.2441233324099987,0.2914710506492213,1.9685492607287486e-05,-1.401270282815152,0.10525038704491176,1.9274138473838483e-40,81.051098581045,0.2022692506598321,10.554701593409298,3,down
CAPN5,0,-1.2706484449642603,0.32803921341273734,0.00010729877770564848,-1.5756273617566012,0.0987459682036915,2.5725914871392576e-57,84.43391783599706,0.265003099914042,12.848448176799842,3,down
DSC2,0,-1.2872766189011178,0.33622646117196936,0.0001288742822840352,-1.6224713720557762,0.08641368393747806,1.1952136761196961e-78,89.42546280542692,0.2924723416150666,18.913357277010775,3,down
RELN,0,-1.0299314528823744,0.10071667018498841,1.5161128858169316e-24,-1.0299314528823744,0.10071667018498841,1.5161128858169316e-24,0.0,0.0,0.8137204123978323,3,down
SLC25A20,0,-1.2444869682946373,0.2988905695193227,3.1314845687330676e-05,-1.3650121066439578,0.07275340910136822,1.5397179375585632e-78,93.39548349720557,0.24809680808237228,30.282307556560482,3,down
SLC30A4,0,-1.3343956750650898,0.10779424739823625,3.3912793176421384e-35,-1.3520200182470306,0.09057280453142984,2.1849776721185172e-50,20.17373918214454,0.007718914191930545,2.5054411662391707,3,down
VPS35L,0,-1.1744350141700104,0.09520385459192562,5.796277935636775e-35,-1.1744350141700104,0.09520385459192562,5.796277935636775e-35,0.0,0.0,1.770122916489627,3,down
BEST2,1,-2.98751996763609,0.20598839533486643,1.1539352818132216e-47,-2.98751996763609,0.20598839533486643,1.1539352818132216e-47,0.0,0.0,1.5415451805474216,3,down
BRINP3,1,-3.0495597191191037,1.1031702953763445,0.0057034594780740345,-3.816565754136438,0.2133790981241391,1.5075431582510992e-71,95.4844094658273,3.4728535198082278,44.290995493603056,3,down
CDKN2B,1,-3.149662132119616,0.8154787298143553,0.00011230272571731164,-3.781579803505311,0.14580208681613135,2.5896123393273828e-148,95.28194309284073,1.882646252807265,42.39033227778932,3,down
CNTN3,1,-3.193261124822039,0.2968834183070428,5.55627726031878e-27,-3.3276498095317324,0.16251894931769276,3.5638735518641442e-93,63.335702149833175,0.1655610948795929,5.454897863238092,3,down
DHRS9,1,-3.13868685656059,0.8434548792807072,0.0001982573186766342,-3.607366042123806,0.2000215525661633,1.0370774311673087e-72,93.67963632858694,1.9922633600655018,31.643748745756145,3,down
