gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
IL12B,3,True,True,True,True,4,True,1.1813901720017748,up
TRAF3IP2,6,True,True,True,True,4,True,0.3600075244833927,up
CARD14,5,True,True,True,True,4,True,0.8596554720936859,up
STAT3,6,True,True,True,True,4,True,0.28842895423428067,up
IFIH1,3,True,True,True,True,4,True,0.994637564385777,up
IL36RN,7,True,True,True,True,4,True,2.188016111672794,up
FBXL19,5,True,True,True,True,4,True,0.6406302948466022,up
REL,5,True,True,True,True,4,True,0.7099107182745951,up
S100A7,4,True,True,True,True,4,True,1.6012656786257589,up
S100A9,8,True,True,True,True,4,True,4.292045691303244,up
KYNU,7,True,True,True,True,4,True,3.0204793206135894,up
CCL20,8,True,True,True,True,4,True,3.767165840041837,up
PI3,7,True,True,True,True,4,True,3.3778075859691925,up
SPRR1B,4,True,True,True,True,4,True,1.4250669680368921,up
IVL,4,True,True,True,True,4,True,1.552034298079361,up
KRT16,7,True,True,True,True,4,True,2.616949475548301,up
KRT17,5,True,True,True,True,4,True,0.8038530706611303,up
KRT6A,4,True,True,True,True,4,True,1.3808984416677244,up
IL1B,4,True,True,True,True,4,True,1.5194582562119676,up
TNF,1,True,True,True,True,4,True,0.37268926446817985,up
IFNG,6,True,True,True,True,4,True,0.22943017653397577,up
CXCL1,8,True,True,True,True,4,True,3.7315816317666064,up
CXCL8,8,True,True,True,True,4,True,4.032964555257986,up
IL36A,4,True,True,True,True,4,True,1.7610736871830626,up
IL36G,8,True,True,True,True,4,True,4.193194197039804,up
LCE3D,7,True,True,True,True,4,True,2.775279722347236,up
FABP5,3,True,True,True,True,4,True,1.1459327180210441,up
TGM1,7,True,True,True,True,4,True,3.2526996992583674,up
TGM3,7,True,True,True,True,4,True,2.1334979145537516,up
KLK7,5,True,True,True,True,4,True,0.6183585130578103,up
KLK5,1,True,True,True,True,4,True,0.6112303483138942,up
SERPINB3,8,True,True,True,True,4,True,4.19742659394016,up
SERPINB4,8,True,True,True,True,4,True,5.115658490634507,up
CST6,0,True,True,True,True,4,True,-0.6703359504468823,down
SLPI,5,True,True,True,True,4,True,0.8485725946374261,up
BCL2,0,True,True,True,True,4,True,-0.8553800823402623,down
CASP5,3,True,True,True,True,4,True,1.0948457861308316,up
GATA3,0,True,True,True,True,4,True,-0.7680825947325052,down
IL19,7,True,True,True,True,4,True,2.6267092905996448,up
IL20,5,True,True,True,True,4,True,0.6871173996577078,up
IL24,5,True,True,True,True,4,True,0.8076491599898584,up
S100A12,8,True,True,True,True,4,True,6.392006507638184,up
S100A7A,7,True,True,True,True,4,True,3.0049574274530935,up
S100A2,5,True,True,True,True,4,True,0.8542358895474145,up
S100A1,0,True,True,True,True,4,True,-0.8049500538634631,down
S100A4,0,True,True,True,True,4,True,-0.3878169072958926,down
ARG1,3,True,True,True,True,4,True,1.1031014626964992,up
CAMP,1,True,True,True,True,4,True,0.18875676419878276,up
LTF,7,True,True,True,True,4,True,2.985050475437373,up
DEFB4B,8,True,True,True,True,4,True,4.01898941764389,up
HLA-C,2,True,False,True,True,4,False,0.0647626597046159,up
TNIP1,6,True,False,True,True,4,False,0.2235811444757851,up
TYK2,2,True,False,True,True,4,False,0.08926452605223097,up
RNF114,2,True,True,True,True,4,False,-0.14427905544814942,down
NOS2,6,True,False,True,True,4,False,0.2097515389515719,up
IL17F,1,True,False,True,True,4,False,0.15816508766480758,up
CASP3,1,True,False,True,True,4,False,0.18476816697832107,up
IL22,2,True,False,True,True,4,False,0.16888010530235836,up
ELANE,2,True,False,True,True,4,False,-0.2447303244960701,down
RNASE7,1,True,False,True,True,4,False,0.8239734966246202,up
