gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
A2M,2,2,-0.2954593771551707,True
A2ML1,2,2,1.53385086572959,True
AACS,2,2,-0.4914974073117407,True
AADAT,2,2,-0.2768010447039806,True
AAGAB,2,2,0.03602593138311315,False
AAMDC,2,2,-0.8702541546970063,True
AASS,2,2,0.8686918600722636,True
AATF,2,2,0.15447191588489026,True
ABAT,2,2,-0.5605184496545382,True
ABCA1,2,2,0.3206435838140223,True
ABCA12,2,2,1.9075556892431564,True
ABCA13,2,2,-0.5200866010078602,True
ABCA2,2,2,-0.26577171811612554,True
ABCA3,2,2,-0.3519570245150859,True
ABCA4,2,2,-0.08714871003422907,False
ABCA5,2,2,-0.35197834457403715,True
ABCA6,2,2,-0.6362113156218308,True
ABCA7,2,2,0.2926249494009884,True
ABCA8,2,2,-0.5902155419941673,True
ABCA9,2,2,-0.9709809328568715,True
ABCB4,2,2,-0.24309365579044015,True
ABCB6,2,2,0.5747570043420394,True
ABCC1,2,2,0.5279911316081388,True
ABCC10,2,2,0.2335592704741381,True
ABCC2,2,2,0.07037269559774319,True
ABCC3,2,2,-0.8971400195708674,True
ABCC9,2,2,-0.3441342015561613,True
ABCE1,2,2,0.273082096031947,True
ABCF1,2,2,0.27974681983709593,True
ABCF2,2,2,0.35211052638501444,False
ABCF3,2,2,0.2622713097268007,True
ABCG1,2,2,0.2280923082688894,False
ABCG4,2,2,0.4742216968179512,True
ABHD10,2,2,-0.32374061119739056,True
ABHD11,2,2,-0.6122966834748991,True
ABHD14A,2,2,-0.21684798654601956,True
ABHD14B,2,2,-0.4192022823434338,True
ABHD15,2,2,-0.18161291742203353,True
ABHD17C,2,2,1.1006505839091019,True
ABHD2,2,2,-0.7206452391449036,True
ABHD5,2,2,0.306660341056034,False
ABHD6,2,2,-0.5387139960382845,True
ABI2,2,2,-0.10966682140593131,False
ABI3,2,2,0.06771203621006652,True
ABI3BP,2,2,-0.6643803886282962,True
ABITRAM,2,2,0.5217803367773819,True
ABL1,2,2,-0.28996272133303624,True
ABLIM1,2,2,-0.08734283799759061,True
ABLIM2,2,2,-1.0591117226958675,False
ABLIM3,2,2,-0.7836876741727954,True
ABRACL,2,2,0.35425346559647736,True
ABRAXAS1,2,2,0.017925357314908547,False
ABT1,2,2,0.32266744710319467,True
ACAA1,2,2,0.24167381089946724,True
ACAA2,2,2,-0.4541516679925206,True
ACACB,2,2,-0.8632873815130563,True
ACADL,2,2,-1.0091292839756598,True
ACADM,2,2,-0.3892174946754564,True
ACADSB,2,2,-0.7653920580153397,True
ACAP1,2,2,0.4285579770695995,True
ACAP3,2,2,0.09989531435408092,False
ACAT1,2,2,-0.6602382128708162,True
ACBD3,2,2,0.12097449022248953,True
ACBD4,2,2,-0.0553628579012424,True
ACBD6,2,2,0.03317259897946312,False
ACCS,2,2,-0.29228866391987884,True
ACE2,2,2,0.5172385161004052,True
ACKR1,2,2,-0.37533267908531875,True
ACKR3,2,2,-0.3207201632384639,True
ACKR4,2,2,-0.6652659996513695,True
ACO2,2,2,0.2798778088235293,True
ACOT1,2,2,-1.8341030646551726,True
ACOT11,2,2,-0.7523276386758369,True
ACOT13,2,2,0.1822814399562642,True
ACOT4,2,2,-0.5645791456009128,True
ACOT7,2,2,0.8368638705153398,True
ACOT8,2,2,-0.3236501483107251,True
ACOX1,2,2,-0.2972558867900595,True
ACOX2,2,2,-1.34588674637107,True
ACOX3,2,2,0.7315136605286491,True
ACP3,2,2,1.6893657865745437,True
ACP5,2,2,1.150194864319219,True
ACSBG1,2,2,-1.7087207872084182,True
ACSF2,2,2,-0.7564154043483755,True
ACSL1,2,2,-0.45150897293356995,True
ACSL5,2,2,-0.22333879929956962,True
ACSM1,2,2,0.017107885332150012,False
ACSM3,2,2,-1.1463989852941179,True
ACSS1,2,2,-0.4371581003898324,True
ACSS2,2,2,-0.45028141724771853,True
ACSS3,2,2,-1.1584359974486567,True
ACTA1,2,2,-0.6447093557460706,True
ACTA2,2,2,-0.3924827692063898,True
ACTB,2,2,-0.035750754246957575,True
ACTC1,2,2,-1.03907330741316,True
ACTG2,2,2,-0.9857235117583681,True
ACTL10,2,2,0.10632279570233275,True
ACTN1,2,2,-0.21380056375190093,True
ACTR2,2,2,0.030155151892114165,False
ACTR3,2,2,0.03358741881655447,False
ACTR3B,2,2,-0.31515102712981835,True
ACTR3C,2,2,0.7169249228099644,True
ACTR5,2,2,0.2054380884571496,True
ACTR8,2,2,0.5297762293832401,True
ACTRT3,2,2,0.060528043547160224,True
ACVR1B,2,2,-0.22583875435788547,True
ACVR1C,2,2,-0.5206632825177484,True
ACVR2A,2,2,-0.39421344715073436,True
ACVR2B,2,2,-0.35249543163666236,True
ACVRL1,2,2,-0.47305406459178456,True
ADA,2,2,0.05561151584685578,False
ADA2,2,2,0.22390555367330106,True
ADAM10,2,2,0.1711476892590002,True
ADAM17,2,2,0.319259699717925,True
ADAM19,2,2,0.6679394299410513,True
ADAM22,2,2,-0.9725759591626528,True
ADAM23,2,2,1.7732170603448292,True
ADAM28,2,2,-0.1454618931604969,False
ADAM33,2,2,-0.6036797301914306,True
ADAM8,2,2,0.8928864753264459,True
ADAMDEC1,2,2,3.559269850358138,True
ADAMTS12,2,2,0.40902846041455365,True
ADAMTS15,2,2,-0.7528891974676726,True
ADAMTS17,2,2,-0.6640711758050212,True
ADAMTS2,2,2,0.2430007973979451,False
ADAMTS3,2,2,-0.23106123622908234,True
ADAMTSL1,2,2,-0.6356652000824043,True
ADAMTSL3,2,2,-0.765994516956136,True
ADAMTSL4,2,2,-0.7388701688324052,True
ADAP2,2,2,1.964943163967419,True
ADAR,2,2,0.168218227243914,True
ADAT2,2,2,0.48471819762614143,False
ADAT3,2,2,0.9863330234533474,True
ADCY1,2,2,-0.22144613395347368,True
ADCY2,2,2,-1.2681581889420626,True
ADCY4,2,2,-0.2425091678974386,True
ADCY5,2,2,-0.3866296128137676,True
ADCY6,2,2,-0.7132195964122721,True
ADCY7,2,2,0.1172591492932297,True
ADCY9,2,2,-0.4010157978258113,True
ADCYAP1R1,2,2,-0.6182201210382858,True
ADD1,2,2,-0.14246982124746302,True
ADD3,2,2,-0.46508516502915787,True
ADGRA2,2,2,-0.49014544967038554,True
ADGRA3,2,2,-0.3808604176914282,True
ADGRB1,2,2,0.06031065924505552,False
ADGRD1,2,2,-1.0651273453980727,True
ADGRF1,2,2,0.7910531513691688,True
ADGRF5,2,2,-0.4346109115903912,True
ADGRG2,2,2,-0.2856664544878297,True
ADGRL3,2,2,-1.5528824153302478,True
ADGRL4,2,2,-0.3958528996735551,True
ADH1B,2,2,-1.0723184260427236,True
ADH7,2,2,0.49700042642304765,True
ADHFE1,2,2,-0.827758646963744,True
ADIPOQ,2,2,-1.3004220912620452,True
ADIPOR1,2,2,0.3122877892051216,True
ADIPOR2,2,2,0.30803319524911343,True
ADIRF,2,2,-0.7274197120943172,True
ADISSP,2,2,0.12089587828029855,True
ADK,2,2,0.38802877075938313,True
ADNP,2,2,-0.13964829246957294,True
ADORA2B,2,2,0.6850001214661514,True
ADPGK,2,2,0.13595623925583117,True
ADPRH,2,2,-0.04575765935598396,False
ADPRS,2,2,0.32936581354589356,True
ADRA1A,2,2,-1.3201913890720087,True
ADRA2A,2,2,-0.7377883983107243,True
ADRB1,2,2,-1.356509803625761,True
ADRB2,2,2,-1.046868153144016,True
ADRM1,2,2,0.5745712091626518,True
ADSL,2,2,0.20590803259698132,True
ADSS1,2,2,-0.6446033463013433,True
ADSS2,2,2,-0.08228124836777279,True
AEBP1,2,2,-0.44302766044941455,True
AEBP2,2,2,0.2549403289490367,True
AEN,2,2,1.226647987227433,True
AFAP1,2,2,-0.21228050320106484,True
AFAP1L1,2,2,-0.3818967978258113,True
AFAP1L2,2,2,0.9288214730603457,True
AFF1,2,2,-0.1989641733487582,True
AFF3,2,2,-1.2767427679069476,True
AFMID,2,2,0.029958034704614722,False
AGA,2,2,0.1254594781947262,True
AGAP1,2,2,-0.639452669973378,True
AGAP2,2,2,0.10000274269459933,True
AGAP4,2,2,-0.23673055181921943,True
AGAP9,2,2,-0.8026085378264454,True
AGBL5,2,2,-0.17784755715960815,True
AGFG1,2,2,0.17923764531567055,False
AGFG2,2,2,-0.8183707536606252,True
AGGF1,2,2,0.061662558585825436,False
AGO1,2,2,-0.20299820911511104,True
AGO3,2,2,-0.37268988568078043,True
AGO4,2,2,-0.5001344580375251,True
AGPAT1,2,2,-0.8406429438545895,True
AGPAT3,2,2,-0.49279810599961915,True
AGR2,2,2,-1.0887859959273574,True
AGR3,2,2,-1.4044866654094827,True
AGT,2,2,-0.8628191639515717,True
AGTPBP1,2,2,0.13046231208798215,False
AGTR1,2,2,-1.3274227141544124,True
AGTRAP,2,2,0.4924656344447271,False
AHCY,2,2,0.6549923523231496,True
AHCYL2,2,2,-0.30935183278397604,True
AHDC1,2,2,-0.36670983428942705,True
AHNAK,2,2,-0.015964186580883,False
AHNAK2,2,2,-0.5055609323339239,True
AHRR,2,2,-0.6447838097426477,True
AHSA1,2,2,0.17544893490111454,True
AIDA,2,2,-0.17597478758874077,True
AIF1L,2,2,-0.5177543493756352,True
AIFM2,2,2,-0.6995956721443966,True
AIM2,2,2,2.2324597481617645,True
AK1,2,2,0.40085807196057366,True
AK6,2,2,0.28703789789870643,True
AK7,2,2,-0.24938982970968562,True
AK9,2,2,-0.3143170217101926,True
AKAP1,2,2,-0.31657296348884323,True
AKAP10,2,2,-0.36576169943268255,True
AKAP11,2,2,-0.3289770109026363,True
AKAP12,2,2,-0.7976078307872725,True
AKAP13,2,2,-0.6728457654348395,True
AKAP19,2,2,-0.8286777074194982,True
AKAP8L,2,2,-0.1801986516227183,True
AKAP9,2,2,-0.36024049397819413,True
AKIP1,2,2,-0.16435040277953894,True
AKIRIN2,2,2,0.46190874874809806,True
AKNA,2,2,0.24543606887043615,True
AKR1B1,2,2,-0.17798903273960343,True
AKR1B10,2,2,4.974329513723378,True
AKR1C1,2,2,-0.318418181129565,True
AKR1C3,2,2,-0.5093705433253045,True
AKT1,2,2,-0.2528529082150109,True
AKT2,2,2,-0.44750146217355447,True
AKT3,2,2,-0.36033546279158135,True
ALAD,2,2,-0.22290307287969158,True
ALAS1,2,2,0.8341370222648337,True
ALCAM,2,2,-0.6592043996577055,True
ALDH16A1,2,2,0.41534069463108536,True
ALDH1A1,2,2,-0.5744473554449796,True
ALDH1A3,2,2,0.9605890694884636,True
ALDH1B1,2,2,-0.44157973361435165,True
ALDH1L1,2,2,-0.34775219127155194,True
ALDH2,2,2,0.34463258774404393,True
ALDH3A1,2,2,0.7479492548015957,True
ALDH3A2,2,2,-0.701893383715771,True
ALDH3B2,2,2,0.45279241946627724,True
ALDH4A1,2,2,0.7524455488558572,True
