gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
ABCC8,3,3,-0.8625064693932899,True
ADRB1,3,2,0.4378014159151715,True
AOAH,3,2,0.3718246948664336,True
BACE2,3,2,0.441235760928343,True
CACNA1D,3,3,-0.8696082229059113,True
CAMK1D,3,2,0.4284922981389873,True
CASR,3,2,-0.3921379819851453,True
CDKN1B,3,2,-0.46999777770616813,True
COBLL1,3,2,-0.3125015853540723,True
CPA1,3,2,0.2853181163110185,True
CTRB2,3,2,0.4268280670882672,True
DNMT3A,3,2,0.08790793429776222,False
EBF2,3,2,0.31219777809543653,True
EYA1,3,2,-0.00022754916699740946,False
GLP1R,3,2,0.055191881134679356,False
GP2,3,2,0.7108968669892596,True
GRM4,3,2,0.2335581193901287,True
GUCY1B1,3,2,-0.6798074251341261,True
HEY2,3,2,0.2873512111369556,True
HMGA1,3,2,0.5613280412266647,True
HMGCR,3,2,-0.9871960034938585,True
HNF1A,3,2,0.14643975787740912,False
HNF1B,3,2,0.3796562055444195,True
HSD17B12,3,2,-0.5845036255229008,True
ID4,3,2,-0.33689609823241656,True
IGF1R,3,2,0.29067555997927,False
IGF2BP2,3,2,0.5866731753683826,True
JAZF1,2,2,-0.4262042571028717,True
LRFN2,2,2,-0.4851534880077657,True
MAML3,3,3,-0.16241493293291734,False
MINDY1,3,2,0.06425633954867571,False
MRAS,3,2,0.08013256813151177,False
MYO5C,3,2,-0.4317616287979777,True
NKX6-1,3,2,-0.061685713780471975,False
OTULINL,3,2,-0.708385412302599,True
PABPC4,2,2,0.3781465626895226,True
PAM,3,2,-0.6566848191402487,True
PDX1,3,3,0.28670080642356144,False
PROX1,3,2,0.010757974887240174,False
PSMD6,3,2,-0.5921139509187675,False
PTEN,3,2,-0.32549477477902694,True
RASGRP1,3,2,-0.7025655484728418,True
RNF6,3,3,-1.0288525666112596,True
SCD5,3,2,-0.1367732137393697,True
SIRPA,3,2,0.26372072602247726,True
SKI,3,2,0.20883862157890132,True
SLC1A2,3,2,0.1851414117542065,False
SLC22A3,3,2,0.25539230776005484,True
SLC2A2,3,3,-1.3004827528990084,True
SLC30A8,2,2,-0.3662891823622756,True
SLIT2,3,2,0.3210130195237377,True
TOX3,3,2,-0.8767205588898985,True
TRAF3IP2,3,2,-0.35478714390206595,True
UBE3C,3,2,-0.529670439232774,True
WSCD2,3,2,-0.15327106249122066,False
ZEB2,3,2,0.4543330377637827,True
