gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
A1BG,3,2,-0.02085691114820612,False
A2M,3,3,0.1568912042392954,True
A2ML1,3,2,0.08901628716966141,True
A4GALT,3,3,0.3043142366737089,True
A4GNT,3,3,-0.07503087819747363,False
AAAS,3,2,0.045942561636499075,True
AACS,3,2,-0.09736130616842154,True
AADACL4,3,2,-0.07665826962472445,True
AADAT,3,2,-0.009824507712848976,True
AAGAB,3,2,-0.12721569373052485,True
AAK1,3,2,-0.10619987062029206,True
AAMDC,3,2,0.09775845569045338,True
AANAT,3,2,0.04708919035553475,True
AAR2,3,2,0.042082426525269855,True
AARD,3,2,-0.1434863826400615,True
AARS1,3,3,-0.08724635170958904,True
AARSD1,2,2,-0.09645069351590405,True
AASDH,3,2,0.05597396009299427,True
AASDHPPT,3,3,-0.1344843313332775,True
AASS,3,3,0.13331766171268625,True
AATF,3,2,0.051109218953546615,True
AATK,3,2,0.056208736578151446,True
ABAT,3,2,-0.04531779159545835,True
ABCA1,3,3,0.27879275411294707,True
ABCA10,3,2,-0.034000367889582134,True
ABCA2,3,2,0.04964877926764988,True
ABCA3,3,3,-0.05608966797248088,True
ABCA5,3,3,-0.16863278477186702,True
ABCA6,3,2,0.11211899892859349,True
ABCA7,3,2,0.09826660607929205,True
ABCA8,3,3,0.19732718121877904,True
ABCB1,3,2,0.1109064122915367,True
ABCB10,3,2,-0.0385081060270478,True
ABCB11,3,2,-0.04774280986297899,True
ABCB6,3,3,-0.009156256646655944,False
ABCB7,3,2,0.0784074794616779,True
ABCB8,3,2,-0.058491807972256595,True
ABCC1,2,2,-0.035290097646803326,True
ABCC10,3,3,-0.036232553022416375,False
ABCC11,3,2,-0.022975614898204655,True
ABCC12,3,3,-0.05719981128003134,False
ABCC2,3,3,0.12876296763475065,True
ABCC3,3,3,0.11095070567522121,True
ABCC4,3,3,0.29189980604349525,True
ABCC5,3,2,-0.10360566815634463,False
ABCC6,3,2,-0.04092739100033347,False
ABCC8,3,3,-0.25398721195013957,True
ABCC9,3,3,0.29656581560553325,True
ABCD1,3,2,0.07912074683075897,True
ABCD2,3,2,-0.021355830712346608,True
ABCD3,3,2,0.00124420926805154,True
ABCD4,3,2,0.027762958596245193,True
ABCE1,3,3,-0.15166360907357712,True
ABCF1,3,2,-0.04026614842946392,True
ABCF2,3,2,0.00278478672463064,False
ABCF3,3,2,-0.05685174169415169,True
ABCG1,3,2,0.025112215006812655,True
ABCG2,3,2,0.08169824992521994,False
ABCG4,3,2,-0.05468972727272229,True
ABCG5,3,2,0.057708577042109584,True
ABCG8,3,2,-0.027254622174631066,True
ABHD1,3,3,-0.04162683926408699,False
ABHD10,3,2,-0.12268780168301396,True
ABHD12B,3,2,-0.1775081609111456,True
ABHD13,3,2,-0.042892773903969256,True
ABHD14A,3,2,-0.05939409030071582,True
ABHD14B,3,3,0.1615100096182521,True
ABHD16A,3,2,-0.029810302017024868,True
ABHD17B,3,2,0.06816996465468204,True
ABHD17C,3,2,0.005111642525303231,True
ABHD2,3,2,0.028383997210855483,False
ABHD3,3,2,0.06245098989109658,True
