gene,cluster_id,level_1,level_2,level_3,level_4,max_level,is_core,mean_log2fc,direction
A2M,177,True,True,True,True,4,True,0.1568912042392954,up
A2ML1,213,True,True,True,True,4,True,0.08901628716966141,up
A4GALT,297,True,True,True,True,4,True,0.3043142366737089,up
A4GNT,101,True,True,True,True,4,True,-0.07503087819747363,down
AAAS,476,True,True,True,True,4,True,0.045942561636499075,up
AACS,537,True,True,True,True,4,True,-0.09736130616842154,down
AADAT,674,True,True,True,True,4,True,-0.009824507712848976,down
AAGAB,682,True,True,True,True,4,True,-0.12721569373052485,down
AAK1,520,True,True,True,True,4,True,-0.10619987062029206,down
AAMDC,684,True,True,True,True,4,True,0.09775845569045338,up
AAR2,688,True,True,True,True,4,True,0.042082426525269855,up
AARD,664,True,True,True,True,4,True,-0.1434863826400615,down
AARS1,961,True,True,True,True,4,True,-0.08724635170958904,down
AARSD1,885,True,True,True,True,4,True,-0.09645069351590405,down
AASDH,902,True,True,True,True,4,True,0.05597396009299427,up
AASDHPPT,963,True,True,True,True,4,True,-0.1344843313332775,down
AASS,904,True,True,True,True,4,True,0.13331766171268625,up
AATF,864,True,True,True,True,4,True,0.051109218953546615,up
AATK,1024,True,True,True,True,4,True,0.056208736578151446,up
ABAT,1071,True,True,True,True,4,True,-0.04531779159545835,down
ABCA1,300,True,True,True,True,4,True,0.27879275411294707,up
ABCA10,411,True,True,True,True,4,True,-0.034000367889582134,down
ABCA2,718,True,True,True,True,4,True,0.04964877926764988,up
ABCA5,1057,True,True,True,True,4,True,-0.16863278477186702,down
ABCA6,1088,True,True,True,True,4,True,0.11211899892859349,up
ABCA7,1060,True,True,True,True,4,True,0.09826660607929205,up
ABCA8,1011,True,True,True,True,4,True,0.19732718121877904,up
ABCB10,413,True,True,True,True,4,True,-0.0385081060270478,down
ABCB11,450,True,True,True,True,4,True,-0.04774280986297899,down
ABCB6,1028,True,True,True,True,4,True,-0.009156256646655944,down
ABCB7,325,True,True,True,True,4,True,0.0784074794616779,up
ABCB8,540,True,True,True,True,4,True,-0.058491807972256595,down
ABCC1,1147,True,True,True,True,4,True,-0.035290097646803326,down
ABCC10,1174,True,True,True,True,4,True,-0.036232553022416375,down
ABCC11,1175,True,True,True,True,4,True,-0.022975614898204655,down
ABCC12,1150,True,True,True,True,4,True,-0.05719981128003134,down
ABCC2,1160,True,True,True,True,4,True,0.12876296763475065,up
ABCC3,1211,True,True,True,True,4,True,0.11095070567522121,up
ABCC4,277,True,True,True,True,4,True,0.29189980604349525,up
ABCC5,1280,True,True,True,True,4,True,-0.10360566815634463,down
ABCC8,1252,True,True,True,True,4,True,-0.25398721195013957,down
ABCC9,277,True,True,True,True,4,True,0.29656581560553325,up
ABCD1,269,True,True,True,True,4,True,0.07912074683075897,up
ABCD2,1210,True,True,True,True,4,True,-0.021355830712346608,down
ABCD3,722,True,True,True,True,4,True,0.00124420926805154,up
