gene,cluster_id,max_level_survived,mean_log2fc,direction
ERC1,0,4,-0.11606871313842777,down
GMPPA,0,4,-0.09248759423880853,down
IGFBP1,0,4,-0.1659257024761895,down
KMT5C,0,4,-0.17678148196838317,down
LHFPL1,0,4,-0.18023930722950643,down
MFAP2,0,4,-0.022716722092697077,down
MICAL2,0,4,-0.1425321772872411,down
NUP160,0,4,-0.05184713866187177,down
OR10J5,0,4,-0.08638945820669391,down
OR5D18,0,4,-0.07457472368582886,down
PABPN1,0,4,-0.06052021719474471,down
PRR14L,0,4,-0.028046288101687234,down
RPL10,0,4,-0.09260808095826563,down
SLC22A1,0,4,-0.050544427593940754,down
SLC6A2,0,4,-0.10176048925300407,down
SPDYE1,0,4,-0.07788976478143037,down
SYNPO,0,4,-0.20118883672072405,down
TBC1D21,0,4,-0.1293004922849468,down
TONSL,0,4,-0.08416889107079312,down
TSPAN11,0,4,-0.10013230577869414,down
EPS15,1,4,0.002545335462045726,up
FAM53B,1,4,0.00242830141966636,up
HCAR3,1,4,0.0020129467290864547,up
MYH14,1,4,0.0027634554238194498,up
NRDC,1,4,0.002301837404754911,up
PHAF1,1,4,0.0024415276010352573,up
PIGH,1,4,0.002549347248048728,up
VSIG2,1,4,0.0022542139970558963,up
DNAJA3,2,4,-0.031888849000340225,down
HAGHL,2,4,-0.031421520455777736,down
HTR1F,2,4,-0.03162694213132511,down
LHFPL3,2,4,-0.03170236780322958,down
LRRTM3,2,4,-0.031559976255093825,down
NLGN1,2,4,-0.031802406179413246,down
PITPNM2,2,4,-0.03147198965583183,down
SCAPER,2,4,-0.031760916526781924,down
TMEM181,2,4,-0.0316397973307225,down
ZFYVE16,2,4,-0.03182274162669221,down
ZNF10,2,4,-0.03138426703482594,down
DNAJB6,3,4,0.004353921802943935,up
DPT,3,4,0.004150542326840746,up
FRY,3,4,0.00388816267031461,up
GEN1,3,4,0.004184431088984697,up
TRIM31,3,4,0.004222999056105718,up
EIPR1,4,4,-0.16200292474798528,down
FBLL1,4,4,-0.16235269842460617,down
MAGI1,4,4,-0.161875640010426,down
MPO,4,4,-0.16209886822172406,down
OR2T34,4,4,-0.16189120872152238,down
PRR16,4,4,-0.16243268175897296,down
TUBA1B,4,4,-0.16194715114450176,down
ZNF385D,4,4,-0.16193096663633674,down
ATF7IP2,5,4,0.01133364658083468,up
CAMK2G,5,4,0.010947847549015849,up
CGN,5,4,0.010406258060402027,up
DHRS13,5,4,0.011516494613088521,up
DLGAP4,5,4,0.010994324447749873,up
ESR1,5,4,0.011059522362667574,up
GGA2,5,4,0.011417669138225265,up
GNB3,5,4,0.011007182611430156,up
IGFL3,5,4,0.010979327849993064,up
LAG3,5,4,0.01054563904483252,up
NONO,5,4,0.01065561982861074,up
SEC24C,5,4,0.010736414422609947,up
UBE2G2,5,4,0.010354772233545534,up
ZMPSTE24,5,4,0.01110351787402423,up
B2M,6,4,0.20004910475652846,up
CASC3,6,4,0.20016089828408212,up
KLF5,6,4,0.20010285972266753,up
MITF,6,4,0.2000736302118693,up
NINJ1,6,4,0.20004215636612221,up
PLCG2,6,4,0.1998300716578414,up
RIPOR3,6,4,0.20018507953744838,up
ATP5F1C,7,4,-0.1552435431856771,down
COQ3,7,4,-0.15451661890285007,down
CTXN1,7,4,-0.15391769620933568,down
CYP24A1,7,4,-0.15468622802809162,down
DNAJC19,7,4,-0.15623325881464337,down
GDE1,7,4,-0.15496639235993248,down
HACD3,7,4,-0.15468676086881708,down
LPA,7,4,-0.1533652967027885,down
NRG4,7,4,-0.1553631061633025,down
NUDT4B,7,4,-0.15395080864097244,down
SCOC,7,4,-0.15527468999807803,down
SIPA1L2,7,4,-0.154871557908717,down
SUB1,7,4,-0.15368770528957998,down
TOMM70,7,4,-0.15634058351792443,down
UQCRFS1,7,4,-0.15565210148293646,down
ZDHHC23,7,4,-0.15585151312440457,down
CTIF,8,4,0.029971703748508837,up
FGD3,8,4,0.029476046799283895,up
KRABD4,8,4,0.02982273468820427,up
MDM2,8,4,0.030028297607752243,up
NEIL1,8,4,0.030017076710239343,up
PUS3,8,4,0.029664852722590392,up
REXO4,8,4,0.02981555522219147,up
SNRPG,8,4,0.029673551281241616,up
XRN2,8,4,0.02977043736225901,up
DARS2,9,4,0.06107884738683833,up
DCAF13,9,4,0.024412958380073135,up
ESCO2,9,4,0.021637300829428444,up
FAIM,9,4,0.02337855563648361,up
KY,9,4,0.04740650352456651,up
POLR1A,9,4,0.029026838439309244,up
PTCH2,9,4,0.048395824616854745,up
PWWP2B,9,4,0.041960269498814984,up
SGSM3,9,4,0.042691782441118396,up
TSR3,9,4,0.017517381395442757,up
WNT5A,9,4,0.039584767599842786,up
ZNF165,9,4,0.03147754804985536,up
ZNF430,9,4,0.008915977660242888,up
ZNF714,9,4,0.05583945467400947,up
ASB2,10,4,-0.1476366944564008,down
ECHDC1,10,4,-0.14702547785913264,down
FHOD3,10,4,-0.1477346947387747,down
KIAA0319,10,4,-0.14742775356796103,down
RSAD2,10,4,-0.14706057434695988,down
DLAT,11,4,-0.14546987001682346,down
