gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
IGFBP1,0,-0.03774612568376131,0.05078267294557343,0.4573076417875248,0.052798762692575475,0.008759160867549997,1.6617217977276251e-09,94.26264190064666,0.005804675331479876,34.85924994337414,3,down
LHFPL1,0,-0.05257708261486874,0.03933755289485558,0.18136561465511625,0.023863177552611997,0.005969693314466505,6.40454068328883e-05,95.63874477660102,0.003472788422667788,45.858357228662236,3,down
MICAL2,0,-0.08471193548388214,0.07373078371037972,0.25058246256125083,0.06514554668238388,0.010322503303307825,2.7719856638846883e-10,96.18823877990101,0.014109460457675853,52.46918378449904,3,down
OR10J5,0,0.01806861317002012,0.01561394545688809,0.24718659017606526,0.02773162883903827,0.004089000759908466,1.1851831981606926e-11,86.35816580700104,0.00046496197672080873,14.660785138602611,3,up
OR5D18,0,-0.000275995697676385,0.024281646327160657,0.9909310941527699,0.03429201540218001,0.004997713354883139,6.812161645502387e-12,92.4959952354459,0.0012702745051846112,26.65243510301589,3,down
PABPN1,0,-0.04633994000064967,0.042985847274384856,0.2810213330956185,0.02430304363139686,0.006543156416012078,0.0002037918542745412,96.66597953062703,0.005069255928785042,59.98763410040328,3,down
PRR14L,0,0.004743052465920715,0.016006094442873917,0.7669796757441312,0.025648928727025955,0.0038303249798852432,2.137918427393996e-11,90.43287503924913,0.0005610766420912169,20.90492188828933,3,up
RPL10,0,0.023979736467136678,0.021275758116848058,0.2597035913616176,0.04011937480571711,0.005454272074098258,1.9008936660589493e-13,87.93619318534599,0.0008842927171980783,16.57851481483092,3,up
SLC6A2,0,0.010821678972938488,0.014000601379024766,0.439555601774959,0.019818176288152408,0.0032611745134895134,1.2244736958779642e-09,89.42017015634993,0.0003786959841382542,18.90389571057593,3,up
SPDYE1,0,-0.025247868194856974,0.03220073657345036,0.4329947249910441,0.0374019567718986,0.005598586996807082,2.3795535274740146e-11,95.0207436406703,0.002477565069573357,40.166640471374315,3,down
SYNPO,0,0.0009145049400915536,0.023654448764864753,0.96916065764848,0.026004833857552475,0.00406942958595336,1.65571799295237e-10,94.44884578435261,0.001129193560458696,36.02854329577936,3,up
TBC1D21,0,-0.029528854898597818,0.016106087343891063,0.0667435287010537,-0.01887346916615977,0.004077379641050422,3.677496999438103e-06,86.31335266391432,0.0004966609740627799,14.612782450577777,3,down
