gene,n_datasets_detected,n_datasets_significant,mean_log2fc,consistent_direction
ABCA1,3,3,0.27879275411294707,True
ABCA7,3,2,0.09826660607929205,True
ABI3,3,2,0.14065697038750538,True
ACE,3,3,-0.05587649945788321,False
ADAM17,3,3,-0.020418738212340786,False
ADAMTS1,3,3,0.31851977128225095,True
ANK3,3,3,-0.17171273864944805,True
ANKH,3,3,-0.1774216663235325,True
APH1B,3,3,0.13458969994634143,True
APP,3,3,-0.13260939861027662,True
BCKDK,3,2,-0.06396476959253686,True
BIN1,3,2,0.04023332287640085,True
BLNK,3,2,0.11376029676370059,True
CD2AP,3,2,0.07088585005612208,True
CLNK,3,2,0.048716185613007564,True
CLU,3,2,0.16396079568992838,True
COX7C,3,2,-0.05332239377493225,True
CR1,3,2,0.07084690737037824,True
CTSH,3,3,0.1802339953106209,True
DOC2A,3,2,-0.1526516518586208,True
EED,3,3,0.11617206982749356,True
EPDR1,3,3,-0.255775950485978,True
FERMT2,3,3,0.1809441548416769,True
FOXF1,3,3,0.29741096857580107,True
GRN,3,2,0.09700624854727291,True
HS3ST5,3,2,-0.08486069686419213,True
ICA1,3,3,-0.1610654360967429,True
IDUA,3,2,0.04387065776379755,True
IL34,3,3,0.03806500650166906,False
INPP5D,3,3,0.05526270796578155,False
JAZF1,3,2,-0.07556764915079844,True
KLF16,3,3,0.07924251642731146,False
LILRB2,3,3,0.26848267468044357,True
MAF,3,2,0.11196683327922491,True
MINDY2,3,3,0.09072508219087701,True
MS4A4A,3,2,0.270354857905313,True
MYO15A,3,2,-0.08749138932322938,True
NCK2,3,2,-0.08263980265762609,True
PLCG2,3,3,0.1998300716578414,True
PLEKHA1,3,2,-0.09243143014510713,True
PRKD3,3,3,0.2190363641022235,True
PSEN2,3,2,-0.08453341895634192,True
RASGEF1C,3,3,0.08359955293743891,False
RBCK1,3,2,0.09551629798676119,True
RHOH,3,3,-0.003857473565786492,False
SCIMP,3,2,0.06742617895561552,True
SEC61G,3,3,-0.1282291335391015,True
SHARPIN,3,2,-0.0284225957706799,True
SLC24A4,3,2,0.09507921656042355,True
SLC2A4RG,3,2,0.023476910169640264,True
SORL1,3,3,-0.10583987736760204,True
SORT1,3,2,0.04497636562808322,True
SPI1,3,2,0.09337453103571514,True
SPPL2A,3,3,0.1522652525966592,True
TMEM106B,3,2,0.009324238112557356,True
TNIP1,3,2,0.08383087576579751,True
TPCN1,3,2,0.07595813445353071,True
TREM2,3,3,0.28565135053474155,True
TSPAN14,3,2,0.03076921028921605,True
TSPOAP1,3,3,-0.09458971501287479,True
UNC5CL,3,2,0.048432868362614206,True
WDR12,3,2,-0.06802136865549453,True
WDR81,3,3,-0.08629731863854317,False
WNT3,3,2,0.014341884943431438,True
ABCA8,3,3,0.19732718121877904,True
ADAMTS4,3,2,-0.017712869120541156,False
AHCYL1,3,2,0.045784909695422836,True
AK4,3,3,0.17255558362595447,True
AP2A2,3,2,-0.006664062504633102,True
APOC1,3,3,0.17847173564707083,True
APOE,3,2,0.08594979543860809,True
ARHGAP26,3,2,0.04106189682912719,True
ASAH1,3,2,-0.0035774368051285275,True
ATL3,3,3,0.15844991113662812,True
ATP1B1,3,3,-0.344045959525953,True
ATP2B1,3,3,-0.2619075865351404,True
ATP5PO,3,3,-0.10961582563005849,True
ATP6V1A,3,3,-0.3892983375120824,True
ATP6V1B2,3,3,-0.4406624957820442,True
C1QTNF4,3,3,-0.014426680742474662,False
C4A,3,3,0.20019253163168926,False
CDK18,3,3,-0.12935008468548084,False
CELF1,3,2,0.06059252491198883,True
COX6B1,3,3,-0.1280796416572881,True
CPLX1,3,2,-0.17915885839014054,True
CS,3,3,-0.14306115074104442,True
CSMD1,3,2,-0.02891819746830927,True
DAGLA,3,2,-0.1509193373778924,True
DAXX,3,3,0.13004015717825967,True
