hgnc_symbol,ensembl_id,tier,cluster_id,dominant_direction,average_log2fc,neg_log10_min_p,n_datasets_sig,direction_score,n_pathways
ABCA1,ENSG00000165029,1,27,up,0.4830797056582539,10.0,4,1.0,1
ABCA7,ENSG00000064687,1,27,up,0.21439438385292073,10.0,3,1.0,0
ABI3,ENSG00000108798,1,21,up,0.22347824861455756,10.0,2,1.0,0
ADAM17,ENSG00000151694,1,21,up,0.170710945116814,9.686039878600544,2,1.0,9
ADAMTS1,ENSG00000154734,1,27,up,0.3891869387744611,10.0,3,1.0,3
ANK3,ENSG00000151150,1,0,down,-0.1341142111921448,10.0,2,1.0,8
ANKH,ENSG00000154122,1,21,down,-0.23138120707071944,10.0,2,1.0,2
APP,ENSG00000142192,1,28,down,-0.03877670088829766,10.0,3,0.6666666666666666,11
BCKDK,ENSG00000103507,1,7,down,-0.1717744643024814,10.0,3,0.6666666666666666,1
BIN1,ENSG00000136717,1,15,up,-0.034573291324245234,10.0,3,0.6666666666666666,5
CASS4,ENSG00000087589,1,22,up,0.12848983140362646,1.6332328484861371,2,1.0,0
CD2AP,ENSG00000198087,1,31,up,0.11180551830503627,10.0,2,1.0,3
CLNK,ENSG00000109684,1,10,up,-0.04266452050152643,8.353241736476999,2,0.5,0
CLU,ENSG00000120885,1,28,up,0.08458519357227842,10.0,2,1.0,5
COX7C,ENSG00000127184,1,8,down,-0.4085461129326332,10.0,4,1.0,14
CR1,ENSG00000203710,1,26,up,0.1735594373485387,10.0,4,0.75,3
CTSB,ENSG00000164733,1,0,up,0.20282105880300394,10.0,3,1.0,11
CTSH,ENSG00000103811,1,26,up,0.23856049256162326,10.0,3,1.0,3
DOC2A,ENSG00000149927,1,27,down,-0.26758592742098897,10.0,3,1.0,0
EED,ENSG00000074266,1,0,down,-0.11889445154320356,10.0,3,0.6666666666666666,10
EPDR1,ENSG00000086289,1,21,down,-0.5206036195743424,10.0,2,1.0,0
FERMT2,ENSG00000073712,1,-1,up,0.30345661783042005,10.0,3,1.0,4
FOXF1,ENSG00000103241,1,0,up,0.33333673921293716,10.0,3,1.0,5
GRN,ENSG00000030582,1,26,up,0.1155480269529085,10.0,3,1.0,1
HS3ST5,ENSG00000249853,1,7,up,0.1211147900371294,10.0,3,0.6666666666666666,1
ICA1,ENSG00000003147,1,27,down,-0.390642330691674,10.0,3,1.0,1
IDUA,ENSG00000127415,1,7,up,0.08161091656085162,10.0,2,1.0,3
INPP5D,ENSG00000168918,1,-1,up,0.3470971427470346,10.0,4,1.0,4
JAZF1,ENSG00000153814,1,27,down,-0.5569972776940214,10.0,3,1.0,0
KLF16,ENSG00000129911,1,22,down,0.11585781209191537,2.815298578560142,2,1.0,0
LILRB2,ENSG00000131042,1,26,up,0.07300956330779927,10.0,3,1.0,4
MAF,ENSG00000178573,1,21,up,0.2362377724433938,10.0,2,1.0,1
MME,ENSG00000196549,1,22,up,-0.032099291272104126,2.0613197725769026,2,1.0,3
MS4A4A,ENSG00000110079,1,10,up,0.03062981456582817,10.0,2,0.5,0
PLCG2,ENSG00000197943,1,28,up,0.15861465532858,10.0,3,1.0,17
PRKD3,ENSG00000115825,1,21,up,0.013767988254589723,10.0,2,1.0,2
PSEN2,ENSG00000143801,1,21,down,-0.2032997255183511,10.0,2,1.0,9
PTK2B,ENSG00000120899,1,7,down,-0.24776791160054118,6.0373319208964435,3,0.6666666666666666,7
RASGEF1C,ENSG00000146090,1,22,down,-0.19120994275432723,2.941552463994002,2,1.0,0
RBCK1,ENSG00000125826,1,27,up,0.010633083139603,10.0,3,0.6666666666666666,3
RHOH,ENSG00000168421,1,10,up,-0.09196705743993368,10.0,2,0.5,2
SEC61G,ENSG00000132432,1,27,down,-0.3844086942256651,10.0,4,1.0,1
SIGLEC11,ENSG00000161640,1,22,up,0.29902484535326784,4.960769326056962,2,1.0,1
SLC24A4,ENSG00000140090,1,22,up,0.11793396457302709,5.35009931466704,2,1.0,0
SLC2A4RG,ENSG00000125520,1,27,up,0.21813911585251566,10.0,3,1.0,0
SNX1,ENSG00000028528,1,15,up,-0.018978917450637955,10.0,3,1.0,1
SORL1,ENSG00000137642,1,7,down,-0.15970038884253912,10.0,3,0.6666666666666666,0
SORT1,ENSG00000134243,1,10,up,-0.11036837891038911,10.0,2,0.5,1
SPI1,ENSG00000066336,1,17,up,0.181658532465591,10.0,3,1.0,3
SPPL2A,ENSG00000138600,1,27,up,0.33313413799460373,10.0,3,1.0,1
TMEM106B,ENSG00000106460,1,10,up,-0.07951132340635399,5.584603649643161,2,0.5,0
TNIP1,ENSG00000145901,1,21,up,0.10669688668920037,10.0,2,1.0,1
TPCN1,ENSG00000186815,1,21,up,0.06157785686008097,10.0,2,1.0,2
TREM2,ENSG00000095970,1,22,up,0.24215161540357688,10.0,2,1.0,2
TREML2,ENSG00000112195,1,22,up,-0.0009117790875919265,4.92962655536262,2,1.0,1
TSPAN14,ENSG00000108219,1,26,up,0.1060264134896986,10.0,2,1.0,1
TSPOAP1,ENSG00000005379,1,24,down,0.010420856070633554,6.060635942248259,3,0.6666666666666666,2
UMAD1,ENSG00000219545,1,22,down,-0.2926177951145368,6.8329942345694645,2,1.0,0
WDR12,ENSG00000138442,1,27,down,-0.1920529138356608,8.232579804357492,4,1.0,0
WDR81,ENSG00000167716,1,27,up,0.18391951106274493,10.0,4,1.0,2
WNT3,ENSG00000108379,1,10,up,0.039878858105086866,7.998220765048742,2,0.5,7
ABCA8,ENSG00000141338,2,25,up,0.28501207068440215,10.0,3,1.0,0
ADAMTS4,ENSG00000158859,2,18,up,0.15013756884106852,2.463964264107748,2,1.0,3
